Original,EN,Needs Review
"一間很小型的酒吧，店內位置不算多，都是吧台座位
店員很細心介紹每個調酒喝起來的口感，點了一杯下午茶，對於不常喝酒的人來說濃度剛剛好、很香，酒味不會太重
雖然不是台北人，但有機會還會想再去👍🏻","A very small bar, there are not many locations in the shop, all of which are on the bar seat
The clerk carefully introduced the taste of each bartender and ordered a glass of tea. For those who do not drink frequently, the concentration is just right and fragrant.
Although it is not from Taipei, I have a chance to go again.",False
"第一次去酒吧這麼不推薦
一進門詢問低消
bartender 說點一杯就可以
裡面很悶就算了
店員出去抽菸 門也沒有關
裡面都是菸味…
蚊子真的很多！！！
最後結帳的時候也沒有明細
只有口頭告知金額
回去的路上我跟朋友想了一下應該是有多加服務費
但完全不清楚服務什麼了
其他家收服務費的酒吧至少會給一杯水
一杯水也沒有給
酒好不好喝就憑個人了🙂🙂","The first time I went to the bar is so not recommended
As soon as you enter the door, ask for a low disappearance
Bartender can say a cup
It's boring inside
The clerk goes out to smoke the door is not related
There are smoke flavors in it ...
There are really many mosquitoes!IntersectionIntersection
There is no detail at the end of the checkout
Only verbally notify the amount
On the way back, I thought about how much service fee should be added to my friends
But I don't know what the service is at all
Bars with other home service fees will give at least one glass of water
I didn't give it a glass of water
If the wine is good or delicious, it is personal.",False
Bartender 服務很好，酒也好喝，大推！,"Bartender has a good service, and the wine is delicious, push!",False
"酒好喝 ！下午時段就有開十分方便（當你想早點放假模式時🤣）
店家有時候會有DJ表演或是包場活動，建議追蹤IG …","The wine is delicious!It is very convenient to open in the afternoon (when you want to take a holiday mode early)
Sometimes the store will have DJ performances or charter activities. It is recommended to track IG ...",False
"下午4點才開始營業，週一公休，是中山捷運站線型公園的小酒吧！
飲品不錯，服務好，適合一群朋友歡聚辦活動的好地點！","It started to open at 4 pm. On Monday, it was a small bar at the Zhongshan MRT Station Line Park!
The drink is good, the service is good, and it is suitable for a good place for a group of friends to gather activities!",False
店舖氣氛十分好，調酒很好喝，調酒師人很好會根據你的個人喜好調出一杯酒,"The atmosphere of the store is very good, the bartending is very good, and the bartender will be very good to call up a glass of wine according to your personal preference",False
氣氛很chill，酒單設計種類頗多，店員很年輕也很親切👍,"The atmosphere is very chill, there are many types of wine designs, and the clerk is very young and kind.",False
"酒好喝
酒吧員工很好聊
人帥又會做酒
好香","Wine
Bar employee is very good to chat
Handsy people can make wine again
Fragrant",False
"在台北中山站附近偶然經過
第一次看到從早上就開始賣酒的酒吧🤩
酒好喝、咖啡好喝、還有DJ 放歌
非常適合整天待在這～超chill
老闆人也超好！推爆","Occasionally passed near Taipei Zhongshan Station
The first time I saw the bar that started selling wine from the morning 🤩
Good wine, delicious coffee, and DJ singing
Very suitable for staying here all day ~ Super Chill
The boss is also super good!Explosion",False
調酒跟咖啡都很推，老闆很有耐心，聽我喜歡什麼調整成我想要的樣子，氛圍很棒，週末有DJ，列為愛店口袋名單，推推可以來,The bartending and coffee are very pushing. The boss is very patient. I listened to what I like to adjust to what I want. The atmosphere is great. There is a DJ on the weekend.,False
中午咖啡廳晚上是Bar，老闆Max很熱情，我原本只是中午路過買杯冰美喝，結果跟他聊了快一小時，他還請我一杯金萱桂花shot，味道很棒！茶味和桂花香都有出來，下次有機會再來喝調酒。,"At noon coffee shop is BAR, the boss Max is very enthusiastic. I originally just passed the cup of ice at noon to drink it. As a result, I talked to him for almost an hour. He also invited me a cup of Jin Xuangui Shot, which was great!Both tea flavor and osmanthus fragrance come out, and next time I have the opportunity to drink alcohol.",False
很喜歡！vibe 好～調酒非常好喝！音樂也好聽！適合晚上和朋友來小酌嗨一下！,I like it very much!VIBE is good ~ bartending is very delicious!The music is so good!Suitable for a drink with friends at night!,False
服務很nice，音樂很好聽，還可以帶小點外食，超喜歡😊 …,"The service is very nice, the music is very nice, you can also bring a little food, so I like it ...",False
飲料選項多 有咖啡類跟酒精類飲品😻老闆很親民 調酒也可以客製化呦 推薦大家呼朋引伴來玩😻希望以後都可以喝到Ivy的烤布蕾特調😻 …,There are many beverage options including coffee and alcoholic beverages. The boss is very close to the people and can be customized.,False
"評論不知怎麼來的？感覺很自嗨自爽的店，進去沒認真的音樂也沒人，面前的座位上三個包包佔著位子，站了一會才從裡面出來一位服務生，說低消是三百，內用三百外帶也三百，只是想要來喝杯咖啡，真心不懂為什麼可以收300。

一覆：謝謝業主認真回覆，我也還原一下，當時店員提出低消一杯飲料時，我手上確實只給到一本封面標示300元起跳（確實不記得用字是破杯費還是低消，等我再去時也可以澄清），雖然店員確實沒有親口告訴我低消是300，但我當場有反應，低消一杯要300起跳，兩個人就要600太貴了，好吧是我弄錯了，但問了店員卻沒有澄清飲料不是300起跳唷。我心疑有咖啡店會把低消設三百而感到驚訝，因此還跟店員提了一兩次，都沒有告訴我有80或130的飲料哦。
我會為了音樂跟好喝咖啡再去一趟，期望遇見老闆，跟您好好交流，並當面還原當時情況。音樂不認真放是同行玩音樂的朋友說的，我對有無音樂一點印象都沒有，以為沒有放，所以也同意沒有認真在放音樂。當時感覺像走進散場的客廳。
我一定會再去，如果體驗良好，我會回來更新我的評論。但今天感覺真實頗差。

二覆：再次到訪，這次是老闆，馬上說明低消規定，年輕老闆親切好聊，熱咖啡是好喝的，可惜員工沒有老闆笑臉，一間店要成功不容易，（上次沒有澄清低消規定也是事實）員工訓練也是很重要的。特來更正給星，決定綜合兩次體驗給個平均星數(4捨5入）吧，也才對上次白跑的自己與友人公平。","I don't know how to come from?It feels very good at the shop, and there is no one who goes in without serious music. The three bags in front of the seats occupy a seat. After standing for a while, a waiter came out of it. It also takes three hundred take -out, but I just want to have a cup of coffee. I really do n’t understand why I can collect 300.

One cover: Thank you owner to reply carefully. I also restore it. At that time, when the clerk proposed a low disappearance of a drink, I did only mark a cover of 300 yuan to start with a cover (really do not remember whether the word is broken or low. I can clarify when I go). Although the clerk did not tell me that the low consumption was 300, but I reacted on the spot. It took 300 to start with a cup. I asked the clerk but did not clarify that the drink was not from 300.I was suspected that there was a coffee shop that would be surprised to settle down three hundred, so I mentioned it once or twice with the clerk. I didn't tell me that there were 80 or 130 drinks.
I will go with good coffee for music. I hope to meet the boss to communicate with you and restore the situation in person.Music is not serious about playing music friends. I didn't have any impression of any music, and I thought I didn't put it on, so I also agreed that I didn't put the music seriously.At that time, it felt like walking into the living room of the scattered field.
I will definitely go again. If I have a good experience, I will come back to update my comments.But today feels very poor.

Two overwriting: Visit again, this time is the boss, immediately explaining that the low consumption is stipulated, the young boss talks well, hot coffee is delicious, but unfortunately the employee does not have a smiley face, and it is not easy for a shop to succeed. Low discharge regulations are also facts) Employee training is also very important.Correct the stars, decide to comprehensively experience the average star (4 houses and 5 entry), and then just be fair to the self -run yourself and friends.",False
想Chill一下的很推薦，時不時還會有DJ表演,"I want to be recommended by Chill, from time to time there will be DJ performances",False
"音量很大聲，若想暢聊的姐妹建議另尋餐酒館，不過非常適合曖昧中的情侶，於此耳邊綿延，悄悄拉近彼此距離的時光。
另外，酒品好喝，菜單創新。當時在菜單上沒看到摩西多，問老闆能否調製，不但沒有被拒絕，還得到一杯好喝的摩西多，在此非常感謝老闆包容我們的任性！","The volume is loud. If the sisters who want to chat are recommended to find a tavern, but it is very suitable for the ambiguous couples. This ears are stretched and quietly drawn close to each other.
In addition, the wine is delicious and the menu is innovative.At that time, I did n’t see Moses on the menu. Asked whether the boss could make up, not only did n’t be rejected, but also got a cup of delicious Moses. Thank you very much for his own waywardness!",False
"蚊子有點多而且音樂沒有那麼好聽，但是bartender 很nice所以可以算給力！ Wish the environment is better, the drinks are okayish ! I like the green blue toilet though!","There are a lot of mosquitoes and the music is not so good, but Bartender is very nice so it can be regarded as powerful!Wish the Environment Is Better, The Drinks Are Okayish! I like the green blue toilet thinking!",False
酒好喝！店員人很好也很耐心的解說，唯一的缺點大概就是在一樓蚊子很多，而且門口抽煙裡面都聞得到，有點臭。,"The wine is delicious!The clerk is very good and patiently explained. The only disadvantage is probably a lot of mosquitoes on the first floor, and the smoking at the door can be smelled, which is a bit smelly.",False
咖啡喝起來真的很不錯，新開幕買1送1真的划算！,Coffee is really good to drink. Buying 1 get 1 get 1 get 1 free! It is really cost -effective!,False
店員好聊 酒也不錯 就是蚊子有點多😂,"The clerk is good to talk about wine, but mosquitoes are a bit too much",False
燈光讚、氣氛讚、酒好喝重點是老闆很好聊天，下午就可以開始開喝了。如果下班就想喝酒的推這家～～,"The focus of lighting, praise, and good wine is that the boss is very good to chat, and you can start drinking in the afternoon.If you want to drink this one after get off work ~~",False
調酒都沒什麼酒精感覺就是在喝飲料，可樂沒氣不ok…連啤酒都很雷，入場費一人600抵調酒2杯太貴了,"There is no alcohol that I feel like drinking drinks, but Cola is not angry ... Even beer is very thunderous, and the entry fee is 600 to resist 2 cups. 2 cups are too expensive",False
"這杯 搞烏龍 👍
杯子還有冰鎮過 懂冰 …","This cup is engaged in oolong
There are also ice about ice in the cup ...",False
"店裡比外面看起來還寬敞!
老闆闆娘人都好好而且很好聊，
酒也好喝~
喜歡下班來耍廢🥰 …","The shop looks more spacious than outside!
The boss Ban Niang is good and very good to talk,
The wine is also delicious ~
I like to come from get off work to play abandoned ...",False
酒好好喝，調酒師好親切呢，大推,"The wine is delicious, the bartender is so kind, push the big push",False
調酒超好喝 還可以依照自己喜好特調 人帥 在店裡很享受,You can enjoy the bartending super delicious. You can enjoy it in the store according to your preferences.,False
氣氛服務好酒好喝 遊戲好玩 推推,Atmospher,False
檸檬水好喝！,Lemonade is so delicious!,False
老闆很細心，可以依照個人喜歡的口感調整調酒，真的大推！🫡✨ …,The boss is very careful. You can adjust the bartender according to your personal favorite taste. It is really a big push!🫡✨ 🫡✨ ...,False
老闆帥，調酒都不錯喝👍,"The boss is handsome, and the bartender is good to drink 👍",False
調酒名字很有特色也很好喝,The name of the bartender is very distinctive and delicious,False
老闆人很好👍,The boss is very good 好,False
適合朋友相聚聊天，而且店內老闆跟員工都是DJ，超帥！,"Suitable for friends to meet and chat, and the boss and employees in the store are DJ, super handsome!",False
環境舒適，酒也好喝，重點是有DJ表演😍 …,"The environment is comfortable, and the wine is also delicious. The point is that there are DJ performances ...",False
"有dj，氣氛很熱鬧
所有的bartender 都很親切好聊","With DJ, the atmosphere is very lively
All Bartender is very kind to talk",False
氣氛很棒音樂好聽 店員也很耐斯 推薦👍🏻👍🏻 …,"The atmosphere is great, music, nice, the clerk is also very robbing 👍🏻👍🏻 ...",False
舒服的環境，酒非常有料，沒來過的值得一試,"A comfortable environment, the wine is very ingredient, it is worth trying it before",False
"年輕老闆很好相處，很健談！
店裡氣氛很好 價格實惠","The young boss gets along well and talks!
The atmosphere in the store is very good and the price is affordable",False
"下午有咖啡，老闆陪你暢談悠遊
晚上有酒，老闆陪你聽歌買醉不休","There is coffee in the afternoon, the boss will talk to you with you
There is a wine at night, the boss listens to you to listen to the song to buy drunkenness",False
西西里咖啡好喝，一次要喝兩杯,"Sicily coffee is delicious, drink two glasses at a time",False
來這邊下課的🥹 …,Come here to get out of class 课 ...,False
"燈光不錯
但酒的部份個人覺得有待加強","Good light
But the part of the wine personally feels to be strengthened",False
酒好喝 DJ放的歌都超讚,The songs that are good to drink DJ are all very happy,False
咖啡好喝酒也好喝 現場還有DJ👍👍 …,"Coffee is delicious and delicious, there is DJ👍👍 ...",False
"朋朋在這裡放歌
Hola bb好喝餒","Peng Peng played here
Hola BB is delicious",False
老闆人很好，店員也很熱情❤️,"The boss is very good, and the clerk is also very enthusiastic ❤️",False
週末超好玩 吃完飯的好去處…,The good place to eat after the weekend is super fun ...,False
氣氛很好 老闆親切,"The atmosphere is very good, the boss is kind",False
咖啡很好喝，老闆很熱情很好聊天,"Coffee is delicious, the boss is very enthusiastic and good to chat",False
大家都是🈵️🈵️愛小子,Everyone is 🈵️小️ Love Boy,False
太讚 老闆max 超chill 大推,Too much boss Max Super Chill push,False
"讚👍🏻
微醺很會調！ …","Praise
Micro -mounted!Mowing",False
招牌好喝到炸開⋯🤩🤩🤩 …,The signature is so delicious that it explodes 🤩🤩🤩 🤩🤩🤩 🤩🤩🤩 ...,False
喝過最屌的酒吧,I have drank the most stingy bar,False
中山精神綠洲🤩🤩 …,Zhongshan Mental Oasis ...,False
氣氛棒棒,Great atmosphere,False
🔥🔥🔥🔥🔥 …,🔥🔥🔥🔥🔥 …,False
"服務親切 員工很友善
老闆調酒很好喝","Carey employees are friendly
Boss bartending is delicious",False
會回購 小孩很喜歡,You can buy back children like it very much,False
什麼爛酒吧 一開始也沒先講清楚要付清潔費的部分 啊吐在裡面或是門口外 一開口說清潔費要收三千 幾百塊就算了要幾千塊 你們是靠清潔費賺錢的嗎 倒不如清潔的部分我自己來就好了 下次我在也不會去了,"At the beginning, I did n’t clarify the part of the cleaning fee at the beginning. Spit it inside or outside the door to say that the cleaning fee is to collect 3,000 yuan, even if you want a few thousand yuan, do you make money by the cleaning fee? It's better to clean the cleaning part. Next time, I won't go. I won't go.",False
"喝了 Spumoni 和 House 特別雞尾酒
原始！完美的！","Drink SPUMONI and HOUSE special cocktails
original!Perfect!",False
很酷的氛圍。最友好的調酒師。等待鼎泰芬喝一杯的好地方。,A cool atmosphere.The most friendly bartender.Waiting for Dingtaifen to drink a good place.,False
飲料還可以，音樂也很好聽。菜單上的印刷字體非常小，幾乎看不見，每人最低消費 400 美元。他們至少應該在人們點餐時告訴他們，或者讓它在菜單上更明顯。這很正常——不要偷偷摸摸…,"The drink is okay, and the music is also very nice.The printing fonts on the menu are very small and are almost invisible. Each person consumes a minimum of 400 US dollars.They should at least tell them when people order, or make it more obvious on the menu.This is normal -don't touched it ...",False
當我們收到兩杯飲料後，我們決定玩一個遊戲，看看誰喝得最糟糕。我們都贏了。,"When we received two cups of drinks, we decided to play a game to see who drank the worst.We all won.",False
我嘗試點一杯 300 美元的飲料，他告訴我最低限度是 400 美元。如果我之後再訂購一份怎麼辦？這讓我徹底失去了興趣，我就起身離開了。荒謬的。,"I tried to order a drink of $ 300, and he told me that the minimum was $ 400.What if I order one after another?This made me completely lost my interest, and I got up and left.Absurd.",False
RUI太屌了🤣,RUI is too stunned,False
看起來不像是個誠實的地方。 300的金額，我們要付50美元的服務費。,"It doesn't look like an honest place.At 300, we have to pay a service fee of $ 50.",False
確實是我在台灣去過的最糟糕的酒吧。飲料太糟糕了！,It is indeed the worst bar I have been in Taiwan.The drink is too bad!,False
酒好很喝,Drink well,False
非凡的氛圍和美味的飲料，絕對被低估了,Extraordinary atmosphere and delicious drinks are definitely undervalued,False
舒服 很屌,Comfortable,False
清酒能,Sake,False
酒很好喝👍🏻 …,The wine is delicious 👍🏻 ...,False
服務很棒！,The service is great!,False
