Original,EN,Needs Review
在房子的三樓的琴酒專門吧，針對不懂琴酒的朋友店家貼心用顏色區分每種琴酒的風味，除了經典調酒的變化外，店家也有許多招牌，這次比較可惜的是沒坐到吧台那仔細看看琴酒收藏，不過是會再訪的店,"The piano wine on the third floor of the house is specially distinguished from the color of each piano wine for friends who do not understand the piano wine. In addition to the changes in classic bartender, the store also has many signboards. This time, it is a pity that there is no. Sit in the bar, take a closer look at the piano wine collection, but the shop will be visited again",False
"每杯令人驚艷味道融合恰到好處的調酒，價格偏高且假日低消2杯調酒。

美中不足的是…
客人吃完的餐具直接擺在顯眼的地方感覺超級奇怪？？","Each cup of amazing taste is just right, the price is high, and the price is high and the holidays are low 2 cups of alcohol.

The lack of beauty is ...
The tableware that the guests finish eating directly in the conspicuous place is super strange?Intersection",False
"很像琴酒博物館，全部都是琴酒
Bartender 都很專業
可以依照自己想要的調喜歡的口味
食物推薦麵
下次還會再來","Very similar to the Qinjiu Museum, all of which are piano wine
Bartender is very professional
You can adjust your favorite taste according to what you want
Food recommendation noodles
Will come again next time",False
早早來一個人很舒服，麻油雞鹹派好好吃，杏仁茶拿鐵上面點綴油條很到位，很喜歡。,It's very comfortable to come early. The sesame oil chicken salty school is delicious. The almond tea laid iron is embellished with the fritters in place and I like it very much.,False
"在「一切皆『發』想自『琴』酒」的發琴吧中收藏著190種的琴酒，如果你是琴酒愛好者，這裏不容錯過！
發琴吧位在在香火鼎盛的台北霞海城隍廟對面，來之前還可以先跟城隍爺及月老爺爺打聲招呼，祈請他們老人家保佑諸事平安、戀情順利。
發琴吧的一樓是Fleisch cafe，勇敢地走進去就對了！
晚上19:00供應的是樓下咖啡廳的餐點，19:30後會開始供應發琴吧自己的特餐。
酒單有兩種，一個是各式琴酒調製的Gin Toinc; 另一個是各種琴酒調酒及店家特色調酒。

🍸Gin Toinc -
凡波斯 小批手工蒸餾琴酒 x 芳味樹接骨木通寧水
喜歡草本帶花香你，這杯絕對會讓你滿口芬芳，清爽開胃。

🍸Gin Tonic -
極 琴酒 x 芳味樹地中海通寧水
非常原住民的味道，辛香料及馬告味濃厚，很適合來一首老人飲酒歌

🍸Gin Tonic -
M&H Levantine Oak aged Gin x 芳味樹地中海通寧水
桶陳過後的琴酒有種威士忌的錯覺，尾韻的蜂蜜奶油香氣讓人留戀

🍹地中海炸裂
柑橘酸甜，順口。但484他會讓人炸裂我不清楚，喝的有點多。

🍹Romos Gin Fizz
傳說中的巴添得殺手，無酒感，微酸甜，這個我可以喝10杯！！！橙花香氣滿滿🥰

🍹Clover club
莓果酸甜，齒間留香，要不是我已經不勝酒力我真的很想把它喝完🥲下次絕對會再點這杯！

🍹禁忌森林
層次感分明，前中後調每層都是驚喜，像是探險一樣，每一口都讓人驚奇。","There are 190 kinds of piano wine in the piano bar of ""Everything"" to ""send"" the piano bar. If you are a piano lover, you should not miss it here!
The piano bar is across the opposite side of the Xiahai Sea City God Temple in the incense. Before you come, you can also say hello to the grandfather and the grandfather of the city, pray that the elderly will bless all the peace and the love affair.
On the first floor of the piano bar is Fleisch Cafe, just walk in bravely!
At 19:00 in the evening, the meal of the downstairs coffee shop was supplied.
There are two types of wine lists, one is Gin Toinc, which is modified by various types of wine; the other is a variety of piano wine adjustment and shop specialty.

-Gin toinc-
Fan Persian small batch of handmade distilled piano wine x Fang -flavored tree connecting bone wood Tong Ningshui
I like the herbal with flower fragrance. This cup will definitely make you full of fragrance and refreshing appetite.

-Gin Tonic-
Jiqin wine x Fangshi Tree Land Zhonghai Tongning Water
The taste of very indigenous people, the spices and horses are strong, which is very suitable for an old man to drink alcohol song

-Gin Tonic-
M & H Levantine Oak aged gin x Fang -flavored tree Land Zhonghai Tongning Water
The piano wine after the bucket has the illusion of whiskey, and the aroma of the honey cream with the rhyme is nostalgic

🍹 Mediterranean burst
Citrus is sweet and sour.But 484 he would make people unclear, and drink a little bit.

Fromos Gin Fizz
The legendary Babian killer, no wine, slightly sour, I can drink 10 cups!IntersectionIntersectionOrange blossom aroma is full 气

LClover club
Berry fruits are sweet and sour, and fragrant between teeth. If I hadn't had wine, I really want to drink it. I will definitely order this cup next time!

🍹The taboo forest
The sense of layering is clear. Each layer of the front, middle and rear is surprised, like an adventure, and every bite is surprising.",False
專業的琴酒專門酒吧，調酒都算有特色的琴酒類，店員也非常會介紹！整個酒吧有三層樓，很像老宅風格的中式風格！但最加分的是播的音樂都是台灣經典流行歌～80年代可以和朋友一邊喝酒一邊玩猜歌遊戲XD,"Professional piano wine special bar, alcoholic bartending is considered special piano wine, and the clerk will also introduce it very much!The entire bar has three floors, which is very similar to the Chinese style Chinese style!But the most score is that the music is all classic popular songs in Taiwan ~ In the 1980s, you can play with friends while playing with friends.",False
琴酒系列，口感很多種，可聽聽店家介紹！,"Qinjiu series, there are many types of taste, you can listen to the store introduction!",False
"第二次來
依舊超喜歡這邊的氛圍
酒跟食物都好吃🥺🥺🥺","For the second time
Still like the atmosphere here
Both wine and food are delicious 都",False
"初訪🍽2022.07

喜歡琴酒的人都推薦來喝一次👍
基本琴蕾十分順口不小心又點了第二杯
全部都是琴酒基底，點酒方式也很特別可惜沒拍到全部的酒單有兩本🤣

離北門站大概十多分鐘的路程，在三樓
店門看起來不像但安心走進去吧😅
生意挺好的建議有需求可以訂位看看

✔️洗手間✔️多元支付
✔️低消一杯飲品🤔記得有10%服務費","First visit 22022.07

People who like Qinjiu are recommended to drink it once
Basic Qin Lei was very smooth and accidentally ordered to order the second cup again
All are the base of the wine, and the way of ordering wine is also very unfortunately that there are two books. There are two books.

About ten minutes away from Beimen Station, on the third floor
The shop door looks unlike but walks in with peace of mind.
The business is very good, it is recommended that there is a need to order

✔️ Hands 元️ Multiple payments
️ Low a cup of drink 🤔 Remember to have 10%service fee",False
"位於城隍廟的斜對面，樓下為咖啡廳，進去要跟店員說是去酒吧。
店員態度很好，bartender更是熱情但無壓力。琴酒種類繁多，難得的是服務員和bartender都對充滿熱情且富有專業知識。
食物方面選擇不多，但下酒菜表現非常好！整體超推薦！","Located on the oblique opposite of Chenghuang Temple, it is a cafe downstairs. When you go in, you have to tell the clerk to go to the bar.
The clerk's attitude is very good, Bartender is more enthusiastic but no pressure.There are many types of piano wine. The rare thing is that both waiters and Bartender are full of enthusiasm and professional knowledge.
There are not many foods for food, but the performance of wine and vegetables is very good!The overall is super recommended!",False
