Original,EN,Needs Review
"☕️西西里咖啡
檸檬味不重，還喝到咖啡豆，差點嗆到，非常扣分⋯

🍮布丁
一開始就點布丁，但店員直接忘記
吃起來酒味重，偏硬，不是期待中的蛋黃香跟入口即化

🍰熔岩蛋糕
巧克力偏甜，但糕體像麵包，不是我的菜
*朋友很喜歡！
-
很多標本很酷，而且用餐環境、廁所都很乾淨
還有漂亮選物可以買

食物價格不高，味道中下，就當來欣賞標本就好！","啡️ Sicily Coffee
The flavor of the lemon is not heavy, and the coffee beans are also drank, almost stunned, very deducted ...

Pudding
Order pudding from the beginning, but the clerk directly forgot
It tastes heavy and hard, it is not the egg yolk incense in the expectation.

🍰 Lava cake
Chocolate is sweet, but the cake body is like bread, not my dish
*Friends like it very much!
-
Many specimens are cool, and the dining environment and toilet are very clean
There are beautiful selection to buy

The price of food is not high, and the taste is in the middle and below. Just appreciate the specimen!",False
"☕️環境很頂很好拍、放了很多標本，飲料也不貴的咖啡廳。

⚠️內用限時90分鐘（不過店員表示只要未客滿不會趕人）。
✅低消為一杯「飲料」。
✅有選物販賣。
⚠️似乎無提供Wi-Fi。
🔌部分座位有插座。
🍹有賣酒。
🕛營業到深夜。
🌟IG打卡+Google評論送火柴（上面有遷鳥陳列所字樣，但我沒拿不知道是不是真的火柴）。

在大稻埕的一間相當有趣的咖啡廳，之前從朋友的IG看到就很想來，因為這家店真的非常好拍，據店員所說幾乎都是從國外買回來的標本，而除了大量的標本外，也有提供一些有創意的選物販賣。

餐點的部分，這次點了一杯鮮奶茶跟一個生乳酪起司蛋糕。鮮奶茶還行，有點兒偏甜就是了，不過鮮奶茶140元的價格（2024.8月），如果單純只是想進來看看標本拍拍照的話其實是不算貴的。
生乳酪起司蛋糕很特別，料給的蠻多的，有藍莓和蓮花餅乾、冰淇淋等等，而且是用杯子盛裝的，看起來有點像聖代。不過蛋糕吃起來很不像起司蛋糕，那口感我一時也忘記了應該叫什麼，氣孔很多、有點像舒芙蕾（？）的口感吧。起司蛋糕是好吃的。
順帶一提，我回家後才發現金額好像不對，我最後是花了330元，但照菜單的正常價格應該是310元，可能有酌收插座使用費（菜單上沒註明）或單純算錯吧。

店內的燈光偏暗，因此如果要用電腦工作或看書的話會比較不太適合，不過畢竟沒無線網路又有限時，定位上應該也不太像工作型咖啡廳。如果是聊天或單純一個人耍耍廢滑滑手機獨處的話，就蠻適合的！

內用座位不多，大概一桌四人、五桌兩人還有吧檯位，不過挺意外地，這次到訪沒有客滿，坐了比較久的時間，不知道是還沒有很多人知道還是我比較幸運。","拍️ The environment is very good, and a lot of specimens are placed, and the drinks are not expensive.

0 ️ Use a limited time for 90 minutes (but the clerk said that as long as it is not full, he won't catch people).
「Low eliminates a cup of"" drink "".
。 There is a choice.
W️ There seems to be no Wi-Fi.
座 Some seats have sockets.
🍹 Selling wine.
🕛 Open until late at night.
GIg Pickings+Google Comments to send matches (there is the word movement of the bird display on it, but I don't know if it is a real match).

In a very interesting cafes in Dadaocheng, I thought about it from my friend's IG, because this shop is really good to shoot. According to the clerk, almost all of them are specimens bought from abroad, except for In addition to a large number of specimens, there are also some creative vendors.

For the meal, this time ordered a cup of fresh milk tea and a raw cheese cheese cake.Fresh milk tea is okay, it is a bit sweet, but the price of 140 yuan of fresh milk tea (2024. August). If you just want to come in and see the specimen to take pictures, it is not expensive.
The raw cheese cheese cake is very special. There are quite a lot of ingredients, including blueberries and lotus biscuits, ice cream, etc., and they are installed with cups, which look a bit like the holy generation.However, the cake is not like the cheese cake. I also forgot what it should be called for a while. There are many pores and a bit like Shullele (?).The cheese cake is delicious.
By the way, I found that the amount seemed to be wrong when I went home. I spent 330 yuan in the end, but the normal price of the menu should be 310 yuan. Wrong.

The lights in the store are darker, so it will be less suitable if you want to work or read a book, but after all, when the wireless network is limited, the positioning should not be like a working coffee shop.If you are chatting or simply playing alone, it is quite suitable!

There are not many seats in the inside. About four people in one table, five tables, and the location of the two people, but it is very unexpected. This visit is not full. I have been sitting for a long time. I am lucky.",False
"店內氛圍很舒適！而且開很晚很讚廁所內很幽默😆

▫️流動的饗宴：泡泡很扎實綿密，整體很好喝！酒味不會太重，很清爽～","The atmosphere in the store is very comfortable!And it is very late to open very late. The toilet is very humorous 😆

宴️ Flowing feast: Bubbles are very solid, and the overall is delicious!The taste of wine is not too heavy, very refreshing ~",False
很酷的店，超好拍的，咖啡也很好喝，但店內燈光風格較為昏暗，要找咖啡廳看書工作的人不適合唷,"Very cool shop, super easy to shoot, coffee is also delicious, but the lighting style of the store is relatively dim. It is not suitable to find a coffee shop to read books.",False
"真的是非常有質感的一家店～
一定超過五顆星🌟🌟🌟🌟🌟
它們的咖啡很好喝☕️

重點是甜點～～～
也太厲害好吃了吧！
勵志要來吃遍每一道甜點🤤
環境好氣氛佳服務親切
值得再訪❤️","It is really a very textured shop ~
There must be more than five stars
Their coffee is delicious 咖️

The point is dessert ~~~
It's too good and delicious!
Inspirationing to eat every dessert 🤤
Good environment, good atmosphere, good service
It's worth visiting ❤️",False
"在迪化街下方很酷的一間咖啡廳&酒吧

裡面有滿滿的動物、昆蟲標本
全是老闆的收藏！！
而且燈光氛圍做的很好

每個動物都超美超還原
很厲害的是大型動物居多！
栩栩如生的樣子
個人是不覺得恐怖啦🤣

進去時店員會解說規則！
展示標本皆不能觸碰！！！
不過可以看到平常看不到的動物很棒捏！

有販售茶飲、咖啡、簡餐、酒飲
\低消1杯飲品/
點了  海鹽焦糖拿鐵超好喝👍
酒飲品項滿多的！可以來小酌邊享受氣氛喔~
似乎還有2樓，沒上去，但有看到人下來

氣氛滿滿很有特色的一間店~","A coffee shop & bar in the cool below Dihua Street

There are full animals, insect specimens
It's all the bosses' collection!Intersection
And the light atmosphere is done well

Each animal is super beautiful to restore
Very powerful are large animals!
His lifetime
Personally don't feel horrible

When you enter, the clerk will explain the rules!
Show the specimen and you can't touch it!IntersectionIntersection
But you can see that the animals that you usually can't see are great!

There are tea, coffee, simplified meals, and wine
\ Low Small 1 Cup Drink/
Order the sea salt caramel with iron and super delicious
There are many wines!You can enjoy the atmosphere while drinking ~
There seems to be on the second floor, but I didn’t go up, but I saw someone down

The atmosphere is full of distinctive shops ~",False
"【叢林野獸派里的一杯冰咖啡】
微服出巡來到迪化街的巷子里～
一間有粉多動物標表本&有Layout的
咖啡館里喝杯冰咖啡。
進店時發現客人還真多！
還好看見吧台還有座位，
但后面來的客人就必須要等位了。
和煮咖啡的刺青店員美少女聊天才知～
原來對面的渡鴉選物 古物古着店
也是咖啡館老板開的，
難怪風格&味道Tone調超像的。。。。。
@台北 遷鳥陳列所","[A cup of ice coffee in the jungle beast faction]
Weifang out of the alley of Dihua Street ~
One with a pink and multi -animal benchmark & ​​Layout
Drink a cup of ice coffee in the cafe.
When entering the store, I found that there are so many guests!
Fortunately, there are seats in the bar,
But the guests who come later must wait.
I know the beauty girl who cooks coffee tattoo clerk ~
It turned out that the opposite crow selected antiques and antiquities ancient belongings
It was also opened by the cafe owner,
No wonder style & flavors tone supercites.EssenceEssenceEssenceEssence
@",False
"調酒很好喝,每次都會來的酒吧！^_^
尤其最喜歡「死亡翻滾」這杯調酒，酒精濃度剛好適中、風味有層次，還有推薦「六分之一」輕鬆好喝。
牧羊人派很燙超好吃店員妹妹用心製作。
蘭姆酒布丁神之綿密香氣十足好好ㄘ。
脆皮卡士達泡芙是吃過最好吃的泡芙是限量要搶😍","The bartending is delicious, every time you come to the bar!^_^
In particular, I like the cup of ""Death Rolling"". The concentration of alcohol is just suitable for medium, the flavor is layered, and it is recommended that ""one -sixths"" are easy to eat and delicious.
The shepherd is very hot and delicious.
The dense aroma of Rim pudding god is full of good aroma.
The crispy pickupsda puff is the best puff that has been eaten.",False
"宛如博物館的標本陳列室，融合科學和藝術工匠，栩栩如生的動物標本，細緻的連毛髮都綻放著生命力。

來訪前本來擔心數多動物標本，會有種詭異的感覺，但實際上是協和的寧靜感。蝴蝶展翅、小鳥站立在樹梢，保留生命的軌跡，有種侘寂之美。

遷鳥陳列所一路從下午營業到深夜，可以喝咖啡、調酒配著滷肉飯或是甜點。在身處叢林版的博物館，吃著鹹香開胃的滷肉、滑順清爽的生乳酪起司蛋糕、紮實口感的焦糖藍姆酒布丁，喝著西西里咖啡和海雀 (調酒)，是個非常有趣的體驗。

親切的主理人和夥伴，想多了解標本的細節，他們都很樂意協助解答。一日遊的迪化街，就從遷鳥陳列所開始，融合藝術的五感體驗，再到巷弄散策探索。

𓍲 𓍱

𝐇𝐚𝐯𝐞 𝐲𝐨𝐮 𝐞𝐯𝐞𝐫 𝐝𝐢𝐧𝐞𝐝 𝐚𝐭 𝐦𝐮𝐬𝐞𝐮𝐦?

𝐂𝐚𝐛𝐢𝐧𝐞𝐭 𝐨𝐟 𝐌𝐢𝐠𝐫𝐚𝐧𝐭𝐬 𝐢𝐬 𝐚 𝐜𝐚𝐟𝐞 𝐚𝐧𝐝 𝐚𝐥𝐬𝐨 𝐚 𝐛𝐚𝐫 𝐰𝐡𝐞𝐫𝐞 𝐢𝐬 𝐟𝐮𝐥𝐥 𝐨𝐟 𝐚𝐧𝐢𝐦𝐚𝐥 𝐬𝐩𝐞𝐜𝐢𝐦𝐞𝐧 𝐜𝐨𝐥𝐥𝐞𝐜𝐭𝐢𝐨𝐧. 𝐈𝐭’𝐬 𝐚𝐧 𝐢𝐧𝐭𝐞𝐫𝐞𝐬𝐭𝐢𝐧𝐠 𝐞𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞 𝐭𝐨 𝐬𝐢𝐩 𝐜𝐨𝐟𝐟𝐞𝐞 𝐨𝐫 𝐜𝐨𝐜𝐤𝐭𝐚𝐢𝐥 𝐚𝐧𝐝 𝐡𝐚𝐯𝐞 𝐦𝐞𝐚𝐥 𝐨𝐫 𝐝𝐞𝐬𝐬𝐞𝐫𝐭 𝐢𝐧 𝐚 𝐦𝐮𝐬𝐞𝐮𝐦 𝐯𝐢𝐛𝐞.","Like the museum's specimen display room, integrates science and art craftsmen, lifelike animal specimens, and the delicate hair blooms with vitality.

Before the visit, I was worried that the number of multiple animal specimens would have a weird feeling, but it was actually a sense of peace.Butterfly wings and birds stand on the treetops, retaining the trajectory of life, and there is a kind of silence.

From the afternoon to the middle of the night, you can drink coffee, bartender with braised pork rice or dessert.In the jungle version of the museum, eating salty and appetizing braised pork, smooth and refreshing raw cheese cake, solid caramel bluemum pudding, drinking Sicily coffee and bird (bartender). Very interesting experience.

Careful principals and partners, they want to know more about the details of the specimen, they are happy to assist in answering.The day trip Dihua Street, starting from the Relocation Bird Exhibition Center, integrating the five -sense experience of art, and then exploring the lane.

𓍲 𓍲 𓍲

𝐝𝐢𝐧𝐞𝐝 𝐝𝐢𝐧𝐞𝐝 𝐞𝐯𝐞𝐫 𝐚𝐭 𝐦𝐮𝐬𝐞𝐮𝐦 𝐦𝐮𝐬𝐞𝐮𝐦?

𝐢𝐬 𝐢𝐬 𝐌𝐢𝐠𝐫𝐚𝐧𝐭𝐬 𝐚 𝐜𝐚𝐟𝐞 𝐜𝐚𝐟𝐞 𝐚𝐥𝐬𝐨 𝐚 𝐛𝐚𝐫 𝐰𝐡𝐞𝐫𝐞 𝐟𝐮𝐥𝐥 𝐨𝐟 𝐚𝐧𝐢𝐦𝐚𝐥 𝐬𝐩𝐞𝐜𝐢𝐦𝐞𝐧 𝐬𝐩𝐞𝐜𝐢𝐦𝐞𝐧.",False
"台北市愛店之一( ´͈ ᵕ `͈ )◞♡
在這邊刺青又可以在一樓享受沒有小孩打擾的地方

( •̀∀•́ )✧曠野好好喝喔","One of the love shops in Taipei City (ᵕ ᵕ `͈) ◞♡
Tattoo here can enjoy places without children on the first floor

(• ́ • ✧) ✧ The wilderness is so delicious",False
