Original,EN,Needs Review
"茶類都非常好喝，老闆跟老闆娘人超熱情大方！
茶啤酒很讚，有特色。
茶拿鐵可以問問看能不能半糖，有時候喝起來太甜哈哈哈，但茶香味超濃！

招牌菜 麵包 熱狗炒飯 骰子牛 雞翅 茶凍都很好吃
麵包的大蒜香很夠味，熱狗脆脆的超好吃
骰子牛給超多洋蔥超讚🤤

雞翅微辣，但烤的酥酥脆脆的，香辣香辣的很配酒！🤩
茶凍是配檸檬汁，要能接受酸的再點哦！

整體而言超級推薦！！","Tea are very delicious, the boss and the boss are super enthusiastic!
Tea beer is very good and characteristic.
Tea latte can ask if it can be semi -sugar, sometimes it is too sweet to drink hahaha, but the tea flavor is super strong!

Signature dishes, bread dog fried rice fried rice dice, chicken wings tea frozen is delicious
The garlic of the bread is delicious enough, the hot dog is crispy and delicious
Dice beef gives too much onion

Chicken wings are slightly spicy, but the grilled crispy and crispy, spicy and spicy are very good at wine!Bleak
Tea frozen is a lemon juice, and you can accept the sour!

Overall, it is super recommended!Intersection",False
"溫馨的小酒館，板娘親切，老板用心，餐點精心，也很注重服務的細節，尤其五星級的洗手間，清潔程度令人驚驗！

推薦德式香腸，雞胸套餐，配人參茶或梅酒，百香冰酒，風味絕佳，高貴不貴！","The warm tavern, Ban Niang is kind, the boss is attentive, the meals are carefully, and the details of the service are also focused on the service. Especially the five -star toilet, the degree of cleaning is amazing!

Recommended German sausage, chicken breast set, partner ginseng tea or plum wine, Baixiang ice wine, excellent flavor, noble and not expensive!",False
乾淨整潔明亮衛生，老板很親切。產品多元化，咖啡、酒、茶都很棒，平價且CP值高。還提供簡餐、室外座位。在忙碌都市裡，可供休憩、聊天的去處。,"Clean, neat and hygienic, the boss is very kind.The product is diversified, coffee, wine, and tea are great, cheap and CP value is high.It also offers simple meals and outdoor seats.In a busy city, you can go to rest and chat.",False
老闆和闆娘非常熱情親切，是一個讓人放鬆的地方，氣氛好、餐點CP值高、調酒也好讚，下次還要繼續約朋友來坐坐！！,"The boss and Ban Niang are very enthusiastic and kind. It is a relaxed place. The atmosphere is good, the CP value of the meal is high, and the bartender is also good. I will continue to ask friends to sit next time!Intersection",False
"酒師傅有專利的蒸餾酒機器，可以接受委託生產各類台灣農作物的酒，例如牛蒡酒，日本人非常愛，還有香菇酒，咖啡酒，黑豆酒，枸杞酒，五穀酒…等等，養身又健康，在我喝酒30年以上的經驗裡，是非常難得的經驗。

樓下還有小型聚會的場地可供租借。","The wine master has patented distilled wine machines that can accept wines that commission various types of Taiwanese crops, such as beef wine, Japanese people love them very much, as well as shiitake wine, coffee wine, black bean wine, wolfberry wine, grain wine, etc. He is healthy and has a very rare experience in my experience of drinking for more than 30 years.

There are also small gatherings downstairs to rent.",False
酷熱的夏天、只要走進酒師傅就能讓你忘卻紛紛擾擾、看看這些美食+美酒咖啡、令人垂涎欲滴。,"In the hot summer, as long as you enter the wine master, you can forget you to disturb, look at these foods+wine coffee, and mouth watering.",False
"服務非常親切，酒品好喝、氛圍放鬆
10/10","The service is very kind, the wine is delicious, the atmosphere is relaxed
10/10",False
老闆 人好、親切、又熱情！,"The boss is good, kind, and enthusiastic!",False
老闆跟闆娘都很親切喔！即使只是外帶一杯咖啡也是熱情招呼，可惜上班中不然就可以試喝酒,"The boss and Ban Niang are very kind!Even if you just take a cup of coffee, you are enthusiastic. Unfortunately",False
去買酒的，服務很好，老闆熱情招待試喝，親切的感覺讓你不會有一定要買的壓力。帶了兩瓶都很喜歡，可以試喝滿意再買真的很棒,"If you buy wine, the service is very good. The boss enthusiastically entertains to try drinking. The kind feeling makes you not have the pressure to buy.I like it with two bottles, you can try to drink it and buy it.",False
"老闆娘人超好❤️
原本只點吃的配水喝，老闆娘就免費泡了梔子綠茶給我們喝，不苦又香🍵很順口！","The boss is super good ❤️
Originally, I only ordered the water to drink, and the boss made the gardenia green tea for free for us to drink.",False
老闆人很好，裡面不是只有酒，也有茶＆餐點，餐點適合食量沒有很大的人，不錯吃，價格也不高。另有茶凍，很好吃，路過可以進去晃晃，很不錯！,"The boss is very good. There is not only wine in it, but also tea & meals. The meal is suitable for people who are not very large.There are also tea frozen, which is delicious. You can go in and shake, very good!",False
"老闆和老闆娘都非常親切，
除了介紹店內各種不同的酒類，也很熱情招待
還有店家自製的酒，風味獨一無二

有經過別錯過","Both the boss and the boss are very kind,
In addition to introducing various alcohol in the store, it is also very enthusiastic about hospitality
There are also self -made wine of the store, with unique flavor

Don't miss it",False
老闆＆老闆娘，非常熱情，餐點非常好吃，非常用心招待每位客人！👍👍👍 …,"The boss & boss, very enthusiastic, the meal is very delicious, and entertains each guest very carefully!👍👍👍 👍👍👍 ...",False
酒品種類繁多，老闆及老闆娘服務熱情,"There are many types of wines, the enthusiasm for service of the boss and the boss",False
"優質的店
餐點好吃
產品多元化
服務親切","High -quality shop
Meal delicious
Diversified product
Intimate service",False
產品應有盡有，服務很好很親切，說明很清楚,"The product is everything, the service is very good and kind, it means that it is clear",False
老闆跟老闆娘，親切熱情。,The boss and the boss are kind and enthusiastic.,False
喜歡台灣生產的酒的人不能不去。,Those who like wine produced in Taiwan must not help but go.,False
老板推薦的都好喝,The boss recommended,False
熱誠 健談貼心的老闆,Enthusiastic about the boss,False
，老闆平易近人，服務親切。,The boss is approachable and has a kind service.,False
酒香人善，物美價實👍👍👍 …,"The wine fragrance is good, the quality of the material is real ...",False
老闆服務親切,Boss service kind,False
價格便宜盤商,Cheap Pan Merchant,False
居家型的酒專。,Home -type wine college.,False
優秀商家,Excellent merchant,False
強烈推薦。如果你在台北，你一定要去他們的店。您可以一邊喝咖啡、茶、啤酒、葡萄酒一邊休息、放鬆，還可以為自己的肚子充電。老闆和老闆娘人很好，很友善。,"Strongly recommended.If you are in Taipei, you must go to their shop.You can rest, relax while drinking coffee, tea, beer, and wine, and you can also charge your belly.The boss and the boss are very good and friendly.",False
"我在這裡度過了台北的第一天。一家出售新鮮啤酒和各種酒精飲料的商店，是在裡面的酒吧或外面的椅子上快速喝一杯的好地方。
剛到，就下起了大雨，喝酒更開心了^^","I spent the first day of Taipei here.A shop selling fresh beer and various alcoholic beverages is a good place to quickly drink a cup on the bar or outside chairs.
As soon as I arrived, it was raining, and it was happier to drink ^^",False
谷歌將其列為“啤酒吧”……事實並非如此。  這是一家葡萄酒和烈酒銷售商，後面有一個小座位區。它看起來非常令人愉快，但並不是大多數人所說的啤酒吧。,"Google lists it as a ""beer bar"" ... is not the case.This is a wine and liquor seller, with a small seating area behind.It looks very pleasant, but not the beer bar most people call.",False
當地飲酒場所，多種選擇液體酒…,"In the local drinking ground, a variety of choices of liquid wine ...",False
