Original,EN,Needs Review,Positive,Negative,Neutral,Compound
近年來餐酒館林立，不過真材實料的料理也是不少，在颱風夜與三五好友來吃好吃的 搭配啤酒小酌，氣氛也很不錯，推薦可以預約來品嚐,"In recent years, the restaurant has been linked, but there are also many dishes of real materials. On Typhoon Night and three or five friends to eat delicious beer drinks, the atmosphere is also very good. It is recommended to make an appointment to taste it to taste it.",False,0.259,0.0,0.741,0.9493
"每次來到ABV都有超過三百種獨特精釀啤酒選擇，選擇障礙真的都想喝啦，這次朋友聚會主題，推出超浮誇巨無霸的25人份海鮮燉飯，還有超過50公分長土耳其肉串，上桌驚呼連連，好吃好玩又好拍。

煙花女什錦海鮮，滿滿海鮮配煙花女醬料，獨特鹹香酸辣多重推疊，強烈嗆濃鮮嗜辣者會愛

火烤派對拼盤跟炸物派對拼盤都很適合拿來分食，魷魚皮酥內彈吃起來很有咬勁，雞翅是皮薄肉嫩骨肉很好分離，起司醬濃郁乳香豐厚推搭薯條!

斯拉夫尼亞披薩中間半熟蛋劃破後蛋液超療癒，餅皮薄脆帶鹹味燻香氣十足。

經典西班牙海鮮鍋飯酸甜茄汁融入長米Q彈米心，土耳其阿達納卡博烤肉串用牛羊肉混合烘烤肥瘦均衡，聚餐超級適合!","Every time I come to ABV, there are more than 300 unique craft beer options. I really want to drink the obstacles. Turkish meat skewers, exclaimed on the table, delicious, fun and easy to shoot.

Fireworks female assorted seafood, full of seafood with fireworks female sauce, unique salty sour sour pushing and stacking, strong thick and hot and spicy people will love

The fire grill party platter and fried parties are suitable for food. The squid skin is very bitter. The chicken wings are thin skin and tender and flesh, and the cheese sauce is rich in milk and rich.

After the semi -cooked eggs in the middle of the Slavian pizza cut, the egg liquid was healed, and the cake skin was fragrant with a thin and salty flavor.

Classic Spanish seafood pot sour and sweet eggplant juice incorporates long rice q poke rice heart, Turkish Ada Kaba barbecue skewers are mixed with beef and mutton baked fatty balance, and the dinner is super suitable!",False,0.211,0.062,0.727,0.9854
"餐前麵包可續加，啤酒種類非常多。
這次點了四道都很推薦：
1.法式牛肝菌洋蔥燉牛筋：洋蔥湯基底，燉得非常軟嫩的肉。
2.經典西班牙海鮮飯：帶米心的飯，滿滿海味。
3.鯷魚辣炒蝦：泡在蒜辣油裡的蝦仁，忍不住續加麵包，搭配蒜辣油享用。
4.酥炸魷墨：皮厚炸很酥，沾醬解膩。

用餐環境偏吵雜。適合聚餐。
服務很親切，上菜很快，餐點口味都不錯，有機會再來。","The bread in front of the meal can be added, and there are many types of beer.
I recommend four ordered this time:
1. French beef liver onion stewed beef tendon: onion soup base, stewed meat with very soft and tender.
2. Classic Spanish seafood rice: rice with rice heart is full of seafood.
3. Dragrus spicy stir -fried shrimp: Shrimp soaked in garlic oil, can't help but add bread, and enjoy with garlic oil.
4. Crispy squid ink: The thick fried frying is very crispy, and the dipping sauce is greasy.

The dining environment is noisy.Suitable for dinner.
The service is very kind, the food is fast, the taste of the meal is good, and there is a chance to come again.",False,0.146,0.012,0.843,0.9607
"餐酒館的店內燈光溫暖
營造出親切舒適的氛圍
適合朋友相約小酌暢所欲言
這次我們點了3-4人分享餐 $2389
套餐份量非常多，CP值很高
開胃菜、沙拉、炸物、副食、披薩
西班牙鍋飯、下酒菜x2
菜單上有很多選擇可自行搭配
聚餐小酌的好地方～～～","The lights of the restaurant's shop are warm
Create a kind and comfortable atmosphere
Suitable for friends to meet and drink smoothly
This time we ordered 3-4 people to share meals for $ 2389
There are a lot of packages, and the CP value is very high
A appetizers, salads, fried objects, non -food, pizza
Spanish pot rice, wine and vegetables x2
There are many choices on the menu to match them by yourself
A good place for dinner ~~~",False,0.228,0.0,0.772,0.9601
久違再來，菜色ㄧ樣棒，喜歡不同啤酒風味的來這裡都能找到喜歡的。也可以直接跟服務人員說偏好，可愛的妹妹很會介紹，而且非常細心，會默默觀察記下我們的討論，依需求鋪不同酒杯、上酒，非常專業。謝謝讓我們今天有愉快的時光：）,"Come again for a long time, the dishes are like good, and those who like different beer flavors can find it here.You can also tell the service staff directly. The cute sister will introduce it very much, and it is very careful. She will silently observe our discussion. It is very professional to spread different wine glasses and wines according to needs.Thank you for letting us have a happy time today :)",False,0.231,0.0,0.769,0.9552
"餐點佳，個人推薦酥炸魷墨和吉拿棒。
店員很有耐心的推薦啤酒，服務很棒！
3～4人套餐份量很足，建議人多再點。","The meal is good, I personally recommend crispy fried squid ink and Ji Genju.
The clerk is patiently recommended beer, and the service is great!
The set meal of 3 to 4 people is sufficient, and it is recommended to order more.",False,0.266,0.0,0.734,0.908
餐點都非常好吃，很特別，我超喜歡。餐前會送蒜烤麵包很好吃，點波德燉魚湯，湯濃魚味濃好喝，唯一不愛吃淡海。點蛤蜊煮豬肉，蜂蜜香料豬肉串，烤雞小米，蒜味奶油墨魚汁鍋飯，飯多卻不膩很好吃，豬肉串超大串很夠味，每道餐都很經典很好吃，下次會想再來。,"The meals are very delicious, very special, I like it very much.It will be delicious when you send garlic to grilled bread before the meal. Potal stewed fish soup. The soup is thick and delicious.Claded pork, honey spice pork skewers, grilled chicken millet, garlic cream creamy fish juice pot rice, but not greasy rice is delicious, the pork skewers are very large enough, each meal is classic and delicious, next time Will want to come again.",False,0.228,0.0,0.772,0.9607
"餐點口味都很不錯，鮪魚沙拉、有個鐵鍋的蝦子跟披薩都好吃～松露飯口味稍淡，套餐份量吃的超級飽！！即拿棒巧克力醬有點辣辣的，很特別。
酒類種類很多，但服務人員蠻冷淡站在冰箱前許久也不會主動介紹，所以其實不太知道怎麼選酒，就只能選安全牌～
餐廳氣氛很好，座位也很舒適","The taste of the meal is very good. The catfish salad, the shrimp with an iron pot and the pizza are delicious.IntersectionIt is a bit spicy with a stick chocolate sauce.
There are many types of alcohol, but the service staff will not take the initiative to introduce it for a long time in the refrigerator, so in fact, I don’t know how to choose the wine, so I can only choose a security card ~
The restaurant atmosphere is very good, and the seats are very comfortable",False,0.146,0.0,0.854,0.9369
"五顆星給精釀啤酒！
雖然沒有標價而且啤酒價格約落在200-300頗貴，但店員依照我喜歡的口味推薦的啤酒，喝得到有水果發酵的酸甜味，還有紅酒般的滋味（甚至還有巧克力味），實在是我這輩子喝到最好喝的啤酒。

西班牙馬鈴薯蛋很有份量，吃很飽。","Five stars for craft beer!
Although there is no price and the price of beer is quite expensive at 200-300, the beer recommended by the shop clerk can drink the sweet and sour taste of fruit fermented, and the taste of red wine (even chocolate). It is really the best beer in my life.

Spanish potato eggs are very weighty and eat very full.",False,0.133,0.031,0.836,0.8111
公司聚餐，每道菜的調味都差不多，啤酒種類很多，收集上面的貼紙可以換料理，國父紀念館捷運站走路3分鐘，交通方便,"The company's meals, the seasonings of each dish are similar, there are many types of beer. Collecting the above stickers can be changed.",False,0.0,0.0,1.0,0.0
