Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"這裡的調酒都蠻輕鬆的～
很適合下班小酌或嗨起來前的暖身！
不得不說他們的特調的菜單很帥，而且資訊很清楚，不太會點到自己不喜歡的酒","The bartender here is quite easy ~
It is very suitable for getting off work or warm up before you get up!
I have to say that their special menu is handsome, and the information is very clear.",False,0.301,0.0,0.699,0.9213
"非常好吃，酒好喝，東西好吃。

非常感謝烏龍麵做鍋邊素，多加了山藥和洋蔥，非常好吃。

忘記投票，要投給很會做料理的眼鏡廚師。
特調也非常好喝。

喜歡隨興但是不馬乎的Bar宮，會再帶朋友去光顧。","Very delicious, delicious wine, and delicious things.

Thank you very much for making pots of pots, adding yam and onions, which are very delicious.

Forgot to vote, to vote for glasses chef who can cook.
The special tone is also very delicious.

I like the BAR Palace, which is unhappy but unhappy, and will take friends to patronize again.",False,0.291,0.074,0.635,0.924
明太子炒烏龍麵裡面的蛋和麵條交織在一起很好吃～有酒卡可以選自己想要的酒，當天老闆也讓我們試了一點不同的酒。店內的音樂以台灣獨立樂團為主（美秀、傻子與白痴、理想渾蛋），也有一些較有節奏感的國外音樂。食物點內特色是烤魚，不過我與友人首推明太子炒烏龍麵。,"The Ming Prince's fried oolong noodles are delicious together ~ there is a wine card to choose the wine we want, and the boss also let us try a little different wine that day.The music in the store is mainly based on the Taiwan Independence Orchestra (Meixiu, Fools and Idoms, and ideal Bhomo), and there are also some rhythmic foreign music.The specialty in the food is grilled fish, but I first pushed the prince to fry the oolong noodles with my friends.",False,0.111,0.024,0.866,0.775
"結合日式居酒屋的餐酒館，食物蠻日式的也算好吃，單價都蠻便宜的不過份量也蠻少的。
酒的選擇多樣，除了經典調酒外，還有一些酒是撲克牌上才有的，也很特別。
土星：酒感比較重
Silver Fizz：好喝的基本款，但冰塊太大，融化後酒味淡了很多

一般大桌的座位燈光暗暗的，但蠻有質感，應該蠻適合約會，坐吧台則明亮很多，而且吧台座位完全不會擠，很加分！
整體而言都蠻滿意，是會願意再訪的酒吧","Combined with the Japanese -style dining tavern, the food is quite delicious, and the unit price is quite cheap but the portion is quite small.
The choice of wine is diverse. In addition to the classic bartending, there are some wines that are only available in poker cards, which is also very special.
Saturn: The wine feels heavy
Silver FIZZ: The basic model of delicious, but the ice cubes are too large, the taste of the wine after melting is much faded

Generally, the seat lights of the large table are dark, but it is quite textured. It should be quite suitable for dating. Sitting on the bar is much brighter, and the seats of the bar are not crowded at all, very bonus!
Overall, I am quite satisfied, it is a bar that I will be willing to visit again",False,0.154,0.0,0.846,0.9789
這邊很舒適和適合想放鬆小酌一下,It's very comfortable and suitable for relaxing and drinking here,False,0.459,0.0,0.541,0.7778
"今天是5人晚上聚餐，對內氣氛很好，座位舒適寬敞，燈光偏暗適合聊天喝酒，店員服務也很好，會解說產品和主動到桌點餐，並給予建議。
我今天點了003-Juguroni，一杯由巧克力、黑糖和琴酒的調酒，一款不會太甜，但有黑糖和巧克力香氣的酒款，搭配琴酒基底，酒感算重，喝起來很有感覺。後來又點了004-Matcha，叫做甜的抹茶，偏甜但不會太甜，是可接受的口感，整體酒感偏淡，比較適合重口感和甜味的朋友。
餐點部分點了明太子烏龍麵、炸雞、明太子山藥、薯條、雞軟骨、水餃、花魚、玉子燒和豬頭皮，份量都偏精緻，尤其是炸物，個人覺得水餃很好吃，玉子燒、花魚也很讚，花魚挺多汁的，山藥和薯條口感也很好，豬頭皮很配酒，炸雞和雞軟骨就比較一般。整體而言是個放鬆小酌聚會的好地方👍👍👍","Today is 5 people dinner at night. The internal atmosphere is very good, the seats are comfortable and spacious, the lights are darker suitable for chatting and drinking. The clerk service is also very good. They will explain the products and actively go to the table to order and give suggestions.
I ordered 003-juguroni today. A cup of bartending by chocolate, brown sugar and piano wine. A wine that will not be too sweet, but with the wine with brown sugar and chocolate. Feeling.Later, I ordered 004-matcha, called sweet matcha, which is sweet but not too sweet. It is acceptable taste. The overall wine feels light, which is more suitable for friends with heavy taste and sweetness.
Part of the meal ordered the Ming Prince Oolong Noodle, Fried Chicken, Ming Prince Yam, French fries, chicken cartilage, dumplings, flowers, fish, and pig scalp. Yuzi roasted and flowers and fish are also very good. The flowers and fish are very juicy, and the taste of yam and fries is also very good. The pig's scalp is equipped with wine, and fried chicken and chicken cartilage are more average.Overall is a good place to relax and drink.",False,0.193,0.028,0.779,0.9903
triangle 那杯類長島好好喝，酒感足～抹茶紅豆倒是有點普通又微苦，不過點了很多杯其實都有及格，食物的份量比較少，也沒有招待shot，整體就還可以，但酒吧本身好像比較沒有特別凸顯的特色～,"Triangle's cup of long island is good, and the wine is sufficient ~ Matcha red beans are a bit ordinary and slightly bitter, but many cups have passed the passage, the food has less portion, and there is no way to entertain Shot. It seems that there is no particularly prominent feature ~",False,0.079,0.165,0.756,-0.6526
"調酒種類算多元，基酒品質不差，但整體口感未留下深刻印象。如果平日想跟朋友下班可以舒服的一起喝兩杯聊聊天，不希望過度喧鬧，這裡是不錯的選擇；但如果也十分在意酒是否好喝的話可能會有點失望。

餐點類：嘗試過炸雞軟骨以及明太子薯條，個人認為都蠻普通，就是一般的炸物，且炸的功力也是一般般","The type of bartending is diverse, and the quality of the base is not bad, but the overall taste is not impressed.If you want to drink two glasses to chat together with your friends on weekdays, you don't want to be overly noisy, here is a good choice; but if you also care about whether the wine is delicious, it may be a bit disappointed.

Meal category: I have tried fried chicken cartilage and Ming Prince French fries. I personally think that they are quite ordinary.",False,0.183,0.084,0.732,0.9247
"地點在東區很方便
但餐點跟酒個人都覺得就是中規中矩
沒有什麼太驚豔的地方","The location is very convenient in the East District
But meals and wine personally feel that it is quite satisfactory
There is nothing too amazing",False,0.12,0.133,0.747,-0.1074
"新開一陣子的酒吧
看到滿多人推薦

酒單是用一張一張卡片呈現
蠻酷的，但說實在有點不容易看哈哈
還是直接問店員喜歡的類型比較快

當天是週五晚上21:00左右來
都還有位子，但人非常多
蠻吵雜的，沒想到是這樣的風格
喜歡比較 Chill / 安靜的可能不那麼適合

Bartender 服務真的非常好
一開始倒水的時候就先跟我們說不好意思
可能會等比較久
後來真的等比較久還有請我們喝 Shot
定期會確認酒的品質好不好
覺得蠻用心的！

酒的品質不錯！調的很用心

下次如果找比較多朋友很嗨
可能會想來這","Newly opened bar for a while
See many people recommend

The wine list is presented with one card one by one
It's cool, but it's not easy to see haha
I still ask the shopkeeper's favorite type faster

The same day came around 21:00 on Friday night
There are still seats, but there are many people
It's pretty noisy, I didn't expect it to be such a style
Those who like more chill / quiet may not be so suitable

Bartender service is really good
When I poured water at the beginning, I would be embarrassed to us first
May wait a long time
Later, I really waited for a long time and asked us to drink shot
It will be confirmed regularly that the quality of the wine is good?
I feel pretty care!

The quality of wine is good!Very careful

If you look for a lot of friends next time
May want to come here",False,0.227,0.044,0.73,0.9885
