Original,EN,Needs Review,Positive,Negative,Neutral,Compound
Church Taipei 一樓白天是豐盛伊甸園韓國烤肉，很好吃！很喜歡老闆的健康概念，裝潢也很美帶朋友來拍照都好美,"The first floor of Church Taipei is the Korean barbecue of Garden of Eden, which is delicious!I like the health concept of the boss very much, and the decoration is also beautiful to take friends to take pictures.",False,0.219,0.0,0.781,0.8687
在台北抽水煙的經歷也不少，但沒抽過這麼難抽的水煙跟像藥水的調酒，我點的是薄荷口味水煙，完全沒有薄荷的味道，抽起來乾乾澀澀很不舒服，想喝冰水順順喉，結果半小時才送來😰😰一個服務生服務兩桌客人不至於很忙吧😒😒,"There are a lot of experience in smoking cigarettes in Taipei, but I have n’t smoked such a difficult water cigarette and sibewa like a potion. Drinking ice water smoothly, as a result, it was only half an hour to send a waiter to serve the two tables of guests.",False,0.06,0.06,0.881,0.0
在台北市區的靜巷這家很棒的餐酒館，燉飯義大利麵跟炸物還有調酒都很棒，平常很少吃的燉飯今天在這裡點的嫩煎雞腿排松露燉飯真的超級愛，年輕老闆跟服務生親切又熱情也招待了幾次調酒滿滿的誠意，店裡風格屬於新古典氛圍不錯，旁邊就是停車場很方便.這次沒有點的下次來我要點最愛的炸物拼盤.,"In the great dining tavern in Jingxiang, Taipei City, the pasta stewed pasta, fried, and bartending are great. I rarely eat stewed rice. Today, the tender chicken legs here are paddling and dew -stewed rice. Really super love, the young boss and the waiter are kind and enthusiastic about the sincerity of bartending. The style of the store belongs to the neoclassical atmosphere, and the parking lot is convenient. Points to the favorite explosive platter.",False,0.28,0.0,0.72,0.9808
"身為台北人不可能沒來過Church Taipei
老闆和藹可親，招待周到，員工都是帥哥美女，素質👍逢年過節選擇Church Taipei 準沒錯🥰

門口外面木質感桌椅擺放+吊燈裝飾氣氛滿點！喝多了一個人坐在這邊吹吹風很舒服😌

首先大門辨識度極高，這裡就是教堂！一樓歐式咖啡廳裝潢，綠色的餐椅配上白桌子，質感up up!!!（個人很愛綠色XDD)

走到最裡面左轉下樓的樓梯間又是一個不同的空間，有滿牆的鏡子很好拍照🤳

推門進去是B1的酒吧空間，有大沙發包廂區跟雙人對坐區以及吧台區，調酒好、好拍照，開酒在這邊談戀愛也很有氣氛❤️‍🔥

（我喜歡Church桌燈XD當背景拍照讚讚這樣大家都知道我又來Church了哈哈哈🤣）","As a Taipei, it is impossible to have never been to Church Taipei
The boss is amiable, the entertainment is thoughtful, and the employees are handsome guys and beautiful women.

The wooden sensor table and chair outside the door is full of atmosphere!Drinking more people sitting here is very comfortable to blow blowing.

First of all, the door is extremely recognizable. This is the church!The first floor of the European cafe is decorated, the green dining chair is equipped with a white table, the texture up up !!! (I personally love the green XDD)

It is a different space to walk to the innermost staircase, and there are mirrors full of walls.

Pushing the door is the bar space of B1. There are large sofa boxes and two people sitting in the area and bar area. Blooming and taking photos is good.

(I like church table lamp XD as a background photo, so everyone knows that I have come to church again hahaha 🤣)",False,0.196,0.0,0.804,0.99
"準時沒遲到
有訂位還讓客人在那白等
說清桌清了20分鐘
看他們清出一桌了 結果是其他客人的？？？
沒位置就別硬接 道歉也不會好好道歉
有夠可笑的一間店 除了爛想不到其他形容的
呵呵","Not late on time
There is a reservation and the guests are allowed to wait in that white
It said the table was clear for 20 minutes
Seeing them clear a table, it turned out to be other guests?IntersectionIntersection
Don't take apology if you have no place, don't apologize, you will not apologize well
A ridiculous shop except that I can't think of other descriptions except
hehe",False,0.07,0.138,0.792,-0.2626
"在 Bar Pun 旁邊的酒吧，蠻好找的
招牌很明亮一下就看到
分為兩層樓1樓跟B1
1樓位子很多，還有一個很大的「神愛世人」
的招牌，B1則是有吧台的調酒區
還有唱歌的包廂，應該是可以訂

Signature 調酒大概有10幾種
都蠻特別而且好喝的，炸物試了雞米花
蠻好吃的

裝潢非常高級舒適，很寬敞
很適合來喝一杯吃點東西！","The bar next to Bar Pun is quite easy to find
The signboard is bright and you can see it.
Divided into two floors on the first floor and B1
There are a lot on the first floor, and there is a big ""God Love the World""
The signboard, B1 is a bartender area in the bar counter
There are also singing boxes, which should be able to order

There are about 10 signature bartending
They are pretty special and delicious, the fried items tried chicken and rice flowers
Pretty delicious

The decoration is very high -level and comfortable, very spacious
It's very suitable for drinking a glass of food!",False,0.245,0.0,0.755,0.9855
"就是中規中矩的酒吧，沒有特別好吃特別好喝
但假日去消費，才剛開店一小時就很多餐點跟酒都沒有了，不知道是怎麼回事","It is a well -determined bar, not particularly delicious, special delicious
But I went to spend on holidays. I just opened a lot of meals and wine just after opening a store. I don’t know what's going on.",False,0.203,0.085,0.712,0.6477
當天的女店員很親切，也招待了不少的shot，餐點美味、調酒酒感蠻重的，很喜歡內部的空間和裝潢，地下室（hell)的位置很多，沙發位滿舒適的，人多的時候會很適合，推薦。,"On the day, the female clerk was very kind and entertained a lot of Shot. The meal was delicious and the winemaking was quite heavy. I liked the interior space and decoration. It will be very suitable for many times, recommended.",False,0.297,0.0,0.703,0.9351
"從一樓要下去B1的樓梯間有一區網美拍照區📷
側面有鏡面，打上燈光空間就像是漫步藍色星空
十分的美！忍不住在此拍了好幾張美照～～

除了吧台的位置，內部則是包廂區
因此下班跟好友們一群一同前來聚會喝酒
餐廳除了主餐跟酒類，以及還有水煙可以抽✨

此外他們另還有間獨特的KTV包廂🎤
可惜我們這次沒有預訂到，因為只有一間
所以若想來KTV包廂一定要提早預訂喲！
🌟然後酒吧還能唱歌是不是太Chill❤️

🔺BOZ紐約牛排 $580
🔺焗烤地中海 $420
🔺鮭魚奶香燉飯 $370
🔺鮮蝦義大利麵 $330

餐點的部分擺盤也都很精緻，
牛排的部分很適合搭配調酒一同享用，浪漫氛圍🌹

其中我最喜歡他們最新的菜單NEW✨這道鮭魚奶香燉飯，燉飯的奶香很濃郁，搭配很大一塊新鮮的煎鮭魚🤤
超好吃！！鮮蝦義大利麵及焗烤地中海，份量也都很大～

🔺月亮蝦餅 $280
🔺炸物拼盤 $480

炸物都炸的金黃酥脆！很適合多人一起點來分享～
月亮蝦餅也是我超愛的一道，沾泰式沾醬絕對無雷😋

🔺Molly fizz $350
🔺Fika $350
🔺The Rose $380
🔺Pandora’s box $350

調酒也是走外觀網美浮誇路線，少女心爆棚💗
酒感部分可詢問店員會協助介紹✨
依照喜愛的味道去挑選的屬於自己的特色調酒🍷

🔺冰芒果探戈 $1350
來到酒吧還有個重頭戲必點的就是水煙
這次點的口味帶芒果水果香氣混合
很適合夏天的感覺，味道我十分喜歡～

Church Taipei 十分適合假期或下班想放鬆喝一杯，
或與好友們聚會、舉辦慶生派對或各類型聚餐，
不論環境及氣氛都相當不錯💗

與好友們也在此渡過了一個愉快的夜晚☺️🌟","From the first floor to the stairs of B1, there is a network of net beauty photography area in the area.
There are mirror on the side, and the light space is strolling in the blue starry sky
Very beautiful!I can't help but take several beautiful photos here ~~

In addition to the position of the bar, the interior is the box area
So get off work with friends after work to drink together
In addition to the main meals and alcohol, the restaurant can also smoke.

In addition, they also have a unique KTV box 🎤
Unfortunately, we did not book this time, because there is only one room
So if you want to come to the KTV box, you must book it early!
唱 Then can the bar sing too too chill ah

牛BOZ New York Steak $ 580
Baked Mediterranean $ 420
炖 Salmon milk fragrant stewed rice $ 370
利 Fresh shrimp pasta $ 330

The part of the meal is also very delicate,
The steak part is very suitable for enjoying with alcohol, a romantic atmosphere 🌹

Among them, I like their latest menu NEW✨ this salmon milk fragrant stewed rice. The milk fragrance of stewed rice is very strong, with a large piece of fresh fried salmon 🤤
Super delicious!IntersectionFresh shrimp Italian noodles and grilled Mediterranean are also large ~

Moon shrimp cake $ 280
Fried objects $ 480

The fried objects are all fried and crispy!It's very suitable for multiple people to share it together ~
Moon shrimp cakes are also my super love.

Imolly Fizz $ 350
3Fika $ 350
EThe Rose $ 380
’Pandora ’s Box $ 350

The bartending is also the exaggerated route of the appearance. The girl's heart is bursting
The wine feel part can be asked to assist the introduction of the store
Select your own characteristic bartending according to your favorite taste 🍷

Ice Mango Storz $ 1350
There is also a heavy drama in the bar and there must be a water smoke that must be ordered
The taste with mango fruits this time is mixed
It is very suitable for the feeling of summer, I like it very much ~

Church Taipei is very suitable for vacation or get off work to relax and drink a drink.
Or meet with friends, hold birthday partys or various types of dinner,
No matter the environment and atmosphere are quite good 💗

I also spent a pleasant night with my friends ☺️🌟",False,0.216,0.015,0.769,0.9988
"超級漂亮的教堂主題酒吧
很適合姊妹聚餐或是情侶約會
沒有來過的朋友也不用擔心
敢開在大安區的酒吧基本上餐飲品質都是有保證的
出餐速度很快，酒也很好喝
建議可以先訂位哦！
看其他的評論才知道原來還有ktv包廂可以預定
這家我覺得是個下次跟朋友聚餐還會想要來的地方
環境也很優質
整體的很有氛圍，也讓人很放鬆
離捷運站很近，大概走路3-5分鐘就可以抵達了","Super beautiful church theme bar
Very suitable for sisters to dinner or dating couples
Don't worry if you haven't come here
Dare to open the bar in Da'an District, basically the quality of catering is guaranteed
The meal is fast, and the wine is also delicious
Suggestions can be booked first!
Only by looking at other comments, I know that there are still KTV boxes to book
I think this is a place I want to come with my friends next time
The environment is also very high quality
The overall atmosphere is very atmospheric, and it is also very relaxed
It's close to the MRT station, you can arrive in about 3-5 minutes by walking",False,0.169,0.0,0.831,0.9686
