Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"比起餐點絕對是更吃氛圍的店。
音樂是一百分的對味，裝潢也是寬敞舒適，鄰近萬聖節還多了一些節慶感🎃
餐點的部分早午餐比晚餐好，早午餐推薦中東Falafel，雖然偏鹹且不管鷹嘴豆還是Falafel都偏少，但還是大勝蝦燉飯還有蛤蜊義大利麵。
但整間餐廳最推薦的還是香蕉凍糕，驚艷。","It is definitely more atmospheric shop than meals.
Music is a hundred points of taste, and the decoration is also spacious and comfortable. There are also some sense of festivals in the neighboring Halloween.
The meal part of the meal is better than the lunch. The brunch is recommended to the Middle East Falafel. Although it is salty and the eagle mouth beans or Falafel are relatively small, they still have great shrimp stewed rice.
But the most recommended in the entire restaurant is banana frozen cake, which is amazing.",False,0.192,0.0,0.808,0.9476
"這間餐酒館的氛圍極具魅力，低調而時尚的燈光設計搭配復古裝潢，讓人一踏入便感受到舒適與愉悅。菜單上不僅提供了創意的餐點，還有許多精選的酒品，每一道菜色都展現出廚師的巧思與用心。無論是主菜的擺盤，還是小點心的細節，都讓人驚喜不已。

酒單則涵蓋了多種特色調酒，分各種口味任意選擇，這次點「今晚自由」，它整體西瓜味很濃，無論是經典款還是特調，都能滿足不同口味的客人需求。服務生專業且樂於提供推薦，讓整體用餐體驗更加加分。

如果你在找一個既適合與朋友聚會，也能輕鬆享受美食與好酒的地方，這間餐酒館絕對值得一試。","The atmosphere of this restaurant is very charming. The low -key and stylish lighting design with retro decoration makes people feel comfortable and pleasant as soon as they enter.The menu not only provides creative meals, but also many selected wines, each dish shows the ingenuity and intentions of the chef.Whether it is the main dish or the details of the snacks, it is surprising.

The wine list covers a variety of specialty bartending, which is arbitrarily selected in various flavors. This time, ""Freedom tonight"", its overall watermelon taste is very strong. Whether it is a classic model or special, it can meet the needs of guests with different flavors. EssenceThe waiter is professional and happy to provide recommendations to make the overall dining experience more extra points.

If you are looking for a place that is suitable for meeting with friends and can easily enjoy food and good wine, this restaurant is definitely worth trying.",False,0.26,0.018,0.722,0.9938
"餐點很好吃，不過我只有點一盤松露薯條，是我愛的粗粗軟軟的薯條。
酒我到是點了兩杯。第一杯是酸7號，以RUM為基底，不過這家的RUM有過桶，所以味道我不愛。(我一直以為我不愛whiskey是因為泥煤味，所以都不點whiskey為基酒的調酒。今天才知道原來我不愛的是桶味，冤枉了泥煤這麼久。。。🤣🤣)第二杯是藍色是憂鬱，比較不甜，偏草藥味不錯喝。中間店家也請喝了2杯shot，味道也都不錯。
服務很好，會一直來加水，清理桌面。因為沒有預約，所以一開始被安排在角落的bar檯位，後來店家還主動的幫我換到靠窗的位子。而且還自己發現那個座位在風口下，就主動的去調整了冷氣強度，真的太貼心了🥰！廁所也非常乾淨，還有貼心的準備了牙線、漱口水和衛生棉。
菜單很特別的是有vegan的選擇，雖然我不是vegan，但是我有一個很歪嘴雞的好友，不吃奶製品與豬肉。大部分餐酒館的菜單因為都有cheese，所以9成都不能吃，然後剩下的1成還要扣掉一半是豬肉類的，因此vegan的食物還滿適合我朋友的。
一定會再訪的","The meal is delicious, but I only have a plate of truffle fries, which is the thick and soft fries I love.
I ordered two cups.The first cup is acid No. 7, which is based on Rum, but the Rum of this house has a barrel, so I don't love it.(I always thought that I didn't love WHISKEY because of the mud flavor, so I didn't order Whiskey for bartending for base wine. Today I know that what I don't like is a barrel flavor. The second cup is blue is melancholy, it is not sweet, and the herbal medicine tastes good.The middle shop also invited 2 cups of SHOT, and it tastes good.
The service is very good, it will always come to add water and clean the desktop.Because I did not make an appointment, I was arranged at the BAR site in the corner at first. Later, the store also took the initiative to help me change to the window of the window.In addition, I found that the seat was under the air outlet, so I took the initiative to adjust the strength of the air -conditioning. It was really intimate!The toilet is also very clean, and the dental floss, mouthwash and sanitary cotton are also prepared.
The menu is very special with Vegan's choice. Although I am not Vegan, I have a very crooked chicken friend who does not eat milk products and pork.Most of the menu menus have cheese, so 9 Chengdu cannot be eaten, and then the remaining 10 % of them have to be buckled half of them. Therefore, Vegan's food is full of my friends.
Will be visited again",False,0.145,0.059,0.796,0.9833
"我沒有吃過任何一家可以心服口服給10/10滿分的店家。

除了餐廳氣氛絕佳，音樂音量恰到好處之外
餐點水準極高，調酒以及甜點非常美味！

圖中為海膽干貝燉飯、紅酒燉牛臉頰肉、巴斯克蛋糕。

樣樣超乎預期的美味好吃！
🌱","I have never eaten any shops that can be taken orally for 10/10.

In addition to the excellent atmosphere of the restaurant, the music volume is just right
The level of meals is extremely high, bartending and dessert are very delicious!

The picture is sea urchin stewed rice, red wine stew cheek cheeks, Basque cake.

It is beyond expected delicious and delicious!
Bleak",False,0.21,0.0,0.79,0.9492
第二次來用餐慶生，不同位子的安排也很愜意舒適，服務人員都很親切熱情，餐點還是一樣都很特別好吃，尤其是燉牛臉頰+馬鈴薯泥很嫩很美味，讓壽星調酒部分也還是很有趣，耐心教學，而且配方提供的也好喝，下次要再帶不同朋友來～謝謝Joiny 的大家！,"For the second time to celebrate the birthday, the arrangements of different seats are also very comfortable and comfortable. The service staff are very enthusiastic. The meals are still very delicious, especially the stewed cow cheek+potato puree is very tender and delicious. The part is still very interesting, teaching patiently, and the formula provides good food. Next time I will bring different friends ~ Thank you Joiny everyone!",False,0.37,0.0,0.63,0.9873
"氣氛很好地點也很棒
服務人員很專業
重點是一般餐酒館最大的問題就是貴餐點一點點吃不飽
這家不會喔，貴但是保證吃的飽而且料理手法一流，貴的很值得","The atmosphere is very good and the location is also great
The service staff is very professional
The point is that the biggest problem of the general dining tavern is that the expensive meal is a little bit full.
This family is not, it is expensive but guaranteed to eat and the cooking technique is first -rate. The expensive is worth it",False,0.105,0.028,0.868,0.6306
意外走進來、位在東區二樓的餐酒館。氛圍很不錯，餐點也很好吃，會再來喔！,"I accidentally walked in and lined up on the second floor of the East District.The atmosphere is very good, the meal is also delicious, you will come again!",False,0.208,0.069,0.723,0.6989
"離捷運站非常近很方便到達，可以提早訂位，且環境寬敞，但是當天安排的位置冷氣直吹超級冷
食物的部分，痛風燉飯很好吃還有蠻濃的酒味非常推薦
墨魚麵是友人點的，小卷很新鮮好吃，但吃完嘴巴舌頭都是黑的，如果來約會要避開這道
香煎雞腿三種起司燉飯蠻好吃，但建議分食一個人吃完會很膩
牛舌普通可以看狀況不一定要點
松露薯條表現也中規中矩","It is very close to the MRT station and easy to arrive. It can be booked early and the environment is spacious, but the location arranged on that day is super cold.
In the food part, the gout stew is delicious and has a strong taste of wine. It is very recommended
The cuttlefish noodles are made of friends. The small roll is very fresh and delicious, but the tongue tongue is black after eating. If you come to date, avoid this
Three types of cheese stew in the fried chicken legs are delicious, but it is recommended to eat it alone.
The beef tongue can generally look at the condition, it is not necessary to order
The performance of truffle potato strips is also satisfactory",False,0.266,0.033,0.701,0.991
"跟男友來過週年～～
服務生給了一個小包間氣氛很棒
點了4道餐點都很好吃😋
尤其是
1.海膽燉飯💓
米心不硬不軟 是我很喜歡的那種
2.節瓜佐酸奶醬
節瓜酥脆單吃就很棒了
配上酸奶醬更勝一籌
3.鴨胸
很嫩不柴
搭配的胡蘿蔔跟醬汁很甜
不愛胡蘿蔔的男友也很愛

調酒的話推薦等價交換
喝得到巧克力的味道
但毫無違和感

此次用餐非常滿意！","I have come to my boyfriend anniversary ~~
The waiter gave a small private room atmosphere great
It's delicious after ordering 4 meals.
Especially
1. Sea urchin stewed rice
Michard is not hard or soft, it is the kind I like very much
2. Jian Gua Zuo Yogurt Sauce
It's great to eat melon crispy alone
With yogurt sauce, it is better
3. Duck breasts
Very tender
The matching carrots and sauce are very sweet
Boyfriend who does not love carrots also loves

Recommended equivalent exchanges if you are bartending
Drink the taste of chocolate
But there is no sense of dislocation

The dining is very satisfied this time!",False,0.197,0.051,0.752,0.9365
食物基本無雷，調酒不錯，痛風燉飯味道濃郁，窗外可以看夜景，燈光氣氛佳很適合約會的地方，以餐酒館來說算是各方面都出色的店，值得推薦。,"The food is basically thunderous, the bartender is good, the gout stew is rich in taste, the night view can be seen outside the window, the light atmosphere is very suitable for dating. In terms of dining tavern, it is a well -known shop in all aspects, which is worth recommending.",False,0.183,0.0,0.817,0.8591
