Original,EN,Needs Review,Positive,Negative,Neutral,Compound
這是一間相當有氣氛的酒吧！老闆是位帥氣十足的爸爸，親切又好客！每到週五晚上是最佳的舒壓放鬆的休閒娛樂場所！調酒🍹相當特別，菜單上調酒酒名很獨特讓我會心一笑！推薦三五好友週五晚上來這裡玩！,"This is a very atmospheric bar!The boss is a handsome dad, kind and good guest!Every Friday night is the best relaxed leisure and entertainment venue!The bartender is quite special, and the tuning name on the menu is very unique, so I will smile!Recommend three or five friends to come here on Friday night!",False,0.375,0.0,0.625,0.9798
"除了餐點送的比較慢以外，調酒員很熱情送酒，酒單大概是一頁，下面還有一個包廂可以訂，整體裝潢可以說是非常新穎。
調酒單大概一頁，喝起來的感覺都還不錯。
妹酒：綠茶婊、妳別泰ㄋㄞ
此外還點了44號冰茶、可以喝杯茶（酒感在這幾杯之中重一點）以及牛奶加百威，都表現得不錯。
松阪豬好吃但不多，炸物的起士條跟雞米花表現優異。","In addition to the slow delivery of the meals, the bartender is very enthusiastic to send the wine. The wine list is probably a page. There is also a box below to order. The overall decoration can be said to be very novel.
The bartending list is about a page, and it feels pretty good.
Sister Jiu: Green Tea Crimson, Besides you
In addition, I also ordered No. 44 Ice Tea, you can drink a cup of tea (the wine feels more important in these cups) and milk plus Budweiser, all performed well.
Matsusaka pigs are delicious but not much. The fried cheese bar and chicken rice have excellent performance.",False,0.154,0.0,0.846,0.9392
酒名可愛而且好喝，調酒師針對需求做的特調很讚～氣氛也好，適合朋友聚會（樓下有包廂），人很多前往之前記得先打去訂位！,"The wine name is cute and delicious. The bartender is very good for the special adjustment of the needs ~ the atmosphere is good, suitable for friends gathering (there is a box downstairs). Many people remember to make a reservation before going to!",False,0.338,0.0,0.662,0.9577
"場地租借：地下室的包廂可以唱歌
很新的歌可能沒有，但強檔歌還是有的！
像是頑童、高爾宣的歌，或是紅色高跟鞋這些都有😉

低消是一個人600元，地下室的包廂有兩間連通的，裡面包廂才可以唱歌，如果兩個包廂場域都包場，未滿20人部分會以20人的低消600元來算，等於要達到12000元的消費。

外面場域是四張椅子，本次21個人包場，座位是夠的😃
朋友們有點5800元大家可以一起喝的酒 （選一酸一甜）👍🏻 其實都蠻好喝的

吃的部分我都沒吃到～
朋友們都玩的開心，壽星也感到非常感動
謝謝服務生的各式各樣幫助，服務很好
均消700元","Venue rent: the box of the basement can sing
There may be no new songs, but there are still strong songs!
Such as the songs of urchins, Golxuan, or red high -heeled shoes.

Low elimination is 600 yuan per person, and there are two connectors in the basement of the basement. Only the box can sing in the box. If the two boxes are included in the field, the part of the 20 people will be calculated by the low consumption of 20 people. To reach a consumption of 12,000 yuan.

There are four chairs outside the field. This time the 21 people charter, the seat is enough
Friends are a bit 5,800 yuan, everyone can drink together (choose one sour and one sweet) 👍🏻 Actually it is quite delicious

I haven't eaten the part of the food ~
Friends are happy, and Shouxing feels very moved
Thank you waiter for all kinds of help, the service is very good
Average 700 yuan",False,0.2,0.034,0.766,0.9894
"環境氛圍很棒，KTV包廂真的太酷了 😳
調酒師都很溫柔，酒也很棒 🙌🏻 可以說自己喜歡的味道

玩得很開心 🥳🥳🥳","The environment atmosphere is great, the KTV box is really cool 😳
The bartender is very gentle, and the wine is also great.

I am very happy 心",False,0.428,0.0,0.572,0.9582
"初訪福昊室，我跟友人喝到一個忘記手機、一個忘記圍巾，害Bartender小姐跑出來追我們兩次（掩面）；因為太羞恥了，加上六張犁離我家也挺遠，中間有好長一段時間都沒再去。

酒除了漂亮、味道也很不錯，Bartender也都挺會聊，吃食以下酒菜為主，是適合續攤的店。","When I first visited Fuhao Room, I drank an forgotten mobile phone and a scarf, which harmed Miss Bartender and ran out to chase us twice (covering his face); because it was too shameful, and the six plows were far away from my house, and the middle was quite far away. In the middle, it was quite far away. I haven't gone for a long time.

In addition to the beautiful and good taste, Bartender is also very good at talking. It is the main shop that is suitable for renewal.",False,0.096,0.094,0.809,0.2944
"訂的是私人包廂附設KTV，調酒推昊室桂客、綠茶婊。
昊室桂客以不喝純威士忌的我來說，覺得很好喝～搭配桂花凍，十分特別！
喜歡妹酒的可以喝綠茶婊，酸甜水果香～
餐點推泡菜雜炊飯，好吃！
服務品質也很讚，下次有聚餐會再訪！","The private box is set up with KTV, bartending and pushing Haoshiro Guike and Green Tea.
Hao Hao Guike, who does not drink pure whiskey, feels very delicious ~ It is very special with osmanthus frozen!
Those who like girls can drink green tea, sweet and sour fruit incense ~
Put the kimchi and cook rice, delicious!
The quality of service is also very good, and you will visit again next time!",False,0.235,0.0,0.765,0.965
"IG:bar_runner_elijah

福昊室 FullHouse
在”酒吧街”的樂利路上，有著溫暖紳士風的FullHouse。FullHouse意指滿座，就算店外看起來低調寧靜，一到夜晚人們都會自動來到這沉澱、放鬆又或著解放自己。
住在樂利路上的居民很有福氣，想喝一杯就可以有多家選擇，而且隔音很好不太會吵到街坊鄰居。而且FullHouse可是有地下KTV包廂，不管是裝潢、空間設計，整體都感到舒適用心，平日來包廂低消也很平宜噢。

吧吧節特調 - Fullhouse VIP昊室桂客2.0
光是杯具就太吸引我了，就像在品級品茶般。不是只有外觀滿分，味道也跟造型一樣滿分。因應茶道，有了綠茶的回甘，蘭姆為基底，有青蘋果的香氣，茶、果、酒一次享用。放在調酒旁邊的是特製威士忌桂花凍，桂花凍甜甜的還帶點威士忌迷人香氣，吃一口、喝一口，會發現不同層次的出現，令人驚嘆的一杯。

吧吧節特調Shot - Symphony 交響曲
酒凍Shot可沒聽過吧，最下層紫色是Gin染蝶豆花、百香果的Vodka、柳橙柑橘的Tequila。三種酒和甜甜的果實元素，搭配香檸蘇打水，氣泡使香氣更在口腔綻放，使享受更上一層。

醉美金蘋果
金萱和香甜的蘋果結合，帶點洋甘菊點綴，香氣十足，酒感適中，雖說是馬丁尼這類短飲型的，算作為第一杯也是能接受的。","IG: Bar_runner_elijah

Fuhao Room Fullhouse
On the ""Bar Street"", Leli Road, with a warm gentleman style Fullhouse.Fullhouse means full of seats. Even if the shop looks low -key and quiet, people will automatically come to this settlement, relax or liberate themselves at night.
The residents who live on Leli Road are very blessed. If you want to drink a drink, you can have multiple choices, and the sound insulation is not very good at the neighbor neighbor.And Fullhouse has an underground KTV box. Whether it is decoration or space design, the whole feels comfortable and dedicated.

Bar Bar Special -Fullhouse VIP Haoji Guike 2.0
It's so attractive to me, just like tea tasting.It is not just full of appearance, and the taste is as full as the shape.In response to the tea ceremony, with the green tea back, Rim is the base, and the aroma of green apples is enjoyed at a time.Next to the bartending is the special whiskey osmanthus frozen. The sweet -scented osmanthus is sweet and a whiskey is charming. If you take a bite and take a bite, you will find that the appearance of different levels is amazing.

Barbar Special SHOT -Symphony Symphony
I have n’t heard of the wine frozen Shot. The bottom purple is GIN dyed butterfly beancurd, Vodka of passion fruit, and orange citrus Tequila.Three kinds of wine and sweet fruit elements, with fragrant soda water, the bubbles make the aroma bloom more in the mouth, making the enjoyment even more.

Drunk US dollar apple
The combination of Jin Xuan and the sweet apple, with a bit of chamomile embellishment, full of aroma, and moderate wine. Although it is a short -drink type such as Martini, it is also acceptable as the first cup.",False,0.196,0.022,0.783,0.9954
"1.餐點不錯吃
調酒偏淡
44號冰茶不錯
啤酒夠冰杯子也冰
貼心

2.金髮挑染店員
詢問菜單各項內容
愛理不理表現不耐煩
不是說花錢就要當大爺
而是連問基本問題都不耐煩

3.黑髮店員服務專業人nice

4.KTV包廂有兩支麥克風
麥克風聲音小
裡面非常乾淨
氣氛也很好","1. Eat a good meal
Bartender
No. 44 ice tea is good
Beer enough ice cup is also ice
intimate

2. blonde picked dyeing clerk
Ask the menu of the menu
I don't care about the performance
Don't say that you have to spend money, you have to be an uncle
But even the basic question is impatient

3. Black -haired clerk service professionals NICE

4. There are two microphones in the KTV box
The microphone sounds small
Very clean inside
The atmosphere is also very good",False,0.167,0.045,0.787,0.9241
調酒師Leo真的很厲害，菜單上的酒上面有寫茶，但是不出來茶味，調酒師也會詢問是否可以，當時直接說這個沒有茶味，直接免費幫忙換一杯，重點是味道也很棒，要的茶味香氣通通都有👍👍👍,"The bartender Leo is really amazing. There is a tea on the wine on the menu, but the taste of the tea is not coming out, and the bartender will also ask if it is okay. At that time, it was said that there was no tea flavor. Great, the aroma of tea flavor is all available.",False,0.159,0.042,0.799,0.8292
