Original,EN,Needs Review
"二訪。

不吵，室內禁煙，調酒有自己的風格與節奏，不會有太多限制的放鬆好地方，經典調酒很好喝，創意推薦也很棒。

今天帶另外一半來，還帶了一個不常跑酒吧的朋友來，都感到很舒服放鬆。音樂都很chill

自己很喜歡，有別於現在很多喧鬧的小酒館，適合想放鬆、品嚐調酒的客群。

聽說威士忌的選擇很多，但我看不太懂...我只認識阿貝和...四朵玫瑰、日本的威士忌、還有...還有什麼協會酒？

今天大家喝了Daiquiri、white lady、威士忌sour、某系列的阿貝、自家調製梅酒、柚子酒、還有其它說不出來的酒...感覺都很棒，老闆會照我的喝酒節奏倒水、聊天，也不會像其它間酒吧一樣催你點單，慢慢喝，很開心。

朋友喜歡泥煤味的威士忌，喝的很開心，但我覺得...很...特別...

炸薯條也好吃，老闆說如果有其它想吃的可以叫外送（只要味道不要像榴槤）
很棒的地方~

缺點...我忘了問wifi密碼...連不上去，跟我之前去的時候密碼不一樣，然後好像只有老闆一個人，他服務很好，但有點忙","Second visit.

No noise, no smoking in indoor, bartending has its own style and rhythm, there will be no restrictions to relax, the classic bartending is delicious, and creative recommendations are great.

Bring the other half today, and I also brought a friend who did not run often, and I felt very comfortable and relaxed.The music is very chill

I like it very much. It is different from many noisy taverns, which is suitable for customers who want to relax and taste bartender.

I heard that there are a lot of whiskey choices, but I don't know very much ... I only know Abei ... Four roses, Japanese whiskey, and ... what other association wines?

Today, everyone drank Daiquiri, White Lady, whiskey sour, Abe in a series, my own preparation of plum wine, grapefruit wine, and other wine that could not be said ... It felt great, the boss would pour the water in my drinking rhythm. , Chat, I won't urge you to order like other bars, drink slowly, and happy.

Friends like mud -flavored whiskey and drink very happy, but I think ... very ... especially ...

French fries are also delicious. The boss said that if there are other people who want to eat, you can call it out (as long as the taste is not like durian)
A great place ~

Disadvantages ... I forgot to ask the WiFi password ... I can't even go up, the password is different from when I went before, and then it seemed that there was only the boss alone.",False
"北中南去過的酒吧有幾十家，沒有遇過服務態度這麼差的!
當天是唱完歌續攤，到店是最後一組客人，因為是無酒單，每個人各點一杯經點調酒；最後一個點的是當天的壽星，由於他點的調酒Vesper有兩種做法，所以問了店家是採用哪一種，店家回:”你不用管我怎麼做，你只要管你喝不喝的完就好了”。由於朋友比較有在喝調酒，所以又說了，""不是啦，你就跟我說你會用哪種做法就好""，店家一樣回:""你不用管我怎麼做，我做了你喝完就對了""，口氣之差，不知道是不是在模仿他附近的個性酒吧.....但人家有名氣且不會讓人那麼感到不舒服或者被針對!!  喔對了，當天我們從那間個性酒吧外帶了2袋長島冰茶過來(因為他們準備打烊了只能外帶)，店家一開始說可以在裡面用，後來又說不能在他們店裡飲用別家的酒，實在是…喔，還有，我們在這間店也點了兩杯長島冰茶，只能說個性久吧得比較好喝而且還便宜一百元，看前面留言的人也有被氣到的，奉勸各位小心","There are dozens of bars I have been to north, Zhongnan, and have not encountered such poor service attitude!
On the same day, it was the last group of guests after singing the song, because there was no wine list, and everyone ordered a cup of menstrual bartender each. The practice, so I asked which one was used, and the store returned: ""You don't have to care about what I do, you just need to ignore you.""Since my friends are more drinking and bartender, I said again, ""No, you tell me what kind of approach you will use"", the store returns: ""You don't need to care about what I do, I did you drink It's right "", the tone is bad, I don’t know if I am imitating his personalized bar near him ... but people are famous and will not make people feel so uncomfortable or targeted !! Bring 2 bags of long island ice tea from that personality bar (because they are ready to snooze and can only take it). The shopkeeper said at the beginning that it could be used inside, and later said that they could not drink other wines in their stores. … Oh, and we also ordered two cups of Long Island ice tea in this shop. We can only say that the personality is more delicious and 100 yuan cheaper. careful",False
"營業時間到三點的威士忌酒吧，也有經典調酒，調酒師很友善，調酒的味道也很有特色
裡面可以抽煙","The whiskey bar at three o'clock is also classic bartending. The bartender is very friendly, and the taste of bartender is also very distinctive.
Can smoke inside",False
"店內濃濃菸味QQ 不過抽風空調做得滿好，雖然我超怕煙味但意外的還算可以接受😂
然後調酒師態度很好很熱情~~環境也不錯 …","The thick smoke flavor in the store is full of air -conditioning air -conditioning. Although I am very afraid of the smoke flavor, it is still acceptable.
Then the bartender attitude is very good and enthusiastic ~~ The environment is also good ...",False
"很耐心按照需求跟預算推薦適合的whiskey，喝到的都很好。Ramos gin fizz不錯，那天喝到的aviation比較普通。可以抽菸。

二訪平反一下，第二次喝到的調酒都很棒，有喝到風味很平衡的Aviation，跟竟然是我至今喝過前幾名喜歡的jungle bird。","I am very patient with the suitable Whiskey according to the needs and the budget, and they all drink well.Ramos Gin Fizz is good, and the Aviation I drink that day is more ordinary.Can smoke.

The second visit was vindicated. The second time I drank was great. There were Aviation with a very balanced flavor, and it turned out that I have drank the first few Jungle Bird I have so far.",False
"調酒師不錯會自動介紹威士忌（這我覺得是一大優點）
拿了很多罐威士忌ㄧ一介紹
讓你聞威士忌的味道
威士忌可純飲跟加冰（建議加冰）
讓剛入門威士忌的我認識了不少
店內可抽菸，忌諱的要考慮一下
假日這次沒訂位也有位子坐
但建議預訂可以坐有沙發的位子
沒有時間限制
我們聊很久，還會一直來幫你倒水

推薦給要抽菸聊天很久的人坐，晚上九點開","Good bartenders will automatically introduce whiskey (I think it is a big advantage)
Introduction to a lot of cans of whiskeys
Let you smell the taste of whiskey
Whiskey can drink purely and add ice (it is recommended to add ice)
Let me know a lot of just getting started whiskey
The store can smoke in the store.
Holidays have no reservation this time and there are seats sitting
But it is recommended to book a seat with a sofa
No time limit
We have been talking for a long time, and we will always come to help you pour water

Recommended for people who want to smoke and chat for a long time, and open at 9 pm",False
眾多威士忌的酒吧，也有調酒，無酒單，酒吧會耐心跟你溝通，純飲調酒都不錯，無服務費，可煙。,"Many whiskey bars also have bartending, no wine list, bar will communicate patiently with you, pure drinks are good, no service fees, but smoke.",False
沒有酒單，跟老闆直接說喜歡什麼或不喜歡什麼樣式的調酒。很輕鬆的環境，跟老闆及其他客戶都很有趣！,"There is no wine list, and said directly to the boss what or what style of bartending.A very relaxed environment is very interesting to the boss and other customers!",False
"威士忌調酒酒吧，種類很多，店員都會細心介紹～
店內可抽菸，怕煙味的人不建議來喔！
餐點真的好吃！！為了餐點我會再訪的～
顛峰時間建議訂位喔，店內位置不多","There are many types of whiskey adjustment bars, and the clerk will introduce it carefully ~
People who can smoke in the store, people who are afraid of smoke don't recommend coming!
The meal is really delicious!IntersectionI will visit again for meals ~
The peak time is recommended to reservation, there are not many locations in the store",False
"薯條好吃 豬腳肉偏硬但好吃尤其配菜XD
酒不錯 店員有趣
但因為是可以抽煙的地方
所以可能對煙味敏感者不適合","French fries are delicious but delicious but delicious.
Good wine clerk and interesting
But because it is a place that can smoke
So it may be not suitable for those with sensitive smoke",False
室內有吸菸(不喜菸味者勿入)，熱鬧有趣氛圍，好客整體有禮貌,"There are smoking in the room (do not enter the non -like smoke), the lively and interesting atmosphere, the hospitality is polite as a whole",False
"第一次來被店內煙味嚇到，真的好臭。
女調酒師和女店員很親切也很認真介紹調酒(一顆星給她們)
但整手刺青的男店員態度非常不好。
我們在告知想結帳以後店員說我們未達低消，
所以我們表達我們可以買啤酒帶走，
但店員卻端來三杯杯裝的啤酒。
我們說明原意是要可帶離開的啤酒
卻得到刺青男店員大聲又不耐的回應  說我們沒提早告知(???)(是因為我們都是女生看起來好欺負嗎)
當下很錯愕，以為我們跟店員在平行時空。
總之謝了，調酒再好喝我們都不會考慮再來。","The first time I was scared by the smell of smoke in the store, it was really stinky.
Female winemakers and female clerks are very kind and carefully introduced to bartender (a star is for them)
But the whole tattoo male clerk's attitude is very bad.
After we were informing we wanted to check the checkout, the clerk said that we did not reach the low,
So we express that we can buy beer and take it away,
But the clerk brought three cups of beer.
We explain that the original intention is to bring the beer that can be taken away
However, the tattoo male clerk responded loudly and impatiently that we did not inform (???) (because we are all girls who look so bully)
At present, we are very wrong, thinking that we are in parallel with the clerk.
In short, thanks, we won't consider again.",False
"因為bar surfing的活動被朋友推薦來的
無酒單的威士忌酒吧
會依照個人喜好推薦調酒
免費的綜合豆很好吃，可以一直拿😆
聽說滷味也很好吃，有機會再去試試！","Because Bar Surfing's activity is recommended by friends
Wine -free whiskey bar
I will recommend bartending according to personal preferences
The free comprehensive beans are delicious, you can keep it all the time
I heard that Jeli is also delicious, and I have the opportunity to try it again!",False
幫朋友們慶生，店員們非常熱心幫忙端蛋糕、點蠟燭，特調也調的好喝，臨走前還將我們付款完達低消但未點到餐的金額換成啤酒外帶給我們，非常愉快的消費，感謝你們,"Help friends celebrate their birthdays. The clerks are very enthusiastic about helping cakes and candles. They are also well -tuned. Before leaving, we will pay us to a low payment but replace it with the amount of meals. Very pleasant consumption, thank you",False
