Original,EN,Needs Review
"Origin bar 值得我給五顆星🌟🌟🌟🌟🌟
餐點好吃、酒好喝、氣氛也很棒
還會送shot 🫶
⭕️點了最經典的茶酒（有購物車的）酒味和茶味都非常的濃，非常厲害！
⭕️ 疾疾護法現身速速前去去武器走的接骨木魔杖煎茶：喝起來比較甜但又不會膩的茶酒，還帶有葡萄的香氣，很適合夏天喝。
⭕️ 桃白白討拍拍的拍到頂白桃烏龍：烏龍茶和酒很搭，茶韻有出來
⭕️Long Island:這間的酒精不是開玩笑的，這杯真的烈😂
⭕️烘蛋：奶油香味很重，但吃起來很嫩，絕對可以推的一道。
⭕️川味椒麻雞翅：最適合的下酒菜，有吃辣的必點，香味十足，記得不要吃到花椒了。
⭕️炸物拼盤：洋蔥圈可圈可點，但驚人的是薯條，炸的剛好，也不會過油，很適合在喝酒前先墊胃的東西。
👌鱸魚辣義大利麵：寬麵吸附很多醬汁，魚肉就普普，個人覺得這道可點可不點","Origin Bar is worth me to give five stars 🌟🌟🌟🌟🌟
The meal is delicious, the wine is delicious, the atmosphere is also great
Will also send shot h
的️ Order the most classic tea (with shopping carts) and tea flavor are very strong, very powerful!
现️ The disease -care method appears to go to the weapon to go to the weapon. The bone wood wand fried tea: the sweet but not greasy tea wine, but also the aroma of grapes, which is very suitable for summer drinking.
拍️ Peach Bai disclosure patted the top white peach oolong: oolong tea and wine are very good, the tea charm is out
L️Long Island: This alcohol is not a joke, this cup is really strong 😂
奶️ Baked eggs: The cream is very heavy, but it tastes very tender.
麻 ️ Chuanwei Pepper Jacky Wing: The most suitable wine and vegetables, there are spicy foods, full of fragrance, remember not to eat peppercorns.
盘 ️ Fried objects: Onion is remarkable, but amazing is the fries, the fried is just right, and it will not be too oily. It is very suitable for the stomach before drinking.
利 利 Performers spicy pasta: wide noodles adsorb a lot of sauce, fish meat is Pop, personally I think this can be ordered",False
"Originbar 的水準都很讚欸，半個月前才去過源，今天又來喝序，一樣沒讓人失望😍

每杯調酒都喝得到酒感，但都很順，他的水果味都很好的調和了酒感，讓想喝酒的人又能享受很棒的水果香氣，而不會只是拿到一杯甜甜的飲料。

還有他們的食物也都精緻又好吃，價格上也還算親民，可以直接來這裡吃晚餐順便喝到爽。

最後稱讚一下服務生，態度超好也很熱情，會讓人想再次回訪。","Originbar's standards are very good. I only went to the source half a month ago.

Every cup of bartending can drink wine, but it is very smooth. His fruits have a good taste that blended the wine, so that people who want to drink can enjoy a great fruit aroma, not just get a cup of sweetness Sweet drink.

And their food is also exquisite and delicious, and the price is quite close to the people. You can come here to eat dinner and drink it.

Finally, praise the waiter. The attitude is very good and very enthusiastic, which will make people want to visit again.",False
"小B姐姐SHOT招待❤️
餐點都很好吃，蘋果冰茶適合新手🫶
下次來小B要唱吉伊卡哇主題曲唷😆😆","Little B Sister Shot hospitality ❤️
The meals are delicious, apple ice tea is suitable for novice 🫶
Next time I come to Xiao B to sing the theme song of the Jya Kai 唷 😆😆 😆😆 😆😆 😆😆 😆😆",False
"有帥氣親切的姐姐，炸物拼盤、調酒都不錯
調酒名稱超級長，我也記不清我喝了哪個
招待shot 也非常好喝！
最後店員們都非常用心及貼心，還會擔心回家安危及會害怕我沒有塑膠袋能使用...  🤣🤣🤣","There are handsome and kind sisters, frying platter, bartender are good
The name of the bartender is super long, and I can't remember which one I drank
Enrollment Shot is also very delicious!
In the end, the staff members are very careful and intimate, and they will also worry that going home to endanger that I will be afraid that I can use it without plastic bags ... 🤣🤣🤣",False
"調酒選項很多 名稱都很長且繞口🤣
最喜歡霹靂卡霹靂拉拉波波力那貝貝魯多

大部分店員都很健談（ㄏㄞ）
是間願意回訪的bar🙌","Many names of bartending options are long and around the mouth 🤣
Favorite Perak Card Perak La Polina Berbelo

Most clerks are talking about (ㄏㄞ)
It is Bar愿, who is willing to return to visit",False
"第一次來然後跟同事一起吃飯喝酒～
主食炸物都非常好吃😋
我點一杯水梨口味的酒 非常好喝 很順口 水梨香味很清甜又帶有茶香 很喜歡💕
服務生小B姐姐非常熱情好客～下次還會再來的🫶🏻🫶🏻😍","Come for the first time and eat and drink with colleagues ~
Fresh staple foods are very delicious 物
I ordered a glass of water pear -flavored wine very delicious and smooth pear flavor.
Sister B Sister B is very enthusiastic and hospitable ~ I will come again next time",False
"這是我造訪過的第4間OriginBar；在OriginBar系列中，「序」主要走花果茶酒路線，有不少酒喝起來更像是帶有酒感的水果茶，在炎炎夏日來上一杯還挺解暑。造訪這天生意興隆，餐酒的等候時間都有點久，不過服務親切，東西好吃酒好喝，還是挺不錯的。

----------
【中東烏斯達雞肉串】
才3串讓我覺得有點盤，使用的是雞胸肉，還挺多汁，帶有濃厚的孜然等香料風味，搭配的沾醬像是降低酸味的優格，還不錯吃。

【美式炭烤安格斯無骨牛小排】
牛肉十分鮮嫩，和一旁的夏威夷黑鹽搭配食用，味道很不錯；配菜則是淋著巴薩米克醋的新鮮生菜。

【廣島冰鮮生蠔】
碎洋蔥與百香果的醬料，鹹中帶點微酸，和鮮美的生蠔也挺搭的。

【皮狗憑果鍋碰乒乓碰碰鍋破碰果的蘋果冰茶】
是個小有酒感的蘋果冰茶，配上新鮮的蘋果薄片，挺不錯。

【叫汪來汪不來布萊恩望汪忘來叫旺來汪來的翡冷翠鳳梨冰茶】
帶有滿滿的鳳梨風味與紅茶茶感，上面還搭上兩片鳳梨果乾薄片，酒感中等偏輕。

【茫茫徬徨忙裹果放過鍋旁的芒果冰茶】
放在酒上的是芒果酥，滋味非常芒果，若非有點酒感，我真的會以為是芒果汁。

【疲憊依偎一位陳襄理懷裡相依偎的沉香烏瓦紅茶】
上方是帶有海苔與茶香的薄片，放著2顆味道酸甜的果實，還不錯吃。酒體偏甜，又帶點微苦，尾韻有茶感，酒感中等偏輕。

【招待Shot】
伯爵茶酒與黑醋栗風味，偏甜，小有茶感，酒感很輕。

【招待Shot】
芒果與菁茶風味，幾乎沒有酒感。","This is the fourth Originbar I have visited; in the Originbar series, the ""preface"" mainly walks the flower tea line. There are many wines that are more like fruit tea with wine. A cup is quite the heat.The business of visiting this day is booming, and the waiting time for meals is a bit long, but the service is kind, the things are delicious and delicious, it is still pretty good.

-----------
[Middle East Usda Chiri String]
Only 3 skewers make me feel a bit. The chicken breasts are used, which is quite juicy, with strong cumin and other spice flavors. The matching sauce is like a yogurt to reduce the sour taste. It is not bad.

[American charcoal roast Angus boneless beef steak]
The beef is very tender, and it tastes good with the black salt on the side.

【Hiroshima Ice Fresh Oyster】
The sauces of broken onions and passion fruit are slightly sour in salty, and they are also very good with the delicious oysters.

[Apple ice tea with a ping -pong touched pot with a fruit pot]
It is a small apple ice tea with fresh apple thin slices, which is pretty good.

[Calling Wang Lai Wang Boyi, Blaine Wang Wanglai Wang Lai Wang Lai Wang Lai's Emerald Cui Pineapple Ice Tea]
With a full pineapple flavor and black tea tea, there are two slices of dried pineapple fruit slices on it, and the wine feel is medium and light.

[Mango ice tea beside the pot with busy babies]
The mango crisp on the wine, the taste is very mango. If it is not a little wine, I really think it is a mango juice.

[Tired Numbs of Agarwood Black Tea, an agarwood black tea in his arms]
Above is a thin piece with seaweed and tea fragrance, with 2 fruits of sweet and sour flavor, which is pretty good.The wine is sweet and slightly bitter, the tail rhyme has tea, and the wine feel is light.

【En recuction Shot】
Earl tea wine and black vinegar have a sweet flavor, sweet, small tea, and the wine feels very light.

【En recuction Shot】
The flavor of mango and Jingcha has almost no wine.",False
"酒好喝！
各種不同的茶酒，入口很清香，茶味也回甘！
Bartender Barron和小B有夠好聊，讓在都會叢林奔波的我們很放鬆！

食物也很好吃，畫龍點睛，超加分！","The wine is delicious!
Various different tea wines are very fragrant at the entrance, and the taste of tea is also sweet!
Bartender Barron and Little B have a good chat, so that we are relaxing in the jungle in the metropolitan jungle!

The food is also delicious, the dragon is the finishing touch, and the extra points!",False
每一道食物都很好吃，服務好也很有禮貌，尤其是小B很熱情（抱歉名字太長了😅），今天剛好她的生日，生日快樂🥂,"Each food is delicious, and the service is very polite, especially the little B is very enthusiastic (sorry for the name is too long), today just her birthday, happy birthday 🥂",False
雖然久久拜訪一次，但不管在餐點還是調酒都不失水準，假日滿場但是在內外場的合作下還是把來訪客人招呼的面面俱到，感謝小幫手小B的支援讓我們吃得高興喝的開心,"Although it has been visited once for a long time, no matter at the meal or bartending, the holiday is full, but under the cooperation of the internal and external fields, I still have to say hello to the visiting guests. Thanks for the support of the little helper Xia B. happy",False
