Original,EN,Needs Review
跨年夜過去，氣氛好，店貓可愛親近人，調酒🍸啤酒都好喝，服務親切 佳👍,"The New Year's Eve passed, the atmosphere is good, the shop cat is cute and close to people, the bartending beer is delicious, the service is good",False
謝謝闆娘的故事、謝謝敬業的貓，這裡有很棒很dry的紅酒,"Thank you Ban Niang's story, thank you dedicated cats, here are great and very DRY red wine",False
"老闆親切魅力迷人，酒品種類繁多，
三五好友聚會絕佳地點。
氣氛舒適放鬆～","The boss is kind and charming, and there are many types of wine.
Three or five friends meet a great place.
The atmosphere is comfortable and relaxed ~",False
老闆娘人超好喔 東西超好喝 然後貓咪超級可愛😍😍😍,"The boss is super good, the thing is super good, then the cat is super cute 😍😍😍",False
"調酒蠻普通的
店貓超可愛
快打烊的時候進去
老闆娘直接免收我們一成服務費👍
老闆娘跟店員都蠻熱情的","Bartender pretty ordinary
Shop Cat Super cute
Go in when you snooze
The boss is directly exempted from our service fee 👍
The boss and the clerk are quite enthusiastic",False
"很愛這間的調酒跟Nachos ！老闆超豪爽的每次都能好好放鬆
雖然店貓老樣子只用屁股對著我😚 …","I love this alcohol and nachos!The boss can relax every time
Although the shop cat is old, I only use my buttocks to me ...",False
"店內裝潢氣氛很好,可惜老闆態度非常不好,坐下前有先詢問是否能抽菸,店員回答可以,
但我們抽雪茄的時候卻被拒絕,因為會影響其他客人,雪茄味比煙味重？
當我們準備要離開時被要求要先付最低消費,點的酒沒開過也不能退,詢問咖啡是否能外帶,也被告知我們這裡不是咖啡廳,你要就喝完再走,老闆竟然也大剌剌在我們面前跟其他客人抱怨,你是當我們聽不懂中文嗎？你的貓比你還會招待客人！你要向他學習！","The interior decoration atmosphere is very good, but unfortunately the boss's attitude is very bad. Before sitting down, ask if you can smoke.
But we were rejected when we pumping cigars, because it would affect other guests. The cigar taste heavier than the smoke?
When we are going to leave, we are asking to pay the minimum consumption first, and we cannot retreat without the wine. Ask if the coffee can take it out, and it is told that we are not a coffee shop. Also complained with other guests in front of us, do you do n’t understand Chinese when we do n’t hear it?Your cat will entertain guests than you!You have to learn from him!",False
"So Relax ~

享受酒、氛圍、貓咪
非常療癒的夜晚

也認識了幾個新朋友

謝謝招待","So relax ~

Enjoy wine, atmosphere, cat
Very healing night

I also met a few new friends

Thank you for your hospitality",False
"半夜音樂放超大聲 製造大量噪音 長期影響街坊鄰居睡眠
店員態度囂張 還嗆要警察來
這種缺乏公德心的店 最好不要來","In the middle of the night, the music is super loudly to create a large amount of noise.
The clerk's attitude is arrogant and asked the police to come
This kind of shop that lacks public morality is best not to come",False
"我選擇死亡

難怪附近酒吧都滿就剩這裡有位子
這種店怎麼能活在安和路上實在不科學","I choose to die

No wonder there is a lot left here in the nearby bar.
How can this kind of shop live unscientific on Anhe Road",False
酒一般但貓真的可愛！,Wine is generally cute!,False
調酒喝起來跟直接叫純的伏特加一樣，那我叫純的伏特加就好了，外面裝潢不錯但餐點有待加強,"Like the bartender, it is just like the vodka directly called pure vodka.",False
酒很難喝 老闆娘不會喝酒就不要喝 喝醉了在那邊亂刷客人的卡 還對客人大罵髒話 從來沒去過這種低素質酒吧 要來的人請三思 台北酒吧那麼多==,"It's hard to drink wine, the boss does not drink, do n’t drink drunk. The card of the guests over there and scold the guests who have never been to such a low -quality bar.",False
氣氛好 咪醬是最可愛的店貓,The atmosphere is the most lovely shop cat,False
"來了好幾年，氣氛相當好，不管認識或不認識，大家都能很輕鬆自在地聊天。

台北最棒的地方！","After several years, the atmosphere is quite good. Whether you know or not, everyone can chat easily.

The best place in Taipei!",False
"老闆態度差，詢問低酒精的酒口氣就很不好，不會給建議，沒有bartender 的專業度可言。水杯沒水想加個水，老闆態度很不敬業，跟他表示要加水，聽到也不表示一下有沒有聽到，要講很多次⋯也不會主動加水，這樣跟我收10趴服務費！！？？
經典魔西多個人覺得不好喝，老闆會在室內抽煙，室內就是可以吸菸的。","The boss has a poor attitude. Ask the wine of low alcohol, it is very bad. He will not give suggestions. There is no professionalism of Bartnder.I want to add a water without water, the boss's attitude is very disrespectful. He told him to add water. I did n’t say that I heard it. I would like to say it many times. I will not take the initiative to add water. IntersectionIntersectionIntersectionIntersection
Classic Magoi people feel that it is not delicious. The boss will smoke indoors, and the room can smoke.",False
真的很讚，來這裏可以喝到甜而美的調酒，環境也讓人放鬆許多，下班後與朋友小酌的好去處！,"It's really good. When you come here, you can drink sweet and beautiful bartending, and the environment makes people relax a lot. After get off work, I have a good place to have a drink with friends!",False
"服務生完全沒有耐心，對外國人不友善，（似乎）擁有這家的女生一點也不禮貌。請不要支持種族主義者。

The waitstaff is utterly impatient and unwelcoming to foreigners, and the woman who owns (or seems to own) this place isn't even remotely polite. Please don't support racists.","The waiter was completely impatient and was not friendly to foreigners. (Seems) girls with this family were not polite at all.Please do not support racists.

The waitstaff is utterly impity and unwelcoming to foreigesters, and the WOMAN WHO OWNS (or Seems to Own) This place isn't every remotely. ORT RACISTS.",False
價錢比附近的貴，沒有服務沒有給水另外要收服務費，屋內烏煙瘴氣有人狂抽煙亂罵髒話，酒錢亂算，而且可能是不衛生，朋友喝完肚子痛，除非沒地方去不然這裡只有一隻貓值得而已，為了上廁所進來的真是後悔。,"The price is more expensive than the nearby. There is no service and no service fee. Some people in the house have smoke and smoke and scold the swear words. The wine is not hygienic. The cat is worth it, and it is really regretful to come in for the toilet.",False
