Original,EN,Needs Review
"餐廳的環境、氛圍：蠻不錯的，我是禮拜天晚上去的，人沒有很多，可以慢慢吃，跟另一半聊聊天，很適合約會！
服務：很好，用的是普遍西餐廳的服務方式，有一位專門負責我們桌的服務人員去做服務，我們是lyn 負責的，她很貼心、很會拍照、也很好聊天，會仔細介紹餐點，而且會一直留意我們的用餐情況。
食物方面：口味偏咸，餐點分量較大。有吃到特別有印象的是凱薩沙拉，裏面的醃漬鳳尾魚咸咸酸酸的，搭配蔬菜來吃很讚！蔬菜的水分很多，讓它不會太咸，鳳尾魚也能帶出蔬菜的甜味。裏面的雞肉口感比較乾，餅乾也有點受潮，不夠脆。
我們還叫了例湯—南瓜湯，喝起來沒有其他的調味，就是原食材的味道，湯很甜、很濃郁，南瓜很香，因為還有配麵包，所以我覺得我們應該叫一份就好了，因為真的真的很濃郁，所以我們人各一份真的很有飽腹感。（我們已經比一般女生會吃了…下面會放我們吃了都什麼，最後都吃完，除了兩塊威靈頓以外）
我們有訂威靈頓牛排，因為我們是為了威靈頓才去吃的，所以即使他有先告知是四人份的，我還是訂了…威靈頓牛排也是偏咸的口味，兩個人這樣吃下來，人各一件已經飽了，所以還是建議四個人去吃的時候才訂。牛排整體吃下來沒什麼特別的，就只是牛排很嫩、很好切、很軟。（剩下兩件，打包帶走，打包盒子很漂亮）
因為基本上都吃到咸的，就算吃到很飽，還是想要來個甜點，就叫了他們的「豆。花」，裏面有豆漿冰淇淋+味道像日本甜醬油的醬汁+一些季節水果，冰淇淋的豆味很濃，很好吃，加了醬汁，醬汁本身的咸味好像沒有了，有帶出一點點豆漿冰淇淋的甜味，季節水果有讓我嚇到，西瓜小小一顆，我們本來都以為會沒什麼水份的，可是它一口下去，爆汁！而且還很甜！
最後這家餐廳，建議約會、節日慶祝的時候去吃，服務做的很好，環境很舒服，我的話下次還會考慮去吃，可是就不會再點威靈頓牛排了。","The environment and atmosphere of the restaurant: It's pretty good. I went to the evening of the night. There are not many people. I can eat slowly and chat with the other half. It is very suitable for dating!
Service: Very good, the service method of general western restaurants is used. There is a service staff who is responsible for our desk to do the service. We are responsible for LYN. Meals, and we will always pay attention to our meals.
In terms of food: The taste is salty, and the meal is divided.What is particularly impressive is Caesar salad, the pickled phoenix fish inside is salty and sour. It is great to eat with vegetables!There are a lot of vegetables in vegetables, so that it will not be too salty, and phoenix fish can also bring out the sweetness of vegetables.The chicken inside is relatively dry, and the biscuits are a bit moisture, not crispy enough.
We also called the example of the soup -pumpkin soup. There is no other seasoning when it is drinking, that is, the taste of the original ingredients. The soup is very sweet and rich. The pumpkin is very fragrant, because there is a bread of bread, so I think we should call a copy. Because it is really rich, we have a sense of fullness.(We have already eaten than ordinary girls ... Let us eat what we eat, and finally finish eating, except two pieces of Wellington)
We have a predestine steak, because we only eat for Wellington, so even if he has a four -person, I still booked ... Wellington steak is also a salty flavor. Two people are like this. After eating, one person is full, so it is recommended to order it when four people go to eat.There is nothing special to eat the steak as a whole, just the steak is very tender, very good, and soft.(Two left, packing and taking away, the packing box is beautiful)
Because basically they are salty, even if they are full, they still want to have a dessert, so they call their ""beans. Flower"". There are soy milk ice cream+flavor like Japanese sweet soy sauce sauce+some seasonal fruits , Ice cream's beans are very strong, delicious, add sauce, the salty taste of the sauce itself seems to be gone, there is a sweet taste of bringing a little soy milk ice cream, seasonal fruit scare me, watermelon is a small one One, we thought there would be no water, but it went down and burst into juice!And it's very sweet!
In the end, this restaurant is recommended to eat during dating and festivals. The service is very good and the environment is very comfortable. I will consider eating next time, but I wo n’t order the Verxon steak.",False
食物風味讓人驚喜，且呈現方式很卡哇伊ㄛ！服務人員Jason好親切，很像在跟麻吉hangout，卻也時時注意用餐者的需求，貼心++٩(˃̶͈̀௰˂̶͈́)و會想再回訪！,"The flavor of the food is surprising, and the way of presenting is very kawai!The service staff Jason is so kind, very similar to it with Miji Hangout, but also pays attention to the needs of the diners, intimate ++ ٩ (˃̶͈̀௰˂̶͈́) و will want to return to visit again!",False
位於鬧中取靜的東區一隅，享受美食與美感並陳，將食材與視覺作最具審美的結合！當然色、香、味俱全是必要的；惟在人員服務上差強人意，如果能有主廚交流會更盡興！食材與味覺體驗部分，這米其林二星絕對值得！,"It is located in the Eastern District, which is located in the noisy, enjoy food and beauty, and make the most aesthetic combination of ingredients with vision!Of course, color, fragrance and taste are all necessary; but the personnel services are unsatisfactory, if chef can communicate more!For the ingredients and taste experience, this Michelin two -star is definitely worth it!",False
"Super推薦聚餐～放鬆的寶藏餐廳！
摩登氛圍的裝潢，非常親切又適度的服務！
特別喜歡活潑親切的Jason哥～的陪伴～
活用在地食材加上獨具創意的料理。
讓人想ㄧ來再來～～！
還是寵物友好～～～大大大大的加分啦！","Super recommends dinner ~ Relaxed treasure restaurant!
Modern atmosphere decoration, very kind and moderate service!
I especially like the accompany of lively and friendly Jason brother ~
Use the local ingredients plus unique cuisine.
People want to come again ~~!
It's still pet -friendly ~~~ Great points!",False
添增馬告風味的地中海炭烤料理🦐🌿味道很有記憶點！另點的馬告調酒好香～🥃小建議服務生介紹餐點音量可以再大聲點,Tianda Mazao's flavor of Mediterranean charcoal grilled dishes 🦐🌿 🦐🌿 🦐🌿 🦐🌿 🦐🌿 is very memorable!Another point of the horse tune is good ~ 🥃 Small suggestion that the waiter introduces the volume of the meal can loudly loud,False
"來吃生日餐 所有餐點都好好吃🥰
Jason &Blair 服務超級棒，每樣料理都很有特色，也很細心的介紹👍","Come to eat birthday meals, all meals are delicious 🥰
Jason & Blair has a superb service, every dish is very distinctive, and also carefully introduced 👍",False
"氣氛裝潢非常好。
服務人員大部分不熟悉知識不夠專業，講話音量也抓不好，不夠仔細觀察客人需求。
餐點推薦前才欸，叻眼牛排。價錢偏高cp 值不太夠。
軟殼蟹好吃🧡

推薦來慶生，或吃氣氛的場合，吃飽的可以不用選擇。","The atmosphere is very good.
Most of the service staff are not familiar with knowledge, and the volume of speeches is not good, and they are not enough to observe the needs of guests.
Before the meal was recommended, I was just stunned, and the eye steak.The price is not enough.
Soft shell crab is delicious 蟹

It is recommended to celebrate your birthday or eat atmosphere. You can choose without choice.",False
"料理用心味道層次蠻不錯的，甜點有點過甜了。
服務人員對餐點的理解略差，廚房的燈光略影響用餐的氛圍感，建議在加個帷幕遮蔽","The dishes are pretty good, and the dessert is a bit too sweet.
The service staff's understanding of the meal is slightly worse. The lights of the kitchen affect the atmosphere of the meal. It is recommended to add an curtain to cover",False
很喜歡the Tavernist 位置鬧中求靜，謝謝Jason & Kervin 服務，氣氛很不錯。可惜很划算的午間套餐沒了⋯炙燒套餐的戰斧豬排很美味，甜點的小黃瓜雪酪有驚艷❤️,"I like the TEAVERNIST position in trouble. Thank you Jason & Kervin for your service. The atmosphere is very good.Unfortunately, the cost -effective lunch package is gone. The Tomahawk pork chop of the burning package is delicious.",False
"金普頓酒店裡的餐廳，帶著🐶入住，允許🐶進入餐廳和主人一起用餐，很好的體驗。帶上我們，今晚三桌帶著🐶，好有愛的

覺得Set Menu分量有點大，於是單點
透抽河粉：透抽做成河粉的形狀，用熱湯燙熟，清淡鮮美

香料花椰菜: 燒烤的花椰菜配土豆泥，土豆泥非常細膩潤滑

燒烤石斑魚：估計石斑魚的關係，肉質有點老

脆皮豬五花+舒活里肌肉：這道菜是最後加點的，看到別桌上忍不住加的，個人認為是今晚最好吃的，五花肉層次豐富，舒活里肌肉肉質很嫩，配了鳳梨薄片和鳳梨醬，味道搭配層次分明

慢燉手撕牛小排塔可：最後上的一道，有點吃不動了，全熟的牛排和手撕牛肉，搭配三種醬料和薄餅

雞尾酒單很喜歡，點了馬告和紫蘇，特別喜歡馬告的味道

服務的小姊姊好親切，熱情地和我們介紹餐點和廚師。

很完美的晚餐","The restaurant in the Ginpton Hotel takes a check -in, allowing 🐶 to enter the restaurant to dine with the owner, and experience a good experience.Bring us, with three tables tonight, so loving

I think the set menu is a bit large, so I order a single point
Through the pink powder: The shape of the river powder is made into the shape of the river powder, and it is cooked with hot soup, light and delicious

Fast cauliflower: grilled cauliflower with potato puree, potato puree is very delicate and lubricated

Barbecue grouper: It is estimated that the relationship between grouper fish is a bit old

Crispy pig pentagram+Shuhuoli muscle: This dish is finally added. I can't help but see it. I personally think it is the best tonight. The pork belly is rich in layers. Tender, with pineapple slices and pineapple sauce, the taste is clearly layered

Slowly stew the hand tore the beef steak tower: the last one, a bit unable to eat, the cooked steak and hand tore beef, with three kinds of sauces and pancakes

I like the cocktail list very much.

The little sister who serves is very kind and enthusiastically introduces meals and chefs.

Very perfect dinner",False
