Original,EN,Needs Review
"環境舒服，氣氛很好，餐點好吃，調酒好喝。

鳳梨鮮蝦塔很特別，透明鳳梨凍+焦化鳳梨+鮮蝦跟炸餛飩皮很搭，一口下很特別。

蕈菇奶油燉飯的菇類們搭配很好，舞菇炭香+杏鮑菇的嚼勁+蘑菇的濕潤口感搭上奶香的燉飯，即使沒有肉也不會覺得無聊。

清爽微酸微甜的「花香」，水蜜桃果香加一絲蘆筍汁的味道很特別。

黑芝麻抹茶奶蓋的「靠岸」，黑咖啡的香味加上威士忌很合，上面的抹茶拿鐵混入拉佛格威士忌，很特別的香味，奶蓋慢慢融化成抹茶拿鐵很棒，只是「偏甜」對我而言不夠甜，我需要來點糖。

謝謝Wesley仔細的介紹。","The environment is comfortable, the atmosphere is good, the meals are delicious, and the bartending is delicious.

The pineapple fresh shrimp tower is very special. The transparent pineapple frozen+coking pineapple+fresh shrimp and fried ravioli skin are very special.

The mushrooms of mushroom cream stewed rice are well matched. The mushroom charcoal fragrance+the chewing of Pleurotus eryngii+the moist texture of the mushrooms and the milk fragrant stewed rice will not feel boring even if there is no meat.

The refreshing and sour ""flower fragrance"", the flavor of the peach fruit and a trace of asparagus juice is very special.

Black Sesame Matcha Milk Cover ""Facial"", the fragrance of black coffee plus whiskey is very fit. ""Sweet"" is not sweet enough for me, I need to have some sugar.

Thank you Wesley for your introduction.",False
"跟朋友4個人來用餐與小酌
服務生很有趣也服務很周到
餐點燉飯米心硬很好吃 風味很足
乾炒蘑菇客製不要蒜 很貼心
芒種是我喜歡的酸甜感 酒感低 可以整杯喝完
松露薯條份量很多 很適合下酒 雖然松露味沒有很重

朋友點了櫻花蝦拌冷麵 表示吃完很空虛
大里肌豬排很柴不好吃","4 people with friends come to dine and drink
The waiter is very interesting and the service is very thoughtful
Stewed rice is hard -hearted and delicious
Dried mushrooms are very intimate
Mangye is my favorite sweet and sour wine.
There are many types of truffle potato.

The friend ordered the cherry shrimp to mix cold noodles and said that it was empty after eating
Dali muscle pork steak is not delicious",False
這次晚餐時段拜訪，雖然是遇到正在調整新菜單所以品項有限的狀況，但餐點還是十分美味，尤其是炭燒小卷跟西班牙蒜蝦，大推！調酒的部分也可以說是東區的頂標了，很愛“不是說不要香菜”的層次感，燈光美氣氛佳服務好，不可多得的優質店家。,"In this dinner time, although it was a situation where the new menu was being adjusted, the food was limited, but the meal was still very delicious, especially the charcoal roasted roll and Spanish garlic shrimp, push!The part of the bartender can also be said to be the top label of the Eastern District. I love the layered sense of ""not to do not need coriander"".",False
"開發新店之看Google Map評分不錯就來嘗試的店家，好在沒踩雷，餐食頗具台灣夜市與傳統料理風格，酒單更融合復古風味與童年回憶，很特別！

----------
【老家的家常菜】
擺盤看起來有點單薄，雖然放了辣椒，但完全沒有辣味；蔥就恰到好處，吃起來既甜且脆不辛辣；使用的是牛肉片，經過大火快炒有點縮癟，整體而言，好吃是好吃，就是有點甜過頭。

【樹子炒時蔬】
今天的蔬菜是高麗菜，樹子的甜味頗重，完全不覺得有辣味，還挺不錯。

【青花椒臭豆腐】
我本來就喜歡麻辣鍋和炸臭豆腐，是以我也很喜歡這個香辣夠味又多汁的創意臭豆腐料理，很好吃。

【烤薑絲紙包魚】
使用的是虱目魚，上桌時會掀開紙，在底部的粗鹽上淋上紹興酒，立刻帶出迷人的濃郁酒香；魚肉很鮮嫩，食用需注意魚刺，魚片底部還有一層娃娃菜，浸透了魚的湯汁和底下粗鹽與紹興酒的風味，挺不錯吃。

【豆乳炸雞佐腐乳美乃滋】
特別的腐乳美乃滋沾醬滋味濃郁且特別，美中不足之處是雞肉有點炸過頭，略為乾硬。

【酥炸金絲牡蠣】
炸牡蠣上鋪著一叢炸麵線，牡蠣的大小大約是一口一個；搭配的沾醬帶有松露風味，挺不錯。

【香辣劍蝦燉飯】
劍蝦完整、口感彈牙，燉飯米芯有煮透，整體滋味濃郁，挺不錯吃。

【焦糖烤布丁】
帶有土布丁的濃郁滋味，質地細緻綿密，很不錯的布丁。

【100分的獎勵】
一開始的酒感很明顯，之後才是中等的酸甜調，尾韻則是柑橘皮的苦味；搭配杯緣的牛奶糖一起食用，可中和苦味與酒感。

【小時候都嗑整包，現在我都SU整杯】
容器很有趣（笑），乍喝之下很像芋頭牛奶，甜味很重，酒感輕。

【有種餓，是阿嬤不讓你餓】
淡淡的滷包風味，酸甜調的酒體還帶點木質調，酒感中等偏輕。

【老闆，不是說不要香菜嗎……】
很特別的一杯酒，滿滿的香菜風味、又帶點花生與胡椒滋味，有點像豬血糕，主軸卻是水果風味的酸甜調，酒感中等偏輕。

【唉喲！蹦幾咧金當蝦】
乍喝之下還以為是氣泡版的Old Fashion，不過繼續喝，桂圓的風味就逐漸明顯起來，酒感中等偏輕。

【青澀月老牽紅線】
重鹹甘風味，還真有像小時候喝過的鋁箔袋楊桃汁，酒感很輕。

【芭不起梅子就芭頭】
非常濃厚的梅子芭樂風味，酒感輕。

【你在中暑，我在暈船】
青草茶的風味很像藥草酒，整體滋味挺像Old Fashion，頗具酒感。

【茶碗裡有頭牛】
這裡的牛指的是牛蒡，喝起來像杯Pisco Sour，偏重酸的酸甜調，酒感中等。

【招待Shot】
威士忌酸酒，不會太酸，酒感中等偏輕。
梅酒 + 葡萄柚，主體是葡萄柚風味，酒感輕微，挺不錯。","The shop that develops a new store to see the Google Map score is good to try. Fortunately, I did n’t step on the thunder. The meal is quite Taiwan ’s night market and traditional cooking style. The wine list is more integrated with retro flavors and childhood memories. It is very special!

-----------
【My Home Cooking】
The plate looks a bit thin. Although it is put on peppers, there is no spicy taste at all; the onion is just right, it tastes sweet and crispy and not spicy; the use of beef slices is a bit shrinking after the high heat. Eating is delicious, it is a bit sweet.

[Tree stir -fried vegetables]
Today's vegetables are cabbage. The sweetness of the tree is quite heavy. It does not feel spicy and pretty good.

【Blue Pepper Stinky Tofu】
I originally liked spicy pot and fried tofu. I also like this spicy and juicy creative stinky tofu dish. It is delicious.

【Baked Ginger Paper Bad Fish】
The milkfish is used, and the paper will be opened when it is served. The coarse salt at the bottom will be drizzled with Shaoxing wine, and the charming rich wine is immediately brought out; The dishes are soaked with the fish's soup and the flavor of coarse salt and Shaoxing wine, which is pretty good.

[Soy milk fried chicken, Sakura, Milk Niji]
The special milk is beautiful and special. The disadvantage of the beauty is that the chicken is a bit fried and slightly dry.

【Crispy fried golden fried oysters】
Fried oysters are covered with a bush, and the size of the oysters is about one bite; the paired dipped sauce has a truffle flavor, which is pretty good.

【Spicy Sword Shrimp Stews】
The sword shrimp is complete, the taste is elastic, the rice stewed rice core is boiled, the overall taste is rich, and it is pretty good.

【Caramel Baked Pudding】
The rich flavor with pudding, delicate texture, and a very good pudding.

【100 points rewards】
At first, the wine feels obvious, and then the medium sour and sweet tone, and the rhyme is the bitterness of the citrus peel. It can be eaten with milk sugar with cup fate, which can neutralize bitterness and wine.

[When I was a kid, I used a whole bag, and now I have a SU whole cup]
The container is very interesting (laughs). At first glance, it is much like taro milk. The sweetness is heavy and the wine feels light.

[There is a kind of hungry, it's Grandma not let you be hungry]
The flavor of a faint halogen, the sweet and sour wine body is also a little wooden tone, and the wine feels light.

[Boss, don’t you say you do n’t want coriander ...]
A special glass of wine, full of coriander flavor, with a little peanut and pepper, a bit like a pig blood cake, but the main axis is the sweet and sour tone of fruit flavor, and the wine feels light.

[Oh!Jump a few cautious golden shrimp]
At first, I thought it was the Old Fashion of the bubble version, but if I continued to drink, the flavor of the longan was gradually obvious, and the wine was medium and light.

【Qingshi Moon Lao Guan Red Line】
It is salty and sweet, and it really looks like aluminum foil bags of aluminum foil bags that I have been drinking when I was a kid. The wine feels very light.

[Paradise can not afford plums, and you can get the head]
The very strong plum breeze flavor, the wine feels light.

[You are in heat stroke, I'm seasick]
The flavor of green grass tea is very similar to herbal wine. The overall taste is quite like Old Fashion, which is quite wine.

[There are head cows in the tea bowl]
The cattle here refers to the cow, and it tastes like a cup of Pisco Sour. It is sour and sour, and the wine feels medium.

【En recuction Shot】
Whiskey sour wine will not be too sour, and the wine feel is medium and light.
Plum wine + grapefruit, the main body is grapefruit flavor, the wine feels mild, pretty good.",False
"假日低消七百（含服務費）
不會過於吵雜
位子也蠻寬鬆
「芒種」口味偏甜
松露薯條和巴斯克都不錯
蒜蝦也是撥好的蝦
蒜給的很多很香 會附麵包可以配
老闆時不時也會來關心用餐體驗
服務滿好的","Seven hundred holidays (including service fees)
Not too noisy
The seat is quite loose
""Mangye"" tastes sweet
Both truffle potato strips and Basque are good
Garlic shrimp is also a good shrimp
A lot of garlic gives a lot of fragrant bread to match
From time to time, the boss will also care about the dining experience
Good service",False
"難得有中午前早午餐開到很晚的咖啡店➕賣酒～
近期店家準備換菜單，要吃東西的可以先確認有沒有想吃的

低消吃跟喝都可以，不一定要喝。
薯條可以，豆乳的炸雞偏重口味鹹。
喜好看個人～

桌距可以談話。
服務看人，有的服務滿到位、積極，有的很隨興。","It's rare to have a late coffee shop for lunch before lunch before selling wine ~
Recently, the store is preparing to change the menu. If you want to eat, you can confirm whether you want to eat first

It is okay to eat low and drink and drink. You don't have to drink.
French fries are fine, and the fried chicken of soy milk is salty.
I like to look good personal ~

The table distance can be talked.
The service depends on people. Some services are in place and positive, and some are very interesting.",False
晚上10點多去餐點，廚房只有剩薯條跟炸雞，紅酒House wine 不太ok，白酒也普通，不會推薦，調酒的部分sangria還不錯，長島冰茶不太行，有點可惜！,"Go to the meal at 10 o'clock in the evening. The kitchen only has leftover fries and fried chicken. The red wine is not OK, the liquor is also ordinary, and it will not be recommended.",False
"極推香辣劍蝦燉飯，屬於創意料理，融合台式蝦仁飯以及燉飯口感做成的料理，在透過香辣與不少的蝦子點綴，口感上比描述的文字還要有層次，很推！

還有吃其他包含百香果一點露、東泉炒麵煎餅、巴斯克乳酪蛋糕，都不踩雷，看得出來店家用心，但沒有特別經驗。整體感受好，可來！

註：假日低消500，平日低消300多，外加一成。咖啡、巧克力那些晚上不提供。","Push spicy sword shrimp stewed rice, belongs to creative cuisine, combined with Taiwanese shrimp rice rice and stewed taste. It is embellished through spicy and many shrimp. push!

There are other foods including Passion fruit, Dongquan fried noodle pancakes, and Basque cheesecakes. They do not step on the thunder. I can see that the shop is attentive, but there is no special experience.The overall feel is good, but come!

Note: Holidays have low 500, and they have a low disappearance of more than 300, plus 10 %.Coffee and chocolate are not provided at night.",False
"香菇燉飯做得不錯，布丁甜度適中。
點得比較多，單純喝咖啡吃甜點也是不錯的環境。","The mushroom stew is done well and the pudding is moderately sweet.
What is more how much, solely drinking coffee to eat dessert is also a bad environment.",False
"市民大道上很有特色的餐酒館❤️謝謝服務生一一細心說明。
第一推薦：炙烤山胡椒鹹豬肉，一上來有一種開寶藏的感覺，會冒煙味道也很好很入味！
第二推薦：胡麻天使麵，跟一般的麵體很不一樣，是細細的麵很有嚼勁，搭配胡麻醬甜甜的，一口接一口
整體來說是很好的用餐體驗，有機會還要點其他餐點試試🥺","Citizen Avenue is very distinctive dining tavern ❤️ Thank the waiters to explain carefully.
The first recommendation: The roasted mountain pepper and salted pork, when it comes to the feeling of opening a treasure, it will have a good taste and taste!
The second recommendation: flax angel noodles, very different from the general facade. It is very chewy with thin noodles. It is sweet with flax sauce.
Overall is a good dining experience, if you have the opportunity to order other meals, try 🥺",False
