Original,EN,Needs Review
"很舒服的清酒Bar，且闆娘很專業，是專業的日本酒講師，可以跟她請教好多清酒有趣的風味與飲用方式，很有趣！店內也會辦一些飲酒活動，可以追他們的IG查看～

因為座位不多，所以建議預約唷！","Very comfortable sake BAR, and Ban Niang is very professional, a professional Japanese wine lecturer. You can ask her to ask her a lot of interesting flavor and drinking methods. It is very interesting!There will also be some drinking activities in the store, you can chase their IG to view ~

Because there are not many seats, it is recommended to make an appointment!",False
店員推薦搭餐的酒非常適當！服務非常貼心。白帶魚超好吃！,The clerk recommends the wine for meals!The service is very intimate.The leucorrhea is super delicious!,False
"二訪還是覺得好讚✨
老闆娘很親切依照我們的口味推薦適合的酒🍶店內選酒每週都不太一樣 老闆選酒品味很好 食物也都很用心😋 店內座位不多 一個人或三五好友小酌都很適合～採預約制📅 事先訂位避免撲空唷","I still feel so good at the second visit 是
The boss is very kind to recommend the suitable wine in the shop in the store. Selecting wine in the shop is not the same every week. Booking the reservation system 先 Prior to ordering to avoid fluttering",False
"清酒有杯上也可以開整瓶，雖然全部都是清酒，但混一混還是會暈的。

餐點口味都不錯，適合下酒價格也不算太貴，是適合上班族放鬆的小酒吧！","There can be a whole bottle on the cup of sake. Although it is all sake, it will still be dizzy.

The taste of the meal is good, it is not too expensive for the price of wine, it is a small bar suitable for office workers to relax!",False
在巷弄的寶藏酒吧，清酒種類多樣、獨特又順口；氛圍也很舒適，不僅適合三五好友週末聚會，也適合獨飲，是一間會想再訪的店。,"In the lane treasure bars, there are various types of sake, unique and smooth. The atmosphere is also very comfortable. It is not only suitable for three or five friends on weekends, but also suitable for drinking alone. It is a shop where you want to visit again.",False
"超級驚艷！！因爲對清酒有興趣，第一次來清酒吧過過癮。店長Leo專業又細心的介紹各款酒，試喝選酒，喝到好幾款特色酒。餐點更是大大驚艷，滷牛肚、東坡肉，連乾麵都超好吃。滷牛肚是史上第一次吃到超級軟嫩入味的牛肚。每道菜味道都很舒服，不會過於鹹膩而蓋過酒的韻味。
酒款太多喝不完，下次再來喝爆！","Super stunning!IntersectionBecause I am interested in sake, I am addicted to the first time I came to the sake bar.The store manager Leo professional and carefully introduced various wines, tried to drink wine, and drank several specialty wines.The meal is greatly amazing, braised beache belly, Dongpo meat, even dry noodles are super delicious.The braised beef belly is the first time in history to eat super soft and tender beef belly.The taste of each dish is very comfortable, and it will not be too salty and cover the charm of wine.
The wine can't be finished, and next time I will explode again!",False
工作繁忙的台北人，最喜歡下班後和三五朋友把酒聊天，Chill放鬆。位於信義安和的小酩 Sake Bar，除了每週都會推出不同Sake酒款，餐點也有台菜或西式甜點的組合，適合喜歡搭配不同小食的顧客喔！,"The busy Taipei people like to chat with three or five friends after get off work, and Chill relaxes.Sake Bar, located in Xinyi Anhe, will launch different SAKE wines every week. There is also a combination of Taiwanese or Western -style desserts for meals. It is suitable for customers who like to match with different snacks!",False
清酒推薦專業，同時食物也配酒。,"Sake is recommended for specialty, and food is also equipped with alcohol.",False
"喝清酒的好選擇
很有質感的地方
也因為賣的是清酒
風格也偏日式的低調簡約

店員推了幾杯都還蠻合乎味口的
還有點小食可以點
那就都來一些吧
最後又點了瓶baby sake
可愛的名字不過味道偏輕了點
但瓶子我很喜","Good choice for drinking sake
Very textured place
Also selling sake
Style is also a Japanese -style low -key and simple

The clerk pushed a few cups and it was quite delicious
There is also some snacks that can be ordered
Let's get a little bit
Finally, I ordered a bottle of Baby Sake
The cute name is not the taste lighter
But I am very happy in the bottle",False
"清酒推薦的好好喝🥺🥺🥺
完全正中紅心😍
懇請大家不想喝清酒的不要來
這樣才會有位置可以訂😍😍😍","Recommended by sake
Completely in the middle of the red heart 红
I urge you not want to drink sake, don't come
In this way, there will be a place to order 位置",False
"很棒的餐點，種類不少的sake , 店長很用心推介不同的清酒，也有不少有趣的選擇。氣氛超級棒，推薦!! ❤️","A great meal, a lot of Sake, the manager has carefully promoted different sake, and there are many interesting choices.The atmosphere is superb, recommended !! ❤️",False
店內氣氛佳，店家專業知識很足，與客人互動的感覺也很好，是個寶藏店,"The atmosphere in the store is good, the store's professional knowledge is enough, and the feeling of interacting with the guests is also very good. It is a treasure shop.",False
鬧中取靜的清酒吧，單杯清酒有不少選項，也有精釀啤酒和燒酌。美麗的老闆娘十分親切，好友相聚或一人獨酌都很適合。,"Take the quiet bartender bar in the trouble. There are many options for single cups of sake, as well as craft beer and burning.The beautiful boss is very kind, and it is very suitable for friends to gather together or one person alone.",False
"很不想分享出來的秘密基地，真的很喜歡小酩。
東西好吃不說，待客親切又熱心，樂於分享清酒、琴酒，真的很美好。","I do n’t want to share the secret base, I really like Xiaoyu.
It ’s really beautiful to say that things are delicious and enthusiastic about sharing sake and piano wine.",False
朋友推薦的sake bar，今天喝了兩款請老闆介紹不同風味的清酒，口感都很棒，店裡的招牌東坡肉跟滷牛肚，還有花田喜彘，都很搭配清酒，只能說無與倫比的好吃好喝，是一間很有質感的sakebar，很值得來這裡好好放鬆一下。,"Sake Bar recommended by my friend, I drank two models today, asking the boss to introduce different flavors of sake. The taste is great. Unparalleled delicious and delicious, it is a very textured Sakebar, which is worth coming here to relax.",False
"預約制的好店～
東坡肉和生蠔都豪好吃！
清酒的品項很多，
老闆都會親自介紹
親和力100分🥳
-
下次還要去！","Good shops for reservation ~
Dongpo meat and oysters are delicious!
There are many items of sake,
The boss will introduce it yourself
Affinity 100 points 1 1 1 00
-
Go again next time!",False
"好好喝、好好吃
隱私性極高
推薦大家
朋友陸續點了很多食物🍜
店長Leo會推薦搭配的酒款","Good and delicious
Very high privacy
Recommend everyone
Friends ordered a lot of foods one after another 点
The store manager Leo will recommend matching wines",False
