店名,評分,評論數,地址,鏈接
SHANN SHANN 小香 台北三越信義店,4.8 ,761,110台北市信義區松壽路9號6樓,https://www.google.com/maps/place/SHANN+SHANN+%E5%B0%8F%E9%A6%99+%E5%8F%B0%E5%8C%97%E4%B8%89%E8%B6%8A%E4%BF%A1%E7%BE%A9%E5%BA%97/data=!4m7!3m6!1s0x3442abc972c3530b:0xe80bb2d599b6fdfd!8m2!3d25.0363104!4d121.5668588!16s%2Fg%2F11y4nd9vcy!19sChIJC1PDcsmrQjQR_f22mdWyC-g?authuser=0&hl=zh-TW&rclk=1
ABV Bar & Kitchen 加勒比海餐酒館 台北忠孝店 大安區美食 大安區餐酒館 異國料理烤肉｜中南美洲菜｜聚餐宵夜包場｜精釀啤酒餐廳,4.6 ,"3,999",106台北市大安區敦化南路一段233巷61號,https://www.google.com/maps/place/ABV+Bar+%26+Kitchen+%E5%8A%A0%E5%8B%92%E6%AF%94%E6%B5%B7%E9%A4%90%E9%85%92%E9%A4%A8+%E5%8F%B0%E5%8C%97%E5%BF%A0%E5%AD%9D%E5%BA%97+%E5%A4%A7%E5%AE%89%E5%8D%80%E7%BE%8E%E9%A3%9F+%E5%A4%A7%E5%AE%89%E5%8D%80%E9%A4%90%E9%85%92%E9%A4%A8+%E7%95%B0%E5%9C%8B%E6%96%99%E7%90%86%E7%83%A4%E8%82%89%EF%BD%9C%E4%B8%AD%E5%8D%97%E7%BE%8E%E6%B4%B2%E8%8F%9C%EF%BD%9C%E8%81%9A%E9%A4%90%E5%AE%B5%E5%A4%9C%E5%8C%85%E5%A0%B4%EF%BD%9C%E7%B2%BE%E9%87%80%E5%95%A4%E9%85%92%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442abc5e5cc8e03:0xa58081d43316cce4!8m2!3d25.0405072!4d121.5523983!16s%2Fg%2F11byyrr0kv!19sChIJA47M5cWrQjQR5MwWM9SBgKU?authuser=0&hl=zh-TW&rclk=1
Single&Double（文山特色鐵觀音梅酒、威士忌）,5.0 ,563,116台北市文山區指南路一段29號,https://www.google.com/maps/place/Single%26Double%EF%BC%88%E6%96%87%E5%B1%B1%E7%89%B9%E8%89%B2%E9%90%B5%E8%A7%80%E9%9F%B3%E6%A2%85%E9%85%92%E3%80%81%E5%A8%81%E5%A3%AB%E5%BF%8C%EF%BC%89/data=!4m7!3m6!1s0x3442abfc62a0ae7f:0x6f1f1810f4bef0c!8m2!3d24.9877509!4d121.569771!16s%2Fg%2F11qntrmyt3!19sChIJf66gYvyrQjQRDO9LD4Hx8QY?authuser=0&hl=zh-TW&rclk=1
徙巷小餐酒 The Who Bistro／家庭式／情侶約會／小酌／聚餐／尾牙包場／公司聚餐,4.6 ,541,116台北市文山區木柵路三段49巷12號,https://www.google.com/maps/place/%E5%BE%99%E5%B7%B7%E5%B0%8F%E9%A4%90%E9%85%92+The+Who+Bistro%EF%BC%8F%E5%AE%B6%E5%BA%AD%E5%BC%8F%EF%BC%8F%E6%83%85%E4%BE%B6%E7%B4%84%E6%9C%83%EF%BC%8F%E5%B0%8F%E9%85%8C%EF%BC%8F%E8%81%9A%E9%A4%90%EF%BC%8F%E5%B0%BE%E7%89%99%E5%8C%85%E5%A0%B4%EF%BC%8F%E5%85%AC%E5%8F%B8%E8%81%9A%E9%A4%90/data=!4m7!3m6!1s0x3442abcb46e91089:0xf360f866bf3a7970!8m2!3d24.9890729!4d121.566124!16s%2Fg%2F11rxrts_8p!19sChIJiRDpRsurQjQRcHk6v2b4YPM?authuser=0&hl=zh-TW&rclk=1
渣男TaiwanBistro 木柵二渣,4.8 ,"2,358",116台北市文山區萬芳路9-1號,https://www.google.com/maps/place/%E6%B8%A3%E7%94%B7TaiwanBistro+%E6%9C%A8%E6%9F%B5%E4%BA%8C%E6%B8%A3/data=!4m7!3m6!1s0x3442aa68b2adc2ef:0x994c821502530140!8m2!3d24.9984807!4d121.5704915!16s%2Fg%2F11c1s0t7rv!19sChIJ78KtsmiqQjQRQAFTAhWCTJk?authuser=0&hl=zh-TW&rclk=1
Bar Trace軌跡,4.9 ,63,116台北市文山區興隆路四段85號,https://www.google.com/maps/place/Bar+Trace%E8%BB%8C%E8%B7%A1/data=!4m7!3m6!1s0x3442ab820fc1fe5f:0x3a28265fc2f094e6!8m2!3d24.9890493!4d121.5601994!16s%2Fg%2F11lcjf8czk!19sChIJX_7BD4KrQjQR5pTwwl8mKDo?authuser=0&hl=zh-TW&rclk=1
Purrson Bistro 呼嚕小酒館,4.7 ,"2,005",116台北市文山區指南路二段106號,https://www.google.com/maps/place/Purrson+Bistro+%E5%91%BC%E5%9A%95%E5%B0%8F%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab7de6c41451:0x55842883f4a73f82!8m2!3d24.9861386!4d121.5794751!16s%2Fg%2F11j21x07gz!19sChIJURTE5n2rQjQRgj-n9IMohFU?authuser=0&hl=zh-TW&rclk=1
好啤氣 Temper,4.6 ,249,116010台北市文山區指南路一段100號,https://www.google.com/maps/place/%E5%A5%BD%E5%95%A4%E6%B0%A3+Temper/data=!4m7!3m6!1s0x3442aa7a4f6a6f3d:0xf3a3b12b407cf3f0!8m2!3d24.9875529!4d121.571281!16s%2Fg%2F11c2p64m0l!19sChIJPW9qT3qqQjQR8PN8QCuxo_M?authuser=0&hl=zh-TW&rclk=1
小聚苑 cafe,5.0 ,263,116台北市文山區木柵路三段103巷1號,https://www.google.com/maps/place/%E5%B0%8F%E8%81%9A%E8%8B%91+cafe/data=!4m7!3m6!1s0x3442aba33c3ffcc7:0xe6fd4fb96354006f!8m2!3d24.9888256!4d121.5680184!16s%2Fg%2F11sqjqjh1t!19sChIJx_w_PKOrQjQRbwBUY7lP_eY?authuser=0&hl=zh-TW&rclk=1
Circle Bar,4.5 ,203,116台北市文山區羅斯福路五段31-1號,https://www.google.com/maps/place/Circle+Bar/data=!4m7!3m6!1s0x3442aa1e46eb250b:0x98100aa3d6c6e398!8m2!3d25.007628!4d121.5386981!16s%2Fg%2F11cfbrjgb!19sChIJCyXrRh6qQjQRmOPG1qMKEJg?authuser=0&hl=zh-TW&rclk=1
隱 Bistro,4.7 ,375,116台北市文山區指南路二段72號,https://www.google.com/maps/place/%E9%9A%B1+Bistro/data=!4m7!3m6!1s0x3442ab81cc109e31:0xd6bbc1f25ce2b7fd!8m2!3d24.9868081!4d121.578528!16s%2Fg%2F11p67tfwhj!19sChIJMZ4QzIGrQjQR_bfiXPLBu9Y?authuser=0&hl=zh-TW&rclk=1
Something Cafe & Bistro,5.0 ,124,116台北市文山區景美街102號,https://www.google.com/maps/place/Something+Cafe+%26+Bistro/data=!4m7!3m6!1s0x3442ab0160eadf1f:0x149401f83a204b08!8m2!3d24.9893479!4d121.5414031!16s%2Fg%2F11ks0cppf3!19sChIJH9_qYAGrQjQRCEsgOvgBlBQ?authuser=0&hl=zh-TW&rclk=1
山羊 GOAT bistro & cafe’,4.6 ,228,116台北市文山區興隆路四段100號,https://www.google.com/maps/place/%E5%B1%B1%E7%BE%8A+GOAT+bistro+%26+cafe%E2%80%99/data=!4m7!3m6!1s0x34680311e955080b:0xe5ce38d9e9490ca4!8m2!3d24.983336!4d121.561987!16s%2Fg%2F11tdtdjn1m!19sChIJCwhV6REDaDQRpAxJ6dk4zuU?authuser=0&hl=zh-TW&rclk=1
Book Bar,5.0 ,23,116台北市文山區羅斯福路五段269巷30號,https://www.google.com/maps/place/Book+Bar/data=!4m7!3m6!1s0x3442ab88cc46cbe1:0xb782d392a6853d14!8m2!3d25.0013447!4d121.540868!16s%2Fg%2F11p_77s2nb!19sChIJ4ctGzIirQjQRFD2FppLTgrc?authuser=0&hl=zh-TW&rclk=1
LAX 慵懶 貓空景觀餐廳 求婚告白 遠眺101 品茶喝茶 寵物友善 聚餐包場 婚禮,4.7 ,"1,944",116台北市文山區指南路三段34巷12號,https://www.google.com/maps/place/LAX+%E6%85%B5%E6%87%B6+%E8%B2%93%E7%A9%BA%E6%99%AF%E8%A7%80%E9%A4%90%E5%BB%B3+%E6%B1%82%E5%A9%9A%E5%91%8A%E7%99%BD+%E9%81%A0%E7%9C%BA101+%E5%93%81%E8%8C%B6%E5%96%9D%E8%8C%B6+%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84+%E8%81%9A%E9%A4%90%E5%8C%85%E5%A0%B4+%E5%A9%9A%E7%A6%AE/data=!4m7!3m6!1s0x3468018e501b1a5d:0x8f176be9c7fec44d!8m2!3d24.9745797!4d121.5800668!16s%2Fg%2F11rpd9gjxs!19sChIJXRobUI4BaDQRTcT-x-lrF48?authuser=0&hl=zh-TW&rclk=1
星河,4.4 ,14,116台北市文山區木新路二段110號,https://www.google.com/maps/place/%E6%98%9F%E6%B2%B3/data=!4m7!3m6!1s0x3442aa77981e596f:0xf4b6e66998391e54!8m2!3d24.9846501!4d121.5699224!16s%2Fg%2F11kmpbzr3q!19sChIJb1kemHeqQjQRVB45mGnmtvQ?authuser=0&hl=zh-TW&rclk=1
楓味亭,4.0 ,81,11645台北市文山區木柵路一段200號,https://www.google.com/maps/place/%E6%A5%93%E5%91%B3%E4%BA%AD/data=!4m7!3m6!1s0x3442abf70ee488fb:0xd5e8c8e9f8e759e4!8m2!3d24.9877622!4d121.5529607!16s%2Fg%2F11h0t8kh04!19sChIJ-4jkDverQjQR5Fnn-OnI6NU?authuser=0&hl=zh-TW&rclk=1
李氏兄弟44號餐酒館(李氏餐坊),4.8 ,698,116台北市文山區新光路一段104號,https://www.google.com/maps/place/%E6%9D%8E%E6%B0%8F%E5%85%84%E5%BC%9F44%E8%99%9F%E9%A4%90%E9%85%92%E9%A4%A8%28%E6%9D%8E%E6%B0%8F%E9%A4%90%E5%9D%8A%29/data=!4m7!3m6!1s0x34689f957b651b21:0xc054457c30a251f2!8m2!3d24.9914219!4d121.57353!16s%2Fg%2F1tngn05t!19sChIJIRtle5WfaDQR8lGiMHxFVMA?authuser=0&hl=zh-TW&rclk=1
米絲阿樂局調酒專賣,4.6 ,274,116台北市文山區萬芳路60-18號,https://www.google.com/maps/place/%E7%B1%B3%E7%B5%B2%E9%98%BF%E6%A8%82%E5%B1%80%E8%AA%BF%E9%85%92%E5%B0%88%E8%B3%A3/data=!4m7!3m6!1s0x3442aa6f2bcf4101:0x331e0d32bee13e28!8m2!3d24.998572!4d121.568614!16s%2Fg%2F11b7fhfcpd!19sChIJAUHPK2-qQjQRKD7hvjINHjM?authuser=0&hl=zh-TW&rclk=1
Old Bridge 飛鏢吧,4.4 ,62,116台北市文山區景美街158號,https://www.google.com/maps/place/Old+Bridge+%E9%A3%9B%E9%8F%A2%E5%90%A7/data=!4m7!3m6!1s0x346801fe164674ab:0xcf52a4fce2b3530e!8m2!3d24.9884583!4d121.5413922!16s%2Fg%2F11c6sly1tt!19sChIJq3RGFv4BaDQRDlOz4vykUs8?authuser=0&hl=zh-TW&rclk=1
甩泰餐酒館,4.6 ,962,116台北市文山區羅斯福路五段150巷59號,https://www.google.com/maps/place/%E7%94%A9%E6%B3%B0%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab5701d7ff47:0xbd0b88ff68bff8ba!8m2!3d25.007388!4d121.5378173!16s%2Fg%2F11p5rrf9z9!19sChIJR__XAVerQjQRuvi_aP-IC70?authuser=0&hl=zh-TW&rclk=1
獅子王KTV,4.2 ,"1,134",116台北市文山區羅斯福路四段200號號2樓,https://www.google.com/maps/place/%E7%8D%85%E5%AD%90%E7%8E%8BKTV/data=!4m7!3m6!1s0x3442a9e62d395ae3:0x9d4183867f2b4e5!8m2!3d25.0107691!4d121.5368091!16s%2Fg%2F11q_n2wq9r!19sChIJ41o5LeapQjQR5bTyZzgY1Ak?authuser=0&hl=zh-TW&rclk=1
自由·之丘,4.7 ,385,116台北市文山區木新路二段69巷1號1樓,https://www.google.com/maps/place/%E8%87%AA%E7%94%B1%C2%B7%E4%B9%8B%E4%B8%98/data=!4m7!3m6!1s0x3442abb4a54aaaff:0xd96643eec17e31d6!8m2!3d24.9858893!4d121.5709036!16s%2Fg%2F11f768h2xr!19sChIJ_6pKpbSrQjQR1jF-we5DZtk?authuser=0&hl=zh-TW&rclk=1
夜樂小吃部附設卡拉OK,3.9 ,47,116台北市文山區木新路三段259號,https://www.google.com/maps/place/%E5%A4%9C%E6%A8%82%E5%B0%8F%E5%90%83%E9%83%A8%E9%99%84%E8%A8%AD%E5%8D%A1%E6%8B%89OK/data=!4m7!3m6!1s0x346801e0c73a042f:0x5e53ff556fab4e90!8m2!3d24.9809811!4d121.5583044!16s%2Fg%2F11f3bkndry!19sChIJLwQ6x-ABaDQRkE6rb1X_U14?authuser=0&hl=zh-TW&rclk=1
