Original,EN,Needs Review,Positive,Negative,Neutral,Compound
為了慶祝父親節，第一次與家人到訪。店裡的燈光略暗，低調，但符合店家的調性。老闆很友善貼心，可以聊天。餐點都有一定的水準，很不賴。推薦店家的特殊啤酒-木柵女婿，順口好喝。適合情侶、夫妻、好友前往聊天小酌。,"To celebrate Father's Day, I visited my family for the first time.The lights in the store are slightly darker and low -key, but it is in line with the tone of the store.The boss is very friendly and intimate and can chat.There is a certain level of meals, which is not bad.The special beer of the store-Muzha son-in-law is delicious.Suitable for couples, couples, and friends to chat with them.",False,0.171,0.053,0.776,0.8906
"來這邊都是喝當天的四種自釀啤酒
提供的炸物手藝不錯, 份量也充足。
店家也十分客氣，店面不大所以如果碰到團體消費時, 會比較吵雜","Come here are all four kinds of self -brewed beer that day that day
The fried craftsmanship provided is good and the portion is sufficient.
The store is also very polite, the store is not large, so if you encounter the group consumption, it will be more noisy",False,0.057,0.039,0.904,0.228
身為政大的學生，學校附近有好啤氣實在太讚啦！！同學們聚會的好地方，炸物好吃，酒的種類豐富、價格合理，老闆服務態度親切，店內氣氛也很棒！,"As a student of Zhengda University, there is a good beer near the school!IntersectionThe good places of the classmates are delicious, the types of wine are delicious, the price of wine is rich, the price is reasonable, the boss service attitude is cordial, and the atmosphere in the store is also great!",False,0.318,0.0,0.682,0.9701
"250元的套餐有千層麵、沙拉和一杯生啤酒，真的cp值爆表！餐點非常好吃，rosee很棒超好喝，味道是香甜清爽的覆盆莓滋味
總之，燈光美氣氛佳，還會想帶朋友再來～～","The 250 yuan package includes a thousand levels, salads and a cup of beer.The meal is very delicious, Rosee is great and delicious, the taste is sweet and refreshing raspberry berry flavor
In short, the lights are beautiful, and you will want to bring friends again ~~",False,0.366,0.0,0.634,0.9722
好地方！適合晚上來木柵喝一杯啤酒，希望木柵晚上有愈來愈多有趣的地方！,"Good place!Suitable for Muzha to drink a cup of beer at night, I hope that Muzha will be more and more interesting at night!",False,0.315,0.0,0.685,0.8638
"價格超平價👍
食物份量也很足～
調酒👍
不過場地比較小 會稍嫌擁擠～ …","Price super affordable 👍
The food portion is also sufficient ~
Bartender 👍
However, the venue is relatively small and it will be a little crowded ~ ...",False,0.119,0.0,0.881,0.5994
聊天小酌的好地點🍻，沒有一般酒吧的吵雜。溫馨安靜，顧客單純大多是附近的居民或政大學生。 喜歡千層麵💕 …,"The good place for chatting and drinking, there is no noise of ordinary bars.Warm and quiet, most customers are simply nearby residents or political students.Like a thousand levels 面 ...",False,0.088,0.066,0.846,0.1779
氣氛不錯，酒好喝。但地下室回音很大聲、人多時很不舒服,"The atmosphere is good, the wine is good.But the basement echo is loud and uncomfortable for a while",False,0.135,0.121,0.744,0.0772
在木柵能有輕鬆喝啤酒的小店，真的很棒,It's great to have a small shop that can easily drink beer in Muzha,False,0.351,0.0,0.649,0.7579
店內氣氛佳，一樓的音樂不會太吵，啤酒很好喝，餐點好吃，整體來說很棒，是會想再訪的店。,"The atmosphere in the store is good, the music on the first floor will not be too noisy, the beer is delicious, the meals are delicious, and the overall is great. It is a shop that you want to visit again.",False,0.33,0.0,0.67,0.9453
