Original,EN,Needs Review,Positive,Negative,Neutral,Compound
茶水間全日餐飲的蔥肉餅，雖然口感稍微焦了一些，但仍保有其獨特的風味。另外，他們的蘿蔔糕加蛋有些乾，但整體來說，菜品還是相當可口的。期待他們能夠進一步改進烹飪技巧，提供更加完美的料理體驗。,"The green onion cakes of the full -day dining room of tea, although the taste is slightly burnt, it still retains its unique flavor.In addition, their radish cake and eggs are a little dry, but overall, the dishes are quite delicious.Looking forward to further improvement of cooking skills and providing a more perfect cooking experience.",False,0.152,0.0,0.848,0.8883
"肉燥飯（有配菜）+荷包蛋+綜合湯只要80元，照片可能看不太出來但是份量真的很足，白飯給很多綜合湯的料也很多，吃的非常飽！店裡有免費的紅茶和碎冰可以取用，這個價位真的是很佛心，
👍。老闆和老闆娘很親切，很有人情味的氛圍，外觀雖然不是很起眼路過的人可能不容易注意到，但是真的非常推薦👍","Dry rice (with side dishes)+poached eggs+comprehensive soup only costs 80 yuan, the photos may not be seen, but the portion is really sufficient. There are many materials for a lot of comprehensive soup for white rice.There are free black tea and broken ice in the store to use. This price is really a buddha.
Alas.The boss and the boss are very kind and have a human atmosphere. Although the appearance is not very eye -catching, it may not be easy to notice, but it is really recommended.",False,0.142,0.071,0.787,0.8111
絕對能吃飽的一間店，喜歡吃辣的人，辣椒也給的很剛好，整體CP值很高。,"A shop that is definitely full, people who like spicy food, peppers are also very good, the overall CP value is very high.",False,0.362,0.0,0.638,0.8687
"湯烏龍感覺很有台味XD
不過好吃就好。
有免費紅茶可以喝。","Soup oolong feels very tasteful XD
But it's delicious.
There are free black tea to drink.",False,0.488,0.0,0.512,0.9247
"餐點平價實惠份量很夠 連續吃一個禮拜了
店內用餐還有飲料自行取用
身為學生+上班族的我很愛❤️
看了相片都沒有菜單 為各位奉上茶水間菜單","Meal at a price and affordable portion is enough to eat for a week.
There are also drinks in the store and drink by yourself
As a student+office worker, I love ❤️
After reading the photos, there is no menu for everyone to present the tea room menu",False,0.079,0.041,0.88,0.4588
"一陣子沒買來了
還不錯….就…..可以參考
推薦","I haven't bought it for a while
Not bad .... Just ... .. For reference
recommend",False,0.276,0.0,0.724,0.6542
炒飯的味道普通但份量很多，紅茶蠻好喝的，老闆、老闆娘態度都蠻好～,The taste of fried rice is ordinary but a lot of weight. The black tea is quite delicious. The attitude of the boss and the boss is quite good ~,False,0.259,0.0,0.741,0.8952
"堡類價格非常實惠，附近價格應該找不到更便宜的了，然後這個價格居然有蛋，其他家加蛋要額外貼個15。

嫩雞是其他早餐店的菲力雞，龍鳳總匯是雞堡排加上漢堡肉排。

炒飯很神奇的是黑胡椒口味的，個人不是很習慣，通常來說應該是醬油比較常見。不過份量還算多。","The price of the castle is very affordable. The price nearby should not be cheaper. Then there is an egg in this price. Other home adds an additional 15.

The tender chicken is the Fili chicken of other breakfast shops. Longfeng's general exchange is a chicken castle and a burger meat.

The fried rice is amazing that the black pepper tastes. Individuals are not very used to it. Generally speaking, soy sauce should be more common.But the portion is quite large.",False,0.045,0.0,0.955,0.5859
"這是一間有人情味的店，老闆娘的媳婦都會跟客人聊天，讓我們消費者都覺得不錯👍
重點！炒飯真的好吃！每次來都會點一次，還會加上其他配著吃😊 …","This is a humane shop. The boss's daughter -in -law will chat with the guests, making us consumers feel good.
The point!Fried rice is really delicious!Every time you come, you will order it, and you will add other foods ...",False,0.082,0.0,0.918,0.5399
Uber 可以早點打開嗎🤤已經訂三次了 以後也想一直定下去,Can Uber open it early?,False,0.0,0.0,1.0,0.0
