Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"服務人員很熱誠
從你進門的時候就會來引導客人入座並點餐
詢問餐點內容也會詳細介紹
餐點價位平易近人
但很美味
當天麻煩調酒師幫我“特調”
真的很棒！
（餐點部分因製作時間會久一點點，建議先點吃的再慢慢看想喝什麼喔！）

即使沒有要小酌
也可以入內用餐的
有無酒精的飲品","The service staff is very enthusiastic
When you enter the door, you will guide the guests to seat and order
Ask the content of the meal, the content will be introduced in detail
The price of meals is approachable
But it's delicious
Trouble the bartender to help me ""special"" that day
It's great!
(The meal part will be a little longer because the production time will be a little longer.

Even if you don't have to drink
You can also eat in the meal
Whether alcoholic drinks",False,0.194,0.034,0.772,0.9571
"雙人套餐：699$
炒飯三選一/培根炒高麗菜/快炒任選一/串燒選二
調酒：grape 230$
炒飯米粒粒粒分明、油香蛋香掌握得很好；雞鬧豆腐小辣（辣度可以調整）雞腿肉很嫩、蛋花滑嫩調味重，好吃下飯、激推！
整體來說價格中等，值得一訪。","Double package: 699 $
Select one three of fried rice/bacon fried Korean vegetables/fast stir -fry to choose one/skewers to choose two
Bartending: Grape 230 $
The rice grains of fried rice are clear, and the oily egg fragrance is well mastered; the chicken tofu is small (spicy can be adjusted) the chicken legs are very tender, the egg flowers are smooth and delicious, and the delicious rice is delicious!
Overall the price is medium, it is worth visiting.",False,0.2,0.0,0.8,0.9516
"政大附近近一個月內新開的餐酒館。到訪的這天中午吃得不多，所以晚餐時間超餓，用餐人入6位，剛好可以把菜單上推薦的項目都大概點一下，也順便寫下當天的用餐體驗。

🔸服務
服務生一開始遞上菜單，首先菜單的這個材質很容易反光，配上這個底色和字的顏色，看得有點辛苦。點餐要自己寫在便條紙上，便條紙也是深色，搭上藍色原子筆，眼睛會有脫窗感。
服務生感覺是會和客人玩鬧的那種，像是我們覺得很熱請他開一下座位上方的冷氣，他就說要我們自己想辦法(內心充滿問號)。後來冷氣直吹太冷，他拿雨傘給我們橋擺葉，也是很有趣。不知道這台冷氣的遙控器到底是發生什麼事為什麼不能用^_^?
上餐的部分非常的慢，因為很餓所以把這裡當小吃店在點，點了大約7道左右，全程大概每10-15分鐘才會上一道，吃完一份馬上就覺得很空虛，所以建議還是先吃點東西墊墊肚子再來這裡小酌會是比較好的選擇。

🔹餐點
熱炒的部分點了三杯雞和雞鬧豆腐，很好吃，很適合配飯（可惜沒白飯，炒飯又很慢才上）。炒飯就是一般的炒飯堆成金字塔的樣子，就當作是因為疊這樣很耗工所以出餐才很慢好了～炸物和串燒都算正常發揮，因為真的等得很餓所以吃什麼都覺得好吃。
啤酒買3送1（同價位），點餐時就要先決定要哪種價位的，然後再自己去冰箱拿。特調的話，白色佳人感覺就是檸檬汁，配上檸檬皮的苦澀感；西瓜特條像是稀釋過的西瓜汁；芒果特調比較有酒的感覺（非專業，勿鞭）。

▪️環境
用餐座位有吧台區、四人桌、八人桌。這次是坐在靠近廁所的八人桌，雖然是八人桌但桌上餐具只有六份@@桌上如果可以提供多一點衛生紙就好了，不然什麼都要再跟服務生要有點麻煩～廁所則是蠻乾淨的，洗手台上還有提供牙線和漱口水，很貼心～","Newly opened restaurants in the nearly one month near Zhengda University.I did n’t eat much at noon on the day of the visit, so the dinner time was super hungry, and the dining people entered 6 people. It was just that the items recommended on the menu were probably clicked, and by the way, I wrote down the dining experience of the day.

🔸 🔸 🔸 🔸 🔸 🔸 🔸
At the beginning, the waiter handed the menu. First of all, the material of the menu was easy to reflect. With the color of this background color and character, it was a bit hard.If you order, you should write it on your own paper. The strip paper is also dark. When put on the blue atomic pen, the eyes will have a windowing feeling.
The waiter feels the kind of playing with the guests, as if we feel that he is very hot to ask him to open the air -conditioned above the seat, he said that we want to find a way (full of question marks).Later, the air -conditioned was too cold, and he took the umbrella to the bridge leaves, which was also very interesting.I do n’t know what happened to this air -conditioning remote control. Why ca n’t it be used^_^?
The part of the meal is very slow, because I am hungry, so I treat it as a snack bar, or order about 7, and the whole journey will only be available every 10-15 minutes. It is recommended that you eat something first and then come here to drink it. It is a better choice.

Meal
The hot fried part ordered three cups of chicken and chicken to make tofu. It was delicious and suitable for meals (unfortunately there was no rice, and fried rice was very slow).Fried rice is the same as the pile of fried rice into pyramids. It is used as a very slow delivery because it is very worked because it is very worked. They all feel delicious.
Buy 3 get 1 (the same price) for beer. When ordering, you must first decide which price you want, and then go to the refrigerator by yourself.If you are special, the white beauty feels like lemon juice, with the bitterness of lemon peel; watermelon specialty is like diluted watermelon juice; mango special feel is more wine (non -professional, do not whip).

▪️ Environment
The dining seats are bar areas, four -person tables, and eight -person tables.This time is the eight -person table sitting near the toilet. Although it is a eight -person table, there are only six tableware on the table @@ 这 If you can provide a little more toilet paper, otherwise you have to be a bit troublesome to the waiter ~ The toilet is quite clean. There are also dental floss and mouthwash on the washstand, which is very intimate ~",False,0.117,0.02,0.863,0.9926
換人經營後品質就是一般的學生酒吧，熟客氛圍很強，第一次去店員還在外面抽菸完全不知道能找誰點餐，喝完酒也不知道能找誰結帳，新客不友善,"After the replacement, the quality is a general student bar. The atmosphere of the mature customer is very strong. For the first time, the clerk went to smoke outside.",False,0.191,0.0,0.809,0.7501
"Mojito (梅酒）
長島2代（比較特別的口感）

謝謝bartender 招待的shot
水蜜桃尾韻彷彿綻放在口中
最後離開前的抹茶可可餅乾有驚艷到！
（口感剛好不過脆，軟濕得很剛好，抹茶可可味都濃郁）
大推薦來！尤其坐吧臺能跟bartender 聊聊很讚","Mojito (plum wine)
Long Island 2nd generation (more special taste)

Thank you Bartender for entertaining shot
The peach tail rhyme seems to bloom in the mouth
Finally, the matcha cocoa before leaving was amazing!
(The taste is just crispy, soft and humid, and matcha taste is rich)
Recommended!Especially sitting on the bar can talk to Bartender very well",False,0.268,0.0,0.732,0.9586
小小餐館，位子不多，出乎意外的餐點好吃，熱炒有水準，金沙豆腐外香脆內軟嫩特好吃，炒飯有鼎泰豐的味道；老闆熱誠。餐廳門面不顯眼，有點“隱”，原則上是晚上營業，中午要先預定才會營業。,"There are not many small restaurants. The unexpected meals are delicious, and the hot fried is standard. The crispy and deliciousness of the golden sand tofu is delicate and delicious. The fried rice has the taste of Ding Taifeng; the boss is enthusiastic.The facade of the restaurant is not conspicuous and a bit ""hidden"". In principle, it is open at night, and it must be reserved at noon to open.",False,0.147,0.0,0.853,0.886
熱炒很好吃！推推炒飯跟雞鬧豆腐！調酒師的酒也很讚！爽喝shot~服務生也很nice,Hot fried is delicious!Push fried rice and make chicken tofu!The alcoholic wine is also very good!Drink Shot ~ The waiter is also very nice,False,0.147,0.0,0.853,0.6084
"在大學附近的餐酒館
餐點品項很特別又美式炸物也有台式熱炒
出餐有點慢～
薯條很好吃
起司條有點炸過頭
啤酒還不錯喝
空間氣氛不錯～","Dining and tavern near university
The meal items are very special and American fried products also have desktop hot frying
It's a bit slow to go out ~
French fries are delicious
The cheese is a bit overwhelming
Beer is pretty good
The space atmosphere is good ~",False,0.267,0.0,0.733,0.9402
學生酒吧，好處是便宜乾淨，食物好吃，但調酒的原材料與冰塊品質可能不佳，杯壁過厚也沒做好冰杯，造成回溫過快，酒感突兀。,"Student bar, the advantage is cheap and clean, and the food is delicious, but the quality of the raw materials and ice cubes may not be good. The cup wall is too thick and does not make the ice cup.",False,0.127,0.069,0.803,0.1508
"政大附近新開的店
氣氛很讚 整體很舒適
很適合在星期五的晚上和朋友去have fun
*･゜ﾟ･*:.｡..｡.:*･'(*ﾟ▽ﾟ*)'･*:.｡. .｡.:*･゜ﾟ･*","Newly opened shop near Zhengda University
The atmosphere is great and comfortable as a whole
It is very suitable to go to Have Fun with friends on Friday night
*｡*: .｡..･゜ﾟ･.:*･ '(*ﾟ ▽ ﾟ*)' ･*: .｡. .｡.:*･゜ﾟ･*",False,0.295,0.0,0.705,0.93
身為喜歡跑吧的政大生，在政大附近除了Single&double酒吧很不錯外，隱bistro也是間受歡迎又優質的餐酒館～,"As a big student who likes to run, in addition to the Single & Double bar near Zhengda University, Hidden Bistro is also a popular and high -quality dining tavern ~",False,0.162,0.0,0.838,0.6808
"酒類的表現很平穩，餐點則在平均水準之上。作為週末下班後去吃的簡單餐酒館還不錯。

順帶一提服務生很熱情，介紹得非常詳細。","The performance of the wine is very stable, and the meal is above the average level.It is not bad to eat a simple meal tavern as a weekend.

By the way, the waiter is very enthusiastic and the introduction is very detailed.",False,0.185,0.0,0.815,0.8332
"在這裡工作這麼久第一次來
真的超棒的，不光是服務，連餐點跟菜色都很推，介紹Jason 8天德給各位認識他超帥有服務好。棒棒的各位還不來嗎？！","I came here for the first time here for the first time
It's really great, not only the service, but also the meals and dishes are pushed. The introduction of Jason 8 days Germany gives you all the good service to know him.Don't you come here yet?Intersection",False,0.127,0.0,0.873,0.7612
"食物很棒，種類選擇多，份量也不小
但酒就比較一般，水果類的都有點太甜","Food is great, there are many types of choice, and the amount is not small
But wine is relatively average, fruits are a bit too sweet",False,0.214,0.0,0.786,0.7615
食物不錯而且店員都很客氣，整體氣氛很棒！,"The food is good and the clerk is very polite, and the overall atmosphere is great!",False,0.342,0.0,0.658,0.807
廚師請我們吃蛋炒飯（超好吃），bartender請我們喝shots!!! 超過癮,"The chef invites us to eat egg fried rice (super delicious), Bartender invites us to drink Shots !!! Excessive addiction",False,0.32,0.0,0.68,0.8582
超好吃 師傅炒功一流,Super delicious master fried work first,False,0.655,0.0,0.345,0.8225
店員超Q~~~餐點超好吃，文山區最強bistro!!炒飯好吃😋酒好喝🥃 …,"The clerk is super q ~~~ The meal is super delicious, the strongest bistro in Wenshan District is delicious.",False,0.564,0.0,0.436,0.959
"晚間6:30進店點完餐後等到近8:00只來一盤牛肉炒飯，點的炸物串烤及調酒都未上，詢問服務生只一直說稍等再確認就再無後續，比我們晚進店的顧客都已經吃飽喝足，不能接受這樣的服務態度。無論是餐點還是調酒都過了將近兩小時才送來，最後還是未上一杯調酒，詢問服務生只一直回覆正在做，但Bartender明顯在吧檯聊天？最後忍無可忍告知不需要了請直接結帳，服務生還說調酒已經做了～ 反應說從詢問到現在已經超過了10分鐘，服務生還說正在製做，就想問什麼一杯回頭率100%多難調製？整體服務感受已經夠差了，餐點真的也不行，牛肉炒飯的牛肉過老飯太濕黏；照燒雞腿肉一坨鹽巴在肉的後半部；唯一只有薯條及起司條這種基本炸物本就不該出錯了吧！調酒完全沒有基本水準！真的跟水一樣，甚至更稀釋⋯ 等很久後飲到這樣的酒真的會很生氣！！！！！
木柵是個很好的地方～ 不該被這樣的店家洗評論騙取消費者入店～ 認真不推薦！！！！！
—————————————————————
當天所有不愉快的用餐感受皆有即時告知服務員並且詢問服務員，服務員當下給予我們的回覆是因老闆推行政大新生入店即可兌換一杯免費調酒等活動，因此必須先出給入店兌換的新生才導致出餐延遲；當下就有向服務員表明這樣對於正常入店用餐消費的顧客非常不公平！且也明確告知服務員後方第二桌我們非常確定比我們晚入店的顧客在我們等待餐點一個多小時還僅有一盤牛肉炒飯時他們已經上完2道菜及2杯飲品，這與您所強調的依照順序出餐完全違背！您確定有如實瞭解當天實際狀況後回覆反饋嗎您的回覆與當天給予我們的說明完全不一樣，真的使人感受是加倍的差！","After entering the store at 6:30 in the evening, wait until nearly 8:00, only a plate of beef fried rice. The fried fried skewers and bartending are not served. Ask the waiter to always say that it will be confirmed and then there is no follow -up. There is no follow -up. Customers who enter the store late have been full of drinking and drinking, and cannot accept such a service attitude.Whether it is meals or bartending, it has been delivered for nearly two hours. In the end, I did n’t have a cup of bartending. I asked the waiter to reply to it, but Bartender was obviously chatting on the bar?In the end, I couldn't tolerate that I did n’t need to check the checkout. The waiter also said that the bartender has been done ~ It ’s more than 10 minutes from asking for more than 10 minutes. The waiter said that it is doing it. modulation?The overall service experience is poor enough, and the meal is really not enough. The beef fried rice beef is too wet and sticky after the old rice; Basic explosives should not make a mistake!There is no basic level at all!It is really the same as water, even diluted, waiting for a long time to drink such a wine, it will really be angry!IntersectionIntersectionIntersectionIntersection
Muzha is a very good place ~ It should not be scrubbed by such a shop to deceive consumers to enter the store ~ ​​Seriously not recommend it!IntersectionIntersectionIntersectionIntersection
——————————————————————————————————
All the unpleasant dining feelings on the day were immediately informed of the waiter and asked the waiter. The response given us by the waiter at the moment is because the boss promotes the new student of the political University to enter the store to redeem a cup of free alcohol. Only then did the meal delay; at the moment, it was very unfair to the waiter that customers who consumed normal meal consumption!It is also clearly notified that the second table behind the waiter is very sure that the customers who entered the shop later are more than one hour and only one plate of beef fried rice. They have finished 2 dishes and 2 cups of drinks. The emphasis on the meal in order is completely violated!Are you sure you have a truthful understanding of the feedback after the actual situation of the day? Your reply is completely different from the explanation given to us that day. It really makes people feel more worse!",False,0.057,0.078,0.865,-0.8325
