Original,EN,Needs Review
"一個好的酒吧
有品味的音樂
舒服的環境與燈光
以及有格調的調酒
不見得是最好
肯定是最舒服","A good bar
Tasteful music
A comfortable environment and lighting
And have a stylish bartending
It may not be the best
It must be the most comfortable",False
"店家很細心的介紹 調酒
炸物好吃 調酒也好好喝","The store introduces bartending carefully
The fried bartender is delicious and drinking",False
"現場氣氛👍🏻
東西好吃 酒好喝🍻🍸
週末會有歌手駐唱
璇璇唱歌好聽！","Atmosphere at the scene 👍🏻
It's delicious and delicious 酒
There will be singers singing on weekends
Xuan Xuan sings nice!",False
"調酒很不錯
Parker最高~~
颱風夜溫暖人心的一家店","Blooming is very good
Parker is the highest ~~
A shop with a warm typhoon night night",False
"週末的晚上,聽著兩位美女優美的歌聲，配上調酒，ㄧ定會讓你釋放壓力,好好的放鬆，渡過ㄧ個美好的週末夜！","On the weekend night, listening to the beautiful singing voice of the two beautiful beauty, with bartending, it will definitely let you release the pressure, relax, and spend a beautiful weekend night!",False
"餐點
酒🍷都可以跟bartender 討論客製化，常客的口味會被記得，我點的是夏天的風，微醺的聰明選擇
服務
Bartender 講話風趣，逗得客人哈哈大笑，排解壓力的好地方
氣氛
燈光環境昏暗很有氣氛
結論：
有別於商業化的酒吧，我覺得來這個酒吧有一種親切感，非常推薦😊","Meal
Both wine can be discussed with Bartender to discuss customization. The taste of frequent customers will be remembered. I order the summer wind and the clever choice.
Serve
Bartender's speech was funny, making guests laugh and lift the stress.
atmosphere
The light environment is dim
in conclusion:
Different from the commercial bar, I think there is a kind of intimacy to come to this bar, it is recommended 😊",False
交通稍嫌不便，帶皮薯條外酥內軟鹹香好吃，有駐唱很棒,The traffic is a little inconvenient. It is delicious and delicious with the outer crispy and delicate and delicious with skin sweet potatoes.,False
調酒非常有水準，炸物也好吃，感謝老闆讓木柵人不用跑市區也能享受夜生活,"The bartending is very standard, and the fried objects are delicious. Thank you boss for letting Muzha people enjoy nightlife without having to run in the urban area.",False
"Bartender 帥帥 😻
駐唱歌手唱功很有水準！
低銷也很親民
輕鬆喝酒聊天的好地方👍","Bartender handsome d
The singer singer is very standard!
Low sales are also very close to the people
A good place to drink and chat easily 轻",False
服務好，店裡氛圍輕鬆二樓還有live表演，除了酒以外滷肉飯也蠻好吃的，裝潢跟塗鴉也很酷，跟朋友們在這度過了不錯的夜晚！,"The service is good. The atmosphere in the store is easy to perform on the second floor. In addition to wine, the braised pork rice is also very delicious. The decoration and graffiti are also cool. I have a good night with my friends!",False
氣氛好、調酒好喝、適合約會、3、5好友聚會的好地方、超推 👍👍👍,"Good atmosphere, good alcoholic, suitable for dating, good places for friends with 3, 5 friends, super push",False
這家是我遇過最親切服務最好的一家酒吧，真是文山區的福音👏👏👏,This is the best bar I have encountered the best bar.,False
是個聽歌聊天交友的好地方,It's a good place to listen to songs and chats,False
很棒的一間店,A great shop,False
薯條、滷肉飯、水蓮、豆苗頂到不行，不喝酒純去吃都值得，部分調酒味道偏特殊，但價格真的實惠,"French fries, braised pork rice, water lotus, and bean seedlings are not good. It is worth eating without drinking alcohol. Part of the wine tuning taste is special, but the price is really affordable",False
氣氛很棒，裝潢超優很喜翻，和市中心的餐酒館氛圍不一樣，bartender很帥，調酒很很讚，很Chill的地方,"The atmosphere is great, the decoration is superior and very happy. It is not the same as the atmosphere of the dining tavern in the city center. Bartender is very handsome, and the bartender is very good.",False
店內設計很有特色，特調也很好喝，滷肉飯超香！還可以聽歌手唱歌，超讚,"The design of the store is very distinctive, and the special adjustment is also delicious. The braised pork rice is super fragrant!You can also listen to singers singing, super happy",False
新開幕店家，感覺到店裡有活力的氛圍。是木柵晚上可以去的消遣好地方,The newly opened shop feels a vibrant atmosphere in the store.It is a good place that can be available in Muzha at night,False
這間酒吧CP質極高 服務和環境很舒服 餐點和飲品也超級喜歡 大推,This bar CP value is very high service and environment is very comfortable meal and drinks also like to push big push,False
Bartender 技術好。而且很純情（自稱）,Bartender technology is good.And very innocent (claiming),False
氣氛不錯👍下次再來,The atmosphere is good 👍 Next time I come again,False
"優質酒吧，老闆幽默，bartender有趣
適合朋友和所有年齡層過來","High -quality bar, the boss is humorous, Bartender is interesting
Suitable for friends and all ages to come here",False
"不用往市區跑就可以享受放鬆的氛圍

酒好喝，餐點好吃
大推！","You can enjoy a relaxed atmosphere without going to the city

The wine is delicious and the meals are delicious
Push!",False
"我是氣質美女

這裡的酒超好喝 bartender超Chill","I am a temperament beauty

The wine here is super delicious Bartender super chill",False
溫馨的小酒館，調酒師的幽默讓喝酒的溫度更加溫暖。,"The warm tavern, the humor of the bartender makes the temperature of drinking warmer.",False
很有特色的一家小店，氣氛很不錯，東西也好吃👍,"A very distinctive shop, the atmosphere is very good, and things are delicious.",False
氣氛好，酒好喝！,"The atmosphere is good, the wine is delicious!",False
氣氛不錯👍調酒也不錯,The atmosphere is good 👍 bartender is also good,False
調酒好喝 氣氛也不錯👍🏼👍🏼👍🏼,The atmosphere of bartender is also good 气,False
"老闆帥、bartender也帥
文山買醉好去處👍👍","The boss is handsome, Bartender is also handsome
Wenshan buy drunk and go 好",False
酒很好喝 老師滷肉飯超好吃 推,"The wine is delicious, the teacher, the stewed meat rice is super delicious push",False
神仙酒吧，cp值高，去了就愛上了,"Fairy Bar, CP value is high, I fell in love when I went",False
👍👍文山區值得來的酒吧,Bar that is worth coming in Wenshan District,False
去過都說讚 沒去過也知道很讚,"I have been there, I said that I have never been there, I know it is great",False
很舒服的店 調酒師很親切,Very comfortable shop bartender is very kind,False
文山區aka酒精沙漠 出現的一道曙光,A dawn of AKA alcohol desert in Wenshan District,False
氣氛很好,The atmosphere is very good,False
👍🏻,👍🏻,False
清潔能力傑出,Outstanding cleaning ability,False
老闆親切,Boss kind,False
環境不錯,Good environment,False
讚讚讚讚讚讚,"Praise, praise, praise",False
去這個酒吧吧！帕克很棒而且很友好。木柵沒有酒吧，支援當地企業。,"Go to this bar!Parker is great and friendly.Muzha does not have a bar, supporting local enterprises.",False
我愛酒吧痕跡,I love bar traces,False
很棒的地方！優良的品質和服務。我會回來的！,A great place!Excellent quality and service.I will come back!,False
不錯的商店，有超級友善的人。然後你可以得到食物和超級好的飲料。如果您吸煙，可以在樓上吸煙。我真的很喜歡它！,"A good store, a super -friendly person.Then you can get food and super good drinks.If you smoke, you can smoke upstairs.I really like it!",False
神仙酒吧,Fairy bar,False
