Original,EN
"景色超美還可以遠眺101
白色系峇里島風格搭配許多熱帶植物感覺好放鬆
初秋的下午坐在戶外區微風徐徐超chill
餐點以景觀餐廳來說真的很優質
份量又很有飽足感

🔸法式蒜鹽黑松露薯條 $280
🔸E.V.O蟹肉鮮蝦清炒義大利麵 $480
🔸柚香明太子奶油附船凍鮮魷義大利麵 $580
🔸獵人式松露奶油燉飯附香煎迷迭香雞腿 $560
🔸美式冰咖啡 $220
🔸經典款奶蓋 $220
🔸洋桂妃（無酒精雞尾酒） $250

他們家的無酒精雞尾酒也調的很好喝
拍照也很美🥰
生意很好假日前來建議要先預約喔","景色超美還可以遠眺101
白色系峇里島風格搭配許多熱帶植物感覺好放鬆
初秋的下午坐在戶外區微風徐徐超chill
餐點以景觀餐廳來說真的很優質
份量又很有飽足感

🔸法式蒜鹽黑松露薯條 $280
🔸E.V.O蟹肉鮮蝦清炒義大利麵 $480
🔸柚香明太子奶油附船凍鮮魷義大利麵 $580
🔸獵人式松露奶油燉飯附香煎迷迭香雞腿 $560
🔸美式冰咖啡 $220
🔸經典款奶蓋 $220
🔸洋桂妃（無酒精雞尾酒） $250

他們家的無酒精雞尾酒也調的很好喝
拍照也很美🥰
生意很好假日前來建議要先預約喔"
台北貓空的LAX景觀餐廳，離塵不離囂，擁有無敵景觀，遠眺台北101，開闊視野，餐點好好吃，紅酒燉牛肉配麵包🥯，松露雞腿排義大利麵不錯，三五好友或一家人在一起用餐很舒服，室內外都有用餐區，不同的感受，餐廳自備停車場，約20個位置，晚上生意更好。,台北貓空的LAX景觀餐廳，離塵不離囂，擁有無敵景觀，遠眺台北101，開闊視野，餐點好好吃，紅酒燉牛肉配麵包🥯，松露雞腿排義大利麵不錯，三五好友或一家人在一起用餐很舒服，室內外都有用餐區，不同的感受，餐廳自備停車場，約20個位置，晚上生意更好。
"平日人很少
雖然飄雨
天空霧濛濛的
但不敵想上來看看的心
餐點非常好吃
兩個義大利麵的麵條完全入味
蟹肉鮮蝦清炒義大利麵
非常鮮～

四川青花椒，辣的可接受
麵條整個煮到湯汁都吸附麵條了

沙拉飲品披薩也真的沒有雷

唯獨甜點蛋糕
比較普普，蛋糕上的餅乾咬下去一瞬間
是軟的🥲
可能因為先存放在冰箱才拿出來的原因

但是撇除甜點其他都非常完美
店員也很親切
店貓非常可愛

空間上也有類似包廂式
要在這辦生日趴週歲趴感覺都非常合適

這是一間會再造訪的店家😊","平日人很少
雖然飄雨
天空霧濛濛的
但不敵想上來看看的心
餐點非常好吃
兩個義大利麵的麵條完全入味
蟹肉鮮蝦清炒義大利麵
非常鮮～

四川青花椒，辣的可接受
麵條整個煮到湯汁都吸附麵條了

沙拉飲品披薩也真的沒有雷

唯獨甜點蛋糕
比較普普，蛋糕上的餅乾咬下去一瞬間
是軟的🥲
可能因為先存放在冰箱才拿出來的原因

但是撇除甜點其他都非常完美
店員也很親切
店貓非常可愛

空間上也有類似包廂式
要在這辦生日趴週歲趴感覺都非常合適

這是一間會再造訪的店家😊"
"服務好、氣氛好、景色好。
星期五傍晚餐點等的時間比較久，蒜香蝦配麵包好吃，義大利披薩普普、松露雞腿燉飯不好吃、松露薯條味道很淡、奶蓋爆米花是很多種茶混在一起，個人覺得口味很奇怪⋯
總結主要是吃氣氛的😌","服務好、氣氛好、景色好。
星期五傍晚餐點等的時間比較久，蒜香蝦配麵包好吃，義大利披薩普普、松露雞腿燉飯不好吃、松露薯條味道很淡、奶蓋爆米花是很多種茶混在一起，個人覺得口味很奇怪⋯
總結主要是吃氣氛的😌"
"五星餐點🥘最愛木香雞翅與焗烤波士頓龍蝦🦞！！

位在貓空半山腰有間充滿峇里島風情的餐酒館，
純淨素雅的白色空間搭配低調沈穩的深木色，
以植栽妝點優雅靜謐，戶外種滿了我愛的天堂鳥，
整棟建築充滿熱帶植林，十分綠意盎然呢～

一旁的貓貓店長 miumiu 偶爾伸伸懶腰、舔毛梳毛，
還很親人的跳上沙發依偎著我撒嬌呢！

旋轉樓梯往上走還有一處多人的用餐空間，
大片落地窗映襯綠林，戶外露台更享有青山碧綠。

白天能眺望台北景色，晚上還能攤躺在沙發上看夜景，
讓人驚喜的是，天氣好時，可以看見整棟101哦！！！","五星餐點🥘最愛木香雞翅與焗烤波士頓龍蝦🦞！！

位在貓空半山腰有間充滿峇里島風情的餐酒館，
純淨素雅的白色空間搭配低調沈穩的深木色，
以植栽妝點優雅靜謐，戶外種滿了我愛的天堂鳥，
整棟建築充滿熱帶植林，十分綠意盎然呢～

一旁的貓貓店長 miumiu 偶爾伸伸懶腰、舔毛梳毛，
還很親人的跳上沙發依偎著我撒嬌呢！

旋轉樓梯往上走還有一處多人的用餐空間，
大片落地窗映襯綠林，戶外露台更享有青山碧綠。

白天能眺望台北景色，晚上還能攤躺在沙發上看夜景，
讓人驚喜的是，天氣好時，可以看見整棟101哦！！！"
在貓空的景觀餐廳，原訂來看日落+夜景可惜遇到大雨，還好在用餐後還是順利看到了美麗的山景。今天是訂雙人套餐，每人低消是一杯飲料，餐點都蠻好吃，青豆燉飯，更是令人驚艷！很感謝生日會招待蛋糕，不過如果提早讓我知道生日蛋糕跟我選的甜點是一樣的，我可能會換一個甜點的選擇🤣 調酒就如酒譜上面的說明的確是酒感偏淡，不知道有沒有家後的選擇？ 整體來說是一個很舒服的用餐場域，除了約會也很適合跟朋友一起前來！謝謝！,在貓空的景觀餐廳，原訂來看日落+夜景可惜遇到大雨，還好在用餐後還是順利看到了美麗的山景。今天是訂雙人套餐，每人低消是一杯飲料，餐點都蠻好吃，青豆燉飯，更是令人驚艷！很感謝生日會招待蛋糕，不過如果提早讓我知道生日蛋糕跟我選的甜點是一樣的，我可能會換一個甜點的選擇🤣 調酒就如酒譜上面的說明的確是酒感偏淡，不知道有沒有家後的選擇？ 整體來說是一個很舒服的用餐場域，除了約會也很適合跟朋友一起前來！謝謝！
"⩓ 需服務費 ⩓ QRcode點餐
⩕ 有油煙味 ⩕ 有鐵皮屋和樹木遮住山景
𖠱 西班牙橄欖油蒜味蝦 ɴᴛᴅ 680 - 蝦肉厚實，蒜頭多，但蒜味不會很重；麵包薄、沒有烤過，些微受潮口感。

𖠱 木香雞翅 （10隻）ɴᴛᴅ 480 - 外酥不油膩，雞翅屬偏瘦、肉少型。

𖠱 鹹豬肉炒水蓮 ɴᴛᴅ 280 - 中上鹹度，香菇、水蓮有水分。

𖠱 酥脆避風塘魷魚 ɴᴛᴅ 420 - 酥脆口感來自於多利多茲；調味淡。

𖠱 四川青花椒義大利麵附麻辣牛腱 ɴᴛᴅ 520 - 味道偏中辣以上，牛腱些微乾硬。","⩓ 需服務費 ⩓ QRcode點餐
⩕ 有油煙味 ⩕ 有鐵皮屋和樹木遮住山景
𖠱 西班牙橄欖油蒜味蝦 ɴᴛᴅ 680 - 蝦肉厚實，蒜頭多，但蒜味不會很重；麵包薄、沒有烤過，些微受潮口感。

𖠱 木香雞翅 （10隻）ɴᴛᴅ 480 - 外酥不油膩，雞翅屬偏瘦、肉少型。

𖠱 鹹豬肉炒水蓮 ɴᴛᴅ 280 - 中上鹹度，香菇、水蓮有水分。

𖠱 酥脆避風塘魷魚 ɴᴛᴅ 420 - 酥脆口感來自於多利多茲；調味淡。

𖠱 四川青花椒義大利麵附麻辣牛腱 ɴᴛᴅ 520 - 味道偏中辣以上，牛腱些微乾硬。"
餐點是好吃，但價格偏高，可是如果有好的位置是非常值得的， 可惜當天被安排在面壁的位置，當下看到有靠窗的位置（採光較佳），在服務生還在調整位置時，詢問是否可以更改位置，回答：已經有人訂位了，故拒絕我們的請求，但在我們用餐完後，那個靠窗的位置仍然沒有人入坐，呵呵呵呵呵,餐點是好吃，但價格偏高，可是如果有好的位置是非常值得的， 可惜當天被安排在面壁的位置，當下看到有靠窗的位置（採光較佳），在服務生還在調整位置時，詢問是否可以更改位置，回答：已經有人訂位了，故拒絕我們的請求，但在我們用餐完後，那個靠窗的位置仍然沒有人入坐，呵呵呵呵呵
很舒服放鬆的環境，但門口接待的女服務生態度冷淡，遠不如內場男服務生來的親切，餐點口味還不錯，雖然每道都不便宜，不過還能接受。說能遠眺101，但用餐當天沒看到所謂很棒的景觀！,很舒服放鬆的環境，但門口接待的女服務生態度冷淡，遠不如內場男服務生來的親切，餐點口味還不錯，雖然每道都不便宜，不過還能接受。說能遠眺101，但用餐當天沒看到所謂很棒的景觀！
"位在貓空山腰上的峇里島風餐酒館𖤣𖤥𖠿𖤣𖤥
餐點很有水準 環境舒適漂亮 還有山景
天氣好時可以看到101 跟貓空纜車🚡
而且服務完全不輸海底撈 .ᐟ.ᐟ ⠀
提供冷笑話/ 表演/ 告白求婚助攻 / 慶生等等

\特別推薦的品項/

ꊞ 摩洛哥紅酒燉羊膝
這道真的大推每個人都超喜歡ꕀ
羊肉已經燉到十分柔軟並具膠質感
旁邊的烤時蔬依舊保有原始的爽脆
整體都在水準之上絕對是必點♡‧₊˚

ꊞ E.V.O蟹肉鮮蝦清炒義大利麵
喜歡清炒及蒜香的人這道我也是大推 .ᐟ.ᐟ ⠀
橄欖油與蒜頭爆香的香氣加上海鮮的鮮甜
墨魚麵是帶有微微嚼勁Q彈的口感
吃了一口後就停不下來直接清盤🍴

ꊞ 木香雞翅
是用十三香醃製的烤雞翅 ˖ ࣪ . ⠀
香料味濃郁芳馥很有層次感
配上外皮薄脆的雞翅十分涮嘴

ꊞ 無酒精Mojito
時間還早但又想要有雞尾酒的感覺嗎？
這款無酒精Mojito 肯定是你的菜
透心涼的薄荷和清新怡人的檸檬🍋
讓人喝完就想馬上再續一杯","位在貓空山腰上的峇里島風餐酒館𖤣𖤥𖠿𖤣𖤥
餐點很有水準 環境舒適漂亮 還有山景
天氣好時可以看到101 跟貓空纜車🚡
而且服務完全不輸海底撈 .ᐟ.ᐟ ⠀
提供冷笑話/ 表演/ 告白求婚助攻 / 慶生等等

\特別推薦的品項/

ꊞ 摩洛哥紅酒燉羊膝
這道真的大推每個人都超喜歡ꕀ
羊肉已經燉到十分柔軟並具膠質感
旁邊的烤時蔬依舊保有原始的爽脆
整體都在水準之上絕對是必點♡‧₊˚

ꊞ E.V.O蟹肉鮮蝦清炒義大利麵
喜歡清炒及蒜香的人這道我也是大推 .ᐟ.ᐟ ⠀
橄欖油與蒜頭爆香的香氣加上海鮮的鮮甜
墨魚麵是帶有微微嚼勁Q彈的口感
吃了一口後就停不下來直接清盤🍴

ꊞ 木香雞翅
是用十三香醃製的烤雞翅 ˖ ࣪ . ⠀
香料味濃郁芳馥很有層次感
配上外皮薄脆的雞翅十分涮嘴

ꊞ 無酒精Mojito
時間還早但又想要有雞尾酒的感覺嗎？
這款無酒精Mojito 肯定是你的菜
透心涼的薄荷和清新怡人的檸檬🍋
讓人喝完就想馬上再續一杯"
