Original,EN,Needs Review
"餐點好吃～搭配飲品（好大杯） 高cp值👍
服務態度佳👍
環境令人放鬆～可以待一整個下午 不趕客喔！😊
推👍","The meal is delicious ~ with a drink (good cup) high CP value 👍
Good service attitude 度 度
The environment is relaxed ~ You can wait for the whole afternoon!Bleak
Push",False
隱藏在巷弄間的復古餐廳，點的餐可以抵飲品，算起來還是滿划算的，服務態度也很好，推薦！,"The retro restaurant hidden in the alley, the order of order can be worth the drink. It is still a good deal to calculate, and the service attitude is also very good. Recommended!",False
朋友帶進場，很訝異躲在都市森林中的三合院，內部氣氛很不錯，餐點也不賴，老闆非常友善，感謝小聚苑給了我一個放鬆愉快的下午！,"My friend took it into the venue and was surprised to hide in the Sanheyuan of the urban forest. The internal atmosphere was very good, and the meal was not bad. The boss was very friendly. Thank you Xiaoyuan for giving me a relaxed and happy afternoon!",False
"小小的老宅氛圍，隱藏於巷弄內，有古玩販賣充滿童趣，還有老闆實誠真意的美食可填飽肚子。
多款的花草茶／花果茶口味特殊，牛肉麵建議加上特製辣椒，一上桌迫不及待開動，好吃到忘記拍照。
無低銷、不限時、有插座、提供WIFI、佛心老闆娘超級熱情，推薦閨蜜覓食聊天的好去處。","The small old house atmosphere is hidden in the lane. There are antique trafficking full of childlike interest, and the good food that the boss is sincere to fill the stomach.
A number of flower tea / flower tea has special flavors. It is recommended to add special pepper to the beef noodles. When you go to the table, you can't wait to start it. You can forget to take pictures.
There is no low sales, unlimited time, sockets, WIFI, and Buddha heart boss are super enthusiastic. Recommended girlfriends to find a good place for food and chat.",False
"一間充滿古玩特色的店
隱藏在巷子內

已經很多次光顧小聚苑
每次來都點不同的食物嚐嚐
上次來是吃牛肉麵跟巧克力鬆餅
今天吃夏威夷披薩的起司會牽絲 很好吃唷！
還有原味鬆餅形狀是超可愛的愛心
都捨不得吃它
冰淇淋布朗尼也很濃郁
還沒吃過的老饕要趕快來喔！","A shop full of antiques
Hidden in the alley

I have patronized Xiaoliyuan many times
Every time you come, order different foods to taste
Last time I came to eat beef noodles and chocolate muffins
The cheese who eats the Hawaiian pizza today will be delicious!
And the original muffin shape is super cute love
I can't bear to eat it
Ice cream Browni is also very strong
The old lady who hasn't eaten has to come soon!",False
"在都市叢林內的小巷找到一個靜謐的小空間
餐點好吃（當天點了炸醬麵、牛肉麵、鮭魚菠菜鹹派）
飲料選項超乎想像的多（寧靜花草茶（可回沖）、西西里檸檬咖啡）
還有桌遊可借
必定二訪
這間不能倒啊！！！！","Find a quiet small space in the alley in the jungle of the city
The meal is delicious (ordered fried noodles, beef noodles, salmon and spinach salty factions on the same day)
Drinking options are beyond imagination (tranquility and grass tea (backburned), Sicily lemon coffee)
There are board games to borrow
Must have a second visit
Can't pour this while!IntersectionIntersectionIntersection",False
隱身在巷弄內的復古小店，店內風格充滿復古懷舊風情，很喜歡～,The retro shop in the alley is full of retro and old style in the store. I like it very much ~,False
麻油菇菇素麵清爽好吃～氣泡醋飲大杯又好喝，冰塊是雕花的形狀非常美🫶,"The noodles of sesame oil mushrooms are refreshing and delicious ~ Bubble vinegar drinks big cups and delicious, ice cubes are carved in shape very beautiful 🫶",False
"103巷真的超難找，與其說是巷，比較像是防火巷。如果騎車可以從85巷進去，那邊有停車格。
小聚苑給人台灣復古風格的印象，有很多老物件，還有雜貨店的裝飾，喜歡這類風格的人可以來看看。
餐點品項其實不少，飲料有咖啡類和茶類、清涼飲料，餐點有手工薄皮比薩、台式麵食，冷麵類五月中之後才開始販售，整體價格都偏高。
手工比薩是薄皮的，大約一般小比薩的大小，口味不錯，可以點一份分著吃。炸物拼盤有美式薯條、雞米花、雞塊、雞肉圈、洋蔥圈、烤雞小翅小腿，味道一般。飲料點了西西里檸檬，味道還不錯，但我喝過更好喝的。下次有機會想嘗試其他品項。
這個隱密的空間很清幽，偶爾可以來這裡偷得半日閒。也因為太隱密，訊號很弱，可以使用店內的Wi-Fi。","Lane 103 is really difficult to find. Instead of saying that it is the lane, it is more like fire lane.If you can ride from Lane 85, there is a parking grid over there.
Xiaoyuan gives people a retro style in Taiwan. There are many old objects and decoration of grocery stores. People who like this style can come and see.
There are actually a lot of meals. The beverages include coffee and tea, and cool drinks. The meals are hand -made thin pizza and desktop noodles.
The handmade pizza is thin skin. It is about the size of the small pizza. The taste is good. You can order it to eat.The frying platter has American fries, chicken rice, chicken nuggets, chicken circles, onion rings, grilled chicken small wings calf, which tastes average.The drink ordered Sicily Lemon, and the taste was pretty good, but I drank better.Next time I have the opportunity to try other items.
This hidden space is very quiet, and occasionally I can come here to steal it for a long time.Because it is too secret, the signal is weak, you can use the Wi-Fi in the store.",False
老闆和老闆娘人都很好～歌也都很好聽，而且食物超級好吃！看看影片中的鬆餅多大一份，大推炸醬麵跟牛肉麵,"The boss and the boss are very good ~ The songs are also very good, and the food is super delicious!See how big the muffins in the movie, push the fried noodles and beef noodles",False
