Original,EN
請問雞排的粿粉吃起來酸酸的是正常的嗎？,請問雞排的粿粉吃起來酸酸的是正常的嗎？
訂外送的，訂了兩次，除了份量不太多，口味是沒啥好挑剔的，不賴的風味，值得一試，成主顧機會不低！,訂外送的，訂了兩次，除了份量不太多，口味是沒啥好挑剔的，不賴的風味，值得一試，成主顧機會不低！
"最愛去的店之一♡
依個人喜好調成的飲料
還有很多好吃的炸物
價格合理 環境舒適
現在還多了小包廂能唱歌！","One of the favorite stores 店
Drinks adjusted according to personal preferences
There are many delicious fried objects
Reasonable environment is comfortable
Now there are more small boxes to sing!"
"第一次點 使用外送服務
覺得好好吃💕
份量剛剛好不多不少
肉不會太柴 皮也很脆
不過小辣吃起來像中辣😝
會再點～","First click to use the delivery service
I feel delicious
There are just a lot of weight
The meat will not be too good at the skin and it is crispy
But Xiao spicy tastes like spicy 不过
Will order again ~"
"今天買的胡椒多
雞腿排是酸掉的

然後打電話找老闆 說不在
第一次遇到
看怎麼處理吧 不然以後就都不買了
/////
8/12 7點多
換了雞腿排和飲料
覺得還是像上次一樣
咬起來酸酸的像壞掉
拿給家人吃吃看（他們之前吃過正常的
也覺得味道怪怪的

我不知道店裡的平常保存的方式是什麼
但是連續兩次吃起來像壞掉的
跟之前好吃的味道不一樣
希望老闆能改善流程讓食材味道穩定
也很感謝老闆免費兌換還送飲料
只是真的又遇到一樣的情況
暫時也不需要換餐點了
等評價回來有改善再考慮嘗試
謝謝老闆
請您諒解","今天買的胡椒多
雞腿排是酸掉的

然後打電話找老闆 說不在
第一次遇到
看怎麼處理吧 不然以後就都不買了
/////
8/12 7點多
換了雞腿排和飲料
覺得還是像上次一樣
咬起來酸酸的像壞掉
拿給家人吃吃看（他們之前吃過正常的
也覺得味道怪怪的

我不知道店裡的平常保存的方式是什麼
但是連續兩次吃起來像壞掉的
跟之前好吃的味道不一樣
希望老闆能改善流程讓食材味道穩定
也很感謝老闆免費兌換還送飲料
只是真的又遇到一樣的情況
暫時也不需要換餐點了
等評價回來有改善再考慮嘗試
謝謝老闆
請您諒解"
炸物每份份量很多，誠意十足，但每樣吃起來都有明顯的冰箱味。調味比一般鹽酥雞更重一些，非重口味愛好者可能需要請店家下手輕一點。,炸物每份份量很多，誠意十足，但每樣吃起來都有明顯的冰箱味。調味比一般鹽酥雞更重一些，非重口味愛好者可能需要請店家下手輕一點。
"4/5晚上十一點多叫熊貓
六樣東西有兩樣吃起來有酸味
然後一杯飲料裡有螞蟻跟大蚊
衛生真的很不好
吃到一半就很想吐","4/5晚上十一點多叫熊貓
六樣東西有兩樣吃起來有酸味
然後一杯飲料裡有螞蟻跟大蚊
衛生真的很不好
吃到一半就很想吐"
"常叫外送，炸物都好好吃，嘴饞必點

有時候晚上叫外送感覺是不同人炸的
甜不辣炸的超硬、地瓜條整個黑黑的
份量也是怪怪的比平常叫的縮水很多🤨

常叫所以一比對就有很大差別
希望改善 謝謝","Often called delivery, the fried objects are delicious, and the mouth is too much

Sometimes it feels like a different person is bombed at night at night
Sweet and not fried super hard, sweet potato strips black and black
The portion is also weird than the usual shrinkage.

There is often a big difference in comparison
Hope to improve thank you"
不知道是不是太忙的關係 米血糕硬到咬不動 杏鮑菇也有股酸味 用熊貓訂餐餐點還少一份⋯⋯,I don’t know if it ’s too busy to do it too much. The rice blood cake is hard enough to bite Pleurotus eryngii. There is a sour taste. Panda order a meal and there is less.
"現場、外送都買過很好吃👍🏻
不過可能個人口味關係，覺得調味粉灑的太多、有點太鹹了😂😂
飲品也好喝👍🏻 …","現場、外送都買過很好吃👍🏻
不過可能個人口味關係，覺得調味粉灑的太多、有點太鹹了😂😂
飲品也好喝👍🏻 …"
經常看到老闆娘坐在騎樓抽菸，觀感不佳…,經常看到老闆娘坐在騎樓抽菸，觀感不佳…
"天婦羅、薯條、杏包菇
炸得剛剛好，外皮酥脆 而且沒有很油👍🏻👍🏻
好吃😋 …","天婦羅、薯條、杏包菇
炸得剛剛好，外皮酥脆 而且沒有很油👍🏻👍🏻
好吃😋 …"
"雙味水果茶賣$60，爛透了❗️
這是什麼？濃縮液加水嗎？讓人不解
第一吃就非常讓人失望😞 …","Double -flavored fruit tea is sold for $ 60, which is rotten ❗️
What's this?Is the concentrated liquid plus water?Puzzling
The first food is very disappointing 非常 ..."
"去骨雞腿排有醃過，脆皮好吃，還有外面吃不到的蜜芋捲及每一口都吃得到蝦的蝦餅。
無酒單調酒，喜歡什麼跟老闆說都喝得到，價格超親民，品質超讚，喝多隔天也不會頭痛。
不喝酒精類的，也有飲料可以搭配，推薦蜂蜜檸檬，不過甜或過酸，還有小碎冰。","去骨雞腿排有醃過，脆皮好吃，還有外面吃不到的蜜芋捲及每一口都吃得到蝦的蝦餅。
無酒單調酒，喜歡什麼跟老闆說都喝得到，價格超親民，品質超讚，喝多隔天也不會頭痛。
不喝酒精類的，也有飲料可以搭配，推薦蜂蜜檸檬，不過甜或過酸，還有小碎冰。"
"個人覺得東西好吃口味不錯
但是常常在下午時刻經過 發現貴店已營業 但是沒有老闆注意 也能體諒應該是太熱在裡頭休息 但是也因為熱想趕快買個飲料跟雞排解氣 但是發現都沒有人就離開了 可能也因為這樣錯失了好幾單生意 老闆也許能改善小窗口多多注意外頭 曾進去發現裡頭有點昏暗 氣氛有點低迷 個人感觀.. 以上給老闆建議 灼見灼見..","個人覺得東西好吃口味不錯
但是常常在下午時刻經過 發現貴店已營業 但是沒有老闆注意 也能體諒應該是太熱在裡頭休息 但是也因為熱想趕快買個飲料跟雞排解氣 但是發現都沒有人就離開了 可能也因為這樣錯失了好幾單生意 老闆也許能改善小窗口多多注意外頭 曾進去發現裡頭有點昏暗 氣氛有點低迷 個人感觀.. 以上給老闆建議 灼見灼見.."
"炸物酥脆好吃
蜂蜜檸檬有碎冰清涼消暑
♥️♥️♥️","炸物酥脆好吃
蜂蜜檸檬有碎冰清涼消暑
♥️♥️♥️"
"楓味雞塊、蘿蔔糕超好吃！
非常合我的口味","Maple chicken nuggets and radish cakes are super delicious!
Very good for my taste"
雞排60我覺得蠻喜歡的,Chicken steak 60 I think I like it pretty
"價格很ok，蜂蜜檸檬好喝，下次會帶朋友來~
飲料如果用玻璃杯裝會更好","The price is OK, honey lemon is delicious, I will bring friends next time ~
If the drink is installed with a glass, it will be better"
剛剛點的uber eat薯條一份15支30元這份量會不會太誇張，甜不辣不知道在炸什麼炸的全焦的，要打烊不想接單就不要接呀！用這什麼東西呀！買回來吃沒兩口就丟廚餘，做生意要有誠意！做爛的東西不要拿出來賣,剛剛點的uber eat薯條一份15支30元這份量會不會太誇張，甜不辣不知道在炸什麼炸的全焦的，要打烊不想接單就不要接呀！用這什麼東西呀！買回來吃沒兩口就丟廚餘，做生意要有誠意！做爛的東西不要拿出來賣
"最愛吃的炸物店🥺
沒有吃過比他更好吃的雞塊
薯條加辣加胡椒加梅粉也超讚來木柵必吃❗️❗️ …","最愛吃的炸物店🥺
沒有吃過比他更好吃的雞塊
薯條加辣加胡椒加梅粉也超讚來木柵必吃❗️❗️ …"
"愛做不做得態度
不佳","愛做不做得態度
不佳"
雞塊超好吃…杏鮑菇也很讚,雞塊超好吃…杏鮑菇也很讚
今天買的 雞翅有雞味加酸味跟以前的 好吃的炸甜味完全不對， 感覺很差 下次不會再去買了， 害我現在肚子有點反胃,The chicken wings I bought today have a chicken flavor and sour taste. It is completely wrong with the delicious fried sweetness of the past. It feels bad next time I will not buy it again.
"雞翅超難吃大家不要買…
這樣我才有得買 哈哈哈

超推雞翅！讚👍👍👍","Chicken wings are super difficult to eat, do n’t buy it ...
So I have to buy hahaha

Super pushing chicken wings!Praise"
