Original,EN,Needs Review
"2024/09/17首訪
餐點中規中矩！正常發揮
售價算親民，均消約500
麻糬豚肉捲、剝皮辣椒牛肉串覺得還不錯
現場有社群網站打卡、google五星評論優惠活動～
個人覺得服務沒溫度，有很大進步空間","2024/09/17 visit
The meal is quite satisfactory!Play normally
The price is considered to be close to the people, and it eliminates about 500
Mochi dolphin meat roll, peeling pepper beef skewers feel pretty good
There are community website punch cards, Google five -star review discount activities ~
Personally, I think the service has no temperature, and there is a lot of room for improvement",False
"太久沒當考生，考一天頭好暈 想找酒喝🤭
第一次喝到柚香還是生啤酒！真是特別 …","I haven't been a candidate for too long, I am dizzy for a day, I want to find a drink and drink 🤭
The first time I drank grapefree or beer!Really ...",False
烤類都很不錯，鹽烤雞帶一點雞皮讓口感更豐富的，烤鴨肉也很好吃，另外推薦的是鹽烤中捲，搭配 KEWPIE 美乃滋蠻合的，兩個人吃飽喝足差不多兩張多吧！,"Bake is very good. The salt grilled chicken with a little chicken skin makes the taste more abundant, and the roast duck meat is also delicious. In addition, the recommended salt roasted rolls, with Kewpie Meijizi. Zhang Duo!",False
"烤串類很好吃！！！
推薦剝皮辣椒牛、明太子雞腿肉😍","Baking skewers are delicious!IntersectionIntersection
Recommended pepper beef, Ming prince chicken leg meat 😍",False
"餐點不錯有一定的水準。
還有499二小時暢飲。
當日生意不錯，外場只有一位妹妹
要耐心等候😄。","There is a good level of meals.
There are 499 two hours of drinking.
The business was good that day, there was only one sister in the field
Wait patiently.",False
"第一次來訪，服務人員親切，需要加點或飲品服務都蠻好蠻快的，特別喜歡以下餐點：
1. 孜然羊肉串：順口好吃
2. 鹽烤松阪豬：皮脆肉也很嫩、好吃
3. 雞軟骨：很難形容，但香香脆脆很順口，不過冷掉就不好吃
4. 蜜桃 peach ball 好喝
5.明太子山藥好吃

其他：
1. 蘆筍牛肉捲：搭配起來還可以，我自己覺得普通但男友很愛
2. 揚出豆腐：裡面有芥末，如果不習慣芥末會不愛
3.  杏鮑菇：醬偏鹹
4. 烤腸：不難吃但也沒深刻印象

整體都是中上水準，會再回訪！","For the first visit, the service staff is kind. You need to add some or drink services. It is quite fast. I especially like the following meals:
1. Cumin lamb skewers: delicious and delicious
2. Salt grilled padsa pig: The crispy meat is also very tender and delicious
3. 雞軟骨：很難形容，但香香脆脆很順口，不過冷掉就不好吃
4. 蜜桃 peach ball 好喝
5. Master of Ming Dynasty Yam is delicious

other:
1. Asparagus beef roll: it is okay to match, I feel ordinary but my boyfriend loves it very much
2. Raise tofu: There are mustard inside, if you are not used to mustard, you will not love
3. Pleurotus eryngii: sauce is salty
4. Baked intestines: not difficult to eat but not deeply impressed

The overall level is high, and you will return to visit again!",False
我覺得上菜很快，味增蛤蜊湯微鹹，但烏龍麵好吃，其他的還沒上,"I think the food is fast, and the flazed clam soup is slightly salty, but the oolong noodles are delicious.",False
"餐點不錯，服務一般有收10%服務費。
大約23:30踏入貴店，24點店內就關冷氣重點是餐點才剛到齊而已，也沒有提供最後用餐時間，google map上顯示營業時間到13點。兩人消費兩千多 吃半小時還沒有冷氣未免太趕⋯","The meal is good, and the service generally receives a 10%service fee.
At about 23:30, I stepped into Guidian. The focus of the air -conditioning in the store at 24 o'clock was just that the meal was just all, and the last meal time was not provided. Google Map showed that the business hours were 13 o'clock.The two spend more than two thousand for more than half an hour. There is no cold air.",False
"餐點好吃，上菜很快，有喝到飽非常划算。
推薦炸雞軟骨、剝皮辣椒牛、明太子山藥，其他也都很好吃。","The meal is delicious, the food is fast, and it is very cost -effective to drink.
It is recommended that fried chicken cartilage, peeling pepper beef, and prince Yam, and others are also delicious.",False
價格偏貴，但是在景美這個地方能開到凌晨的店真的不多⋯食物算是不錯的，很喜歡芥末章魚跟黑胡椒牛肉串,"The price is expensive, but there are really not many shops that can be opened in this place in Jingmei. Food is good. I like the mustard octopus and black pepper beef skewers.",False
這裡的服務態度親切，讓人家覺得舒服自在，上菜速度滿快的，食物好吃。愉快的用餐經驗。,"The service attitude here is cordial, making people feel comfortable, the food is full of speed, and the food is delicious.Happy dining experience.",False
選曲非常優秀…空間舒適 店員親切！奶油烏龍麵好吃一個人完食 冷氣太涼要趁熱🤣 推牛肋排！蔬菜類串串量都很多🥺,"Choose is very good ... Space comfortable shoppers are kind!The cream oolong noodles are delicious. After eating the air -conditioning, it is too cool to push the cattle ribs while it is hot!Vegetable string volume is many",False
白醬海鮮烏龍麵醬汁濃郁，鮭魚炒飯乾爽香氣足，唯獨覺得可惜是櫛瓜烤的太乾，明太子玉子燒蛋很軟嫩，肥腸烤的乾脆不油膩麻糬豚肉口感，特別每樣菜都很下酒又不會過鹹，店內氣氛也很不錯,"White sauce seafood oolong noodle sauce is strong, salmon fried rice is dry and fragrant, but it is unfortunately a pity that it is too dry. They are all wine and will not be too salty, and the atmosphere in the store is also very good",False
"餐點普通，新鮮度也還好，服務也普普通通，整體不到一星也不足五星。
連椅子都是壞掉的坐下去差點摔到地上感覺很差⋯
現在有活動五星送東西，我是沒參加啦。","The meal is ordinary, the freshness is also good, the service is also common, and the overall star is less than five stars.
Even the chair was broken and almost fell to the ground and it felt bad.
Now there are five -star to send things to send things, I haven't participated.",False
好吃到很扯，怎麼會這麼好吃，每個都很入味，我喜歡柚子胡椒雞，超香但我忘記拍了⋯柚香生啤也很讚，整間店沒有一個雷的，難怪評分這麼高ദി  ᷇ᵕ  ᷆  )♡,"It's so delicious, how can it be so delicious, each one is very delicious. I like grapefruit pepper chicken, super incense, but I forgot to take pictures of grapefree beer. There is no thunder in the whole store. So high ᷆ ᷇ᵕ ♡) ദി",False
"不同居酒屋有不一樣的風格，這間暢飲/2hr就推薦新店人過來了
推 明太子山藥（有帶皮加分）
推 白醬海鮮烏龍麵（夠大份夠味😂）","Different izakaya has a different style. This unintegral/2HR is recommended to come over.
Push the prince Yam Yam (with the skin bonus points)
Push white sauce seafood oolong noodles (enough enough enough flavor 😂)",False
