店名,評分,評論數,地址,鏈接
Single&Double（文山特色鐵觀音梅酒、威士忌）,5.0 ,566,地址未找到,https://www.google.com/maps/place/Single%26Double%EF%BC%88%E6%96%87%E5%B1%B1%E7%89%B9%E8%89%B2%E9%90%B5%E8%A7%80%E9%9F%B3%E6%A2%85%E9%85%92%E3%80%81%E5%A8%81%E5%A3%AB%E5%BF%8C%EF%BC%89/data=!4m7!3m6!1s0x3442abfc62a0ae7f:0x6f1f1810f4bef0c!8m2!3d24.9877509!4d121.569771!16s%2Fg%2F11qntrmyt3!19sChIJf66gYvyrQjQRDO9LD4Hx8QY?authuser=0&hl=zh-TW&rclk=1
渣男TaiwanBistro 木柵二渣,4.8 ,"2,360",116台北市文山區萬芳路9-1號,https://www.google.com/maps/place/%E6%B8%A3%E7%94%B7TaiwanBistro+%E6%9C%A8%E6%9F%B5%E4%BA%8C%E6%B8%A3/data=!4m7!3m6!1s0x3442aa68b2adc2ef:0x994c821502530140!8m2!3d24.9984807!4d121.5704915!16s%2Fg%2F11c1s0t7rv!19sChIJ78KtsmiqQjQRQAFTAhWCTJk?authuser=0&hl=zh-TW&rclk=1
徙巷小餐酒,4.6 ,544,116台北市文山區木柵路三段49巷12號,https://www.google.com/maps/place/%E5%BE%99%E5%B7%B7%E5%B0%8F%E9%A4%90%E9%85%92/data=!4m7!3m6!1s0x3442abcb46e91089:0xf360f866bf3a7970!8m2!3d24.9890729!4d121.566124!16s%2Fg%2F11rxrts_8p!19sChIJiRDpRsurQjQRcHk6v2b4YPM?authuser=0&hl=zh-TW&rclk=1
Purrson Bistro 呼嚕小酒館,4.7 ,"2,013",116台北市文山區指南路二段106號,https://www.google.com/maps/place/Purrson+Bistro+%E5%91%BC%E5%9A%95%E5%B0%8F%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442ab7de6c41451:0x55842883f4a73f82!8m2!3d24.9861386!4d121.5794751!16s%2Fg%2F11j21x07gz!19sChIJURTE5n2rQjQRgj-n9IMohFU?authuser=0&hl=zh-TW&rclk=1
好啤氣 Temper,4.6 ,251,116010台北市文山區指南路一段100號,https://www.google.com/maps/place/%E5%A5%BD%E5%95%A4%E6%B0%A3+Temper/data=!4m7!3m6!1s0x3442aa7a4f6a6f3d:0xf3a3b12b407cf3f0!8m2!3d24.9875529!4d121.571281!16s%2Fg%2F11c2p64m0l!19sChIJPW9qT3qqQjQR8PN8QCuxo_M?authuser=0&hl=zh-TW&rclk=1
Bar Trace軌跡,4.9 ,63,116台北市文山區興隆路四段85號,https://www.google.com/maps/place/Bar+Trace%E8%BB%8C%E8%B7%A1/data=!4m7!3m6!1s0x3442ab820fc1fe5f:0x3a28265fc2f094e6!8m2!3d24.9890493!4d121.5601994!16s%2Fg%2F11lcjf8czk!19sChIJX_7BD4KrQjQR5pTwwl8mKDo?authuser=0&hl=zh-TW&rclk=1
Circle Bar,4.5 ,203,116台北市文山區羅斯福路五段31-1號,https://www.google.com/maps/place/Circle+Bar/data=!4m7!3m6!1s0x3442aa1e46eb250b:0x98100aa3d6c6e398!8m2!3d25.007628!4d121.5386981!16s%2Fg%2F11cfbrjgb!19sChIJCyXrRh6qQjQRmOPG1qMKEJg?authuser=0&hl=zh-TW&rclk=1
Something Cafe & Bistro,5.0 ,124,116台北市文山區景美街102號,https://www.google.com/maps/place/Something+Cafe+%26+Bistro/data=!4m7!3m6!1s0x3442ab0160eadf1f:0x149401f83a204b08!8m2!3d24.9893479!4d121.5414031!16s%2Fg%2F11ks0cppf3!19sChIJH9_qYAGrQjQRCEsgOvgBlBQ?authuser=0&hl=zh-TW&rclk=1
隱 Bistro,4.7 ,376,116台北市文山區指南路二段72號,https://www.google.com/maps/place/%E9%9A%B1+Bistro/data=!4m7!3m6!1s0x3442ab81cc109e31:0xd6bbc1f25ce2b7fd!8m2!3d24.9868081!4d121.578528!16s%2Fg%2F11p67tfwhj!19sChIJMZ4QzIGrQjQR_bfiXPLBu9Y?authuser=0&hl=zh-TW&rclk=1
小聚苑 cafe,5.0 ,264,116台北市文山區木柵路三段103巷1號,https://www.google.com/maps/place/%E5%B0%8F%E8%81%9A%E8%8B%91+cafe/data=!4m7!3m6!1s0x3442aba33c3ffcc7:0xe6fd4fb96354006f!8m2!3d24.9888256!4d121.5680184!16s%2Fg%2F11sqjqjh1t!19sChIJx_w_PKOrQjQRbwBUY7lP_eY?authuser=0&hl=zh-TW&rclk=1
