Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"料理紮實可口，香料運用出色，燉煮肉類都很軟爛入味，甜點確有特色，飲品也冰涼宜人。店內佈置裝潢美麗用心，店員收空盤迅速，環境乾淨，採光也明亮。
店內吵雜，客人桌椅密度高，用餐當天背景播放鋼琴彈奏的K-pop流行樂，搭配鄰桌吵雜話聲，吵到和家人聊天都必須提高音量、否則聽不見的程度。冷氣溫度不夠涼。餐點和價格沒問題，但以聚餐地點而言不夠舒適，稍嫌可惜。","The cuisine is solid and delicious, the spice is excellent, the stewed meat is very soft and flavorful, the desserts are indeed distinctive, and the drinks are also cold and pleasant.The decoration in the store is beautiful and intentional. The clerk closed the market quickly, the environment was clean, and the lighting was bright.
The shop is noisy, the guest tables and chairs are high, and the K-POP popular music played on the background on the background of the meal. With the noise of the neighbor table, you must increase the volume and the extent that you must chat with your family.The temperature of the air -conditioning is not cool enough.The meal and the price are no problem, but it is not comfortable for the dinner place, it is a pity.",False,0.132,0.063,0.805,0.7136
"沒接觸過水煙，這是人生第一次嘗試，有單一水果口味，也有兩種水果混搭的綜合口味，甚至有酒品混搭的特調風味，今晚就來點奇異果+藍莓🫐🥝吧！店員細心的講解抽水煙的方式，但第一口還是不太適應，嗆到狂咳🤣🤣🤣不過很快就抓到訣竅，吞雲吐霧了～真的是很特別的體驗✧︎*｡( ´∩︎•͈ω•͈∩︎` )✧︎*｡

這家水煙店的熱炒跟炸物有點厲害，吃了保證讚不絕口～點了四道料理：

「招牌炸雞翅」-酥脆的外皮，一口咬下去，裡面的雞肉的汁液橫流，美味到令人允指回味！
「手工蝦仁春捲」新鮮又多汁，搭配酸甜醬真的很對味～
「炸馬芝瑞拉」上桌要馬上吃，就可以開心拉絲～
「蔥爆牛肉」軟嫩入味超下飯，差點要點第二盤！

在這種燈光效果、音樂氣氛極佳的水煙館，當然適時的來一杯調酒最棒了～「Sinderella」&「Blue Hawaii 」，帶著美麗漸層色又爽口，令人沈醉其中～","I have not been exposed to the water smoke. This is the first time I tried in life. There are a single fruit flavor, and there are two comprehensive flavors of mixing and matching fruit. There are even special flavors of mixing and matching wine.The clerk carefully explained the method of smoking smoke, but the first bite was still not very suitable. (´∩︎ • •ω • ͈∩︎`) ✧︎*｡

The hot frying of this water cigarette shop is a bit powerful, and I have a guaranteed praise ~ Order four dishes:

""Signboard fried chicken wings""-crispy skin, bite it down, the chicken juice inside flows, delicious to finger!
""Handmade Shrimp Spring Roll"" is fresh and juicy, with sweet and sour sauce is really right ~
If you want to eat ""Fried Matrich"" immediately, you can be brushed happily ~
""Onion burst beef"" is soft and tender, and it is super meals, almost to order the second set!

In this kind of lighting effect and excellent music atmosphere, of course, a cup of bartending is the best in time ~ ""SINDERELLA"" & ""Blue Hawaii"", with beautiful gradient colors and refreshing, it is intoxicating ~",False,0.237,0.0,0.763,0.9953
肉類料理相當美味，飯、餅、馬鈴薯都可以搭配著吃，番紅花跟花生口味冰淇淋濃郁非常推薦，唯一美中不足的是同桌友人拿了濃湯發現是冷的，可以得的話湯還是要熱的比較好喝😀,"Meat dishes are quite delicious. Rice, cakes, and potatoes can be eaten with them. Fan safflower and peanut flavor ice cream are rich and very recommended. The only thing that is not enough is that friends with the same table have a thick soup and found that it is cold. The hot ones are more delicious 喝",False,0.272,0.0,0.728,0.9588
"爛死了
等快半小時餐點不知道要多久才回來","Rotten
I don’t know how long it takes to come back for a meal for almost half an hour",False,0.0,0.155,0.845,-0.5106
"調酒覺得一般
水煙不貴，一隻600左右~
氣氛蠻好的音樂蠻大聲，比較動感，中間有大空地可以讓人社交、跳舞，可惜今天平日來人比較少，感覺假日人多一點應該會蠻不錯的！

菜單用掃描的電子點餐
烏魚子烏龍麵（名字忘了）很好吃！","Into the bartending feel average
Water smoke is not expensive, about 600 ~
The atmosphere is pretty loud and dynamic. There is a large space in the middle that can make people social and dance. Unfortunately, there are fewer people who come to today. It is pretty good to feel that there are more people on holidays!

The menu orders the electronic of scanned
Bulin oolong noodles (forgot the name) is delicious!",False,0.22,0.028,0.752,0.9489
一間很特別的餐廳，喜歡異國美食的你（妳）一定要來吃看看，很多東西是外面平常吃不到的，飲料甜點香料，食物作法都跟一般外面的大不同，而且現在只要599就可以全部享用到了，很划算，不過最近防疫期間建議大家要去之前還是電話訂個位然後配合餐廳做好防疫工作。,"A very special restaurant, you who like exotic food (you) must come and see. Many things are usually not eaten outside. Drink dessert spices. It can be enjoyed, it is very cost -effective, but recently it is recommended that you go to the phone to book a seat before going to the restaurant to do a good job of epidemic prevention.",False,0.204,0.0,0.796,0.9029
真的超難吃 pizza還有一股臭酸味我真的肚子超痛 他們家應該評論洗出來的…我看評論推薦買真的超級難吃 不然那個評論就是在反串害人 我認真沒吃過那麼難吃的東西,It's really hard to eat Pizza and a stinky sour taste. I really have a stomach and the stomach hurts their family should comment ... I look at the comments and recommend buying really unpleasant. What to eat,False,0.054,0.231,0.715,-0.8012
可以說我最愛的水煙館之一。水煙好抽，歡樂的氛圍。現在新加的熱炒也超好吃!!強烈大推…伊朗紅茶茶具也非常講究，感覺得出來是間注重細節的店,"It can be said that one of my favorite water cigarette halls.Water smoke is so smoking, a joyful atmosphere.Now the new hot fried fried is also very delicious !! Strong push ... Iran's black tea tea set is also very particular. It feels like it is a shop that pays attention to details",False,0.271,0.0,0.729,0.9572
食物很好吃，以前都是異國料理，最近增加了台灣的熱炒會看到的菜，試點幾道料理來試試看…意外的蠻好吃的..配酒剛剛好…空間很有異國風，食物很台，中西合併也不突兀⋯⋯蠻推薦的…酒滿濃的..一杯就有感..消費以夜店的標準..覺得不貴..之前吃過披薩也很推薦,"The food is delicious. It used to be exotic dishes. Recently, the dishes that the hot stir -fry in Taiwan will be seen. Try a few dishes to try ... The unexpected is pretty delicious. The space is just exotic. The food is very desperate, and the merger of Chinese and Western is not abrupt ... I am quite recommended ... The wine is full .. A cup has a sense .. Consumption is based on the standard of nightclubs .. I think it is not expensive .. I have been recommended by pizza before.",False,0.137,0.024,0.839,0.8979
"那個.....黑乎乎的蔬菜牛肉真的是燉太厲害的，調味個人不愛可惜。
甜點還不錯。","That ..... The black vegetable beef is really stewed too much. It is a pity not to season.
The dessert is not bad.",False,0.109,0.084,0.806,0.1655
