Original,EN,Needs Review,Positive,Negative,Neutral,Compound
小小的店很舒適。酒款多，自然酒也多。,"The small shop is very comfortable.There are many wines, and there are many natural wines.",False,0.152,0.0,0.848,0.3612
店員很專業，對酒類介紹詳細，店內音樂跟氛圍都很棒,"The clerk is very professional, the introduction of the wine is detailed, the music and the atmosphere in the store are great",False,0.163,0.0,0.837,0.6249
"環境舒適，提供的酒類選擇非常的多主要以紅白酒為主，老闆可依據喜好推薦酒品，這次喝的三支紅酒都很不錯，價格可接受。外帶的話會有折扣。
有戶外區及地下室座位，可先預定座位晚上客人較多。","The environment is comfortable, and the choice of alcohol provided is mainly mainly red and white wine. The boss can recommend wine based on preferences. The three red wines you drink this time are very good, and the price is acceptable.There will be discounts if you take it.
There are outdoor areas and basement seats. You can book more seats at night.",False,0.132,0.0,0.868,0.8399
自然酒好喝，火腿拼盤可以點，若點單杯酒而不是單瓶，要非常主動詢問店員才會仔細介紹產品，部分座位音樂偏大聲，光線有些太亮,"Natural wine is delicious. The ham platter can be ordered. If you order a single glass of wine instead of a single bottle, you must take the initiative to ask the clerk to introduce the product carefully. Some seats are loud and the light is too bright.",False,0.198,0.0,0.802,0.8625
自然酒選擇多、地點在安靜小巷、有戶外桌,"There are many natural wine selection, the place is in the quiet alley, there are outdoor tables",False,0.135,0.0,0.865,0.3612
"能選的酒種滿多的，單杯160價格很實惠

能自己叫外賣只需付清潔費（100/人）即可","There are a lot of wine that can be selected, and the price of a single cup 160 is very affordable

You can call your own takeaway and just pay the cleaning fee (100/person)",False,0.0,0.041,0.959,-0.1027
酒是不錯，但店員的態度令人膽怯，我們其實很好奇許多酒款，但幾句話之後沒人敢發問，店員感覺心情超不好，很不耐煩又冷淡，怕爆,"The wine is good, but the shop staff's attitude is timid. We are actually curious about many wines, but no one dares to ask after a few words.",False,0.143,0.155,0.702,-0.1027
店裡的人都蠻專業，介紹酒款都非常詳細，這裡的自然酒可以找到很多驚喜感，非常推薦偶爾來一下。晚上九點人會開始爆滿，可以盡早來喝酒,"The people in the store are quite professional, and the introduction of wine is very detailed. The natural wine here can find a lot of surprises. It is recommended to come occasionally.Nine o'clock in the evening will start full, and you can drink as soon as possible",False,0.128,0.0,0.872,0.6666
"之前朋友知道我喜歡喝酒，介紹了這家店。星期五特地來放鬆一下。去過一次後私心收藏起來，因為環境跟氛圍都好舒服。
這裡的酒以紅白酒為主，自然酒的選擇特別多，傾向像是tapas bar的那種。
因為喝得太高興了所以這次只拍了兩張照片😂
這裡的紅白酒選擇不少，價格也不高，連不常見的格魯吉亞酒也有耶！ （amber wine) 之前在格魯吉亞沒有喝過這種（都只喝過紅白酒和啤酒），沒想到會在這裡看見新東西😂
這裡的酒是可以外帶的，在別的地方也沒有很常見，喜歡的話買回家喝會更划算
不過店內的氣氛很好，店員也很好聊，平常的星期五會有音樂表演，碰巧去的那天樂隊成員要回家投票所以表演暫停一次。","I used to know that I liked to drink and introduced this shop.Come and relax on Friday.After I visited once, I was collected privately because the environment and atmosphere were so comfortable.
The wine here is mainly red and white wine. There are many choices of natural wine. The tendency is like the type of Tapas Bar.
Because I was so happy, I took only two photos this time 😂
There are a lot of red and white wine here, and the price is not high, and even the uncommon Georgian wine is available!(Amber Wine) I haven't drank this kind of Georgia before (I have only drank red and white wine and beer), but I did not expect to see a new thing here.
The wine here can take it out, and it is not very common elsewhere. If you like it, it will be more cost -effective to buy it home and drink
However, the atmosphere in the store is very good, and the clerk is also very good to talk. Usually there will be music performances on Friday. The band members will go home to vote on the day when they happen to go.",False,0.144,0.007,0.849,0.9826
西班牙風味的個性小店 在八德路的巷子裡 有特色酒 有品牌酒 最高級的是自己心裡的酒  開心的周日下午 喜歡3:00鐘的酒精,Spanish -style personalized shops have special wines in the alleys of Bade Road. The brand wine is the highest.,False,0.13,0.0,0.87,0.4019
"友善良好，傳達對酒的熱情，永遠都有新發現。
浪漫感性，找到屬於自己的角落，品飲酒文化之豐富底蘊。
繽紛燦爛，由此出發，酒的嚮導帶我環遊世界。
愛酒的人都很棒🖤 謝謝大象🐘 …","Good friendship, conveying the enthusiasm for wine, will always find new discoveries.
Romantic sensation, find your own corner, and the richness of drinking culture.
Colorful and splendid, starting from this, the guidance of the wine brought me around the world.
Everyone who loves wine is great 大 Thank you Elephant ...",False,0.406,0.0,0.594,0.9812
日本朋友帶我們來的，喝了有機白酒和自然白酒，學到好多自然酒的事，yay~,"Japanese friends brought us, drank organic liquor and natural liquor, and learned a lot of natural wine, yay ~",False,0.434,0.0,0.566,0.8885
"這是下午的第一站,疫情間人不多,台北不多可以少數單杯喝的地方,品項很多價格也很美麗,喝單杯再帶酒的話會有很棒的折扣,紅白都有,點了杯vico是濃郁的覆盆莓,酸度不會太高
地下室的品項很多,有所謂的自然酒跟氣泡酒也有,我上次買了一瓶白的送朋友她們也很喜歡,有空可以來坐坐","This is the first stop in the afternoon. There are not many people in the epidemic. There are not many places where there can be a few single cups in Taipei. Many items are also very beautiful. If you drink a single cup, you will have great discounts. Yes, ordered a cup of Vico is a strong raspberry, the acidity will not be too high
There are many items in the basement, and there are so -called natural wine and bubble wine. I bought a bottle of white to send friends last time. They also liked them.",False,0.201,0.019,0.78,0.9673
"有原酒、自然酒多種選擇~
酒很好喝，可以喝到外面沒看過的酒，外帶酒也有提供折扣~","There are many choices of original wine and natural wine ~
The wine is delicious, you can drink the wine that you haven't seen outside, and there are discounts for taking wine ~",False,0.221,0.0,0.779,0.8176
"一個葡萄酒單杯很便宜，的wine bar，西班牙酒很便宜、種類也非常多樣化，法國酒也很推薦，現場還有爵士鼓演奏可以欣賞(但是隨機的!)。
非常適合想要來喝一杯葡萄酒或是嘗試很多不同類型葡萄酒的人來，每一杯的單價大約就是一支酒的牌價除於8～10杯的價格!!","A wine single cup is very cheap, Wine Bar, Spanish wine is very cheap, variety and diverse, French wine is also recommended. There are jazz drum performances on the scene to enjoy (but random!).
It is very suitable for people who want to drink a glass of wine or try a lot of different types of wine. The unit price of each cup is about the price of a brand except for 8-10 cups !!",False,0.075,0.0,0.925,0.5894
小小的空間但坐起來挺舒服，老闆選酒選的好，價格蠻實在的，外帶還有折扣！,The small space is very comfortable to sit up. The boss chooses a good choice. The price is quite solid.,False,0.33,0.0,0.67,0.8119
適合小酌的地方！店內位置不多，酒類品項十分有趣！極度推薦,"Suitable for drinking!There are not many locations in the store, and wine items are very interesting!Extreme recommendation",False,0.0,0.0,1.0,0.0
蠻有特色的酒吧，喜歡自然酒的人可以來。提供單杯用coravin。,"There are quite distinctive bars, and people who like natural wine can come.Provide a single cup with Coravin.",False,0.238,0.0,0.762,0.6124
舒適親切的空間，有多種葡萄酒可供嘗試，推薦！只是稍微不易到達,"A comfortable and friendly space, there are a variety of wines to try, recommend!It's just a little hard to reach",False,0.271,0.091,0.638,0.7595
"偶然發現的店家
讚耶，好店，好酒，店員專業","The shops discovered by accident
Zanye, good shop, good wine, clerk professional",False,0.324,0.173,0.503,0.4019
紅白酒氣泡酒藏酒很多 單杯或整支的都有 很棒的店,Many single cups or whole -expenses of red and white wine bubble wine have great shops,False,0.215,0.0,0.785,0.6249
"很讓人覺得舒服的地方。有室外座位和室內座位。裡面小小的，只有幾桌，可是落地窗打開感覺就寬大。服務人員都很有耐心的解釋每種酒款，讓你選到最適合你心情和口味的一杯/瓶酒。自然酒選擇也很多。大大推薦！

Highly recommend! Amazing selection of natural and convention wine by the bottle or glass. The staff there are friendly and willing to explain and answer any questions you may have. Also a tiny selection of bar snacks like cured meats and cheese. Allows outside food.

The place is very intimate with only a few tables, but it does have an outdoor section. The indoor section has sliding doors that open all the way, which basically makes it feel like outdoor seating.","It makes people feel comfortable.There are outdoor seats and indoor seats.There are only a few tables inside, but the floor -to -ceiling window feels wide.The service staff has a patient explanation of each wine, allowing you to choose a glass/bottle of wine that is best for your mood and taste.Natural wine choices are also many.Great recommendation!

Highly Recomge! Amazing Selection of Nature and Convention Wine by the Bottle or Glass. The Staff theRe Friendly and Willing to Explain and ANSAER ANY Questions OU May have. Also a tiny selection of Bar Snacks like cured meats and cheese. Allows outside fish.

The Place is very intimate with only a few tables, but it does have an outdoor sections. akes it feeling outdoor seative.",False,0.154,0.0,0.846,0.9729
酒類選擇很多，晚上在戶外座位小酌很舒服,"There are a lot of wine choices, it is very comfortable to drink at the outdoor seat at night",False,0.166,0.0,0.834,0.5563
"店內座位不多，沒有供正餐，有起司麵包火腿等一些點心可搭配，比較像是讓人閒聊輕鬆喝酒的小酒館，外帶食物會酌收清潔費100元

可以選擇單杯或開瓶，單杯基本上就是看當天開什麼酒，一次會有四罐左右讓客人選，價位當天有聽到200-400左右，如果那罐被客人點完，會再開新的，所以選擇上其實蠻豐富的，也會介紹國家葡萄品飲特色，新手也不用太擔心

酒單部份有耳聞店內滿多自然酒，當天也聽到滿多是自然酒的，如開單罐，可享外帶同瓶酒六折的折扣","There are not many seats in the store, there are no meals, there are some snacks such as bread ham, which can be matched. It is more like a tavern that makes people drink and drink easily.

You can choose a single cup or bottle. The single cup is basically to see what wine was opened on the day. There will be about four cans for the guests to choose. On the day of the price, there will be about 200-400. New, so the choice is actually quite rich, and it will also introduce the characteristics of national grape drinks, and novices need to worry too much about

There are a lot of natural wine in the shop. I also heard a lot of natural wine on the same day. If you open a single can, you can enjoy a 40 % discount on the same bottle of wine.",False,0.106,0.031,0.863,0.9039
還不錯的一個喝紅酒的地方,A good place to drink red wine,False,0.326,0.0,0.674,0.4404
自然酒的好地方，選擇很多，價格也不錯，內用還有打折，,"There are a good place for natural wine, there are a lot of choices, and the price is good, and there are discounts internally.",False,0.283,0.0,0.717,0.8074
可以單杯品酒，消費平價，還要推薦老闆煮水餃,"You can make a single cup of wine, consumption is affordable, and the boss is recommended to cook dumplings",False,0.09,0.065,0.846,0.128
"謝謝店長的解說
門市人員人很親切, 有價格漂亮而且種類多樣的自然酒
那照店長的說法，他家選的酒都比較不甜, 有酸度","Thank you for your explanation
Store staff are very kind, have beautiful prices and diverse types of natural wine
Then the manager said that the wine he chose at home is not sweet, and there is acidity",False,0.272,0.052,0.676,0.8854
自然酒為主，店員很樂意做介紹，可以單杯喝也可以開瓶,"Natural wine is mainly based, the clerk is happy to introduce, you can drink a single cup or open a bottle",False,0.246,0.0,0.754,0.7351
