Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"雖說主打水煙，但餐點每道都很好吃！
氣氛好，店員又熱情友善！
有機會一定回訪！","Although the main water smoke, every meal is delicious!
The atmosphere is good, the clerk is enthusiastic and friendly!
If you have a chance, you will return!",False,0.419,0.0,0.581,0.9421
"滷肉飯必點！（但是限量）
鮭魚燉飯、蛤蜊麵、培根菜都很好吃，味道濃郁，可以感受到在烹調上很用心，但上菜速度不快，需要耐心等待
酒也好喝！（經典調酒五號酒味道有層次，一點酸甜，酒感不重）

店員很健談，還大方分享水煙相關資訊
有經過台北東區值得一訪","Mourning meat rice must be ordered!(But limit)
Salmon stew, clams noodles, and bacon vegetables are all delicious and rich in taste. You can feel that the cooking is very careful, but the speed of serving is not fast. You need to wait patiently.
The wine is also delicious!(Classic bartending fifth wine has a layered taste, a little sweet and sweet, the wine feels not heavy)

The clerk is very talkative, but also generously share information about water cigarettes
It is worth visiting by Taipei East District",False,0.223,0.019,0.758,0.9625
氣氛超好、店員超親切、餐食一點都不馬虎，調酒也有一定水準，水煙很好抽,"The atmosphere is super good, the clerk is super kind, the meal is not sloppy, and there is a certain level of bartending. The water smoke is very good.",False,0.457,0.0,0.543,0.9606
"被朋友帶來，是小紫服務
是妥妥當當的E人！看她跳一二代女團的歌超可愛🤣會不知不覺跟著搖擺（？）
聽著那個年代的KPOP抽著水煙聊著天超讚！","Bring by friends, it is Xiaozi service
It is a proper E people!Seeing her song of her jumping first and second -generation women's group is super cute, I will unknowingly sway (?)
Listening to the KPOP of that era, pumping water cigarettes and chatting!",False,0.205,0.0,0.795,0.8906
"前幾天跟友人去kedi抽水煙跟喝酒
很久沒去了 但酒還是一樣好喝 水煙還是一樣很屌
服務人員非常的nice 還會再回訪啊！❤️","A few days ago, I went to Kedi to smoke and drink with my friends
I haven't gone for a long time, but the wine is still as delicious.
The service staff will return to visit again!❤️",False,0.167,0.0,0.833,0.8122
"還沒來過的話，你一定會喜歡這裡
調酒、水煙、晚餐一次滿足😍
調酒 很頂
我只能這麼說
朋友點了一杯伯爵茶的酒
還來不及多拍幾張照
就直接再續下一杯啦！

第一次來這裡抽水煙
從選擇口味到教學都很用心
口味多到有選擇障礙哈哈
店員推薦的果香讚讚！！
中間也都貼心的來幫我們調整
抽好抽滿❤️

最後餐點部分
居然有我最愛的櫛瓜！
還偷吃了朋友的干貝
這家店一再讓我驚艷

絕對是會帶上更多朋友ㄧ訪再訪
已列入我的愛店名單❤️","If you haven't been here, you will definitely like it here
Differential bartending, water cigarettes, dinner at one time 😍
Blooming is very top
I can only say that
Friends ordered a glass of Earl tea wine
It's too late to take a few more photos
Just continue the next cup directly!

Come here for the first time to smoke and smoke
From choosing taste to teaching, I am very careful
There are so many tastes of optional disorders haha
The fruits recommended by the clerk!Intersection
There are also intimately to help us adjust in the middle
Pick up full ❤️

Last meal part
There are my favorite Gourd!
I also stole my friends' scallops
This shop has repeatedly surprised me

Definitely, I will bring more friends to visit and visit again
List of my love shop ❤️",False,0.247,0.0,0.753,0.9898
"店員友善、餐食不推薦、調酒水煙普通

0.炸物-松露薯條：不雷，但是很小份，跟店員說的俗又大碗不太符合
1. 前菜：有番茄+鮭魚的那道，不太知道在吃什麼，味道非常分離
2. 燉飯：鮭魚燉飯非常水
3. 義大利麵：忘記是什麼，但是醬粉粉的，調味非常不好吃

調酒：普通，有一杯紫蘇的大家都不太喜歡

水煙：莓果味還算順。但我們用餐完抽水煙，抽沒有很久被告知用餐時間到了。因為不知道有用餐時間限制，有點中途停止了。

坐在地下室，旁邊客人太吵了，聽不太到朋友說話。希望若店員可以提醒會好一點。","The clerk is friendly, the meals are not recommended, and the bartender is ordinary

0. Fried objects-truffle fries: not thunderous, but very small, the vulgar and large bowls told to the clerk are not in line with
1. Previous dish: There is the one with tomato+salmon, I don’t know what to eat, the taste is very separated
2. Stew rice: Salmon stew is very water
3. Pasta noodles: Forget what is, but the sauce powder, the seasoning is very not delicious

Bart -up: Ordinary, everyone with a cup of perilla does not like very much

Water smoke: Berrying flavor is quite smooth.But we pumped the smoke after the meal, and I was told that the meal time was over for a long time.Because I don't know the time limit for meals, I stopped halfway.

Sitting in the basement, the guests next to them were too noisy, and they couldn't listen to friends.I hope that the clerk can remind it to be better.",False,0.055,0.085,0.86,-0.5148
"推 啤酒 豬五花 軟殼蟹 海鮮煎餅
雖然口味偏台 但整體誠意十足
適合2-6人來用餐 先尿尿廁所在門外
開局贈送的幾盤無限小菜都很好吃哦","Push beer pork pork, soft shell crab seafood pancake
Although the taste is partial, the overall sincerity is full
Suitable for 2-6 people to dine to urinate first outside the door
The unlimited dishes given by the start of the start are delicious",False,0.081,0.0,0.919,0.5719
"店員都很親切、酒也很好喝～水煙也很優💕
下次想要來點餐點！氣氛很好
如果要來約會推推推～～～讚
跟好姐妹來也很適合 🥂✨
當天服務我們的小姐姐很漂亮也好可愛😍","The clerk is very kind and the wine is also delicious ~ The water smoke is also very good 💕
I want to have some meal next time!The atmosphere is very good
If you want to come to date push push ~~~ like
It's also suitable for good sisters 跟
The younger sister who served us on the day is very beautiful or cute 😍",False,0.394,0.0,0.606,0.9883
"試過很多店，很少有水煙館是水煙好抽，東西也好吃的～點了兩杯調酒跟以下餐點
黃昏炙燒干貝義大利麵：干貝好吃麵調味稍淡
松露野菇皮帶面：麵體特別，味道好吃
鹽麴豬五花：有附剝皮辣椒味道重很適合下酒吃
這裡環境舒適，店員也很親切，店裡有許多不同的水煙壺，在東區裡消費也不貴，已經收入口袋名單。","I have tried a lot of shops. There are very few water cigarette halls that are good for smoke, and things are delicious ~ I ordered two cups of bartending and the following meals.
Stubborn shellfish spaghetti: Dry scallops delicious noodles are slightly faint
Tulu wild mushroom belt noodles: the faces are special, the taste is delicious
Salt pork pork flower: there is a peeling pepper pepper, it tastes heavy, it is suitable for drinking
The environment here is comfortable, and the clerk is also very kind. There are many different water cigarette pots in the store. It is not expensive to consume in the East District. It has already included a pocket list.",False,0.179,0.02,0.801,0.9682
