Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"本來以為五星好評是打卡的關係，完全不是欸！調酒跟食物都好讚～～～
不愛喝酒的也可以來吃飯，食物都是水準在線

先來推推調酒：no.1第二志願、no.5我沒懷孕他沒動🤣🤣🤣（都很適合不愛酒感太高的我），另外一定要說提拉米蘇shot超可愛又好喝欸🥰

推推食物：炒飯很屌米飯粒粒分明、干貝星洲醬義大利麵的星洲醬甜辣適中超喜歡很涮嘴、歐巴炸雞、沒拍到照片的醉雞也好好吃
菜單上的東西麻煩都給我來一輪！！！

唯一要說的缺點可能也是優點？
越晚店裡音樂越大聲，週五六晚上還有DJ
所以要認真聊天的朋友可能講話會滿吃力的
但是氣氛很嗨～！偷偷說跟曖昧對象可以耳邊悄悄話唷😂

總之要美酒美食的！推薦給你們啦～","Originally, I thought that the five -star praise was the relationship between punching cards, and it was not 欸 at all!Blooming and food are well like ~~~
Those who don't like to drink can also come to eat.

Let's push the bartender first: NO.1 The second volunteer, No.5, I am not pregnant, he didn't move (it is suitable for me who does not love the wine too high). Cute and delicious 喝

Pushing food: fried rice is very rice rice grains, and the starry sauce of Xingzhou Sauce is sweet and spicy.
The things on the menu are troublesome for me!IntersectionIntersection

The only disadvantage to say is it also the advantage?
The later the music is louder, the more dj is on Friday night
So friends who have to chat carefully may speak hard
But the atmosphere is very hi ~!Secretly saying that the object of the ambiguous object can be silent in the ear 😂 😂 😂 😂 😂 😂

In short, you need to wine food!I recommend it to you ~",False,0.216,0.091,0.694,0.9888
"台北最推薦的酒吧、餐酒館就是它了！餐點和調酒都很不錯，尤其是軟殼蟹和避風塘蟹肉義大利麵！鹹香酥脆的軟殼蟹，吃了會上癮，避風塘義大利麵以蒜酥、辣椒等爆炒後沾附每一根麵條，主食竟然也這麼好吃，不知道要點什麼可以點這兩道。
調酒推STEP ONE  同店名的這杯，加入紫蘇梅酸甜好喝，酒感不重，店內還有水煙可以體驗，店員、調酒師很熱情不會有隔閡感，就算第一次來酒吧也不會覺得格格不入，讚讚。
店內的位置是一區一區，有自己小空間的那種包覆感，也不會和其他客人干擾到，每週五和每週六晚上會有不同的駐店DJ，帶動氣氛。
而且時不時有可能會碰到店員請喝Shot😆","It is the most recommended bar and a tavern in Taipei!The meals and bartending are very good, especially the sprout crab and the wind -like crab meat!The salty and crispy soft shell crabs will be addicted after eating. The spaghetti of the wind pond is fried with garlic crisps, pepper and other noodles. The staple food is so delicious. I do n’t know what to order these two.
The cup of the same name of the STEP ONE is added, and the perilla is sweet and sweet, and the wine feels not heavy. There is also a water smoke in the store to experience. The clerk and the bartender are very enthusiastic. The bar will not feel incompatible, praise.
The location of the store is a district and one district. The sense of coverage of its own small space will not interfere with other guests. Every Friday and Saturday nights will have different resident store DJs to drive the atmosphere.
And from time to time, you may meet the clerk, please drink Shot😆",False,0.14,0.015,0.846,0.9735
你進來就是很開心的體驗，吧台很友善地跟我分享說誒想唱歌的話我們也可以，基本上就是想要享受氣氛來這邊放鬆一下的話，極度推薦。,"When you come in, you can have a very happy experience. The bar is friendly with me and said that if we want to sing, we can also. Basically, if you want to enjoy the atmosphere to relax here, it is extremely recommended.",False,0.333,0.0,0.667,0.9431
氣氛很讚，菜單很多樣，連薯條都有兩種口味，酒單更不用說，根本煙花繚亂，水煙也是一絕，值得多次回訪的點，五星好評奉上！,"The atmosphere is very good. The menu is very diverse. Even the fries have two flavors. Not to mention the wine list, the fireworks are dazzling, and the water smoke is also a must. It is worthy of many return visits. Five stars praise!",False,0.196,0.0,0.804,0.8746
"特地來喝Ramos Gin Fizz
近萬聖節 店裡有裝飾很特別😂
沙發特別軟 環境很舒服
朗姆有特別幫我調整
有低消800$","Come to drink Ramos Gin FIZZ
There are decorations in the nearby Halloween shop, which is very special 😂
The sofa is particularly soft and the environment is very comfortable
Rum has a special help me to adjust
There are low elimination 800 $",False,0.26,0.066,0.674,0.915
"非常非常喜歡的餐酒館，
食物很好吃，喜歡喝妹酒的我覺得酒感很棒。打彈珠台贏到shot，有吃有玩又有shot，怎麼能不推。
服務生送餐的時候還會時不時聊一下，超級可愛的。
最棒的是大螢幕播放的偶像劇，和朋友邊吃邊聊邊看劇，喜歡台灣偶像劇的人絕對不能錯過！","I like the restaurant very much, very much,
The food is delicious. I feel that the wine is great.Win the Shot of the Banto Takamota, eat, play, and shot.
The waiter will talk from time to time when delivering meals, super cute.
The best is the idol drama played by the big screen. When you are talking to friends and watching the drama, people who like Taiwanese idol dramas must not miss it!",False,0.318,0.0,0.682,0.9807
燈光氣氛佳 餐點很有特色 不管是鴨胸 義大利麵 軟殼蟹 都非常好吃～尤其是水煙 抽了都會煙霧瀰漫🤣🤣值得再訪的五星餐酒館❤️❤️,"The lighting atmosphere is very special. Whether it is duck -breasts, it is very delicious. Especially when the smoke smokes, the smoke will be filled with smoke.",False,0.218,0.0,0.782,0.7897
"店家氣氛很好✨
員工很親切第一次來也不會有距離感

雖然是酒吧但是食物也是非常有水準
酒很好喝 推推😳

音樂走2000年代金曲風格
可以跟朋友一起大合唱 開心死了(///▽///)","The atmosphere of the store is very good 氛
Employees are very kind to the first time and will not have a sense of distance

Although it is a bar, the food is also very standardized
The wine is delicious and push push 推 推 推 推 推

Music walks in the golden song style of the 2000s
You can have a chorus with friends who are happy to die (/// ▽ ///)",False,0.197,0.044,0.759,0.9258
"食物好吃！酒也好喝~~
還有多種口味的水煙！
生蠔真的必須點！！！！","The food is delicious!The wine is also delicious ~~
There are many flavors of water cigarettes!
Oyster must really order!IntersectionIntersectionIntersection",False,0.194,0.0,0.806,0.6784
"餐點好吃 調酒好喝
一定會再來👍👍👍","Meal delicious bartending and delicious
I will definitely come again",False,0.591,0.0,0.409,0.8779
