Original,EN,Needs Review,Positive,Negative,Neutral,Compound
每次到小巨蛋看演唱會，一定會到這家餐館，今天是看劉德華演唱會。這家店的薯條加了蒜末味道跟別薯條有點差別；披薩是臘腸蘑菇，披薩餅皮也很特別，有酥脆感又綿密；這家是美式餐館，電動主打的還有一樣就是鮮啤酒。很新鮮。,"Every time I go to the Dome to watch the concert, I will definitely go to this restaurant. Today I watch the Andy Lau concert.The fries of this shop are a bit different from the flavor of minced garlic. The pizza is sausage mushrooms, and the pizza cake skin is also very special, with crispy and dense; this is an American restaurant. beer.Very fresh.",False,0.116,0.0,0.884,0.7902
有一段時間沒來GB了，今天來重溫舊夢。牛排、薯泥很好吃，雞柳也讚，義大利麵普通，沙拉不錯。配上必點的6小福，只能説真是太爽了。可惜碳烤蘆筍沒有單點了。期待下次再來品嚐美味。,"I haven't come to GB for a while, let's relive my old dream today.Steak and potato puree are delicious, chicken willow is also praised, the pasta is ordinary, and the salad is good.With the 6 small blessings that must be ordered, it can only be said that it is too cool.Unfortunately, the carbon roasted asparagus has no one point.Looking forward to taste delicious next time.",False,0.208,0.028,0.763,0.9313
"有別於金色XX的菜色，好一陣子沒吃，忘了好吃的菜色是什麼
點了開胃菜、義大利麵、pizza
BBQ 鷄肉 Pizza 倒是讓我們驚豔，出色的味道出乎預期！
啤酒就稍淡了點，但順口","Different from the golden XX dishes, I haven't eaten it for a while, and I forgot what the delicious dishes are
Ordered appetizer, pasta, pizza
BBQ chicken pizza is amazing, and the excellent taste is unexpected!
Beer is a little lighter, but smooth",False,0.156,0.0,0.844,0.75
回訪多次。食物好吃美味。這次有點牛排，五分熟。等的比較久。過程中，服務人員說因為烤過熟，所以廚房重新製作。生菜後，真的好吃。等待是值得的。唯獨整體比較吵雜。,"Visits many times.The food is delicious and delicious.This time there was a steak, five points cooked.Wait a long time.During the process, the service staff said that the kitchen was re -made because it was too cooked.After lettuce, it is really delicious.Waiting is worth it.The overall is more noisy.",False,0.111,0.038,0.851,0.5955
"來吃過好多次了！
餐廳的氣氛很不錯～
環境舒服、餐點好吃、酒好喝！","I've been eating many times!
The atmosphere of the restaurant is very good ~
Comfortable environment, delicious meals, delicious wine!",False,0.48,0.0,0.52,0.9407
美式餐廳，有炸雞披薩還有甜點，好喝的飲料和啤酒，推薦團體聚餐可以來這。,"American restaurants, fried chicken pizza and desserts, delicious drinks and beer, recommend group dinner here.",False,0.323,0.0,0.677,0.7351
我們一行八個人分別點了不同的餐點，都覺得很好吃，份量適中，飲料也不錯！,"Our group of eight people ordered different meals separately. They all felt delicious, the portion was moderate, and the drinks were good!",False,0.256,0.0,0.744,0.784
內用環境不錯，座位區很舒適，餐點水準不錯但價格略高，菠菜沙拉和雞翅滿好吃的，沙拉新鮮美味，飯後甜點也不差。,"The inside environment is good, the seat area is very comfortable, the meal level is good but the price is slightly higher, spinach salad and chicken wings are delicious, salad is fresh and delicious, and the desserts after meals are not bad.",False,0.397,0.0,0.603,0.972
久違了GB，但覺得失望，烤雞很乾柴，西餐廳不該有這樣的水準，海鹹Taco 偏鹹，唯獨舊金山沙拉還不錯，用料豐富，調味適中。,"It has been disappointed for a long time, but I feel disappointed. The grilled chicken is very dry. The western restaurant should not have such a level. Haixian TACO is salty. However, San Francisco salad is not bad.",False,0.084,0.138,0.778,-0.3453
"服務蠻親切的，餐點小貴，但還不錯吃。
團體聚餐還是點義大利麵和披薩為主比較方便分食。","The service is quite kind, the meal is small, but it is pretty good.
It is more convenient to divide the meals and pizza for group dinner.",False,0.304,0.0,0.696,0.8884
"季節牛排還蠻好吃的
但最好吃的是pizza
服務很好 環境也很好
蠻喜歡的","The seasonal steak is pretty delicious
But the best thing is pizza
The service is very good and the environment is also very good
Pretty",False,0.553,0.0,0.447,0.9765
老店了～！餐點、服務一直都有一定水準，也很適合小酌、酗酒。除了價格不算便宜之外，吃十幾年了，沒有太明顯的缺點。,"Old shop ~!Meals and services have always been a certain level, and it is also suitable for drinking and drinking.In addition to the price is not cheap, it has been eaten for more than ten years, and there are no obvious disadvantages.",False,0.101,0.048,0.851,0.3506
"美式熱烈彈

肋排可以
幾乎不想分享
醬汁也不搶戲

Blue cheese梨子藍莓雞肉沙拉
人如其名 很正直 個人挺喜歡 很fresh

美式餐廳的義大利麵就是追求一個稠膩爽

巨無霸胡蘿蔔蛋糕
比較接近核桃磅蛋糕
沒什麼記憶點但我開心！","American Warm Bomb

Ribs can
I almost don't want to share
Sauce does not grab the show

Blue Cheese pear blueberry chicken salad
People are very upright as their names, I like very fresh

The pasta of American restaurants is to pursue a thick and refreshing

Big Mac Carrot Cake
It's closer to walnut cake
There is no memory point but I am happy!",False,0.157,0.071,0.772,0.737
"商業午餐有湯跟甜點二選一，還附贈飲料
口味也很棒，舊金山菠菜沙拉超讚","There is a soup and dessert one for commercial lunch, and there are also drinks with drinks
The taste is also great, San Francisco spinach Salachao praise",False,0.235,0.0,0.765,0.8271
"餐點味道和餐廳氣氛都很不錯
但服務人員有位態度很差的，經詢問後知道其名為Yvonne (應該是這個音)
我是覺得服務人員聽錯單或是客戶方表達不清楚都可以協調，但用手指著別人說 這是你點的 這態度很要不得

嗯 結果你們餐點好服務好，就因為這位服務人員北爛了一下 我回家後想到的都是這個不好的畫面  雖然你們是GB 但那臉真的很G8

抱怨完了 謝謝你們的餐點","The meal tastes and the atmosphere of the restaurant is very good
However, the service staff has a poor attitude. After asking, I know that it is called Yvonne (it should be this sound)
I think that the service staff can coordinate the wrong list or the customer's expression is unclear, but I pointed at others with my hands and said that this is the attitude you ordered.

Hmm, your meals are good, just because the service staff rotes to the north. After I go home, I think of this bad picture. Although you are GB, the face is really G8

After complaining, thank you for your meals",False,0.075,0.113,0.812,-0.57
上班族午餐的好選擇，商午用舊金山菠菜沙拉及托斯卡鮮蝦麵味美好吃，生菜是菠菜很清脆，不像台灣的菠菜會酸澀，魔力檸檬汁酸甜濃郁，布朗尼蛋糕淋上冰淇淋及巧克力醬，吃到幸福的滋味，連甜點都這麼用心製作，CP值超高，服務人員貼心周到，1/22用餐還送質感很好的紅包袋組喔。,"The good choice for office workers lunch, San Francisco spinach salad and Tuska fresh shrimp noodles are delicious. The lettuce is very crispy, unlike Taiwan's spinach will be sour, magic lemon juice is sweet and rich, and Brownni cakes are drizzled on the cake. Ice cream and chocolate sauce, eat the taste of happiness, even make desserts so carefully, the CP value is super high, the service staff is intimate and thoughtful.",False,0.326,0.0,0.674,0.9817
"餐廳離小巨蛋蠻近的，捷運2號出口走過去大約七分鐘的路程。餐廳蠻大間的，我們被安排在旁邊包廂的位置，很舒服的用餐環境。服務人員也很熱情，服務態度不錯👍🏻

這裡有單點也有套餐，本次是採單點模式，餐點的價格偏高。用餐時限兩小時，紅茶可以無限續杯，我們還有另外點了一杯水蜜桃冰茶。

#酥炸花枝
這道必點！真的很好吃～有別於平常吃到的炸花枝那麼硬，他的花枝嫩又多汁，搭配馬利那拉醬及芥末美乃滋都很讚！

#瑪格麗特薄餅
不到很驚艷，但喜歡吃薄餅跟起司的可以點（就是我啦😂）

#雞肉彩虹沙拉
這道評價蠻多人推的，我們雖然也點了，無奈餐點太多，這道都沒吃就打包了🙈

#火烤紐約客牛排
主餐口味偏鹹，但正合我意😂。肉多汁，搭配旁邊的馬鈴薯泥，剛好能中和牛排的鹹。馬鈴薯泥也好吃，一旁的季節蔬菜普通。

#梅爾森BBQ豬肋排
做對面的我一直聞到碳烤香味，半份的份量就很足了！裡面還有附大家都很推#蒜味薯條 ，蒜味不到很重，但入口還是滿滿的蒜香，薯條也不會炸到太乾，我覺得挺好吃的。

#布朗尼蛋糕
甜點也是很多人推，我們點了布朗尼，巧克力味道很香，而且是熱騰騰剛出爐，但整體來說我覺得太甜了～

今天點的餐點都很滿意，菜色蠻多的，喜歡喝酒的也很適合來～","The restaurant is very close to the little dome, and the MRT 2 exports have gone through about seven minutes in the past.The restaurant is quite large, and we are arranged in the box next to the box, a very comfortable dining environment.The service staff is also very enthusiastic, the service attitude is good 👍🏻

There are single points and set meals here. This time it is a single -point model, and the price of the meal is high.The meal is limited to two hours, and the black tea can be renewed unlimited. We also ordered a cup of peach ice tea.

#
This must be ordered!It's really delicious ~ It's different from the fried flower branches that are usually eaten. His flower branches are tender and juicy. It is great with the Malinaa sauce and mustard.

#Margaret cake
It is not amazing, but you can order it if you like to eat pancakes and cheese (that is, me)

#Rainbow Salad
This evaluation is quite a lot of people pushed. Although we also ordered, there were too many meals.

#
The taste of the main meal is salty, but I just like it.The meat is juicy, with the potato puree next to it, it can just neutralize the salty of steak.The potatoes are also delicious, and the seasonal vegetables are ordinary.

#Melson BBQ pork ribs
I always smelled the aroma of carbon roasting, and the amount of half a portion was sufficient!There are also everyone who pushes#garlic flaws. The garlic flavor is not very heavy, but the entrance is still full of garlic, and the fries will not be too dry. I think it is delicious.

#
Many people are also pushed by many people. We ordered Brownney. The chocolate flavor is very fragrant, and it is hot and just released, but overall I think it ’s too sweet ~

The meals I ordered today are very satisfied, there are a lot of dishes, and those who like to drink are also very suitable ~",False,0.109,0.009,0.882,0.9896
好飽阿阿阿……會帶妞來的那種好吃。,Full of Ah Ah ... the delicious food that will bring the girl.,False,0.236,0.0,0.764,0.5719
"四人套餐吃得飽❤️
味道很好👍
還可以試喝啤酒（很順有的有淡淡果香～
氣氛好很適合用餐聊天
服務生熱情貼心
用餐起來很愉快
會再二訪","Four -person package is full ❤️
The taste is very good 好
You can also try to drink beer (very smooth, there are faint fruits ~
The atmosphere is so suitable for dining and chatting
Worship enthusiasm and thoughtful
I am very happy to eat
Will another visit",False,0.253,0.0,0.747,0.9311
"每年必回訪的美式餐廳！
必點薯薯附的焦糖奶油沾醬超無敵、也超罪惡！
披薩味道跟餅皮都很好、骰子牛好吃就是份量偏少、凱薩沙拉🥗、檸檬汁都還不錯、冰茶檸檬可不用點","American restaurants that must be visited each year!
The caramel cream attached to the potato is super invincible and super sinful!
The pizza tastes good and the cake skin is very good, the dice beef is delicious, the portion is too small, the Caesar salad, the lemon juice is not bad, the ice tea lemon does not need to be a little bit",False,0.293,0.043,0.664,0.9667
"今天在這看了2023亞運棒球
中華對上中國
自由對上獨裁
國與國的對決
已經不像往年一面倒的比賽了
殘壘太多有點緊張呢
16殘壘快昏倒
好險這次投手都很坦 好爽🍌

中華隊投手球速有夠快 猛的
打擊很多低潮🥲 主委加油啊🍌
中國隊有個街友臉投手背號64，不知道在他們國內新聞轉播會不會都不知道他有投過呢？嘻嘻

接下來和日本消耗戰還有對韓金牌戰
希望中華投手不要照慣例關鍵烙賽阿
加油👏

接著順便提一下
這家吉昂比鮮釀餐廳觀看運動賽事很適合
大投影螢幕，播報聲音清楚
店內也不會太吵雜，適合配合賽況鼓譟歡呼
店員感覺服務周到有感受到貼心
餐點蒜味薯條和什麼薯薯的馬鈴薯薯條好吃😋
蝴蝶袖麵好吃😋
拼盤好吃😋那個白泡泡將看起來有點害羞可是很好吃，看影片我們不小心掉在桌上還是忍不住去沾他就知道ㄌ❤️
德國豬腳…蠻普通的🥲
淡菜穩扎穩打🙃
啤酒🍻 感覺也普普嘻嘻😬
可樂經典好喝 讚…❤️","Today I watched the 2023 Asian Games baseball
China to China
Freedom to the top dictatorship
The duel of the country and the country
It's no longer like a game in previous years
There are too many residuals and a little nervousness
16 Disables Fast faint
Good insurance this time the pitcher is very frank and cool 🍌

The speed of the Chinese team's pitcher is fast enough
Come on many low tide 加 加 加 加 加 🍌 🍌 🍌 🍌 🍌
The Chinese team has a street friends and pitcher back 64. I wonder if they will not know if he has voted in their domestic news broadcast?whee

Next, there are Japanese gold medals with Japanese consumption war
I hope the Chinese pitcher will not take the key to the key to the convention
Come on

Then mention it by the way
This Jiongi Bai Fresh Restaurant is suitable for watching sports events
Large projection screen, the sound of the broadcast is clear
The store will not be too noisy, suitable for coordinating the situation of the game and cheering
The clerk feels that the service is thoughtful and feels intimate
Meal the garlic flavor fries and what kind of potato potato potato fries are delicious
Butterfly sleeves are delicious 袖
The platter is delicious. That white bubble will look a bit shy, but it is delicious. We accidentally fall on the table when we watch the video.
German pig feet ... pretty ordinary 🥲
Light vegetables steadily 稳 稳
Beer 也 也 It also feels Pop, hee hee hee
Coca -Cola classic is so delicious ... ❤️",False,0.143,0.044,0.814,0.9821
"拿鐵好喝，酥炸花枝&紐約客牛排好吃，薯條好吃。因為不能碰酒精，很多品項不能吃。廁所在外面，必須推兩道門，第二道有密碼，很酷，但通風普通&地板黏黏，有點可惜。
謝謝Nancy！","It ’s delicious with iron, crispy fried flower branches & New York Hakka steak is delicious, and the fries are delicious.Because you can't touch alcohol, many items cannot be eaten.The toilet must be pushed with two doors. The second password has a password, which is cool, but it is a pity that the ventilation of ordinary & flooring is sticky.
Thank you nancy!",False,0.14,0.04,0.82,0.7263
