Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"店內店外座位很多，氣氛非常好～
酒類的種類很多，也有創意的調酒類
餐點有大份量的正餐也有簡單的輕食、炸物，很適合多人聚餐或是和朋友一起小酌☺️

麻婆豆腐會附上一碗白飯
小辣的口味而且會微麻，非常下飯也很下酒！！很推薦🤣
煲仔飯味道比較普通，份量比想像中多，會附上一小湯匙的黃芥末醬，很清爽解膩

聽說薯條和涼麵很厲害
之後有機會想再嘗試看看～","There are many seats outside the store, and the atmosphere is very good ~
There are many types of alcohol, and there are also creative bartending categories
There is a large amount of meals with a large amount of meals, and there are simple light food and fried objects. It is very suitable for multiple people to dine or drink with friends ☺️

Mapo Tofu will attach a bowl of white rice
The taste of Xiaoma will be slightly numb, and it will be very wine!IntersectionRecommended 🤣
The claypot rice tastes more ordinary, and the portion is more than expected. It will attach a small tablespoon of yellow mustard sauce, which is very refreshing

I heard that fries and cold noodles are very powerful
After that, I have a chance to try again ~",False,0.135,0.014,0.851,0.9563
"東西很好吃， 除了涼麵，麵比一般涼麵Q是他的特色，但味道沒有特別之處。甜點的冰淇淋ㄧ小杯加一杯玉米片這樣$200而且也沒有很好吃。
很多人對女調酒師有意見，我覺得酷酷的很好，但調酒的湯匙真的不要舔一下又稍微過一下水就當洗好了，連搓一下都沒有。我坐在吧台看了好幾次，真的有點想吐。要試酒也不是這樣試吧？再來就是點餐的qr code 第一次點完餐就收走。如果你手機網頁關掉了就很麻煩。就算沒關掉，過一陣子還是會出現「qr code已失效」因此沒辦法加餐。服務人員看起來都很忙（就算餐期過了，也忙著備料） 完全沒有人理會客人求助的眼神。最後是我厚臉皮攔下一位服務人員才完成加點","The things are delicious. Except for the cold noodles, the noodles are better than ordinary cold noodles, but the taste is not special.The Ice Cream of the dessert is $ 200 with a cup of corn slices and it is not delicious.
Many people have opinions on feminine alcoholics. I think it is very cool, but the spoon of bartending is really not to lick and washed it with a little water.I sat on the bar and watched it several times, and I really wanted to vomit.Isn't it like this to try alcohol?Then it is the first time I ordered the QR Code to take away for the first time.If your mobile webpage is turned off, it is troublesome.Even if it was not turned off, ""QR CODE has failed"" in a while, so there is no way to add meals.The service staff looks very busy (even if the meals are over, and they are busy with the materials), no one cares about the eyes of the guests for help.Finally, I stopped a service staff with a thick skin to complete the addition",False,0.038,0.112,0.85,-0.9431
"冠軍薯條好好吃
涼麵也不錯
魚子醬吐司搭配起來口感很棒
牛排煎得剛剛好 極推
要打電話訂位！不然感覺會等很久
下次要來喝他們的酒看看 還會再回來吃","Champion French fries are delicious
Cool noodles are also good
The caviar toast tastes great
The steak fried is just pushing
To call the position!Otherwise, I feel that I will wait a long time
Next time I want to drink their wine to see it, I will come back to eat again",False,0.287,0.0,0.713,0.9551
"本身不愛吃薯條，但必須給貓下去的薯條五顆星🌟菜單上寫用很貴的油炸出來的，名符其實！魚子醬吐司大推，半熟蛋燉飯口味稍重，最驚豔的是看起來不起眼所以沒有拍照的涼麵，必點！！
餐點多樣化份量也不少，建議3-4人用餐較適合","I do n’t like to eat fries, but the French fries that must be described as a five -star cricket menu must be fried.The caviar toast is pushed. The half -cooked egg stewed rice has a heavier taste.Intersection
There are also a lot of meals. It is recommended that 3-4 people meals are more suitable",False,0.069,0.0,0.931,0.4497
"今天中午終於去朝聖，點了一個 $320 的 “經典”吉士牛肉堡，所幸有分食，將漢堡對切，發現才約 0.3公分厚的漢堡絞肉沒熟 (？!! )，還在狐疑是…蕃茄（漢堡根本沒蕃茄這元素）？還是絞肉？時，請服務生一同來鑑定，服務生說「幫我們 ""重做""」，“重做後” 送回，同桌人突然有靈感：該不會是將原 0.3公分厚的牛肉 “再煎過吧？”，確實，0.3公分的肉邊緣已焦，這回先不切，掀開蓋在上面的麵包，發現真的是將原 0.3公分厚的絞肉再次煎過，試問，這叫重做？？一個 $320的漢堡品質在哪？連麥當勞的吉士漢堡肉都有0.5公分啊，這品質，去一次就好，謝謝，不聯絡","I finally went to the pilgrimage at noon today, and ordered a $ 320 ""classic"" Gosh Beef Cortphor. Fortunately, there were foods, cut the burger, and found that it was about 0.3 cm thick. Is it ... Tomato (Burger does not have the element of tomato at all)?Still meat?At that time, the waiter asked the waiter to identify it together. The waiter said ""help us"" re -do """" and ""re -do"" and returned. Over? ""Indeed, the edge of the meat of 0.3 cm has been burnt. Do?IntersectionWhere is the quality of a $ 320 burger?Even McDonald's Jisburger has 0.5 cm. This quality is just fine, thank you, don't contact",False,0.069,0.018,0.913,0.7059
"貓下去沒有貓！早期雙聖餐廳舊址，兩間店面打通，位置不少，又是一間餐酒都很強的好店！冠軍薯條
細細的炸完也酥脆啊，綜合香料調味加上油封蒜頭真的很讚。
店加獨門特製的胡麻醬少許紅油加帶有美乃滋的香甜辣口味的涼麵也不錯👌
軟式的法國麵包炸過後外酥內軟還是保有酥脆，加上滑蛋再淋上煉乳真的是高熱量的好吃😋
店內很多可愛貓畫作都很討喜！真的很適合來小酌一番！缺點就是菜品價格都不太便宜，cp值低了一點。","There is no cat on the cat!In the early days of Shuangsheng Restaurant, the two stores were opened, and there were a lot of location. It was a good shop with a strong meal wine!Championship fries
The finely fried is crispy, and it is really good to combine spice seasoning and oil seal garlic.
The store plus the unique flax sauce with a little red oil and the sweet and spicy noodles of the sweet and spicy flavor of Mei Nizi is also good.
After the soft French bread is fried, it is crispy or crispy, and it is really delicious with a smooth egg.
Many cute cat paintings in the store are very pleasing!It's really suitable for a drink!The disadvantage is that the price of the dishes is not very cheap, and the CP value is a little lower.",False,0.176,0.042,0.782,0.9718
"滿分的餐點跟飲品，真的不會踩雷！

招牌涼麵很好吃，然後它有附烏醋，我把它淋在冷牛肉芝麻葉裡面，加倍好吃！！

魚子醬蜂蜜吐司很強，一口咬下魚子醬味道會先衝上來，然後細細咀嚼過後，蜂蜜味會慢慢從喉嚨蔓延，覆蓋過去！喜歡魚子醬的朋友可以點一份嚐嚐。

冠軍薯條有檸檬皮跟香草味，單吃也很棒！

調酒超級推薦各位沒有開車的朋友點一杯，依照個人喜好不同，反正不會有雷😍","The full meal with a full meal and drink, really won't step on the mine!

The signature cold noodles are delicious, and then it has black vinegar. I pour it in the cold beef sesame leaves and double it!Intersection

Caviar sauce is very strong. When you bite the caviar taste, you will rush up first, and then after chewing, the honey flavor will slowly spread from the throat and cover it!Friends who like caviar can order a taste.

The championship fries have lemon peel and vanilla flavor, and it is great to eat it alone!

I recommend a friend who has no driving to order a cup. According to personal preferences, there will be no thunder anyway anyway",False,0.171,0.046,0.782,0.9599
因為想體驗服務熱情特別去吃的，但可能人手不足，服務人員們都看起來好厭世，或許看起來酷酷沒有表情是一種風格展現，但是餐點好吃又有創意～辛苦了,"Because I want to experience the service of the service, I may eat it, but maybe people do not have enough hands, and the service staff looks so annoying. Perhaps it seems that it is cool without expression.",False,0.094,0.108,0.798,-0.3893
"麻婆豆腐蠻推介的，但花椒香氣比較明顯些。烤上蓋肉包生菜也是蠻推薦的一道料理，口感上較為清爽。
因為是餐酒館，口味上來說會偏重鹹些，但喜歡重口味的人會喜歡。
店內氛圍很棒，獨特的中西合併設計。商標貓咪也是很可愛。
臘味煲飯真的就不推了…飯不夠入味。","Mapo Tofu is quite recommended, but the aroma of peppercorns is more obvious.Baked meat and lettuce is also a very recommended dish, which has a refreshing taste.
Because it is a dining tavern, it will be more salty in terms of taste, but people who like heavy taste will like it.
The atmosphere in the store is great, the unique Chinese and Western combined design.Trademark cats are also very cute.
Lami cooking rice is really not pushed ... the rice is not enough.",False,0.212,0.0,0.788,0.9673
"📍適合多人聚餐，氣氛好
📍餐點口味都偏重，薯條蒜味超重，愛蒜的人會很開心
📍魚子醬蜂蜜吐司很好吃！
📍涼麵不愧是招牌，有特色，必點
📍豬排炒飯吃起來像燉飯，很濕，好吃
📍用餐當天是元宵，店家還提供湯圓很用心","餐 Suitable for multi -person dinner, the atmosphere is good
The taste of the meal is very heavy, the flavor of fries and garlic is super heavy, and those who love garlic will be very happy.
Matta sauce honey toast is delicious!
招 招 📍 📍 It is indeed a signboard, with special features, it must be ordered
吃 Pork chop fried rice is like stewed rice, very wet, delicious
宵 The day of the meal is the Lantern Festival, and the shop also provides dumplings.",False,0.283,0.012,0.705,0.9849
