Original,EN,Needs Review,Positive,Negative,Neutral,Compound
今日來貴店消費，感覺氣氛非常融洽與歡樂，而且整家店的感覺很溫馨，男女店員人都很專業，讓我有以後都想來這購買的意願，消費沒有壓力，購物體驗很舒服，是一間值得推薦的酒類專門店！,"I came to your store to consume today. I feel that the atmosphere is very harmonious and joyful, and the whole store feels very warm. Men and women clerks are very professional. I have the willingness to come here in the future. A recommended wine specialty store!",False,0.248,0.0,0.752,0.916
"收到會員生日買二送一優惠簡訊，店員三番兩次推托「買二送一沒有很划算」，一直推薦我其他酒款，就是不肯給我優惠酒單，我連「選擇要買什麼」的權利也沒有。

最後糾纏了五分鐘，還是不給我買，擺出一副「諒你也不是什麼大戶」的嘴臉，既然如此吝嗇，當初又何必推出這個活動？","After receiving a member of the member's birthday, buying two free and one discount newsletter, the clerk twice twice ""buy two get one free one is not very cost -effective"", and I have always recommended me to other wines, but I refuse to give me a discount. There is no right to.

In the end, I was entangled for five minutes, I still didn't buy it for me, and put on a face of ""forgive you is not a big family"". Since it is so embarrassing, why should I launch this activity at the beginning?",False,0.078,0.112,0.81,-0.6888
每次去買酒網小巨蛋店都被深刻的服務熱忱還有店員的熱情感動，從民生店一路到小巨蛋店，店長Dudu都能以親切的服務讓人覺得很溫暖，也很謝謝Jay能提供許多酒類的知識分享，也很謝謝Danny能夠及時的提供親切的服務，各式各樣的品酒會協助提供酒類知識，在三位店長店員的團隊總能有最和諧的服務默契，也感受到良好的氣氛服務真的超級棒❤️❤️，期待下次再去~~服務滿分熱情滿分🤩🤩🤩 …,"Every time I go to buy a wine network, the Dome shop is deeply enthusiastic about service and the enthusiasm of the clerk. From Minsheng Store to the Dome shop, the manager Dudu can make people feel warm and very warm. Thank you Jay for providing a lot of knowledge for sharing. Thank you Danny for providing intimate services in time. Various wine tasting will assist in providing wine knowledge. The service is tacit, and the good atmosphere. The service is really superb. ❤️❤️, look forward to going next time ~~ The service is full of enthusiasm 🤩🤩🤩",False,0.236,0.0,0.764,0.9793
兩位店員態度都很好 地點很方便👍🏻 …,"Both clerk's attitude is very good, very convenient ...",False,0.285,0.0,0.715,0.4927
"從民生搬來新店面
變的更美 酒也更多元
但服務介紹一樣很專業","Move from people's livelihood to a new store
More wines are more wine and more diverse
But service introduction is also very professional",False,0.06,0.0,0.94,0.1027
店員帥氣，服務得體，龍年的袋子好看，送禮很有面子。第一次來買酒網，發現比其他連鎖酒行的酒類更加齊全，可惜只在台北有門市。,"The clerk is handsome and decent.When I first came to buy wine nets, I found that they were more complete than other chain wines. Unfortunately, there are only stores in Taipei.",False,0.092,0.069,0.838,0.2023
服務好！值得五星好評！,Good service!It is worth five stars!,False,0.574,0.0,0.426,0.658
酒類琳瑯滿目，種類豐富，店員親切可愛，服務非常好👍🏻👍🏻👍🏻 …,"The alcohol is full of wine, rich in variety, the clerk is kind and cute, the service is very good ...",False,0.437,0.0,0.563,0.9216
店員服務熱誠，環境寬敞，感覺舒服。,"The clerk's service is enthusiastic, the environment is spacious, and it feels comfortable.",False,0.371,0.0,0.629,0.7579
Danny都能記得每次消費的習慣，還有可以提供有效率的服務，也很謝謝Dudu及Jay從民生店一路以來都提供最貼心也最棒的服務，從民生店的服務默契一直到小巨蛋店都讓人印象深刻，也覺得店員十分專業也有熱忱，下次還想再去🫶🏻 …,"Danny can remember the habit of consumption every time, as well as services that can provide efficient services. Thank you Dudu and JAY from the Minsheng Store all the way to provide the most intimate and best services from the way. The egg shop is impressive, and I also feel that the clerk is very professional and enthusiastic. I want to go again next time ...",False,0.252,0.0,0.748,0.9579
三位店員都很棒，服務很到位。,The three clerks are great and the service is in place.,False,0.291,0.0,0.709,0.6249
買酒的好地方，老闆很熱心的介紹喔,"A good place to buy wine, the boss is enthusiastic about introducing",False,0.379,0.0,0.621,0.7269
Dudu Jay Danny從民生店一直到小巨蛋店都能準確的提供需要的服務還有滿滿的熱忱，謝謝每一次去都能買到喜歡的酒，謝謝店員。,Dudu Jay Danny can accurately provide the required services and enthusiasm from the people's livelihood shop to the small dome shop. Thank you for buying your favorite wine every time. Thank you for the clerk.,False,0.297,0.0,0.703,0.8934
謝謝Dudu Danny Jay買酒網同仁從民生店一直到小巨蛋店都充滿熱誠，服務態度敬業⭐️⭐️⭐️⭐️🌟 …,"Thank you Dudu Danny Jay to buy Jiuwang colleagues from the people's livelihood shop to the small dome shop are full of enthusiasm, professional dedication ⭐️⭐️⭐️🌟️🌟 ...",False,0.194,0.0,0.806,0.7351
"謝謝Danny, Dudu, Jay的服務
服務熱心介紹專業，讓人打從心裡開心的消費過程","Thank you danny, dudu, jay service
The service enthusiastically introduces majors, making people happy to consume from the heart",False,0.483,0.0,0.517,0.9325
服務很好！親切！有問題都可以問！,The service was excellent!kind!You can ask if you have any questions!,False,0.0,0.0,1.0,0.0
服務很棒，選擇眾多，價格合理，大推！！👍👍👍👍 …,"The service is great, there are many choices, the price is reasonable, push!Intersection👍👍👍👍 👍👍👍👍 ...",False,0.132,0.0,0.868,0.6588
原本民生店搬家過來，就在小巨蛋捷運站的出口，太方便了👍🏻 …,"Originally, the people's livelihood shop came over, and it was too convenient to exit at the Little Dome MRT station.",False,0.087,0.0,0.913,0.2023
環境優美舒適,Environmental beautiful and comfortable,False,0.783,0.0,0.217,0.802
原民生店搬家來啦！ 服務好、酒款多👍🏻 …,"The original Minsheng Store has moved!Good service, more wine 款 ...",False,0.206,0.0,0.794,0.3802
環境優雅人員親切，找到一隻很棒的whisky,"The environmental elegant personnel are kind, and find a great whisky",False,0.57,0.0,0.43,0.891
買酒網小巨蛋新門市，完全嶄新的存在，只有支持，務必來店請支持！,"Buying a new store in Jiuwang Dome, completely new existence, only support, be sure to come to the store, please support it!",False,0.364,0.0,0.636,0.8516
服務好，價格優，強推👍 …,"Good service, good price, strong push ...",False,0.695,0.0,0.305,0.8442
店員親切且和善，整體買酒的體驗很棒,"The clerk is kind and kind, and the overall experience of buying wine is great",False,0.476,0.0,0.524,0.8979
全新店面，酒款豐富。,The new store is rich in wine.,False,0.375,0.0,0.625,0.5574
Danny服務很親切，謝謝店長Dudu的服務~~,"Danny's service is very kind, thank you for the service manager DUDU's service ~~",False,0.35,0.0,0.65,0.7559
服務非常專業，態度很親切👍🏻 …,"The service is very professional, and the attitude is very kind ...",False,0.251,0.0,0.749,0.5709
很漂亮的環境 服務人員親切👍🏻 …,Very beautiful environmental service personnel cordially ...,False,0.411,0.0,0.589,0.6361
服務超好，酒類齊全，買酒不二之選,"The service is super good, the wine is complete, and the choice of buying wine is not the same",False,0.286,0.0,0.714,0.7783
"服務人員親切
（禁止酒駕，飲酒過量有害健康）","Service staff is kind
(Forbidden drunk driving, excessive drinking is harmful to health)",False,0.183,0.28,0.538,-0.2023
酒類豐富 門市人員很熱心服務 逛起來很舒服,The rich store personnel are very enthusiastic about service to visit and very comfortable,False,0.493,0.0,0.507,0.893
環境很優寬敞明亮. 酒款多樣化,The environment is very spacious and bright. The wine is diverse,False,0.24,0.0,0.76,0.4877
店員介紹熱情專業，大推！,"The clerk introduces enthusiasm, push!",False,0.444,0.0,0.556,0.4926
邱小姊專業且服務又好！👍 …,Sister Qiu is professional and good service!👍 👍 ...,False,0.225,0.0,0.775,0.4926
"有喜歡的柚子酒，好開心~~
服務超好！！","I have my favorite grapefruit wine, so happy ~~
The service is super good!Intersection",False,0.52,0.0,0.48,0.9175
環境優美，態度親切，價格合理,"The environment is beautiful, the attitude is cordial, and the price is reasonable",False,0.245,0.0,0.755,0.5994
服務非常好。喜歡在這買酒,The service is very good.Like to buy wine here,False,0.0,0.0,1.0,0.0
店家服務很親切，讚,"The store service is very kind, praise",False,0.602,0.0,0.398,0.8211
環境舒服，店員親切可愛,"The environment is comfortable, the clerk is kind and cute",False,0.581,0.0,0.419,0.8658
服務很好! 品項齊全！,The service is very good! The items are complete!,False,0.321,0.0,0.679,0.5827
服務態度很好，推,"The service attitude is very good, push",False,0.347,0.0,0.653,0.4927
環境優美服務態度佳,Environmental beautiful service attitude,False,0.565,0.0,0.435,0.5994
服務一級棒！,Serving first -class!,False,0.0,0.0,1.0,0.0
謝謝Danny的服務 也謝謝小巨蛋的三位店員,Thank you Danny for your service and the three clerks of Xiao Dome.,False,0.172,0.0,0.828,0.3612
忠實顧客！優質店家！推推,Faithful customers!High -quality shop!Push,False,0.537,0.0,0.463,0.5399
店員親切，服務很好,The clerk is kind and the service is very good,False,0.452,0.0,0.548,0.7645
環境清潔優雅,Environmental clean and elegant,False,0.744,0.0,0.256,0.7003
非常舒適的展示空間，種類繁多,"Very comfortable display space, there are many types",False,0.339,0.0,0.661,0.5563
店員服務親切，介紹詳細,"The clerk's service is cordial, the introduction is detailed",False,0.0,0.0,1.0,0.0
服務很親切，酒種很多,"The service is very kind, there are a lot of wine planting",False,0.251,0.0,0.749,0.5709
店員很帥，環境舒適,The clerk is handsome and the environment is comfortable,False,0.481,0.0,0.519,0.7579
環境舒適高尚，地點便利。,"The environment is comfortable and noble, and the location is convenient.",False,0.412,0.0,0.588,0.743
店員都很親切~,The clerk is very kind ~,False,0.425,0.0,0.575,0.5709
酒種類超多，服務人員親切,"There are many types of wine, and the service staff is kind",False,0.236,0.0,0.764,0.5267
讚方便,Praise and convenient,False,0.643,0.0,0.357,0.5574
會員優惠價，有感。,"Member preferential prices, feeling.",False,0.333,0.0,0.667,0.128
環境舒適，服務親切,"Environment comfortable, kind service",False,0.77,0.0,0.23,0.7717
很寬敞明亮酒品很多的店,Very spacious and bright wine shops with many wines,False,0.283,0.0,0.717,0.4877
買酒的好地方,Good place to buy wine,False,0.42,0.0,0.58,0.4404
謝謝詳細介紹，很專業,"Thank you for the detailed introduction, very professional",False,0.263,0.0,0.737,0.3612
專業介紹，非常親切,"Professional introduction, very kind",False,0.552,0.0,0.448,0.5709
商品齊全，服務熱心,"Complete goods, enthusiastic service",False,0.516,0.0,0.484,0.4939
服務佳，推薦！,"Good service, recommended!",False,0.833,0.0,0.167,0.6114
讚！服務好：,praise!Good service:,False,0.0,0.0,1.0,0.0
酒的種類繁多，服務很好,There are many types of wine and good service,False,0.266,0.0,0.734,0.4404
服務非常好👍🏽 …,The service is very good ...,False,0.39,0.0,0.61,0.4927
服務佳空間寬敞時尚,Serving the best space is spacious and fashionable,False,0.375,0.0,0.625,0.6369
店面新開幕很漂亮,The new opening of the store is very beautiful,False,0.344,0.0,0.656,0.6361
服務佳 環境優美,Good environment,False,0.744,0.0,0.256,0.4404
服務人員態度良好,The service staff attitude is good,False,0.367,0.0,0.633,0.4404
很讚很親切～～,Very good and kind ~~,False,0.696,0.0,0.304,0.7818
服務態度佳,Good service attitude,False,0.592,0.0,0.408,0.4404
酒類齊全，是買酒的好地方,Complete alcohol is a good place to buy wine,False,0.266,0.0,0.734,0.4404
服務態度優良,Good service attitude,False,0.592,0.0,0.408,0.4404
謝謝推薦好喝的酒,Thank you for recommending delicious wine,False,0.608,0.0,0.392,0.7351
服務態度很好,The service attitude is very good,False,0.39,0.0,0.61,0.4927
店員服務很好,The clerk service is very good,False,0.39,0.0,0.61,0.4927
種類很多 店員親切,There are many types of clerks,False,0.0,0.0,1.0,0.0
酒種充足價格平實,Full price of wine,False,0.0,0.0,1.0,0.0
服務好酒種多,There are many kinds of wine,False,0.0,0.0,1.0,0.0
推推 介紹很詳細,Push introduction is very detailed,False,0.0,0.0,1.0,0.0
服務仔細 讚的,The service is carefully praised,False,0.61,0.0,0.39,0.5719
服務非常好！,The service is very good!,False,0.466,0.0,0.534,0.54
終於買到找很久的酒,Finally bought a long wine,False,0.0,0.0,1.0,0.0
服務很棒 👍 …,The service is great ...,False,0.506,0.0,0.494,0.6249
辦會員優惠很多,A lot of membership discounts,False,0.0,0.0,1.0,0.0
店員服務親切,Carey service,False,0.0,0.0,1.0,0.0
服務人員親切,Service staff is kind,False,0.531,0.0,0.469,0.5267
店員很nice,The clerk is very nice,False,0.436,0.0,0.564,0.4754
服務親切專業,Carey service,False,0.0,0.0,1.0,0.0
店員很可愛,The clerk is cute,False,0.5,0.0,0.5,0.4588
漂亮！好買！,pretty!Good buy!,False,0.0,0.0,1.0,0.0
服務好！,Good service!,False,0.761,0.0,0.239,0.4926
夭壽讚,Shouzanzan,False,0.0,0.0,1.0,0.0
專業，酒類眾多👍👍 …,"Professional, there are many wines ...",False,0.0,0.0,1.0,0.0
價格實在！,The price is real!,False,0.0,0.0,1.0,0.0
專業好喝,Specialty,False,0.0,0.0,1.0,0.0
👍 …,👍 …,False,0.0,0.0,1.0,0.0
服務人員親切,Service staff is kind,False,0.531,0.0,0.469,0.5267
打卡送可口可樂杯子,Pickings to Coca -Cola Cup,False,0.0,0.0,1.0,0.0
讚！,praise!,False,1.0,0.0,0.0,0.5983
貼心服務,Intimate service,False,0.0,0.0,1.0,0.0
服務讚讚,Service praise,False,0.783,0.0,0.217,0.5574
不醉不歸 👍 …,Not drunk or not ...,False,0.337,0.0,0.663,0.2584
環境優美,Environmental,False,0.0,0.0,1.0,0.0
酒齊全，👍👍 …,"Complete wine, 👍👍 ...",False,0.0,0.0,1.0,0.0
讚讚,Praise,False,1.0,0.0,0.0,0.5574
讚👍🏼 …,Praise ...,False,0.783,0.0,0.217,0.5574
酒類齊全,Complete alcohol,False,0.0,0.0,1.0,0.0
優質的服務和各種葡萄酒。有很多威士忌可供選擇。,High -quality services and various wines.There are many whiskey to choose from.,False,0.0,0.0,1.0,0.0
"很棒的收藏，價格合理！
毫無麻煩地運送到您的地方！","Great collection, reasonable price!
Dellery to your place without trouble!",False,0.465,0.0,0.535,0.7871
好喝喔,It's delicious,False,0.787,0.0,0.213,0.5719
非常好,very good,False,0.762,0.0,0.238,0.4927
超好喝,Super delicious,False,1.0,0.0,0.0,0.8225
好的,OK,False,1.0,0.0,0.0,0.296
不錯的地方,Good place,False,0.744,0.0,0.256,0.4404
好的,OK,False,1.0,0.0,0.0,0.296
好的,OK,False,1.0,0.0,0.0,0.296
