Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"酒款豐富，老闆細心介紹，也很大方的請試喝。
-
- 智惠美人 紅茶梅酒 $880 紅茶（阿薩姆風味）+梅酒+白蘭地，不會太甜，很順口好喝的一支酒！
- 上等知覽茶 綠茶梅酒 $850/720ml 入口先是茶葉沖泡出的綠茶香氣，接著是不會太甜梅酒味跟淡淡的茶葉的苦澀味，最後帶出茶葉的回甘。茶香味濃郁，很特別！最喜歡這支！
- 八河 京都抹茶梅酒 $950 比較淡的抹茶味，印象中聽老闆介紹這隻是抹茶跟梅酒分開釀，之後再混和的，偏酸的梅酒味道比較突出。
- 神聖 山本本家 抹茶酒 $590 抹茶+清酒，比八河抹茶梅酒的抹茶味稍重一點，並帶有點米釀的香氣。抹茶的部分就是有點抹茶的粉感，但不苦不澀，有點回甘，好像酒裡用大抹茶大多都是這種口味，跟常見的抹茶有些許不同。老闆推薦可以加牛奶。
- 青 柚子酒（狗狗瓶身） $850/720ml $1700/1800ml 很甜很可愛的味道，柚子味跟酒感都較淡。
- 猫の惠 白猫桃桃（貓貓瓶身） $850/720ml 很濃郁的桃子香氣超讚，老闆介紹說是沒有去皮的桃子一起釀造，且留有果泥沒有過濾的桃子酒，適合加氣泡水。
- 杉上柚雅 海鹽柚子酒  $990/720ml $1980/1800ml 柚子茶的味道，很清爽好喝。
- 萬作之花 優格酒 $450/300ml （$4800/12罐）優格本人！但跟酒融合的很順口，個人很喜歡！（自己加抹茶也好好喝。）","The wine is rich, and the boss introduces it carefully, and it is also very generous to try.
-
-The Zhihui beauty black tea plum wine $ 880 black tea (Assam flavor)+plum wine+Bailan land, it will not be too sweet, very delicious wine!
-Mextable tea green tea plum wine $ 850/720ml The entrance is the aroma brewed green tea brewed, and then it will not be too sweet and the bitter taste of the taste of tea, and finally bring out the tea back.Tea is rich and special!I like this most!
-The Matcha Plum Wine of Bayhe Kyoto is a lighter matcha flavor. In the impression, the boss introduced that this was just separated from Matcha and plum wine, and then mixed with it. The sour plum wine taste is more prominent.
-Suno Yamamoto's Matcha wine $ 590 matcha+sake, which is slightly heavier than the matcha tea of ​​Bathe Matchamei wine, and has the aroma of rice brewing.The part of matcha is a bit of matcha powder, but it is not bitter or astringent. It is a bit sweet. It seems that most of the wine in the wine is mostly this taste, which is a little different from the common matcha.The boss recommends that you can add milk.
-Guoyu wine (dog bottle body) $ 850/720ml $ 1700/1800ml is very sweet and cute, and the grapefruit flavor and wine are lighter.
-The Hui White Cat Peach (Cat Cat Bottle) $ 850/720ml The rich peach is superb. The boss introduced that it is brewed with peaches that are not peeled, and there are peach wines that are not filtered with fruit mud. Bubble water.
-Sugakuya Yahai salt grapefruit wine $ 990/720ml $ 1980/1800ml grapefruit tea, it is very refreshing and delicious.
-Wen Mu Flower Gegel $ 450/300ml ($ 4800/12 can) Yoguk himself!But the fusion with wine is very smooth, personally like it!(It is also delicious to add matcha yourself.)",False,0.171,0.015,0.814,0.9955
"112.08.02
這次在信義遠東百貨的日本酒展
展期間順路去逛了兩次，不管是第一次遇到的店員，還是8/2當天去的老闆，一如往常都介紹的很詳細，不吝嗇的給予試喝，也會介紹各種適合的品酩方式

老闆賣的酒都是自己喝過才會推薦給大家，不知道是不是剛好自己口味跟老闆差不多，老闆推的都很讚

再次推薦大家可以直接前往店內購買！
——————————————————
老闆人很nice，價錢很可以
現場可以試喝，如果猶豫不決的話不妨試喝看看（大多品項都有試喝瓶）
值得推薦👍","112.08.02
This time at the Japanese wine exhibition of Shinye Far East Store
During the exhibition, I went to visit twice. Whether it was the clerk I met for the first time, or the boss who went to the day of 8/2, I introduced it in detail as usual. Modeling

The wine sold by the boss will be recommended to everyone before drinking it. I don't know if it happened to be similar to the boss. The boss pushed very much.

Recommend again you can go directly to the store to buy!
—————————————————————————————
The boss is very nice, the price is very good
You can try to drink at the scene.
It is worth recommending 👍",False,0.104,0.0,0.896,0.9013
這裡的酒類好齊全😆有我最愛喝的桃子🍑酒和紅茶梅酒！奶酒系列也是我的愛～聽這裡的老闆說可能會有會員制優惠方案，我和朋友們都非常期待👏👏👏 …,The alcohol here is good. There are my favorite peach wine and black tea plum wine!The milk wine series is also my love ~ Listening to the boss here that there may be membership preferential plans. My friends and I are looking forward to it ...,False,0.243,0.0,0.757,0.9259
"店員非常熱情，卻不會感到不自在
很有耐心的詢問與介紹推薦
有興趣的酒幾乎都可以試喝
後面剩幾瓶選不出來又試喝了一下
不太喝酒的我最後也找到喜歡的酒！","The clerk is very enthusiastic, but he will not feel uncomfortable
Very patient inquiry and introduction
Interested wine can almost try to drink
I can’t choose a few bottles in the back and try it again
I did n’t drink too much, I finally found my favorite wine!",False,0.226,0.0,0.774,0.9164
店員人很好，試飲時也會給出不同支酒款的特色、基底、風味等，強烈推薦！,"The clerk is very good, and the characteristics, bases, flavors, etc. will be given when trying drinking, and it is highly recommended!",False,0.218,0.0,0.782,0.6786
全新開幕，有多款梅酒、柚子酒、奶酒與精釀啤酒供選擇，價格平易近人，C/P值很高，環境舒服，適合三五好友聚在一起小酌聊天！,"The new opening, there are many plum wines, grapefruit wines, milk wine and craft beer to choose from. The price is approachable, the C/P value is high, the environment is comfortable, suitable for three or five friends to gather together to chat!",False,0.189,0.0,0.811,0.8439
偶然跟女友經過進來逛一下，老闆人超好，介紹也很詳細，買了一瓶綠茶梅酒試試，好喝一定回購！,"Occasionally, I came in to visit my girlfriend. The boss was super good and the introduction was very detailed. I bought a bottle of green tea plum wine and try it.",False,0.19,0.0,0.81,0.7783
"台北很少有品項這麼多的日本酒專賣店，重點是有店面真的超級方便！！🤩🤩
清酒、柚子酒、梅酒、果實酒、奶酒各式各樣，多到喝不完，紅茶梅酒超好喝整個大愛XD 而且態度超級親切，這必須給五星好評讚讚👍 …","There are few Japanese wine shops with so many items in Taipei. The focus is that there is a store. It is really convenient!IntersectionBleak
Sake, grapefruit wine, plum wine, fruit wine, milk wine all kinds of milk, it is endless to drink, black tea plum wine is super delicious, the entire big love XD and the attitude is super kind, this must be praised for five stars ...",False,0.308,0.0,0.692,0.982
"大熱天的中午來買酒，老闆立馬端出冰涼的水解熱止渴，非常親切。
解說很專業，店內寬敞舒適，酒類可以試聞/試喝，喜歡再買～感覺很棒！","When I came to buy wine at noon, the boss immediately brought out the cold hydrolysis and heat -relieving thirst, which was very kind.
The commentary is very professional, the store is spacious and comfortable, the wine can be tried/tried, I like to buy it again ~ It feels great!",False,0.267,0.0,0.733,0.9467
平時不知道要去哪裡買水果酒梅酒這類有如戀愛滋味的酒，這邊選擇好多好喜歡呀( ♡ᴗ♡ ),Usually I don’t know where to buy fruit wine plum wine. I choose a lot of love like love. I choose a lot of love here (♡ᴗ♡),False,0.396,0.0,0.604,0.9442
在熱情的店員下試飲了好幾款的梅酒，開心帶了上等知覽茶 綠茶梅酒及惠の貓 虎梅妹 ，推推👍 …,"I tried several plum wines under the enthusiastic clerk, and happily brought the first -class knowledge tea green tea plum wine and Hui の cat Humeimei, pushed 👍 ...",False,0.195,0.0,0.805,0.7783
老闆超好啦，詳細的一一介紹，店裡有各種款式可以挑選，真的很推👍🏻👍🏻👍🏻 …,"The boss is super good. Introduction one by one in detail. There are various styles in the store to choose from, which is really pushing ...",False,0.221,0.0,0.779,0.7783
店經理介紹酒款很專業，大方提供試喝，價格合理。,"The store manager introduces that the wine is very professional, provides trial drinks generously, and the price is reasonable.",False,0.135,0.0,0.865,0.4215
超棒滴，來的時候剛好遇到要打烊，結果老闆還是讓我們進來了耶，非常親和，也讓我們試喝了很多種酒，最後先選2隻，下次會再來唷！,"When we came, I just met to snooze. As a result, the boss still asked us to come in. It was very close. Let us try to drink a lot of wine. Finally, choose 2 first, and next time I will come again!",False,0.0,0.0,1.0,0.0
"酒很多～老闆超級熱情也很大方請我們喝很多款😍
跟小夥伴們都好喜歡這裡～下次再來買買🫶 …","There are a lot of wine ~ The boss is super enthusiastic and very generous, please drink a lot of 😍
I like it with my friends ~ I will buy it next time ...",False,0.414,0.0,0.586,0.9677
店家很親切，大方提供試飲，也會針對個人喜好推薦酒類產品，下次有機會來試試清酒😎 …,"The store is very kind, provides trial drinks generously, and also recommend alcohol products for personal preferences. Next time I have the opportunity to try sake ...",False,0.339,0.0,0.661,0.8955
"店員很親切～
每款酒都有非常詳細的介紹
還可以試飲
開心買了好幾隻回家😝 …","The clerk is very kind ~
Each wine has a very detailed introduction
You can also try
I bought how many of them went home 好 ...",False,0.124,0.0,0.876,0.5709
"雨天偶然到訪，店員跟老闆很熱心的提供超過10款酒品試喝，酒類介紹也非常詳盡，推薦的酒類品項也大多令人滿意。
臨走前選購了幾隻滿意的品項宅配回家，順便帶一隻特別的氣泡清酒到旅館享用。","Occasionally visiting the rainy days, the clerk and the boss enthusiastically provided more than 10 wines to try drinking. The introduction of the wine is also very detailed. Most of the recommended wine items are also satisfactory.
Before leaving, I purchased a few satisfactory houses to go home, and brought a special bubble sake to the hotel by the way to enjoy.",False,0.228,0.014,0.758,0.9385
老闆很親切，介紹很詳細，裡面賣很多特色的日本果實酒，都是比較稀有的品項，推薦有想要喝特殊酒可以來參考！,The boss is very kind and the introduction is very detailed. It sells a lot of characteristics of Japanese fruit wine in it. It is a relatively rare item. It is recommended that you want to drink special wine to refer to it!,False,0.201,0.0,0.799,0.831
選擇豐富且服務很棒，清酒以外的品項都可以提供試飲、確保能挑到最適合的酒款。購買日本酒的絕佳店家！,Choosing is rich and the service is great. The items other than sake can provide trial drinks and ensure that they can pick the most suitable wines.A great shop to buy Japanese wine!,False,0.34,0.0,0.66,0.9428
"小編服務很貼心。
寄貨速度也很快速、包裝很保護商品！
之後有機會一定要帶女友到實體店面看看再補貨一波😊 …","Xiaobian's service is intimate.
The speed of delivery is also very fast, and the packaging is very protective!
Afterwards, you must take your girlfriend to the physical store to see a wave of replenishment ...",False,0.0,0.0,1.0,0.0
超細心的服務，酒也超好喝,"Super careful service, the wine is super delicious",False,0.766,0.0,0.234,0.9201
這裡很棒有多種酒款都有提供試飲就可以比較好選擇自己喜歡的口味不怕踩雷喔！👍👍 …,There are many kinds of wines here with a variety of wines that provide test drinks. You can choose your favorite taste. Don't be afraid of stepping on the mine!👍👍 👍👍 ...,False,0.08,0.0,0.92,0.5093
品項很多，老闆親切，有興趣疑問都仔細解答，可以快速挑選到自己喜歡的品項，又好喝👍🏻聚會必備酒啊，下次要帶朋友再來光顧👍🏻 …,"There are a lot of items, the boss is kind, and the interests and questions are carefully answered. You can quickly select your favorite items, and you must have a good wine for the party. Next time, you will take a friend to visit it ...",False,0.324,0.0,0.676,0.9493
今天下午去買酒，妹妹很熱心的介紹好喝的酒款，推薦大家來,"Go to buy wine this afternoon, my sister enthusiastically introduces delicious wine, I recommend everyone to come",False,0.412,0.0,0.588,0.8689
店內擺放很多種類的梅酒與果實酒，CP值高，值得一訪喔,There are many types of plum wines and fruit wines in the store. The CP value is high and it is worth visiting.,False,0.17,0.0,0.83,0.5106
"老闆親切大方，介紹很詳細～很棒的購物體驗👍
推薦朋友買酒的首選店家～ …","The boss is kind and generous, the introduction is very detailed ~ a great shopping experience 👍
Recommended friends to buy wine preferred stores ~ ...",False,0.416,0.0,0.584,0.9403
"酒類很多很齊全 草莓的超好喝🥺🥺
老闆很熱情 唯一支持啦 …","There are many wines with a lot of alcohols.
The boss is very enthusiastic about the only support ...",False,0.267,0.0,0.733,0.7346
超多酒！！幾乎不會喝到雷的都很讚，環境也很舒服～大愛🥰🥰讚啦！！！ …,"A lot of wine!IntersectionIt ’s very good to drink thunder, and the environment is very comfortable ~ I love it!IntersectionIntersectionMowing",False,0.405,0.0,0.595,0.9113
酒的品項、價錢都是最香的😏趕緊預約來試飲🥂 …,The items and prices of wine are the most fragrant. Hurry up and make an appointment to try to drink 🥂 ...,False,0.0,0.0,1.0,0.0
服務熱情，幾乎架上的酒都有試喝到,"The service is enthusiastic, and almost the wine on the shelf has tried it to drink",False,0.176,0.0,0.824,0.4939
"cp,值高，可以試飲，希望大家都能找到自己愛的梅酒","CP, high value, you can try drinking, I hope everyone can find the plum wine you love",False,0.404,0.0,0.596,0.8591
很多好喝包裝又精美的日本酒，送人自用兩相宜。,Many delicious packaging and exquisite Japanese wines are given to each other.,False,0.252,0.0,0.748,0.5719
梅酒與梅酒威士忌非常好喝，老闆也很親切,"Plum wine and plum wine whiskey are very delicious, and the boss is very kind",False,0.372,0.0,0.628,0.8265
服務人員的態度很好，之後有時間還會再光顧的！,"The attitude of the service staff is very good, and then you will be patronized again if you have time!",False,0.155,0.0,0.845,0.54
服務良好 試喝酒類眾多 不怕人喝,"Good service Try to drink alcohol, many are not afraid of people drinking",False,0.195,0.0,0.805,0.4404
酒都好讚喔 喝起來🤤 …,"The wine is so good, it ’s so much 赞 ...",False,0.272,0.0,0.728,0.5777
可以提供試喝 初學者不懂的話可以嘗試看看 很讚ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʕ•̫͡•ʔ•̫͡•ʕ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ•̫͡•ʕ•̫͡•ʔ•̫͡•ʔ,"If you can provide a test -drinking beginner if you do n’t understand, you can try to see it • • ̫͡ • ʕ • • • ʔ • ̫͡ • • • • ʕ • • • • • • • • • • • ʔ • ̫͡ ̫͡ • ̫͡ • ̫͡ • ʕ • ʕ • • • ʔ • ̫͡ • ʔ ʔ",False,0.0,0.0,1.0,0.0
水果酒的好地方,Good place for fruit wine,False,0.42,0.0,0.58,0.4404
爆推,Push,False,0.0,0.0,1.0,0.0
