Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"已經想來很久
今天點的菜色都出乎意外的好吃！
份量也都不少！尤其炸物拼盤，端上來是一大碗公😄炸物拼盤、椒鹽花枝、麻油松阪豬都很推薦，連泡菜豬裡面的豬肉都是用松阪豬肉來做，會再回訪☺️","I have thought for a long time
The dishes I ordered today are unexpectedly delicious!
There are also a lot of portion!Especially the fried pydlets are highly recommended on a large bowl of puppets, salt and pepper flower branches, and sesame oil Matsusaka pigs. Even the pork in pork pork is made of Matsusaka pork.",False,0.107,0.0,0.893,0.7489
"來了很多次了，幾乎每樣餐點都很好吃😋
老闆人也超客氣超好聊天的☺️
這邊氣氛真的很棒，很適合喜歡聊天小酌的朋友們來聚聚唷😎","It has been here many times, almost every meal is delicious 😋
The boss is also super polite and good to chat ☺️
The atmosphere here is really great, it is very suitable for friends who like to chat and drink to get together.",False,0.373,0.0,0.627,0.9743
"1️⃣環境：位在轉角，大片落地窗，很有特色的外觀，入內後氛圍佳，環境舒適，乾淨整齊，還有大片投影可以看，也有電視，座位不少，不會擁擠
2️⃣特色：音響設備及大的投影，看球賽應該會超爽
3️⃣餐點：餐點多樣，每道菜都好吃！有特殊香氣！物超所值🤤
4️⃣服務：客氣且熱心，用心經營，酒水沒了會主動服務
5️⃣訂位：可電話提前預約
6️⃣價位：CP值高
🚻洗手間：有，非常乾淨，且香香的，有小便斗
8️⃣停車-
🛵機車：周圍有車格
🚗汽車：附近找車位
9️⃣其他：
Wi-Fi:有
🔟載具：無

喜歡我的評論，敬請按一個讚哦👍","1️⃣ Environment: It is located in the corner, a large blocking window, a very distinctive appearance, the atmosphere is good after entering, the environment is comfortable, clean and neat, and large projection can be watched. There are also TVs.
2️⃣ Features: audio equipment and big projection, watching the game should be super cool
3️⃣ Meal: Diverse meals, every dish is delicious!There is a special aroma!Masterpiece 值
4️⃣ Service: polite and enthusiastic, operate with your heart, the drinking will take the initiative to serve
5️⃣ Booking: You can make an appointment in advance by phone
6️⃣ Price: high CP value
非常 The toilet: Yes, very clean, fragrant, there are urinating fights
8️⃣ Parking-
车 locomotive: there is a grid around
位 车: Find a parking space nearby
9️⃣ Others:
Wi-fi: Yes
🔟 vehicle: none

I like my comments, please press a praise.",False,0.257,0.042,0.701,0.9891
"來「金夫人」 不下10次了, 因為就在住家附近，餐點很合我們的口味，最重要的今晚的服務小姐非常的親切 💯值得老闆給予獎勵 👍","Come to ""Mrs. Jin"" 10 times, because it's near the home, the meal is very good for our taste. The most important service lady tonight is very kind.",False,0.264,0.0,0.736,0.8393
"中學時的同學聚會
特別安排在中午就開喝了⋯⋯開心地過了一整個下午💕
好好的聊了個痛快🍺
好吃、好喝、但可惜拍的照片不太好啦^_^
2/27/2024 初中同學從美國回來，去年第一次來，還特別安排中午招呼我們。這麼巧，剛好今天滿週年，再來吃好、喝足⋯真是爽","Classmate gathering in middle school
Special arrangements were arranged at noon.
Tell me a good time 🍺
It's delicious, delicious, but unfortunately the photos are not very good^_^
2/27/2024 Junior high school classmates returned from the United States. The first time I came last year, we also arranged for we to greet us at noon.Such a coincidence, just the full anniversary today, it's so cool to eat and drink again",False,0.218,0.075,0.707,0.891
"當天前往金夫人居酒屋欣賞足球比賽，當天點了12杯台灣啤酒(活動價$990)，覺得好喝不苦澀，下酒小菜點了炸豆腐(超好吃！)、炸甜不辣、炸明蝦、烤魷魚(但覺得魷魚沒有很新鮮)、金夫人烏龍麵$250、蜂蜜檸檬椰子水$200、蜂蜜檸檬水$120、斐濟礦泉水$100、炸薯條、炸雞翅，基本上點的下酒菜都還不錯，除了魷魚稍嫌普通。當天去客人沒有太多多，所以非常能開心欣賞足球賽，及享受聊天的歡樂氣氛。若要欣賞球賽，是願意再訪的店家。
1顆星：極差，不會再訪
2顆星：不會再訪
3顆星：普通，回訪機率低
4顆星：好吃，回訪機率高
5顆星：環境、衛生、美味度都很高，一定會回訪。","On the same day, I went to Mrs. Jinju izakaya to enjoy the football game. On the same day, I ordered 12 cups of Taiwanese beer (activity price $ 990). , Grilled squid (but I think squid is not very fresh), Mrs. Kim oolong noodles $ 250, honey lemon coconut water $ 200, honey lemonade $ 120, Fiji mineral water $ 100, fries strip, fried chicken wings, basically ordered jams are still alcohol. Yes, except for squid a little ordinary.There are not too many guests on the same day, so I am very happy to enjoy the football game and enjoy the joyful atmosphere of chatting.To appreciate the game, it is a shop who is willing to visit again.
1 star: extremely poor, will not visit again
2 stars: I won't visit again
3 stars: ordinary, low return to visit
4 stars: delicious, high return to visit
5 stars: environment, hygiene, and deliciousness are very high, and they will definitely return to visit.",False,0.205,0.05,0.745,0.9876
"鮭魚卵炒飯鮭魚卵少的可憐
幾乎都是蝦卵 要不要改名蝦卵炒飯","Salmon egg fried rice salmon eggs are poor
Almost all shrimp eggs should be renamed shrimp egg fried rice",False,0.0,0.147,0.853,-0.4767
週間晚上挺清閒舒服的，食物不錯。,"It is very relaxed and comfortable at night, and the food is good.",False,0.499,0.0,0.501,0.8737
座位還算舒適，食物味道其實還不錯，而且料給得超大方，會讓人吃不完需要打包帶走的那種，可以邊看世足賽事這點很不錯，但是投影幕的畫面嚴重泛黃不清晰，也沒校正調好位置導致有部分偏出布幕，而且建議投影幕畫面可以再高一點，不然只要前面有坐人就很容易看不到，雖然還有兩台電視螢幕但還是想看大螢幕會更過癮，希望都以運動酒吧自居了可以重視並改善這些缺點～不過還是蠻推薦大家來的，整體體驗其實還是不錯的，不會因為有播放賽事餐點的CP值就變很低，推👍🏻 …,"The seats are comfortable, the food taste is actually good, and it is expected to be super generous, which will make people the one that needs to be packed and take away. You can watch the World Football Team. Huang is not clear, and there is no correction position that leads to partially out of the curtain, and it is recommended that the projection screen screen can be higher, otherwise it is easy to see as long as there are people in front. If you want to see the big screen, you will be more enjoyable. I hope that you can pay attention to and improve these shortcomings in sports bars ~ But it is quite recommended for everyone. The overall experience is actually good. Very low, push 👍🏻 ...",False,0.171,0.049,0.78,0.9364
跟朋友小聚聊天的好地方 cp高份量高東西好吃划算 串葡萄培根很特別 很喜歡這邊的氛圍 到松山必吃,"A good place to chat with friends, CP, high portion, high, high -quality, delicious, good, and cheap grape bacon. I especially like the atmosphere here.",False,0.435,0.0,0.565,0.9371
