Original,EN,Needs Review
環境稍微擁擠但很有格調，炸雞味道很重但好吃。調酒味道細膩，也可以做經典和特調。,"The environment is slightly crowded but very stylish. The fried chicken tastes very heavy but delicious.The taste of alcohol is delicate, and you can also be classic and special.",False
"酒很好喝！
食物好吃，可惜餐點選項不多
後來得知如果樓下餐廳有營業的話可以點餐廳的餐點
下次試試😍","The wine is delicious!
The food is delicious, but unfortunately there are not many meals options
Later, I learned that if there is a restaurant downstairs, you can order the meal of the restaurant
Try it next time 😍",False
"久違的回訪，調酒依然驚艷，除了特調之外也多了幾款與數位日本調酒師合作的酒款。
服務細緻周到，服務員時常整理桌面讓用餐與飲酒體驗更加分。
每杯酒價位約500，但調酒水準絕對符合價位。","After a long -lost return, bartending is still amazing. In addition to the special adjustment, there are also several wines that cooperate with digital Japanese bartender.
The service is meticulous, and the waiter often organizes the desktop to make the meals and drinking experience.
The price of each cup of wine is about 500, but the level of alcohol is definitely in line with the price.",False
"原本進場說一個人低消800加一成，後續因為訂位人數沒到齊，店員同意改成三人低消並換到三人位，後續一直跟我們說低消沒到要我們追加酒，跟他要明細也不給，最後結帳看到明細一個人低消變成1000多，不知道店員的計算能力是不是有疑慮呢（？😊🙏🏻🙏🏻

其實當初點的就已經到低消了呢😇","Originally, I said that a person eliminates 800 to increase by 10 %, and because the number of reservations has not reached all the time, the clerk agreed to change to the three people and the three -person position. After that , I do n’t give him a detailed detail. Finally, I see the details of the details and become more than 1,000. I do n’t know if there is any doubt about the calculation ability of the clerk (?

In fact, the first point has reached the low disappearance 😇",False
"很少在Bar裡吃到有水準的小點👍松露薯條，炸雞翅跟蝦仁蘑菇...一上桌就被分食根本來不及拍照...好在調酒上來時有記得拍🤭
除了喝到很不同的調酒之外，這裡的接待人員很親切，屬於自然熟但不刻意的份際，讓我們在這延續了幫好朋友慶生的快樂也在這享受到高質感的小酌氛圍，會是我在台北市Bar的質感首選!","I rarely eat a standard small tattoo fries in BAR, fried chicken wings and shrimp mushrooms ... When I put it on the table, I have been divided into food.
In addition to drinking very different sibeticism, the reception staff here is very kind, belongs to the natural but not deliberate integrity, let us continue the happiness of helping good friends here, and enjoy a high -quality drink here. The atmosphere will be my first choice for the texture of BAR in Taipei!",False
"我個人第二訪 這次帶我朋友一起來
雞尾酒還是一樣的高水準，
這次週日晚上人相對較少，
少了吵雜聲，體驗更好

讓人印象很深刻的一間店","My personal second visit is to take my friend together this time
Cocktail is still the same high level,
There are relatively few people this Sunday night,
There is less noisy sound, and the experience is better

A store that is very impressive",False
頗有氣氛，很有感覺的酒吧，調酒方面好喝，小點心好吃，低消800元，不便宜，但酒吧內感覺還不錯。服務也很好。,"There are quite atmosphere, very sensible bars, delicious bartending, delicious snacks, 800 yuan low, not cheap, but the bar feels good.The service is also very good.",False
"每個人低消800
後來得知我們剛剛在一樓驢子餐廳
用晚餐緊接著上樓小酌
所以把低消取消了
但是我們一個人的人均消費還是有780
但是服務人員懂得臨機應變
而且反應靈敏非常值得嘉許
介紹的紅酒跟調酒都好喝","Each person low 800
Later, I learned that we were just on the first floor donkey restaurant
Dinner followed upstairs to drink
So cancel the low disappearance
But our per capita consumption is still 780
But the service staff knows how to respond to
And the response is sensitive, it is worthy of promising
The introduction of red wine and bartender are delicious",False
"東西好吃、酒好喝、服務好、環境又很棒，
謝謝虎虎跟Haru給我們愉快的一夜🥰","It ’s delicious, delicious wine, good service, and great environment.
Thank you Huhu and Haru for giving us a happy night 🥰",False
"nice place,餐點選擇雖然沒有以前多但還是很好吃。","Nice Place, although the meal selection is not as much as before, it is still delicious.",False
"環境不舒服
座位擁擠會互相撞到
店員移動也會撞到客人

處理方式大概只有一位店員會想辦法解決
其他的都會說：‘我會向上反應’這種沒用的官腔答案
禮貌的部分沒什麼問題 但解決問題能力零 只會說兩個答案1.我會向上反應 2.你可以寫評論讓我們看到
感謝你的建議
來寫囉！","Uncomfortable environment
Crowded seats will hit each other
The clerk will also hit the guest

The processing method is probably only one shop clerk will find a way to solve
Others will say, ‘I will respond up’. This is useless official answer
There is no problem with the polite part, but the ability to solve the problem is only two answers. 1. I will respond up. 2. You can write a comment and let us see
Thank you for your suggestion
Come and write!",False
"時尚的酒吧，飲品和食物都很漂亮美味。
和朋友來吃晚餐，唯一缺點是單價偏高，但座位沒有很舒適，不適合在此用餐！
但極度推薦和約會對象吃飽飯後來這裡喝兩杯～
（忘了幾點後，燈光調暗氣氛很棒）

另外是想讚賞一下服務人員Samuel (他自稱三秒），很幽默及用心地介紹以及推薦調酒，除了三秒之外，另一位女性服務人員也非常棒，依照我們龜毛的需求推薦了圖片中沒有在酒單上的Sangria，雖然食物飲品單價高，但依然會讓人想再度二訪喝酒！","Fashionable bars, drinks and foods are beautiful and delicious.
Come to dinner with friends, the only disadvantage is that the unit price is high, but the seat is not very comfortable, and it is not suitable for dining here!
But extremely recommended and dating objects to eat two glasses here later ~
(After forgetting a few points, the light atmosphere is great)

In addition, I want to appreciate the service staff Samuel (he claims to be three seconds), and he is very humorous and carefully introduced and recommended. In addition to three seconds, another female service staff is also very good. According to the needs of our turtle hair, it is recommended There is no SANGRIA on the wine list. Although the unit price of food and drinks is high, it still makes people want to visit the second time!",False
拉弗格煙燻泥煤的酒調的不錯😎,Rafig's smoky mortgage wine is good 😎,False
