Original,EN,Needs Review
"餐點好吃，送餐快速！
酒很好喝，如果不愛酒感太重，也可以請他們調整
如果真的不知道要喝什麼，也是可以請店員介紹
店員都超級親切的啦！！
重點是！！！裝飾的杯子真的太可愛🥰🥰🥰
有小新、小小兵跟瑪利歐三種圖案！","The meal is delicious, and the meal is fast!
The wine is delicious, if you don't like the wine too heavy, you can also ask them to adjust
If you really do n’t know what you want to drink, you can also ask the clerk to introduce
The clerk is super kind!Intersection
The point is!IntersectionIntersectionThe decorative cup is really cute 装
There are three patterns: Xiaoxin, Little Soldiers and Mario!",False
"用餐日期：2024.06.13
朋友在IG看到部落客推薦，立馬手刀預約！一進門就有布景可供拍照，我跟朋友在門口拍了半小時😂座位在地下室，1樓似乎是服務生準備餐點酒飲的地方，餐點跟酒品上的速度有點慢，可能是生意太好都客滿的關係，但是不影響愉悅的氣氛，餐點沒有雷的，松露沙拉&牛肉烏龍麵都好吃~~酒也好喝👍女生就愛喝酸酸甜甜的調酒~加上蠟筆小新裝飾真的好喝又可愛耶❤️7月會改新的主題喲！重點是「猴子」服務非常好~請他推薦餐點跟調酒，很有耐心一一解釋，還送我們bling bling的shot🥰讓姐姐們花錢花得開心😆第一次體驗水煙，猴子教我們如何抽，香香涼涼蠻有趣的~~其中一位友人看完診趕過來，猴子還很貼心的詢問狀況並送蠟筆小新shot round 2！讓我們即使沒有當月壽星也度過了超級開心的夜晚！🤩絕對會再訪~~希望一樣是猴子服務喔^^","Meal date: 2024.06.13
Friends saw the blogger recommendation at IG, and made an appointment immediately!As soon as I entered the door, there was a scene to take pictures. I took a half -hour seat with my friends in the basement in the basement. The first floor seemed to be a place where the waiter prepared for meals and drinking. The speed of meals and wine was a bit slow. The business is too good, but it does not affect the atmosphere of pleasure. There is no thunderbolt for meals. Truel salad & beef oolong noodles are delicious ~~ Wine is also delicious. Girls love to drink sour and sweet bartender ~ Add Crayon Shin -new decoration, really delicious and cute ❤️ The theme of will be changed in July!The point is that the ""Monkey"" service is very good ~ Please recommend meals and bartending, very patient explanation, and send us bling bling's shot How do we pump, the fragrant fragrance is cool and interesting ~~ One of the friends rushed over after reading the clinic, the monkey also intimately asked the situation and sent Crashi Shot Shot Round 2!Let us have a super happy night even without the month of Shouxing!~ Will definitely visit again ~~ Hope is the same monkey service ^^",False
一開始在IG上看到有蠟筆小新馬上手刀預訂了，到了現場才發現人真的很多耶~感覺如果沒預定而是直接來會沒位置坐😂一進門就是網美打卡的地方，在裡面用餐時發現很多人都會去拍照xd我們這次是坐吧檯的位置，可以邊用餐邊看著好幾個帥氣的小哥哥們在眼前的吧檯裡認真工作的樣子，真的是有夠賞心悅目。推薦各位姐姐妹妹們一起來吃飯，最美的風景就在這❤️而且這間店員工的顏值都好高，小姊姊服務生也是正到一個不行😍來這吃點東西喝個微醺正合適。還能順便看電視演蠟筆小新🤣他們家的海鮮都很讚，干貝有夠嫩，蚵仔也很鮮甜！一開始看擺盤覺得飯量有點少，結果實際吃了之後才發現剛剛好，吃完也差不多吃飽了。裡面氣氛很好，喝點小酒配點點心很享受。而且還有招待無酒精和有酒精調酒~超讚的 整體感受是蠻不錯的,"At the beginning, I saw a crayon Xiaoxin on IG and immediately reserved the knife. When I arrived at the scene, I found that there are really a lot of people ~ I feel that if there is no reservation, I will have no place to sit in the place. I found that many people will take pictures of XD this time. We can sit on the bar this time. You can watch several handsome little brothers who work hard in front of the bar in front of the bar.I recommend all sisters and sisters to eat together. The most beautiful scenery is here ❤️ And the value of this shop employee is so high, the little sister waiter is also here to eat something to eat and drink a little bit. EssenceBy the way, you can watch TV to perform Crayon Shin -strokes. The seafood in their house is very good. The scallops are tender enough, and the Taipa is also very sweet!At the beginning, I felt that the amount of meals was a bit small. After eating it, I found that it was just right, and I was almost full after eating.The atmosphere inside is very good, drinking small wine with snacks is very enjoyable.And there are also entertaining alcohol -free and alcoholic alcohol ~ The overall feeling of superb is pretty good",False
餐點很棒好吃..調酒特別..會裝飾很漂亮..好拍好喝..氣氛很嗨..餐酒館有主題風 最近是小小兵..會訂期更換..在市民大道上方變 .,The meal is great and delicious .. Blooming is special .. It will be beautifully decorated .. It ’s good to shoot and delicious .. The atmosphere is very hi .. The meal and tavern has the theme style. The upper changes.,False
"進門就有獨立網美拍照空間🤣
有吧台、一般餐桌、沙發區，看人數而安排。

調酒種類繁多，任何一款都能加購特殊造型杯。
無酒精類飲品價位120-320，所以能喝還是喝一下吧🤣

骰子牛、燻鮭法棍、炸雞拼盤、軟殼蟹燉飯，都是比較推薦的餐點。
骰子牛非重組，軟嫩帶Q勁。
炸雞拼盤最受大眾喜愛。
軟殼蟹燉飯是個人喜愛的☺️，帶有堅果香且保有米心的燉飯，著實令人開心。

水煙屬淡調，想嘗試的可以試試看。
有12種口味能選，還能加涼加酒，能二燒大概抽一個半小時。

平日店內低銷一人500，用餐時間2小時，但沒有等候的客人，也不會特別趕人。

店員應該都有挑過顏值，喜歡看靚仔/女的，可是可以來看看。

小可惜的地方，就是少了活動互動環節，不然生意應該會更好。","There are independent networks to take pictures of photos in the door 🤣
There is a bar, a general dining table, and a sofa area.

There are many types of alcohol, and any one can buy special model cups.
The price of no alcoholic drinks is 120-320, so you can drink it or drink it 🤣

Dice beef, smoked salmon stick, fried chicken platter, and soft shell crab stewed rice are all recommended meals.
Dice beef is not reorganized, soft and tender.
Fried chicken platter is the most popular.
Soft -shell crab stewed rice is personal favorite ☺️, with nuts with nuts and saving rice heart stew, which is really happy.

Water smoke is faint, you can try it if you want to try.
There are 12 flavors to choose, and you can also add cool and wine.

On weekdays, a low -selling person in the store is 500, and the meal time is 2 hours, but no guests waiting will not be particularly rushed.

The clerk should have picked the face value, and like to see the beautiful girl/woman, but you can take a look.

It is a pity that there is a lack of activity interactive links, otherwise the business should be better.",False
原本就對餐酒館的食物不會特別期待，想說不要點正餐，點個點心小菜來配，結果，沒想到～好好吃喔！！！omg！最愛肉醬薯條和海鮮炸物，鮭魚和蒜片牛肉也很讚，值得回訪，因為餐點好好吃喔🤤期待下次點正餐,"Originally, I did n’t look forward to the food of the restaurant. I want to say that I do n’t want to order a meal. I ordered a snacks to match. As a result, I did n’t expect it ~ delicious!IntersectionIntersectionOMG!Favorite meat sauce fried and seafood fried, salmon and garlic beef are also very good, it is worth visiting, because the meal is delicious 🤤 Looking forward to ordering next time",False
"👉特地為了蠟筆小新來的，真的超級可愛！生意超好記得訂位。小新系列到6月底唷～

🤗總評：很喜歡炸軟殼蟹的口感，有滿滿的海鮮味，完全不油膩，燉飯份量蠻多的，而且很入味。
酒類喝下來最喜歡特製的壽星酒（蘋果伯爵調酒），詳細生日活動辦法可以去店家IG看！
必點淡菜超級入味，很開胃當下酒菜超讚。

🧐價格：
$280 阿爾巴松露薯條
$280 白酒蒜味淡菜
$400 鮮蝦炒菇佐巴沙米克醋
$400 熱帶天堂
$420 干貝蟹膏燉飯
$420 酥炸軟殼蟹青醬燉飯
$450 客製化蠟筆小新調酒

需另加10%服務費","小 小 specially comes for Crayon Shinhin, it is really cute!Remember to reservation when the business is super good.Xiaoxin series until the end of June ~

炸 General Comment: I like the taste of fried soft shell crabs. It has a full seafood taste. It is completely non -greasy.
Drinking the wine, I like the special Shouxing wine (Earl Earl Earl), and you can go to the store IG to see the detailed birthday activities!
It will be super flavorful, very appetizing. The current wine is superb.

🧐 Price:
$ 280 Albatson Lodfatta Strip
$ 280 liquor garlic flavor light vegetables
$ 400 fresh shrimp fried mushrooms, Sabshamk vinegar
$ 400 tropical heaven
$ 420 Dry scallop crab paste stewed rice
$ 420 Crispy fried soft shell crab green sauce stew rice
$ 450 Customized Crayon Shinchan Bart

Add another 10%service fee",False
"餐點好吃～酒類也很好喝～
氣氛不錯、服務也很好～
還會再來的～
水煙滿好抽的也不會嗆 加涼剛好～
餐點軟殼蟹好吃、蘋果派好喝
感謝阿草推薦😁","The meal is delicious ~ The wine is also delicious ~
The atmosphere is good and the service is also good ~
Will come again ~
Water smoke is full of good smoke, and it will not be cooled just ~
Meal some soft shell crabs are delicious and apples are delicious
Thank you Ah Cao for recommending 推荐",False
"這次是為了蠟筆小新去的～
一進去電視還播著蠟筆小新❤️

如果酒想要蠟筆小新造型
酒的部分可以自己選想要怎樣的味道
或是酒單上面的酒換成蠟筆小新的造型
但價格會不太一樣可以先問

酒  都還不錯
小寶特調 推👍
卍解 蠻特別的
柚沒我的事  還好不用點
一騎紅塵妃子笑  還不錯👍

餐點的部分整體還不錯
法式培根蛋黃義大利麵 很濃但不會膩👍
蒜味培根辣椒麵  不會太辣 不吃辣的可以嘗試
軟殼蟹青醬燉飯  普通 可吃可不吃
炸牡蠣🦪  蒔蘿醬不錯
戰鬥雞拼盤  普通
肉醬起司薯條  還蠻不錯的 不會太膩
松露薯條好吃👍
照燒牛肉烏龍麵  意外的好吃😋","This time I went for Crayon Shin -pen ~
As soon as I entered the TV, I also broadcast Crayon Shin -new ❤️

If wine wants a crayons small new look
What kind of taste can be selected by the wine
Or the wine on the wine list is replaced with a small crayon new shape
But the price will be different, you can ask first

Wine is pretty good
Xiaobao special push 推
It's special
It's okay if the grapefruit is not me
It's pretty good

The meal part is pretty good as a whole
French bacon egg yolk is strong but not greasy.
Garlic flavored bacon pepper noodles will not be too spicy and not spicy, you can try it
Soft -shell crab green sauce stewed rice is normal or not
Fried oyster 🦪 酱 酱
Combat chicken platter is ordinary
The meat sauce cheese fries are pretty good and it’s not too greasy
Tulu French fries are delicious 条
It ’s delicious and delicious by the beef beef oolong noodles 😋",False
"❗️初次體驗感受很差❗️

氣氛不錯、餐點也好吃！蠟筆小新也很可愛
但營業時間到2點，12點半就不供應酒水❓
調酒很普通、價位偏高、服務態度並不是很好
為了慶生特地來台北，結果花七千買一肚子氣😮‍💨","受️ The first experience experience is poor ❗️

The atmosphere is good and the meals are delicious!Crayon Xiaoxin is also very cute
But the business hours are 2 o'clock, and the drink will not be supplied at 12:30
The bartending is very ordinary, the price is high, and the service attitude is not very good
In order to celebrate the birthday, I came to Taipei, but I spent seven thousand to buy a stomach.",False
