Original,EN,Needs Review
"2024.09.14用餐
餐廳播放老舊的華語歌，頗有情調

🔺三杯塔香炒滷味 $280
點的時候店員就說這道比較油，沒想到真的超油XD
調味是好的，不過比較適合配酒感比較重的酒～

🔺合式九層塔豆乳雞 $240
就是味道比較重的咸酥雞，九層塔蠻香的

調酒好像是$400
忘記自己喝的是什麼，也忘記朋友點了什麼🤣

可刷卡，有10%服務費","2024.09.14 dining
The restaurant plays the old Chinese song, which is quite emotional

Three cups of tower fragrance fried fingwei $ 280
When I order it, the clerk said this was relatively oily, but I did not expect that it was really super oil XD
The seasoning is good, but it is more suitable for wine with heavy wine ~

Catable nine -layer tower bean milk chicken $ 240
It is a salty crispy chicken with heavy taste, the nine -story tower is very fragrant

Into the bartending seems to be $ 400
Forgot what you drink, and forget what your friend ordered 🤣

You can swipe your card, there are 10%service fee",False
"音樂很棒，餐點好吃
大推鮮蝦水餃跟豆乳雞
松露薯條也很讚
重點是酒都很有特色超好喝
有DJ放歌
六年級生應該會很喜歡
裡面的音樂讓你意想不到的懷舊
超讚
假日人超多
建議平日晚上來比較愜意","The music is great, the meal is delicious
Push fresh shrimp dumplings and bean milk chicken
Tulu potato strips are also very good
The point is that wine is very distinctive and delicious
There are DJ singing
Sixth grade students should like it very much
The music inside makes you unexpected nostalgia
Pretty
There are so many fakes
It is recommended to come to the night on weekdays more comfortable",False
來傷心酒店一定要點傷心冰茶！還有老媽蝦仁水餃超級搭～聽著好聽的歌實在不由自主跟著唱起來,Come to sad hotels must be sad ice tea!And Mom shrimp dumplings are super together ~ Listening to a nice song really sings involuntarily,False
"三訪 氣氛氛圍 調酒很棒 服務也好
但餐點 三訪下來的感覺 偏鹹 偏油
最後節瓜 還是自己用清水沖洗 才嚥的下去的😂 不知道是客人太多太趕失誤
還是廚師太大氣鹽巴直接灑好灑滿
希望可以改善

不然就有點太可惜了 人氣店家 🥹😅","The atmosphere of the three visit atmosphere is great.
But the meal is visited and the feeling is salty and oily
In the end, Jie Gua still flushed with water and swallowed it. I don’t know if there are too many guests too much.
Still the chef is too atmospheric and salt, sprinkle it directly
Hope to improve

Otherwise, it's a pity that the popular shop 🥹😅",False
"食物跟酒居然可以這般著迷
一點都不傷心
這根本就是傷心進去，開心出來","Food and wine can actually be fascinated
Not sad at all
This is simply sad in, happy out",False
"帶外國朋友體驗台灣小吃
菜單很用心是失戀情歌金曲
食物唱歌常會點的食物

我們吃了
紅油抄手微辣多汁剛剛好
水餃滿滿四隻蝦子超鮮
辣炒水蓮輕脆清爽
薯條超酥脆松露醬絕配
烤節瓜超喜歡很肥美
豆乳雞比鹽酥雞有味道好吃
三杯滷味偏鹹適合配酒

整體而言，調酒有特色
食物每一樣都很好吃
氣氛很好，音樂很經典，
細節用心有特色
適合聚會聊天聲音也不會太吵雜","Take foreign friends to experience Taiwanese snacks
The menu is very intentional, the golden song of the love love song
Food singing often order food

We have eaten
Red oil copied hand is slightly spicy and juicy just right
The dumplings are full of four shrimps super fresh
Spicy fried water lotus light and crispy and refreshing
French fries are super crispy and crispy truffle sauce.
Baked melon is so fat that it is fat and beautiful
Soy milk chicken is delicious than salt crispy chicken
Three cups of salad are salty and suitable for wine with alcohol

On the whole, alcohol is distinctive
Everything is delicious
The atmosphere is very good, the music is classic,
Details are distinctive
It is not too noisy for party chat sounds",False
"昨天去餐廳用膳，遇到了一個不是很開心的服務體驗（其中某一人）。
以下是不好的體驗經歷：
1.上餐點的時候隨便亂說一個菜單上沒有的名字（牛肋排），當下問了第二次也一樣，導致我們都不知道是不是我們的餐點，直到我們在詢問第三次才確定（排骨）。

2.我們在點餐的時候想點shot來喝，詢問今天店裡面有什麼酒種，那位服務生直接說我們只有威跟龍舌蘭但明顯跟菜單上不太一樣，然後又補了一句龍舌蘭沒了，剩下威士忌。還沒有時間考慮馬上又補一句：啊所以要嗎 ？

事後我特別找了別的服務生跟他說了之後，也是很震驚的看著我說怎麼可能，然後又好好的幫我介紹了一次。

以上兩件事情我覺得某一個服務生對自己餐點名稱跟酒類的庫存量沒有盡到知悉的責任。

然後是在點餐或是其他交流的過程跟其他服務員有很明顯的情緒在身上，不知道他昨天是不是心情不好希望他會沒事的。

其他服務員都很棒也很熱心👍🏻","I went to the restaurant yesterday to dinner and met a service experience that was not very happy (one of them).
The following is a bad experience experience:
1. When you get a meal, just talk about the name (beef ribs) on a menu at a time. It is the same for the second time, which causes us not to know if it is our meal until we are asking the third time Only determine (ribs).

2. We want to order SHOT to drink when ordering, and ask what kind of wine in the store is today. The waiter said directly that we only have Wei and Amaranth but obviously different from the menu, and then make up for another sentence. The agave is gone, and the remaining whiskey is left.There is no time to consider to make up for another sentence: Ah, so do you want it?

Afterwards, I specially found other waiters and told him, and I was shocked to watch me say how possible, and then I introduced me again.

I think the above two things do not do the responsibility of a waiter for their own meals and wine inventory.

Then there is obvious emotions with other waiters in the process of ordering or other communication. I don't know if he was in a bad mood yesterday. I hope he will be okay.

Other waiters are great and enthusiastic 👍🏻",False
餐點都不錯，最喜歡鱈魚漿四季豆跟水餃，調酒也好喝,"The meals are good, I like cod paste four seasons and dumplings, and bartending is also delicious",False
"餐點都蠻好吃的
特別是紅油炒手松露薯條
熱紅酒也好喝
但希望主食能有多一點選擇
（菜單只有水餃跟麻油雞飯）","The meals are pretty delicious
Especially red oil fried hand truffle potato strip
Hot red wine is also delicious
But I hope the staple food can be a little more choice
(The menu only has dumplings and sesame oil chicken rice)",False
"酒偏甜沒有特別的記憶點（可能我們沒有點到厲害的）芭樂沙瓦很好喝，非常芭樂哈哈哈
店內氣氛很不錯～","There is no special memory point (maybe we have not ordered) Bale Sakawa is delicious, very Balehahaha
The atmosphere in the store is very good ~",False
