Original,EN,Needs Review
"非常非常好吃，簡直是番茄愛好者的天堂><
- 海鮮培根千層麵Mare Lasagna
- 清爽南義千層麵Siciliana Lasagna
- 茄汁經典肉丸Rossa meatball
- 菠菜瑞可達起司麵餃與奶油蕃茄醬汁Ricotta and spinach rovioli
- 起司蛋黃醬水管麵與煙燻培根Rigatoni
- 提拉米蘇 Tiramisu

店員有提醒這樣可能會口味都是茄汁有點相近，不過每一種茄汁的風味都有些些不同，清爽南義是以鯷魚和番茄乾為基底，比起白醬千層麵來說不會太重口味，可能可以整份嗑掉...真的太喜歡了；菠菜起司麵餃的醬汁比較奶容易膩，建議一起分食，菠菜很值得嘗試；肉丸內餡飽滿多汁，底下的醬汁有一些番茄碎，沾在麵包上也很清爽；看到整櫃的甜點之後又嘴饞點了提拉米蘇，是比較奶的類型，底部的蛋糕體不多
可惜剛好沒遇到無花果沙拉，下次再來～

店內座位不多，裝潢溫馨，有事先訂位但被安排坐在中島旁邊的高腳座位區，有一點難坐。可能因為後面有訂位的關係，會一直提醒時間快到或是先來收盤，感覺得出來店員有點急。不過因為食物好吃還是會再來！","Very, very delicious, it is a paradise for tomato enthusiasts> <
-Mare Lasagna, a seafood bacon
-The refreshing Nanyi Qianxian SICILIANA LASAGNA
-Lossa Meatball, Classic Meatballs
-Fast spinach Ruico Ricott dumplings and cream tomato sauce Ricotta and Spinach Rovioli
-Pee egg yolk sauce pipe noodles and smoky bacon Rigatoni
-Tiramisu

The clerk reminds that this may be a bit similar to the taste of eggplant juice, but the flavor of each kind of eggplant juice is somewhat different. The refreshing southern righteousness is based on catfish and tomato. Too heavy taste, you may be able to get rid of it ... I really like it; the sauce of spinach cheese dumplings is more milk and get greasy. It is recommended to split together. Spinach is worth trying; The sauce underneath has some crushed tomatoes, and it is also very refreshing on the bread. After seeing the dessert of the whole cabinet, I lit up Tiramisu.
It's a pity that I didn't meet the fruits without flowers, come again next time ~

There are not many seats in the store, the decoration is warm, and there are pre -ordering but arranged to sit next to Nakajima. It is a bit difficult to sit.Maybe because there is a reservation in the back, it will always remind time that time is coming or coming to close first, and it feels that the clerk is a bit anxious.But because the food is delicious, it will come again!",False
"心心念念的千層麵！
千層麵跟我想像得一樣好吃
濃濃的蕃茄味🍅
只能說番茄跟乳酪的組合 怎麼輸
唯一就是份量還蠻迷你的

除了大家大推的肉丸之外還點了香料烤雞
烤雞很嫩完全不柴
旁邊的小麵糰有點像麵疙瘩
吃起來是鬆軟中帶有一點嚼勁的那種
原本對麵疙瘩有點意興闌珊
想說不就是個配角嗎
結果越吃越香 忍不住一直嚼

甜點點了開心果的gelato跟提拉米蘇
開心果的gelato很好吃！
不開心果吃完也會變成開心果

搭配Sangria真是快樂的一餐
唯一沒那麼快樂的是希望店家可以早日裝冷氣
夏天去吃需要蠻耐熱的","Thousands of minds!
The thousand levels are as delicious as I imagined
The thick tomato flavor
I can only say how to lose the combination of tomato and cheese
The only thing is that the portion is quite mini

In addition to everyone pushed the meatballs, I also ordered spice grilled chicken
The grilled chicken is very tender and not firewood at all
The small dough next to it is a bit like a noodle pimple
It is the kind of softness with a little chewy
Originally, the opposite pimple was a bit happy
Want to say isn't it a supporting role?
As a result, the more you eat, the more fragrant you can't help but chew

Sight of the desserts, Gelato and Tiramisu
Happy Guo's Gelato is delicious!
Unhappy fruit will become happy fruit after eating

It is a happy meal with Sangria
The only thing that is not so happy is that the store can pretend to be air -conditioned early
It is quite heat -resistant to eat in summer",False
"肉丸子實在太好吃！內餡飽滿還有肉汁，咬開看看剖面內部還有參雜蔬菜末！附贈兩片吐司，可以沾肉丸子剩下的湯汁，吸附在麵包內超讚！調味不會太鹹或太重口味，很耐吃。
（店員很貼心還會問有無吃牛肉！）

清爽南義千層麵，滿滿的碎番茄好清爽，這道味道就比較重了，但還是比一般的更清爽。

第一次造訪自己來這間餐，能點的餐點有限度，下次找朋友一起來試試看別的餐點。😌","The meatballs are so delicious!The filling is full and gravy, bite open to see the inside of the section, there are also mixed vegetables!Comes with two slices of toast, which can be stained with the rest of the soup left in the meatballs and adsorbed in the bread!The seasoning will not be too salty or too heavy, and it is very durable.
(The clerk is very intimate and will ask if you eat beef!)

The refreshing southern righteousness is a thousand levels. The full of broken tomatoes is so refreshing. This taste is heavier, but it is still more refreshing than ordinary.

For the first time to visit this meal, the meal that can be ordered is limited. Next time, find a friend to try other meals.Bleak",False
"◾️茄汁經典肉丸NT$145
◾️經典肉醬手工千層麵NT$300
➡️ 味道只能說是一模一樣）其實蠻合理的都是茄汁肉醬基底啦）
➡️ 但重口味之下不太有明顯層次感 體感非常重複 明明不難吃 但就是很膩、口很渴

◾️經典拿坡里煙花女寬扁麵 義式肉球 帕瑪森乾酪NT$450
➡️ 小辣（不可調整） 是喉嚨會有微微灼熱感的程度 不敢吃辣的人需要迴避
➡️ 跟前面的茄汁味嚐起來很像 但更鹹更辣（吃完一整份蠻膩的）
➡️ 麵條偏硬口（比較道地？）但不Q彈

◾️蕈菇雞肉手工千層麵NT$290
➡️ 方形餐巾紙大小 厚度約拇指關節高
➡️ 吃不太出蕈菇的味道 雞肉也不太有存感
➡️ 奶味很濃郁 意外有種玉米濃湯的既視感

◾️普里亞小炸彈 義大利起司豬肉捲NT$520
➡️ 共3捲 肉片有厚度 嚐起來有醃漬味像培根
➡️ 最好吃的軟綿入口即化的馬鈴薯塊

◾️西西里酥炸捲心餅NT$120
➡️ 表皮很酥脆 有開心果碎本仁的香氣
➡️ 內餡鮮奶油常溫的稍膩口（但這是第一次吃無從比較XD）

◾️手作焦糖布丁NT$100
◾️手工義式冰淇淋（單球）-開心果NT$100
➡️ 味道非常淡，期待濃郁口感會失望🥲

◾️氣泡果汁-紅芭樂NT$180
➡️ 氣很夠，偏甜的科技狠活味🤣

◻️ 不提供飲用水、有廁所
◻️ 上菜速度偏慢（但好像是其中一位廚師臨時請假的關係）
◻️ 無服務費、可刷卡","️ Classic meatballs NT $ 145
酱️ Classic meat sauce handmade thousand levels NT $ 300
说 ️ The taste can only be said to be exactly the same. In fact, it is quite reasonable that the base of the eggplant meat sauce is all)
下️ But under the heavy taste, there is no obvious layered sensation. The body sensation is very repeated that it is obviously not unpalatable, but it is very greasy and very thirsty.

️ Classic Napo Fireworks Fireworks Women's Width Flat Planet Paimanson Cheese NT $ 450
可️ Little spicy (not adjusted) is the degree of hot hot hot throat, who dare not eat spicy people to avoid
茄️ It tastes very similar to the taste of eggplant juice in front, but more salty and spicy (it is quite greasy after eating)
口️ The noodles are hard (more authentic?) But not Q bombs

手️ 鸡 Mushroom Chicken Handmade NT $ 290
纸️ square napkin paper size and thickness about the thumb of the thumb
蕈 ️ The taste of chicken is not very good at eating mushrooms.
浓️ Milk flavor is very strong and unexpected. There is a sense of vision of corn soup

炸️ Polia Bomb Italian cheese pork rolls NT $ 520
肉️ A total of 3 rolls of meat slices have a thickness and taste the taste of pickled like bacon
绵️ The best -delicious soft entrance is the potato piece

️ Sicily Crown Fried Cripping Cake NT $ 120
脆️ The skin is very crispy and the aroma of happiness is broken.
奶 ️ Slightly greasy mouth temperature with fresh cream (but this is the first time to eat it without comparing XD)

布️ Hand -made caramel pudding NT $ 100
️ Handmade Ice Cream (single ball) -Huxin Guo NT $ 100
淡️ The taste is very light, and I look forward to the rich taste and will be disappointed.

红️ Bubble fruit juice-red guava NT $ 180
️ Qi is enough, the sweet technology is ruthless 🤣

水️ Do not provide drinking water and toilet
️ The speed of serving is slow (but it seems to be one of the chefs for a temporary leave of leave)
️ No service fee, you can swipe your card",False
"▪鮮蝦酪梨藜麥沙拉
▪️茄汁經典肉丸
▪️經典肉醬lasagna
▪️提拉米蘇/巴斯克
🧃可樂/negroni
-
餐點口味都很不錯
座位併桌但有間隔一位
整體用餐氛圍👌🏻","▪ Shrimp avocado quinoa salad
▪️ Classic meatballs of eggplant juice
▪️ Classic meat sauce Lasagna
▪️ Tiramisu/Basque
Coca -Cola/Negroni
-
The taste of the meal is very good
The seat is side by side
Overall meal atmosphere 餐",False
"超喜歡蒜炒蛤蜊跟無花果沙拉（雖然鴨胸
絲沒什麼香氣）但無花果本身好喜！
千層麵分食不膩、雞肉丸、南瓜湯無功無過

但真的冷氣不太涼
偏熱😂","I like garlic fried clams and fig salad (although duck breasts
Silk has no aroma) but the fig itself is happy!
Thousands of levels are not greasy, chicken balls, pumpkin soups have no achievements

But really cold air is not very cool
Some hot 😂",False
"價格不貴，番茄愛好者推薦！
坐到比較舒服的那一區，店內燈光很好拍
氣氛也舒服
下次想吃lasagna會再過來！","The price is not expensive, and tomato enthusiasts are recommended!
Sit in the more comfortable area, the lights in the store are very easy to shoot
The atmosphere is also comfortable
I will come again next time I want to eat Lasagna!",False
"主食餐點都蠻好吃的，只是店家位置不多，所以很擁擠，然後天氣太熱，吃得渾身是汗。

開放式廚房，可以看到主廚煮飯的樣子，蠻不錯的。

整體來說，聚會聊天就不推薦。個人用餐蠻推薦的。","The staple food meals are quite delicious, but the store is not much, so it is crowded, and then the weather is too hot, and it is sweaty.

Open kitchen, you can see the chef's cooking, which is pretty good.

On the whole, it is not recommended for party chat.Personal meals are quite recommended.",False
"4.5顆🌟
1️⃣位子不多建議提早預訂
2️⃣最喜歡的是烤雞串麵疙瘩，烤雞怎麼可以連雞胸都超水嫩，咬下超級驚艷！
3️⃣不建議每個人都點千層面，三人分食兩道剛好，喜歡海鮮培根，有小塊海鮮，脆脆的口感搭配麵體很完美
4️⃣靠窗位子太熱，因為冷氣在頭上會把風往內吹所以都吹不到，吃到流汗-0.5🌟但還是願意回訪，整體很滿足","4.5
1️⃣ Not many suggestions are recommended to book early
2️⃣ The favorite is the grilled chicken skewer noodles. How can grilled grilled even the chicken breast super tender and the bite is super stunning!
3️⃣ It is not recommended to order a thousand levels. The three of them eat two justice. They like seafood bacon, with small pieces of seafood, and the crispy texture is perfect.
4️⃣ It is too hot to rely on the window of the window, because the air-conditioning will blow the wind inside, so it can't be blown in the inside. It is sweaty-0.5🌟 but still willing to return to visit. The overall is very satisfied",False
"• 清爽南義千層麵 290
• 阿公蔬菜湯 110

櫻桃馬蘇里拉起司+西西里典型燉菜+豬絞肉+奧勒岡+鯷魚
難得吃到加鯷魚的食物，就連義料都不多
番茄味不會過於膩口，起司牽絲也恰到好處
蔬菜湯菜非常多且燉得軟爛又甘甜，真的好喝
會想再試試其他品項千層與其他小菜與甜點","• Refreshing Nanyi Qianlian level 290
• Gonggong Vegetable Soup 110

Cherry Missri -La cheese+Cypical Stewed Stewo+Pork Pork+Oregon+Matsus
It's rare to eat foods that add catfish, not even more righteous materials
The tomato flavor will not be too greasy, and the cheese is just right
Vegetable soups are very many, soft and sweet, sweet and sweet, it's really delicious
Will want to try other items and other side dishes and desserts again",False
