Original,EN,Needs Review
"很適合聚餐
很嗨
這裡的氛圍很好
而且餐點跟酒都很好喝
可以唱歌也有駐唱歌手在這裡！！
大推他們的烤魚、蛤蠣
超級新鮮！！
還有小米酒特調,真的太好了
剝皮辣椒皮蛋超級好吃","Very suitable for dinner
Very hi
The atmosphere here is very good
And the meals and wine are delicious
You can sing and singer here!Intersection
Push their grilled fish and oysters
Super fresh!Intersection
And Xiaomi wine special, it's really good
Peeling pepper preserved eggs are super delicious",False
"東西都好好吃，店員服務態度很好，晚上吃飽飯後樓下還有bar可以續攤～超級推薦跟一群朋友一起來，其他桌的客人也都很嗨，是放鬆心情又東西好吃的好去處✨
最推薦烤魚～新鮮又鮮嫩！必點！
香腸也是好好吃，我自己喜歡比較瘦的香腸，覺得這個肥瘦超剛好又很有味道～","Everything is delicious, the clerk's service attitude is very good. After eating at night, there are BARs downstairs to renew the stall ~ Super recommending it with a group of friends. The guests at other tables are also very hi. Good place to go ✨
The most recommended grilled fish ~ fresh and tender!Must order!
The sausage is also delicious. I like a thin sausage myself. I think this fat and thin is just right and delicious ~",False
"從開幕至今來了好幾次祈駑南
真的越來越好吃～越來越好玩了！

如果你是E人，我想現場的氛圍讓你根本坐不住，如果你是害羞內向的I人，那你一定需要這裡的熱情幫你帶氣氛～

好多新菜色，也都很推👍🏻
雞湯真的好喝、甜甜圈也是讓人驚艷！
主題趴、慶生、下班喝一杯的好選擇🍻","Since the opening, there have been several times since the opening
It's getting more and more delicious ~ more and more fun!

If you are an E, I think the atmosphere on the scene makes you unable to sit at all. If you are shy and introverted, you must need the enthusiasm here to help you bring the atmosphere ~

Many new dishes are also pushed 好
Chicken soup is really delicious, and donuts are also amazing!
The theme party, celebrating birthday, a good choice for drinking a cup after get off work 🍻",False
餐廳氣氛很好，店家老闆除了唱歌好聽，還很會炸小米甜甜圈🍺,"The atmosphere of the restaurant is very good. In addition to singing well, the owner of the store will also explode the millet donut 🍺",False
"烤吳郭魚就是部落烤肉會吃到的味道
一點都沒有土味而且好大一隻
在台北市能吃到這樣的口味真的令人動容
不過這道需要預訂 建議訂位的時候一定要記得
情人的眼淚微辣 調味得宜
炒蛤蠣也是大顆肉肥 口感新鮮
另外 偶爾點得到烤乳豬這種大菜
其實真的也要規模一定的廚房才享用得到

用餐環境舒服寬敞
從店門口觀察真的不知道店面這麼大
不過還是要看一下Instagram上的店休日
用餐到八點以後可以唱歌
整體氣氛真的非常好

總結 菜色的調味都很得宜
無論是平日下班以後或是週末找朋友聚會
都是非常適合的地方","Grilled Wu Guo Fish is the roast of the tribes will eat the taste
One point has spurred a earthy and one is very big
In Taipei City can eat to make the taste of the taste true
However, the sake of reservation requires reservation to reservation when you must remember
The lover's tears are slightly spicy
The fried oysters are also fresh and fresh. The taste is fresh
Occasionally how to get roasted suckling pig sprouted cabbage
In fact, true must also scale a certain kitchen to enjoy

The dining environment is comfortable and spacious
Observing true shops from the store doors Unknown
However, remanded to look at the Instagram shops closed
Dining can be sang until 8pm
The overall atmosphere is very good

Summary of the dishes is very good for the flavoring
Whether you get off work on weekdays or find friends to gather on weekends
It is perfect for place",False
"點了鹹豬肉、烤櫛瓜等餐點
其中就小米甜甜圈跟麻糬很好吃
服務人員挺熱心介紹
用餐期間其他桌客人使用店內ktv唱歌
聲音真的太大聲，音色真的不太行
還接連唱了很多首，印象中離場後還在唱
已影響到其他桌講話的聲音","Ordered salted pork, roasted melon and other meals
Among them, Xiaomi donuts and hemp are delicious
The service staff is enthusiastic about introduction
During meals, other table guests use KTV to sing in the store
The sound is really loud, the sound is really not good
I also sang a lot of songs one after another, and I was singing after leaving the field.
It has affected the voice of other table speeches",False
"原住民餐酒館
口味很特別，適合想嘗試不同食物類型的人
皮蛋個人蠻愛的，搭配剝皮辣椒，直接衝擊味蕾，非常帶勁
吉拿夫基本上就是小米版粽子，偏清淡但很好吃
海米分一壺蠻大壺的，適合兩人以上點，不然容易喝不完
鹹豬肉帶有香氣，也很適合嘗鮮
價位中間偏高，但整體來說蠻推，難得的原住民料理","Aboriginal restaurant
The taste is very special, suitable for people who want to try different food types
Preserved eggs are quite loving, with peeling pepper, directly impact the taste buds, very strong
Kaamev is basically the Xiaomi version of the rice dumplings, which is light but delicious
Hai Mi is divided into a pot of large pot, suitable for two people, otherwise it is easy to drink
Salted pork has aroma, and it is also suitable for early adopters
The price is high in the middle, but the overall push is quite pushing, and the rare aboriginal cooking",False
"餐點好吃 氣氛很好 重點很優惠餒！
你沒來不知道 ，等你來才知道👍","The delicious meals are very good at the atmosphere, the key points are discount!
You don’t know, you will know when you come",False
"氣氛佳+ 愛喝酒的人超適合來！燒酒蝦必點！
壽星直接送上巨無霸啤酒～👍👍","Good atmosphere+ people who love drinking are super suitable!Shochi shrimp must be ordered!
Shouxing will send it to the Giant Mac beer ~ 👍👍 👍👍",False
來自台東排灣部落，意將原民文化帶入都會，打造城市豐年祭典，增添城市美食特色！食物口味建議可再調整，例如炒高麗菜及節瓜，調味清淡。,"From the Taitung Paiwan Tribe, it means bringing the aboriginal culture into the capital, creating the city's rich years, and adding urban food characteristics!It is recommended to adjust the taste of food, such as stir -fried cabbage and melon, and the seasonings are light.",False
"無可挑剔！
吃過這麼多家的原住民風味餐廳，唯獨這間的菜色、氣氛環境、服務是我心目中第一名！喝不夠還可以到地下室歡唱狼飲，很貼心還有吸菸室，就算沒抽菸身上也不會臭臭的，常常看他們在辦活動，根本是酒鬼聚會的小天地","Unconvinced!
I have eaten so many aboriginal -flavored restaurants. The only dishes, atmosphere environment, and service are the first place in my mind!You can also sing wolf drinks in the basement enough to drink enough. It is very intimate and the smoking room. Even if there is no smoking, it will not smell bad. I often look at them to do activities.",False
"氣氛好，有很多特別的食材，適合聚會
小米粽大推","The atmosphere is good, there are many special ingredients, suitable for party
Xiaomi Dao Da Push",False
"當月壽星 前三天預定送烤魚
推薦吉拿夫","The baked fish is scheduled for the first three days of the Shouxing of the month
Recommended Ji Genov",False
"第一次被朋友帶來就愛上這裡
今天來第二次  對！就是
「特地從新竹上來」
樓上樓下的氣氛都好喜歡 真的好棒
我最喜歡原住民特調👍👍👍
以後都帶朋友來😂","I fell in love with it for the first time by my friends
Come today for the second time!that is
""Special from Hsinchu""
The atmosphere upstairs and downstairs I like it really great
I like Aboriginal Special Tune 住
I will bring friends in the future 带 带 带 带 带",False
餐點好吃歌聲好聽，老闆漂亮可愛及親切，可以來品嚐，喝酒也吼搭啦，小米甜甜圈好好吃,"The meal is delicious, the boss is beautiful, cute and kind, you can taste it, you can roar, Xiaomi donuts are delicious",False
吳郭魚、蛤蜊、薯條、小米甜甜圈都好好吃～還可以點歌 氣氛很好🎵,"Wu Guoyu, clams, fries, Xiaomi donuts are all delicious ~ You can also order the atmosphere of the song very good",False
"吉拿夫 ：
非常好吃，感覺是小米包的肉粽，米香、荷葉香、肉香都很到位

皮蛋 ：
好厲害！這樣配好好吃

烤魚 ：
Cp值超高！口味不錯

紅燒肉 ：
普，沒什麼味道，但朋友說上次大家都覺得超驚豔，今天應該是廚師不一樣，真的很普，沒什麼味道，就顯現的很油

不知道是不是廚師換了，之前大家印象不錯，這次吃了都很不開心，整體吃下來大部分餐點都偏油，該有的口味都沒到位

調酒，二訪下來全款調酒都沒什麼味道，也沒酒感，像是喝冰塊水","Gaamev:
Very delicious, it feels like the meat dumplings of the Xiaomi bag, rice fragrance, lotus leaf aroma, and meat fragrance are in place

Preserved egg:
So amazing!This is so delicious

Baked fish:
The CP value is super high!Good taste

Red roasted meat:
Pu, there is no taste, but friends say that everyone feels super stunning last time. Today it should be the chef different. It is really universal.

I don’t know if the chef has changed. Everyone was impressed before. I was very unhappy this time. Most of the meals were eaten as a whole.

Into the bartending, there is no taste and alcohol of the second visit, and there is no wine, like drinking ice water",False
"烤魚、雞湯都超好吃，還可以唱歌，非常適合聚會、氣氛超high
老闆人非常熱情Nice","The grilled fish and chicken soup are super delicious and can also sing. It is very suitable for party and atmosphere super high
The boss is very enthusiastic nice",False
"東西好吃有特色
海鮮部分處理感覺沒有那麼強但整體還是好評～
晚上八點後的KTV歡唱氣氛還滿特別的～","Extra is delicious and distinctive
The processing of seafood is not so strong, but it is still well received ~
The KTV singing atmosphere after eight in the evening is still full ~",False
"一直以來我都很喜歡甚至是嚮往原住民文化，週日的晚上來到台北市的一間原住民餐酒館，聽著餐廳主人聊起開這間店的初衷和願景，讓我有很深的觸動。

餐廳女主人其實是平地人，但是很喜歡原住民文化，她說，我們想要打造一個「城市豐年祭」，讓原住民在城市裡也有一個家，讓城市人在這裡也有一個情感連結的地方！

餐廳的男主人本業是一位室內設計師，他說，我有一個畫面和願景，就是有一天在台北的原住民來這裡參加豐年祭，大家不分族別穿著原住民族服搭捷運、走在東區街頭，因為祈駑南（cinunan）就是「台北豐年祭」的意思。

甚至是結合所有在台北的原住民餐廳一起，讓台北豐年祭成為一個傳統，每年到了這個月份，讓所有來自台東、花蓮、屏東、高雄等等住在台北的原住民在這裡有回家的感覺。

這晚我們吃著道地的原住民美食，還有現場的吉他演唱，最後台上台下大家像一家人般的一起合唱，這裡有滿滿的人情味在流動著，有那麼一刻，我以為我身在台東的豐年祭裡。

邀請大家有機會也來這裡感受部落的熱情和美好。","I have always liked or even yearn for the culture of the indigenous people. On Sunday evening, I came to a indigenous dining tavern in Taipei in the evening. Touch.

The hostess of the restaurant is actually a flattener, but she likes the aboriginal culture very much. She said that we want to create a ""city -rich annual festival"", so that the aboriginal people also have a home in the city. Intersection

The male owner of the restaurant is an indoor designer. He said that I have a picture and vision, that is, one day the Aboriginal people in Taipei came here to participate in the rich year. Walking on the streets of East District, because Cinunan means ""Taipei Fengnian Festival"".

Even combined with all the Aboriginal restaurants in Taipei, the Taipei Fengnian Festival becomes a tradition. Every year, this month, let all the Aboriginal people from Taitung, Hualien, Pingtung, Kaohsiung, etc. live here. Feeling.

This night we ate authentic aboriginal food, and the guitar singing on the spot. Finally, everyone sang together like a family. Here is full of human feelings. He is in Taitung's Fengnian Festival.

Invite everyone to come here to feel the enthusiasm and beauty of the tribe.",False
"二訪松山最佳氣氛聚餐首選！！！
假日還有氣氛擔當~
今日擔當是yuyu 呦！☺️","The first choice of the best atmosphere of Matsuyama!IntersectionIntersection
There is still the atmosphere of holidays ~
Today is yuyu!☺️",False
這裡氣氛很好東西也都很好吃,The atmosphere here is very good and delicious,False
餐點出乎意外的好吃美味，氣氛又好，還可唱歌🎤喝酒，是姐妹聚餐、同事聚餐的好地方,"The meal is unexpectedly delicious and delicious, and the atmosphere is good. You can also sing and drink. It is a good place for sisters to dinner and colleagues.",False
好吃好喝又要駐唱 超棒,"It's delicious and delicious, you have to sing and sing superb",False
超讚可以吃飯唱歌聚會的好地方～,It's a good place to eat and sing a party ~,False
"好吃好吃
推薦情人的眼淚 軟Q帶脆","Delicious and delicious
Recommend the lover's tears soft q crispy crispy",False
"可以坐在座位上唱歌，用手機就可以點歌很方便。鄰桌的很會唱，大家都幫他鼓掌。
點了八道菜都不錯，最喜歡的是炒蛤蜊，新鮮又大顆。
小米酒特調好喝，柳丁小米酒不合我的胃口。烤魚和烤乳豬要事先預訂，這次沒吃到，下次想再來吃吃看。","You can sit on the seat and sing, and you can sing with your mobile phone. It is convenient.The neighboring table is very good at singing, everyone applauds him.
It's good to order eight dishes. The favorite is fried clams, fresh and large.
Xiaomi wine was specially tuned, and the rice wine did not fit my appetite.Baked fish and grilled suckling pigs have to be reserved in advance. I haven't eaten this time. I want to eat again next time.",False
零雷！每道菜都好好吃💖還是寵物友善喔～,Zero Thunder!Every dish is delicious or pet -friendly ~,False
"原住民餐廳初體驗！

吉拿夫 大推！荷葉香真的絕
烤魚必點，但要預約～

現場還有MTV,還是原版帶
有吸菸區，但無菸味
音響不錯，能感受店家用心
很適合家族、同事聚餐

小聲說 老闆還很像韓哥！","Aboriginal restaurant first experience!

Kaamev pushed!Lotus leaf fragrance is really absolutely
Baked fish must be ordered, but make an appointment ~

There is also MTV on the spot, or the original belt
There are smoking areas, but no smoke smell
The audio is good, I can feel the intention of the store
Very suitable for family and colleagues to dinner

Speak saying that the boss is still like Han Brother!",False
"食物很道地很好吃😋
滷肉大推👍🏻必吃！有阿嬤的味道🥹
唱歌喝酒🍺超讚
21:00後如果吃飽喝足唱不夠
還可以下樓有酒吧😍繼續唱歌喝酒打鏢💓
喜歡熱鬧想要徹夜狂歡超適合來","The food is very delicious 地
Mourning meat push must be eaten!The taste of Grandma
Singing and drinking 喝 喝 喝 喝
If you eat enough after 21:00
You can also go downstairs and have a bar Continue singing and drinking darts 💓
I like lively and want to come all night carnival super suitable",False
"超棒的排灣餐酒館
料理好吃 服務親切
店內有很認真的排灣文化
還可以唱歌跳舞
推薦一定要來體驗看看","Better Paiwan Restaurant
Cooking delicious services
There is a very serious Paiwan culture in the store
You can also sing and dance
Recommended to experience it",False
當月壽星有送烤魚 超棒！東西都好好吃 CP值高也很有氣氛🥰,"In the month, Shouxing was superb to send grilled fish!Everything is delicious, CP value is high and there is a very atmosphere 🥰",False
"來台北出差
路過看到這間店，還好有進來

今天的客人都好會唱
享受的夜晚♡

沒有煙味就值得五顆星
請繼續保持!!!!!!","Come to Taipei on a business trip
Seeing this shop by passing by, fortunately, come in

Today's guests can sing well
Enjoy the night

It is worth five stars without smoke
Please keep it !!!!!!",False
"住附近，剛開幕就注意到，現在才來吃
食物好吃，環境氣氛好
下次還要帶其他朋友來玩！","Live nearby, just noticed it just after opening, but now come to eat
The food is delicious and the environment atmosphere is good
Next time I will take other friends to play!",False
"為什麼氣氛只能五顆星😡
闆娘唱歌太好聽，直接暈爛🥺
東西好吃氣氛太好","Why can the atmosphere only five stars 能 能 能 能 能 能 能
Banniang singing is so nice, and it is fainted directly.
The thing is delicious and the atmosphere is so good",False
