店名,評分,評論數,地址,鏈接
RayDarts.Taipei bar,4.9,"1,400",108台北市萬華區昆明街92-2號5 樓,https://www.google.com/maps/place/RayDarts.Taipei+bar/data=!4m7!3m6!1s0x3442a908d75091eb:0x56195c1a2dce35e0!8m2!3d25.0448517!4d121.5052563!16s%2Fg%2F11dxrzjkm_!19sChIJ65FQ1wipQjQR4DXOLRpcGVY?authuser=0&hl=zh-TW&rclk=1
Westland Bar&Bistro｜深夜酒吧,4.8,366,108台北市萬華區漢口街二段117號,https://www.google.com/maps/place/Westland+Bar%26Bistro%EF%BD%9C%E6%B7%B1%E5%A4%9C%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a9db97514979:0xf7e03af2e068674f!8m2!3d25.0464223!4d121.5042021!16s%2Fg%2F11plfs6t5s!19sChIJeUlRl9upQjQRT2do4PI64Pc?authuser=0&hl=zh-TW&rclk=1
RayDarts.Taipei bar,4.9,"1,400",108台北市萬華區昆明街92-2號5 樓,https://www.google.com/maps/place/RayDarts.Taipei+bar/data=!4m7!3m6!1s0x3442a908d75091eb:0x56195c1a2dce35e0!8m2!3d25.0448517!4d121.5052563!16s%2Fg%2F11dxrzjkm_!19sChIJ65FQ1wipQjQR4DXOLRpcGVY?authuser=0&hl=zh-TW&rclk=1
Geography Bar&Restaurant 台灣環島調酒 Taiwan-inspired Cocktails,4.8,"3,412",108台北市萬華區昆明街92-2號4樓 4樓,https://www.google.com/maps/place/Geography+Bar%26Restaurant+%E5%8F%B0%E7%81%A3%E7%92%B0%E5%B3%B6%E8%AA%BF%E9%85%92+Taiwan-inspired+Cocktails/data=!4m7!3m6!1s0x3442a908d7489fa5:0x46f44ff566485c88!8m2!3d25.0448535!4d121.5052481!16s%2Fg%2F11fzffkcmg!19sChIJpZ9I1wipQjQRiFxIZvVP9EY?authuser=0&hl=zh-TW&rclk=1
解鎖 JOYSOUL Bar,4.8,"2,047",108台北市萬華區武昌街二段122-3號,https://www.google.com/maps/place/%E8%A7%A3%E9%8E%96+JOYSOUL+Bar/data=!4m7!3m6!1s0x3442a9476fddc4bd:0x8e3a5e2e121d10cd!8m2!3d25.0452553!4d121.5038828!16s%2Fg%2F11ls5sq8h3!19sChIJvcTdb0epQjQRzRAdEi5eOo4?authuser=0&hl=zh-TW&rclk=1
BearJunkies熊飲（早午餐＆酒吧）,4.8,738,108台北市萬華區昆明街192號2樓,https://www.google.com/maps/place/BearJunkies%E7%86%8A%E9%A3%B2%EF%BC%88%E6%97%A9%E5%8D%88%E9%A4%90%EF%BC%86%E9%85%92%E5%90%A7%EF%BC%89/data=!4m7!3m6!1s0x3442a9d8b08c71f7:0xf4f9b0e1019da0ca!8m2!3d25.0411766!4d121.5043785!16s%2Fg%2F11s9w0x8cs!19sChIJ93GMsNipQjQRyqCdAeGw-fQ?authuser=0&hl=zh-TW&rclk=1
Chance Cafe & Bar 無心戒酒互助會 - 成都分會,4.9,"1,394",108台北市萬華區成都路27巷10號,https://www.google.com/maps/place/Chance+Cafe+%26+Bar+%E7%84%A1%E5%BF%83%E6%88%92%E9%85%92%E4%BA%92%E5%8A%A9%E6%9C%83+-+%E6%88%90%E9%83%BD%E5%88%86%E6%9C%83/data=!4m7!3m6!1s0x3442a9c265a79413:0xe16d79a3c17b1862!8m2!3d25.0431514!4d121.5067512!16s%2Fg%2F11j7vfs859!19sChIJE5SnZcKpQjQRYhh7waN5beE?authuser=0&hl=zh-TW&rclk=1
獅鬥cdou bar | 西門酒吧 台北港式餐酒館 深夜酒吧 | Late-night bar บาร์กลางคืน 深夜バー 심야 바,4.8,447,108台北市萬華區康定路25巷19號,https://www.google.com/maps/place/%E7%8D%85%E9%AC%A5cdou+bar+%7C+%E8%A5%BF%E9%96%80%E9%85%92%E5%90%A7+%E5%8F%B0%E5%8C%97%E6%B8%AF%E5%BC%8F%E9%A4%90%E9%85%92%E9%A4%A8+%E6%B7%B1%E5%A4%9C%E9%85%92%E5%90%A7+%7C+Late-night+bar+%E0%B8%9A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B8%B7%E0%B8%99+%E6%B7%B1%E5%A4%9C%E3%83%90%E3%83%BC+%EC%8B%AC%EC%95%BC+%EB%B0%94/data=!4m7!3m6!1s0x3442a99ef390a515:0xa07cec8a5c3c1e08!8m2!3d25.0439459!4d121.5035048!16s%2Fg%2F11n5s1czm_!19sChIJFaWQ856pQjQRCB48XIrsfKA?authuser=0&hl=zh-TW&rclk=1
酒肆西門 Ximen Beer Bar - 西門町酒吧 ｜台北酒吧推薦 Taipei Bar / Craft Beer / Whisky / Shochu / Cider,4.8,"2,199",108台北市萬華區武昌街二段83-2號,https://www.google.com/maps/place/%E9%85%92%E8%82%86%E8%A5%BF%E9%96%80+Ximen+Beer+Bar+-+%E8%A5%BF%E9%96%80%E7%94%BA%E9%85%92%E5%90%A7+%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%85%92%E5%90%A7%E6%8E%A8%E8%96%A6+Taipei+Bar+%2F+Craft+Beer+%2F+Whisky+%2F+Shochu+%2F+Cider/data=!4m7!3m6!1s0x3442a908d3d14d39:0xa3e8afa03f6a8a62!8m2!3d25.0453734!4d121.5051634!16s%2Fg%2F11c1ws0zf0!19sChIJOU3R0wipQjQRYopqP6Cv6KM?authuser=0&hl=zh-TW&rclk=1
Nonsense Bar 無心戒酒互助會 - 武昌分會,4.9,"1,841",108台北市萬華區武昌街二段100號2樓,https://www.google.com/maps/place/Nonsense+Bar+%E7%84%A1%E5%BF%83%E6%88%92%E9%85%92%E4%BA%92%E5%8A%A9%E6%9C%83+-+%E6%AD%A6%E6%98%8C%E5%88%86%E6%9C%83/data=!4m7!3m6!1s0x3442a934b175c98d:0xf234df05c4dd1d14!8m2!3d25.0449735!4d121.5055642!16s%2Fg%2F11jy53br8d!19sChIJjcl1sTSpQjQRFB3dxAXfNPI?authuser=0&hl=zh-TW&rclk=1
