Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"上週跟朋友吃完燒肉之後，我們就去酒吧續攤，我們找到了這家geography吧～～～這家的酒單很有特色，用各種台灣特色水果作為主要的調酒，不過喝一杯加服務費會破400～～～

酒吧的整體氣氛很熱鬧，調酒的造型都蠻有特色的，很美很適合拍照，我點的是拉拉山，是水蜜桃口味的調酒，水蜜桃的氣味很香，可惜的是，我覺得喝起來酒的味道有一點淡～～","After eating the roast meat last week, we went to the bar to renew the bar. We found this Geography ~~~ This wine list is very distinctive. A cup and service fee will break 400 ~~~

The overall atmosphere of the bar is very lively. The shape of the bartender is quite distinctive. It is very beautiful and suitable for taking pictures. I ordered the Lala Mountain. I think the taste of drinking wine is a bit light ~~",False,0.088,0.0,0.912,0.8119
"西門氛圍感滿分的一間酒吧 酒單很有特色
帥氣Bartender調出來的酒都漂亮又好喝
不論跟朋友、曖昧對象或另一半來，都是不錯的選項！
這次點了玉荷包、阿里山上和巨峰紫
黑色的炸雞也超級好吃！","A bartender list with full atmosphere of Ximen is very distinctive
Handsome Bartender's liquor is beautiful and delicious
No matter with friends, ambiguous objects or the other half, it is a good option!
This time I ordered Yuhebao, Alishan and Jufengzi
Black fried chicken is also super delicious!",False,0.381,0.016,0.603,0.9781
店內位置不多，建議提前訂位，因為時間越晚人就越多喔~最推薦的是炸魚薯條，就連討厭吃海鮮的我都可以接受的調味，外層酥脆裡面軟嫩，可以點一份和朋友、家人一起開心聊天，配著好喝的調酒。,"There are not many locations in the store. It is recommended to order in advance, because the later the time, the more people are ~ The most recommended is fried fish and potato strips. Even those who hate seafood can accept the seasoning. Click a happy chat with friends and family, with delicious bartending.",False,0.251,0.055,0.694,0.9061
"氣氛佳平日晚上餐點基本都沒了
調酒菜單上選擇偏少
很好拍的妹酒吧
玉荷包聞起來卻是柚子香
服務人員不知道是老闆還是員工不像台灣人有點跩跩的有個性但沒辦法提供有建設性的酒品推薦","The atmosphere is basically gone on weekdays at night
There are fewer selection on the wine melting menu
Very good girl bar
Yuhebao smells but it is grapefrax
The service staff don’t know if it is a boss or an employee who is not like a Taiwanese, but there is no way to provide constructive wine recommendations.",False,0.034,0.089,0.877,-0.5217
"去過不少酒吧,很久沒來,今天兩個人去,點墨魚炸雞,結果炸到有一些焦味,吃第一塊想說我吃錯，第二塊第一口還是焦味,跟bartender反應,說會處理可是並沒有處理,整場服務重心只有剛進來的時候會招呼,後來就都沒有理會,這次是第二次來消費,第一次來時隔有點久,但第一次的服務不同人 也服務很好,也推薦了幾個朋友來,今天是打扮比較年輕像學生,戴的錶只有十幾萬就被忽略嗎？第二次來消費是真的蠻失望的,下次我會優先選擇其他酒吧！

——
以下我針對您第一個回覆去回應：（圖2
我本行也是餐飲業,看到這回覆有點傻眼…

關於您食物的回覆：
1、您說的骨頭烤到焦化與我說的跟外皮有苦味沒有任何關係！
2、如果您說最後用10秒高溫來保持脆度,那就是最後的10秒使得食物苦味來源,畢竟我跟朋友後來都選擇不吃,因為焦味挺厲害的。

關於您說服務的部份
1、你們當下完全沒有做即時處理的動作,只說會告知 另一位調酒師,但告知跟沒有解決客人的疑問或是感受,這樣等於是沒有解決問題,告知有什麼用？

2、最後要離開了也沒有在問我們今天用餐感受如何等等…

3、您說的人手不足,是店內本身自己要去改善的,不應該是讓消費者去承擔,我們坐在那邊這麼久,連水都是主動跟你們要的,貴店如果服務不佳,忙不過來,哪倒是可以不收服務費或不接客人,當天也好幾桌沒人坐,不敢想像如果坐滿會是如何服務。
——————
我第一次跑酒吧給一星評價,評論可以洗,但希望本質還是不要變,第一次體驗不錯,第二次卻有夠糟,我不會再推薦朋友過去消費,雖然您有回答跟沒回答一樣,但也謝謝您的回覆！祝生意興隆！","I have been to a lot of bars. I haven't come for a long time. Today, two people go, or order cuttlefish fried chicken. As a result, there is some burnt flavor. I want to say that I eat the wrong one. The second one is still the burnt. The response, said that it will be processed, but it is not handled. The focus of the whole service is only when I first came in, and I did not ignore it later. Different services are also very good at services. I also recommend a few friends. Today, I ’m more young like students. Is only 100,000 watches wearing it?The second time to consume is really disappointed. Next time I will give priority to choosing other bars!

Intersection
Let me respond to your first reply: (Figure 2
My bank is also the catering industry, and it is a bit dumbfounded to see this reply ...

Reply to your food:
1. The bone you mentioned that the bone to coke has nothing to do with what I said!
2. If you say that the last 10 seconds of high temperature to keep the crispness, that is, the last 10 seconds make the food bitter sources. After all, I and my friends later choose not to eat because the scorching taste is very powerful.

About you talk about the service
1. You have not done instant processing at all. You only say that you will inform another bartender, but notify the question or feelings of not solving the guests. This is equivalent to not solving the problem. What is the use?

2. Finally, I have to leave, and I do n’t ask us how to feel today ...

3. The person you said is insufficient. It is what it is going to improve in the store itself. It should not let consumers take it. We sit there for so long, and even the water will take the initiative to ask you. , I ca n’t be busy. I can not charge the service fee or not pick up the guests. There are several tables that day without anyone sitting on that day. I dare not imagine how to serve if I sit full.
——————————
I ran a star for the first time, and the comments could be washed, but I hope the essence should not change. The first time I experience it well, but the second time is bad. I will not recommend friends to spend in the past I didn't answer the same, but thank you for your reply!I wish the business a boom!",False,0.1,0.063,0.836,0.9644
"▪︎玉荷包＞必喝！
▪︎阿里山上＞美爆真的超好喝，似乎是莓果配上烏龍茶去調的，但個人覺得喝起來有種蓮霧的感覺，非常清爽豪喝，有果甜果香，茶的韻味跟酒感（但不會酒感重），平衡的非常好！
▪︎福爾摩沙＞百香果去調的，也不錯喝，相較前兩杯沒那麼突出，百香果太主角

老闆看起來酷酷的不發一語，最後還協助選酒，也非常深得我心。所有的服務人員都超親切超棒，有來台北一定會再來！","▪ 包 ＞ Must drink!
▪ Alishan ＞ Beautiful Explosion is really super delicious. It seems to be berry with oolong tea, but I personally feel that it feels like a lotus mist, very refreshing and rich, with sweet fruit fragrance, tea charm and charm and charm and taste, the charm of tea, the charm and charm of tea The wine feels (but does not feel heavy), and the balance is very good!
▪ Formosa ＞ Passion fruit is also tuned, it is also good to drink. Compared with the first two cups, Passion Fruit is too the protagonist

The boss didn't say a word in coolness, and finally assisted in choosing wine, which was very deep.All the service staff are super friendly and great, and they will come again when they come to Taipei!",False,0.377,0.0,0.623,0.9975
"好好放鬆的好選擇！
-
這次點特調酒單上的荔枝跟巨峰紫
都是走酸甜路線
如果想要慢慢喝的話 荔枝很適合！
巨峰紫的裝飾很浮誇 喜歡拍照的話必點
-
經典調酒的部分
點了一杯曼哈頓
相當溫柔易飲
喜歡柑橘香氣ㄉ可以試試看","Good choice to relax!
-
This time the lychee and Jufeng Zi on the special wine list
It's all a sweet and sour line
If you want to drink slowly, lychee is very suitable!
Ju Fengzi's decoration is very exaggerated if you like to take pictures
-
Classic bartending part
Ordered a glass of Manhattan
Quite gentle and easy to drink
If you like citrus aroma, you can try it",False,0.286,0.02,0.694,0.9684
西門商圈的小酒吧，調酒主題搭配台灣各地水果，很有特色，店內音樂輕鬆休閒，喝個兩杯調酒最後搭配shot，相當不錯,"The bartender in the Ximen Business District, the theme of bartending is matched with fruits from all over Taiwan, which is very distinctive. The music in the store is easy to leisure. Drink two cups of bartender and finally match the Shot.",False,0.066,0.0,0.934,0.4404
想試創新的雞尾酒來的，就只能算普通，不管澄清還是其他的作法都還算可以，也不難喝，如果是朋友們來喝table看起來夠，氣氛應該會比其他的酒吧來的更熱絡。但關鍵是染毛的Bartender冷落別的客人（包含我）一直在把妹這點很不可取，還跟女生說自己以前很紅也不想紅，你是調酒紅還是長相紅？是不是店裡沒有裝鏡子呢？自己有跟客人分享聊聊酒的感受嗎？服務費收的臉不紅氣不喘的，要臉嗎？,"If you want to try innovative cocktails, you can only be regarded as ordinary. It is okay not to clarify or other methods, and it is not difficult to drink. If friends come to drink table, it looks enough. More warm.But the key is that Bartender, who dyed the hair, has been indifferent to other guests (including me). It is not advisable to treat the girl. I also told the girl that I used to be very red and I didn't want to be red. Do you have bartender or red?Is there no mirror in the store?Do you have the feeling of talking about wine with your guests?The service fee is not blushed and breathless, do you want your face?",False,0.115,0.057,0.829,0.7643
"台灣系列調酒很有特色，今天是喝拉拉山~
酒感沒有到很重，像飲料但好喝！
蘋果切的超薄片，可以直接拿起來吃~
然後服務生很可愛欸!","The Taiwan series of bartending is very distinctive. Today is drinking Lala Mountain ~
The wine is not very heavy, like drinks but delicious!
Apple cut the ultra -thin piece, you can pick it up and eat directly ~
Then the waiter is cute!",False,0.179,0.08,0.742,0.8088
"店員超nice .ᐟ.ᐟ
一個人來也不孤單❤️
還有店員長得超像阿夜🤣
快來找小小（漂亮的妹子）、阿昌、阿夜喝酒٩(˃̶͈̀௰˂̶͈́)و","Clerk super nice. N. n n
Don't be alone alone ❤️
There are also clerks who are super like A Ye 长 长 长 还 还 还
Come to find Xiaoxiao (beautiful girls), Achang, Aye drink ٩ (˃̶͈̀௰˂̶͈́) و",False,0.383,0.0,0.617,0.9611
超喜歡的茶酒吧，每杯都是台灣在地水果和茶調出來的，有一天一定要環島完！！,"The super favorite tea bar, each cup is adjusted in the ground fruits and tea in Taiwan, one day must be completed around the island!Intersection",False,0.238,0.0,0.762,0.8016
