Original,EN,Needs Review,Positive,Negative,Neutral,Compound
"三間店共用店面，不同時段不同老闆
早上老闆賣的是現榨果汁吧
便當店老闆營業用餐是17：00-20：00
8/29（四）營業，隔週休週四依此類推
晚上酒吧老闆

便當店老闆餐點好吃，感覺就像隱身巷弄內的「手路菜」（台語）便當","Three stores share stores, different bosses at different times
The boss sells the juice in the morning, right?
The owner of the bento shop is business meal from 17: 00-20: 00
8/29 (Thursday) Operation, this category is pushed on Thursday every week, on Thursday
Bar boss at night

The lunch shop owner's meal is delicious, and it feels like a ""handicon"" (Taiwanese) bento in the hidden alley",False,0.116,0.0,0.884,0.8126
店員很細心的說明酒的種類跟他的風味，會依照不同喜好推薦適合的酒，跟朋友來聊天可以很放鬆。,"The clerk carefully explained the type of wine with his flavor, and he will recommend suitable wines according to different preferences. Chatting with friends can relax.",False,0.312,0.0,0.688,0.8402
"看地圖可能會很難找，建議定位world gym再往裡面巷子走，就在一個空地旁邊(⁎⁍̴̛ᴗ⁍̴̛⁎)
雖然店不大位子不多，可是氣氛很好，老闆娘也很親切❤️招待的shot超好喝～
這次點的白俄羅斯味道很濃郁，是很順口的奶酒！
很難想像在西門町會有cp值那麼高的酒吧😻下次還會再來的～～ …","It may be difficult to find the map. It is recommended to locate the world gym and then go to the alley inside, just next to the open space (⁎⁍̴̛ᴗ⁍̴̛⁎)
Although there are not many stores in the store, the atmosphere is very good, and the boss is very kind ❤️ The shot entertainer is super delicious ~
Belarus this time has a strong taste, and it is a very smooth milk wine!
It's hard to imagine that there will be a bar with a CP value in Ximending. I will come again next time ~~ ...",False,0.213,0.033,0.754,0.9682
老闆娘很nice不會推銷不會打擾，適合單人多人小酌，調酒好喝杯子大，牛小排台式很好吃份量意外的多。在武昌街意舍斜對面，新光影城樓下。,"The boss is very nice. It will not be disturbed. It is suitable for single -person multiplayer drinking. The bartending cup is big, and the cow small table is very delicious and unexpected.On the opposite side of Yishe, Wuchang Street, downstairs of Shin Kong Studios.",False,0.181,0.0,0.819,0.8508
"小小ㄉ
有點難找
酒尚可，選擇不太多
調酒師好聊","Puppet
It's a bit difficult to find
The wine is still available, not too much choice
Boatter chatter",False,0.0,0.128,0.872,-0.3612
"店內不大
氣氛很舒適 很適合跟兩三朋友坐下聊天
調酒中規中矩 也很合我們一行人胃口
老闆娘親切友善 還請我們喝好喝的shot
是都市裡一個可以放鬆和好好喝酒的小角落","Not big in the store
The atmosphere is very comfortable and suitable for two or three friends to chat and chat
The mid -norm in the bartender is also very good in our group's appetite
The boss is kind and friendly, and please drink a delicious shop
It is a small corner that can relax and drink well in the city",False,0.346,0.0,0.654,0.9788
超推！完全沒想過西門的小角落裡有這麼棒的酒吧～,Super push!I never thought that there was such a great bar in the small corner of Ximen ~,False,0.341,0.0,0.659,0.8516
老闆娘親切，酒跟食物都不錯🥰 …,"The boss is kind, the wine and the food are good ...",False,0.387,0.0,0.613,0.743
"調酒超級好喝
根據個人喜好做改變
氣氛非常棒
很適合朋友聚會情侶約會
老闆娘人很親切
都會推薦有什麼酒好喝
還會講一些酒類知識
激推👍👍","Mixing is super delicious
Make change according to personal preference
The atmosphere is great
Very suitable for friends to meet with couples to date
The boss is very kind
I will recommend what wine is good
I will also talk about some wine knowledge
Push 推",False,0.382,0.0,0.618,0.9755
"酒的味道調的洽到好處 感人的感覺非常清晰
老闆待人親切 環境也很簡潔 會很適合一個人想清靜的時候去","The taste of wine is tone to the benefits and touching feelings. It feels very clear.
The boss is kind to others and the environment is very concise and it is very suitable for a person to go when you want to be quiet.",False,0.203,0.0,0.797,0.8479
老闆娘真的非常親切，店內氛圍也是相當融洽。適合一個人來這裡放鬆，治癒一天的疲勞。(ㆁωㆁ*),"The boss is really very kind, and the atmosphere in the store is quite harmonious.Suitable for a person to relax here and cure the fatigue for a day.(ㆁ ω)*)",False,0.197,0.057,0.746,0.707
老闆娘超親切！超好聊的！,The boss is super kind!It's so good to talk!,False,0.523,0.0,0.477,0.8261
