Original,EN,Needs Review,Positive,Negative,Neutral,Compound
好唱好喝！喜歡這個地方,It's so good to sing!Like this place,False,0.367,0.0,0.633,0.54
"氣氛不錯 音響也可以
喝酒唱歌的好地方👍
來這麼人都好會唱
好厲害","The atmosphere is good.
Good place to drink and sing 歌
Everyone is so good to sing
Great",False,0.494,0.0,0.506,0.9279
"整體氛圍營造舒適，讓人可以很放鬆，相比搖滾區個人更喜歡吧台，比較有放鬆感。如果對基酒有基礎瞭解的話，可以在各種調酒上直接更換酒款，讓自己的調酒更有自己想要的感覺。若本身研究不多，也可以直接跟服務生或調酒師溝通想要的氛圍和酒感，同樣可以得到不錯的推薦和建議。

這邊另外的特色是不定期有不同活動，可以滿足有各種不同需求的酒友，是個適合聚會的地方。","The overall atmosphere is comfortable to make people relax. Compared with the rock areas, I prefer the bar and have a sense of relaxation.If you have a basic understanding of base wine, you can change the wine directly on a variety of alcohol, so that your bartending feels more.If there are not many research, you can also communicate directly with the waiter or bartender you want the atmosphere and sense of wine, and you can also get good recommendations and suggestions.

The other feature here is that there are different activities from time to time, which can meet wine friends with different needs. It is a place suitable for the party.",False,0.134,0.0,0.866,0.9349
"這邊氣氛很好
空間也很大
燈光也不會太過明亮
即使自己一個人來也不會覺得格格不入
客人也很High
很容易融入氣氛♥️","The atmosphere here is very good
The space is also very large
The light will not be too bright
Even if you come alone, you won't feel that the grid is incompatible
The guests are also very high
It's easy to integrate into the atmosphere ️ ️",False,0.118,0.082,0.8,0.4498
環境不錯，老闆人好好，喜歡唱歌又想喝酒的要去,"The environment is good, the boss is good, and those who like to sing and want to drink are going to go.",False,0.348,0.0,0.652,0.8225
氣氛很好，可以唱歌，深夜好去處,"The atmosphere is very good, you can sing, and go to the good place late at night",False,0.289,0.0,0.711,0.7264
環境很舒服、酒很有特色、好喝！居然會有星際大戰的燈箱以及海報、老闆一定是一個非常有品味的人！,"The environment is very comfortable, wine is very special, and delicious!There will actually be a light box for interstellar wars, posters, and bosses must be a very tasteful person!",False,0.195,0.098,0.707,0.5529
環境舒適 酒好喝 不是一次店 會再來光顧 很棒。,The environment is comfortable and delicious. It is not a good time when the shop will come again.,False,0.287,0.099,0.615,0.6802
裝潢氣氛都很好 調酒夠濃 還有駐唱歌手跟開放點歌 很讚👍🏻👌🏻,"The decoration atmosphere is very good enough to bartender enough, and there are resident singers and open dot songs.",False,0.151,0.0,0.849,0.4927
服務很專業且有效率，酒很好喝！唱歌系統也很完整！,"The service is very professional and efficient, and the wine is delicious!The singing system is also very complete!",False,0.177,0.0,0.823,0.5644
