Original,EN,Needs Review
親切的店長馬丁哥與熱情的馬路，為初次到訪的我們耐心的招待與服務，還給我們許多意外的驚喜。謝謝你們讓同行的親友們留下美好的回憶，Barchef 是個放鬆心情的好地方。,"The friendly manager Martin Brother Martin and the enthusiastic road, for the first visit to our patient hospitality and service, also gave us many unexpected surprises.Thank you for letting your friends and friends leave good memories, Barchef is a good place to relax.",False
最爛一顆星所以給予一顆星，今天與友人來過生日，餐點點了一個半小時來一碗，友人去請問還要多久？人員說有大桌客人所以要等久一點，結果等了整整三小時來三碗麵（我們點了六碗麵。然後來的三碗麵，蛋焦掉、紅油抄手一碗超級辣麵很軟、另一碗麵沒熟沒有蠟油、然後現在在打評論的同時還有麵跟炸物拼盤沒來。無語死了。我們是什麼賤人嗎？我們點三個銷魂麵、兩個抄手麵、濃白雞湯在麵食類沒有麵、然後提醒服務生服務生服務生一小時前說因為有大桌（本人目測10位不超過15位）剛剛去問炸物、還有麵要多久、說廚房兩位新人？什麼意思所以呢？這總服務、我們進來的時候有定位還被換到高腳桌、一樣的麵一碗很多一碗少得可憐、酒裡面的酒吸管都軟掉餐點還沒來（請老闆調閱監視器沒灌水餐點一樣等的時間都格半小時以上。,"The worst star is given to a star. Today, I came to my friend's birthday with my friends. I had a meal for an hour and a half for a bowl. How long does my friend go?The staff said that there were big table guests so they had to wait a long time, and waited for three hours to come for three bowls of noodles (we ordered six bowls of noodles. Then three bowls of noodles came, eggs were burnt, and red oil copied a bowl of super spicy noodles. Soft, the other bowl of noodles is not cooked without wax oil, and now I am commented that there are noodles and frying platters. Noodles, thick white chicken soups have no noodles in pasta, and then remind the waiter waiter a waiter one hour ago that because there are large tables (I have visited 10 digits and not more than 15 digits) just ask the fried object, how long does it take for noodles? What do you mean by two newcomers in the kitchen? Haven't come yet (Please look at the monitor without irrigation meal and wait for the same time for more than half an hour.",False
店長跟店員非常棒，餐點好吃調酒很棒，老闆人超好，一定會再光顧的！,The manager and the clerk are very good. The meals are delicious. The boss is super good and will definitely patronize!,False
"被酒吧耽誤的餐酒館XD
食物都超好吃 酒也超酷好喝！","Dining and tavern XD, delayed by the bar
The food is super delicious and cool and delicious!",False
"泰泰奶找茶 $350
炙燒過的棉花糖很好ㄔ
泰式紅茶喝起來沒有酒精味😍奶奶的感覺 很好喝！

茉莉奶找茶 $350
淡淡茶香 有氣泡的感覺應該是氣泡水
酒感比較重但不會辣！還是順口的

bartender 都很親切💗🫶🏻謝謝招待的shot ♡̶₊⁺","Taitai Grandma Find Tea $ 350
The burning marshmallow is very good
Thai black tea does not taste alcohol. Grandma feels delicious!

Jasmine Milk Find Tea $ 350
The feeling of light tea has a bubble feeling that it should be bubble water
The wine feels heavy but not spicy!Still

Bartender is very kind. Thank you for your hospitality.",False
"一個可以讓人放鬆的地方,酒品風味獨特，炸物酥脆好吃","A place that can make people relax, the wine flavor is unique, fried is crispy and delicious",False
"水煙很棒
葡萄酒很棒

雖然沒有點餐 所以不給餐點評分
剛好朋友生日外送蛋糕來
店員很棒的準備餐具
還招待shot
萬分感謝🙏

音樂很棒 整體舒適","Water smoke is great
Wine is great

Although there is no order, so do not give me a meal score
Just a friend ’s birthday to the cake
The clerk is great to prepare tableware
Also entertain shot
Thank you very much

The music is great and comfortable",False
112.3.24 ，一共喝了四家，除了第一家無心戒酒成都名字有記得，印象最深的就是這家了，整體環境坐起來很舒服，不會像某家坐高腳椅，然後旁邊的酒保沒事後來我們旁邊跟妹聊天，聊天都比我們還大聲很多….之後來西門這家會是首選，並且每位會點兩三杯以上，酒體明顯有層次的口感，不會是妹酒酒吧，並且餐點也很有水準，真的很推薦這邊的雞湯，很解酒啊！！！還好最後估狗有搜尋到這家，一開始覺得五顆星會不會是洗的，但實際來體驗後真的值得來一趟～,"112.3.24, I drank a total of four. Except for the first unintentional name of Chengdu, I remember the name of Chengdu. The deepest one is the one. The overall environment is very comfortable. After the bartender is okay, we chatted with the girl next to us. The chat is much louder than us ... After that, it will be the first choice to come to Ximen, and each one will order more than two or three cups. Bar, and the meal is also very standard. I really recommend the chicken soup here.IntersectionIntersectionFortunately, the dog was found to have searched this one. At first, I felt that the five stars would be washed, but after actual experience, it was really worth a trip ~",False
"第一次來訪，服務員很親切也會細心介紹酒單
音樂氣氛都很推，跟朋友聚會聊天很適合，還會再來二訪～","For the first visit, the waiter is very kind and introduces the wine list carefully
The music atmosphere is very pushing, it is suitable for chatting with friends, and I will visit again ~",False
環境很舒服，店員都很友善，水煙略淡但喝很好不錯！音樂聲音不會瘋大聲，適合聊天！松露薯條配酒讚！,"The environment is very comfortable, the clerk is very friendly, the water smoke is slightly lighter, but the drink is very good!The sound of music will not loud, suitable for chat!Tsoda French fries with wine praise!",False
