Original,EN,Needs Review
啤酒柱會發光很酷。二樓開到早上七點，還可以唱歌，狂歡的好地方。陽台有吸煙區。,"The beer column will shine very cool.On the second floor until seven in the morning, you can also sing, a good place for carnival.There are smoking areas on the balcony.",False
服務員會排麥，大家都和藹可親的樣子🤣，氣氛好，四個角落都有螢幕，二樓唱歌，店員說這裡只是友善空間啦,"The waiter will line up wheat, everyone is amiable, the atmosphere is good, there are screens in the four corners, and the second floor sings. The clerk said that this is just friendly space.",False
叫了一瓶Vodka，他們還幫我們準備萊姆、鹽巴跟檸檬片，很貼心，有叫了兩樣熱炒忘了拍，也是現炒，口味清淡，現場有Live駐唱，由於駐唱歌者都是自己朋友，就覺得氣氛特別好，店內二樓，下午有卡拉ok可以唱歌，晚上就餐酒館，生意沒很好但也零零散散有客人進來聽歌，駐唱跟現場客人互動也不錯，酒記在櫃檯，下次再來🥰,"Call a bottle of Vodka. They also helped us prepare Lym, Salt and Lemon Slicit. It was very intimate. I called two hot stir fry and forgot to shoot. It was also fried. The taste was light. It ’s my own friend, I feel that the atmosphere is particularly good. On the second floor of the store, there is a karaoke to sing in the afternoon. In the evening, the dining tavern is not very good but there are zero scattered guests to listen to the song. The wine is in the counter, come again next time 🥰",False
可以唱歌的好地方 環境也很有科技感 其他客人也很容易跟你打成一片 一起歡唱喝酒 真開心🤣,"The good place where you can sing also has a sense of technology. Other guests can easily sing with you, sing drinking together, really happy 🤣",False
"謝謝今天的各位
餐點好吃
歌手實力滿分
服務生顏值高又親切","Thank you everyone today
Meal delicious
Singer full of strength
The waiter is high and kind",False
"在這邊認識了很多朋友，店員服務都很讚，餐點很好吃，價格也合適，到這邊很放鬆哦~
當然在二樓吼幾下就更放鬆囉~","I met a lot of friends here. The clerk's services were very good. The meal was delicious and the price was appropriate. It was relaxed here ~
Of course, it is even more relaxed on the second floor ~",False
樓上可以現場唱歌音樂很棒氛圍很優，每個人的power很有感覺，Vic Li很帥，Danny親和力很讚！,"Upstairs, you can sing on the spot and music. The atmosphere is great. Everyone's Power feels very good. Vic Li is handsome. Danny's affinity is great!",False
點歌點了兩個小時就是唱不到，隔壁瘋狂再唱，重點過了兩個小時還沒看到有在等待的歌單上，很不優,"After two hours of singing, you ca n’t sing. Singing again next door. After two hours, I haven’t seen a song list waiting for two hours.",False
"不予置評！
整體感覺上不是很好，點歌還會被唱走在別的酒吧還不會發生這種事，我還是第一次遇見不會再來第二次，第一次體驗就不是很好了","Don't comment!
The overall feeling is not very good. The singing will still be sung in other bars. This kind of thing will not happen. I will not come again for the first time. The first experience is not very good.",False
很放鬆的地方，可以唱歌每桌一次點兩首，酒飲、無酒精都有且蠻大杯CP值很高！且在西門町裡面開到早上很讚！適合三五好友去聊聊天小酌。,"A very relaxed place, you can sing two at each table, drinking, no alcohol, and a large cup CP value!And it is great in the morning in Ximending!Suitable for three or five friends to chat and drink.",False
"氣氛很棒 店員親切
酒也很好喝而且超大一杯 非常值得💯
很推薦來這裡👍","The atmosphere is great, the clerk is kind
Wine is also very delicious and a large glass is very worthy of 💯
Recommended here 👍",False
