Original,EN,Needs Review
有特色的酒吧，無論裝修和餐點都很有香港風味，非常有心思。超值得光顧的酒吧！吃過晚飯後去喝了杯凍檸茶雞尾酒，很大的一杯而且真的有檸檬茶的澀味和酒精感，很滿足！謝謝😊,"Special bars, both decoration and meals have Hong Kong flavors and are very thoughtful.Bar that is worth visiting!After dinner, I went to drink a cup of frozen lemon tea cocktails. A large glass and really have the astringent taste and alcohol of lemon tea, which is very satisfying!Thank you",False
香港人去到台灣就去返香港人嘅酒吧👍飲返晚！當晚食太飽所以無食嘢，下次應該會再去食！食完再留食評！,"Hong Kong people go back to Hong Kong people's bars when they go to Taiwan!I was too full that night so I didn't eat, I should go again next time!After eating, stay a review!",False
"港式的酒吧，氣氛跟燈光都感覺很舒適
店內的店員會用香港話對話，聽起來像是在看港片對話的感覺
檸檬雞翅入口皮就化掉，很好吃！
店員會依據你的口味推薦你適合的酒類，點的酒都剛好符合胃口！","Hong Kong -style bars, the atmosphere and lights feel very comfortable
The clerk in the store will talk in Hong Kong dialect, which sounds like watching a Hong Kong film dialogue.
The lemon chicken wings are cut off, which is delicious!
The clerk will recommend your suitable wine according to your taste, and the wine is just in line with appetite!",False
"蛋塔也可以搖身變成調酒？！
還有特色裝潢仿佛來到香港街頭一般
《獅鬥cdou bar》
港島冰茶 售價400元
居然能將香港最著名的港式凍檸茶搖身變成調酒！！這杯也是店內的招牌一定要喝喝看😍基底酒加入琴酒、蘭姆酒、伏特加及威士忌，再融入香港茶及檸檬汁，不只茶香濃郁還有檸檬到酸甜味酒感耶毫不馬虎
國產咸檸7 售價330元
加入醃製咸檸和7up再融入龍舌蘭及檸檬汁，不只有氣泡感還帶點微酸甜，入喉時更可以感受到濃郁的龍舌蘭味
忌廉溝鮮奶 售價350元
基底是伏特加加入奶油蘇打水、牛奶及甜瓜水，喝起來酒感不會太重又帶有香甜味，女孩們也可以輕鬆品嚐的調酒
倒轉地球 售價400元
整罐WAT檸檬雞尾酒倒插在上面會不會太浮誇！！同時融入伏特加、桂花醋、荔枝利口酒及檸檬汁，層次感相當的豐富
蝦多士 售價180元
咖哩魚蛋 售價70元
炸燒賣 售價90元
香菜燒賣 售價100元
鹹蛋黃燒賣 售價100元
生蠔 日本2L 售價180元
鹹食的部分賣的品項也相當的豐富！！燒賣很特別有香菜、鹹蛋黃及炸燒賣口味，咖哩魚蛋有濃厚的咖哩香氣，生蠔不只吃起來鮮甜軟嫩，也不會有刺鼻的腥味
一口蛋塔 2shot售價350元
楊枝甘露 3shot 售價350元
紅豆冰3shot 售價350元
小辣椒3shot 售價350元
shot也相當的有特色，香港人氣飲品楊枝甘露搖身變成shot，小辣椒辛辣帶勁一入口爆衝喉嚨，還有相當特別的一口蛋塔，鬆軟的餅皮中間是調酒
壽星pop
生日的朋友會送一杯港風Tequila pop，可以跟老闆對喝","Can the egg tower be shaken into bartender?Intersection
There are also characteristic decorations seem to come to the streets of Hong Kong
""Lion Fighting CDOU BAR""
Hong Kong Island Ice Tea is priced at 400 yuan
Actually, it can turn Hong Kong's most famous Hong Kong -style frozen lemon tea into bartending!IntersectionThis cup is also a signature in the store. You must drink and see the base wine to add piano wine, Rim, vodka and whiskey, and then integrate into Hong Kong tea and lemon juice.
Domestic salty lemon 7 sells for 330 yuan
Add the marinated salted lemon and 7UP and blends into the agave and lemon juice.
Short -cream ditch Fresh milk sells for 350 yuan
The base is vodka added creamy sulfur, milk and melon water. The wine will not feel too heavy and have a sweet taste. Girls can easily taste bartending
The price of the earth is 400 yuan
Will the whole pot lemon cocktail be too exaggerated on it?IntersectionAt the same time, it integrates vodka, osmanthus vinegar, lychee liquor and lemon juice, which is quite rich in layers
Shrimp Dabies sells for 180 yuan
Curry fish eggs are priced at 70 yuan
Burning selling price of 90 yuan
Coriander burning price is 100 yuan
Salted egg yolk is sold for 100 yuan
Oyster 2L priced at 180 yuan
The items for salty food are also quite rich!IntersectionThe sale is very special with coriander, salted egg yolk and frying. The curry fish eggs have a strong aroma of curry. The oysters are not only delicious and tender, but also the pungent smell.
One -bite of egg tower 2shot priced at 350 yuan
3SHOT priced at 350 yuan
Red Bean Ice 3SHOT sells for 350 yuan
Small chili 3SHOT priced at 350 yuan
SHOT is also quite distinctive. Hong Kong's popular drink Yang Zhi Ganlulu turns into Shot, the little pepper is spicy and strong, and the throat burst into the throat. There is a very special egg tower.
Shouxing POP
Friends on your birthday will send a cup of Hong Kong style Tequila Pop, you can drink with the boss",False
"已經四年沒有返去香港
記得以前回去探親都會同朋友去酒吧傾偈
在台灣總是想找回在HK的感覺
港式餐廳已找到 但酒吧一直找不到🫠
就在今日終於找到啦 真係好鍾意
以後一定常來
Ps燒賣好正斗","It's been four years old and back to Hong Kong
I remember going back to visit relatives used to go to the bar to talk to my friends
There is a total of Taiwan to find the feeling of HK
Hong Kong-style restaurants have been found but the bar has not been found 🫠
It's finally found today I really like it
In the future, it must be often coming
Ps Siu Mai is great",False
西門町有香港特色的小店酒吧！坐得舒服！有得打機！燒賣好好食,Ximending has a small shop bar in Hong Kong!Sit comfortably!Do you have to play!Boil and eat well,False
"有很多創新的調酒 但味道絕對不會令你失望
推薦裏面的shot 現場裝潢也十分漂亮有氣氛","There are many innovative bartending but the taste will never disappoint you
Recommended shot on -site decoration is also very beautiful and atmospheric",False
"西門町非常港風的酒吧
很多款港式特色調酒，酒感甜度都標示很清楚，調酒新手照自己酒量點
調酒酒感都很足

✅蛋撻調酒
很有趣的口感，蛋液有濃濃酒感，但是吃起來也是蛋撻味

✅魚蛋燒賣
必須搭配辣醬，魚蛋咖哩味道巨香

整體音樂裝潢都是港風，港的很到位
缺點就是位置稍微有點距離，在小巷裡，付款方式可以linepay","Ximending very Hong Kong wind bar
Many Hong Kong -style specialty bartending, the sweetness of the wine is clearly marked, and the novice bartender takes the alcohol of the alcohol.
The winemaking wine feels very full

✅ ✅ ✅ ✅
Very interesting taste, the egg liquid has a strong sense of wine, but it also tastes the egg tart

Bayfish egg burning
Must be paired with spicy sauce, fish egg curry flavor giant fragrance

The overall music decoration is Hong Kong style, and the Hong Kong is in place
The disadvantage is that the location is a bit distance. In the alley, the payment method can be lined",False
港式酒吧風格獨特，港島冰茶真的酒感很重，非常特別～～～,"The Hong Kong -style bar is unique in style. Hong Kong Island Ice Tea is really heavy, very special ~~~",False
"調酒好看又好喝，味道夠濃郁漿口，裝修跟餐單都很港式和別出心裁，港式霓虹燈真的美炸❤️❤️❤️，但我忘了打卡⋯下次一定要再去瘋狂拍照🤳

老闆跟老闆娘還有頗多客人都是香港人，我就在旁邊靜靜的聽他們粵語聊天💬🙈

（還有去洗手間然後馬桶掀開是國產零零漆的那個金槍人🚽，真的笑死，很用心呢，連細節位都不放過😂）","The bartending is beautiful and delicious, the taste is rich enough, the decoration and the menu are very Hong Kong style and ingenious. The Hong Kong -style neon light is really beautiful.

There are quite a lot of guests from the boss and the boss, and I am from Hong Kong. I quietly listen to them in Cantonese chat.

(Also go to the bathroom and then the toilet is opened by the golden gunman who is a domestic zero paint. It really laughed and was very careful.",False
