Original,EN,Needs Review
"一進去短髮服務員就叫你點黑板上一堆寫著英文字上的品名，問你這是用什麼調酒調配的，回覆我字面上的字，大傻眼🙄⋯⋯

台灣人去不會有好臉色，外國人去好禮相待，那你店還是標注只接待外國人好了！

長髮老外臉女把我桌上的空酒杯收走了，再附上結帳單收據，真的沒有禮貌！
接著被短髮女告知有點酒才有90分鐘的時間，我們還是有續點酒！😒😒

看了評論和星星才過去喝酒，果然評論與星星不準，我不會想再踏進去的店！
1🌟都不想給！😒😒🙄🙄","As soon as I enter the short -haired waiter, I will ask you to order a pile of names on the English words on the blackboard. Ask what bartending and deployment is, reply to my literal words, dumbfounded

Taiwanese will not have a good look. Foreigners will treat each other. Then your shop still label to receive only foreigners!

Long -haired foreigner face girls took away the empty wine glass on my table, and attached the receipt of the account, which was really polite!
Then I was informed by a short hair girl for 90 minutes. We still have some wine!Bleak

After watching the comments and the stars, I went to drink in the past. Sure enough, the comments and the stars were not allowed. I would not want to step in again!
1 🌟 I don't want to give it!Bleak",False
路過很多次，今晚進來了，氣氛很好喔,"Passing many times, I came in tonight, the atmosphere is very good",False
位於武昌街樂聲影院旁，店內精釀啤酒種類繁多，也有簡易調酒跟炸物等下酒菜，老闆親切，人員服務也很到位。店內空間不大，人多時稍顯擁擠吵雜。營業到晚上2點，是夜貓族的好去處！,"It is located next to the Lesheng Cinema in Wuchang Street. There are many types of craft beer in the store. There are also simple bartending and fried wines. The boss is kind and the personnel services are in place.The space in the store is not large, and the people are slightly crowded.Opening until 2 o'clock in the evening, it is a good place for the night cat family!",False
"短髮女店員專業度有待加強，一進門就要客人先點黑板的酒（然後黑板也沒更新完全？），但是其實裡面的冰箱有更多種類可以選擇
酒不錯喝CP值也不錯啦，但就是這樣","The professionalism of the short -haired female clerk needs to be strengthened. As soon as you enter the door
It's good to drink a CP value, but that's it",False
"♡♡♡♡
-
吧台都能精準按照每個人的喜好推薦適合的選項
-
5號飲品/台虎電音趴 473ml💰250
❤️冰箱內啤酒Apple Lambic beer 💰？
這瓶好好喝🥰
-
低消每人300","Bleak
-
The bar can be accurately recommended according to everyone's preferences
-
No. 5 Drink/Taiwan Tiger Electronic Music Lie 473ml💰250
❤️ Beer in the refrigerator Apple Lambic Beer 💰?
This bottle is easy to taste 好
-
Low eliminates 300 per person",False
這家酒肆西門真是絕佳的品酒勝地！這裡的酒類豐富多樣，能滿足不同口味的需求。更值得一提的是，酒肆內的人文氣息濃厚，讓人感受到濃烈的文化底蘊。無論是與好友聚會還是獨自品味，都能在這裡度過一段美好的時光。強烈推薦！,"This wine restaurant Ximen is really a great wine tasting!The alcohol here is rich and diverse, which can meet the needs of different flavors.What's more worth mentioning is that the humanistic atmosphere in the wine shop is strong, which makes people feel a strong cultural heritage.Whether it is a party with friends or taste alone, you can spend a good time here.Recommended strongly!",False
"溫馨的小店
店員很nice很主動
很貼心提醒9.9%要慢慢喝喔😂","Warm shop
The clerk is very nice and active
Very intimate reminder 9.9%to drink slowly 😂",False
精釀啤酒好喝，適合小酌一杯,"Cast beer is delicious, suitable for a drink",False
提供多種酒款，服務員親切魅力，啤酒相關知識相當足夠。店內音樂讓人放鬆，十點前還有買三送一的優惠。凌晨一點打烊，適合坐上一整天。,"Provide a variety of wines, the waiter is kind and charm, and the knowledge of beer is quite enough.The music in the store is relaxed, and there will be a discount for buying three get one before ten o'clock.Whenever you snooze at one morning, suitable for sitting all day.",False
"酒肆西門 初訪✨
店員竟然是大學生妹妹！英文流利超帥的！

酒
📍基本上都是啤酒🍻類，推冰茶！

有關於店
📍有室內區和戶外區，住西門的話這間蠻近的可以來！有一成服務費。","Wine restaurant's first visit 初 初 初 初 初
The clerk turned out to be a college student!Fluent in English!

liquor
啤 Basically, it is beer crickets, push ice tea!

Related to the store
There is an indoor area and outdoor area. If you live in Ximen, you can come here!There is a service fee.",False
