評論,評分,發布時間
氣氛很讚 很有風格 比較安靜 酒也很濃 perrrffect,5,5 個月前
"店員服務態度親切🥰 顏值高
調酒好喝👍👍👍",5,2 個月前
水煙超讚！氣氛佳，店員可愛帥氣，已收藏愛店🤍,5,2 個月前
奶茶漢堡都很好，服務與音樂也不錯👍🐱👍,5,3 個月前
"服務態度很差
然後酒很難喝",1,1 個月前
裝潢可愛，就是音樂太大聲啦~~,5,3 個月前
太喜歡11pm紫蘇調酒真的太棒了,5,6 個月前
這裡的氛圍非常棒~食物和酒每一口都是一種享受，完美地搭配了整個氛圍，水煙也是一大亮點，尤其下午也可以抽!,5,6 個月前
好喝 水煙很讚 地點很好 服務人員親切 整個信義商圈新景點,5,5 個月前
餐點美味,4,1 個月前
"氣氛很舒服
人不多
很適合悠閒的小酌聊天或是跟自己喝一杯",5,8 個月前
調酒不怎麼樣，像喝水，經濟型的小酒吧,2,6 個月前
創意路線的調酒,4,4 個月前
那酒真的喝過最難喝的,1,4 個月前
"有水準的水菸+好喝特調，推3AM
冷氣很強",5,8 個月前
"酒好喝
人比fs跟snm少
適合聊天 不適合蹦蹦跳跳",5,8 個月前
店員顏值好高！飲料好喝,5,6 個月前
"酒：⭐️⭐️⭐️⭐️⭐️
服務：⭐️⭐️⭐️⭐️⭐️
水菸：⭐️⭐️⭐️⭐️⭐️
怪物五星猛店",5,6 個月前
工作人員非常友好，水煙非常好，但是如果您想與某人進行適當的冷靜交談，這個地方就太吵了。,4,1 週前
戶外座位。 3 個戶外攤位販售酒類和演奏音樂。我選擇這個酒吧是因為它位於行的中間。在攤位點飲料。主要是雞尾酒攪拌機。只有一種啤酒是喜力啤酒。坐在或站在任何可以找到空間的地方。受歡迎的。星期六晚上很忙。年輕人群。我花了150元台幣買了一小杯啤酒。需要現金或刷卡,3,1 個月前
這家酒吧的氛圍很棒，還有很多清涼飲料可供嘗試！ 🍹✨,5,3 天前
很享受在這裡的時光。工作人員和經理非常友好和樂於助人。食物很棒。氣氛很愉快。音樂播放清單的氛圍非常好。也很高興見到了店主麥可。強烈推薦來台北時參觀這個地方！,5,3 個月前
不錯的酒吧，美味的雞尾酒,5,3 個月前
服務很棒！工作人員非常友好！喜歡 Koss Goodby 雞尾酒和 Eyes on you 雞尾酒。非常寒冷和放鬆,5,8 個月前
涼爽的地方,5,4 個月前
青春活力,5,8 個月前
,5,6 天前
,5,1 週前
,5,3 週前
,4,1 個月前
,5,3 個月前
,5,4 個月前
,1,4 個月前
,5,6 個月前
,4,6 個月前
,5,7 個月前
,5,8 個月前
,5,8 個月前
,5,8 個月前
