Original,EN,Needs Review
"氛圍很好的店家！！！
很適合約會、聚餐
桌位有酒bar高腳椅、沙發椅和一般桌椅

平日晚上用餐人數不多
餐點現點現做
花生牛肉堡巨好吃
喜歡花生醬的人一定要點
那花生醬濃郁與眾不同
漢堡🍔的分量不小
男生也一手無法掌握的那種
不習慣用刀叉的顧客可以使用店家提供的手套

加值附餐的雞翅、薯條很好吃","The shop with a good atmosphere!IntersectionIntersection
Very suitable for dating, dinner
The table has wine BAR high -foot chairs, sofa chairs and general tables and chairs

There are not many people on weekdays in the evening
Meal now and make it now
Peanut Beef Castle is so delicious
People who like peanut butter must order
That peanut butter is rich and different
The weight of the burger is not small
The kind that boys can't master one hand
Customers who are not used to using knives and forks can use gloves provided by the store

The chicken wings and fries with value attached meals are delicious",False
店內裝潢不錯，有音樂搭配很有氛圍，餐點還不錯吃，唯獨每日例湯（蘑菇湯）喝起來不太習慣（個人主觀口感）,"The interior of the store is good, music is very atmospheric, and the meal is not bad. Only daily soup (mushroom soup) is not used to drink (personal subjective taste)",False
北大最好的美式餐廳 前一個地方到現在兩年來餐點品質都維持不錯 甚至連這個小細節都真的用畫的,"Before the best American restaurant in Peking University, the quality of the meals in the past two years has remained good and even this small details are really painted.",False
"很漂亮的漢堡店～現在更像餐酒館♥️
座位寬敞舒適 漢堡超級好吃
整體氛圍音樂也很棒
有提供調酒類跟精釀啤酒🍻
三峽晚上想要聊天小酌首推！

🍔推薦
招牌牛肉堡 老佛蕈菇牛堡 夏威夷鳳梨牛堡
好運莎雞旺來寶

推薦🍺精釀啤酒
暗夜行者黑艾爾啤酒
百香艾爾啤酒

然後他們家的薯條很好吃！

以上點了都非常喜歡","Very beautiful burger shop ~ Now more like a dining tavern ♥ ️
The seat is spacious and comfortable burger is super delicious
The overall atmosphere music is also great
There are bartending and craft beer 🍻
Three Gorges want to chat and drink at night!

Recommendation
Signature Beef Castle Old Buddha Mushroom Mushroom Niubao Xiawei Cycles Pineapple Niubao
Good Luck Sashawo Want Bao

Recommended 🍺 Cast beer
Dark Night Pedestrian Black Aire Beer
Baixiang El Beer

Then their fries are delicious!

I like the above points very much",False
"好吃誒⋯用料實在⋯

剛看了一下 其他評論 ⋯

有點好奇去吃個漢堡 要怎麼去聞 排油煙機⋯

難不成排油煙機在正門口？？

亂評論的人也真多⋯一定又是閒雜人等

聞整排店家的排油煙機🙄🙄🙄 靈犬？？","It's delicious, the ingredients are really ...

I just took a look at other comments ...

I'm a bit curious about eating a burger, how to smell the range hood ...

Could it be that the range hood is at the entrance?Intersection

There are so many people who have commented on chaotic comments. They must be idle and miscellaneous people.

Smell the whole row of the hoods of the hood?Intersection",False
"有夠好吃！吃過最好吃的漢堡🍔
麵包感覺有煎過，中間脆脆旁邊軟軟，中間有漢堡肉和培根，一口下去的口感，先麵包軟脆、培根脆、漢堡肉口感都很扎實

環境就是餐酒館氛圍，但不會太擁擠，室內設計有很多巧思，感覺很舒服，適合放鬆聊天","It's delicious enough!Eat the best hamburger 吃
The bread feels fried, and the middle is crispy and soft next to the middle. There are burger meat and bacon in the middle. The taste of one bite is soft and crispy, the bacon crispy, and the hamburger meat.

The environment is the atmosphere of the dining tavern, but it will not be too crowded. There are many ingenuity in the interior design. It feels comfortable and suitable for relaxing chat.",False
氣氛不錯 服務態度佳(有加點一層肉 但沒給到 跟店家反應之後很快就補上了) 周末想喝點小酒的好去處,"The atmosphere is good, the service attitude is good (there is a layer of meat, but the reaction to the store will be added soon after it is reacted.",False
氣氛很讚，希望北大能夠繼續多這種用心經營的商家。,"The atmosphere is very good, I hope Peking University can continue to have more such merchants.",False
"2023.08 再訪，朋友覺得漢堡非常好吃、價格合理，但是炸雞so so。我個人只點美式經典漢堡，這次指定培根要煎脆，並另外加了花生碎粒，非常好吃👍

————-
牛肉厚度適中、Juicy 多汁，搭配美式烤肉醬非常好吃，培根煎得很香，個人偏好再脆一點，麵包也外酥內軟，非常完美。

好吃又價格合理的美式漢堡，必再訪！","2023.08 Visit again. Friends think the burger is very delicious and reasonable, but fried chicken so so.I personally only order the American classic burger. This time, the designated bacon must be fried, and the peanuts are fragmented, which is very delicious.

——————
The beef is moderate thick, juice is juicy, and the American barbecue sauce is very delicious. The bacon fried is very fragrant, the personal preference is more crispy, the bread is also crispy and soft, and it is perfect.

A delicious and reasonable American burger, you must visit again!",False
"北大附近少見的美式餐廳，整體來說店內裝潢氣氛都不錯，食物還算好吃，店內的生意還算不錯。

本日嘗試餐點：
1.老佛松露蕈菇牛堡
2.啵吧招牌牛肉堡
3.自製組合：巧克花生起司雞腿排黑金麥堡
肉和調味還不錯，麵包就普通","On the rare American restaurants near Peking University, the interior of the store is good atmosphere, the food is delicious, and the business in the store is pretty good.

Try meals this day:
1. Old Buddha truffle mushroom cattleburg
2. 牛 Bar signature beef castle
3. Homemade combination: chocolate peanuts cheese chicken leg row black gold wheat castle
The meat and seasoning are not bad, the bread is ordinary",False
"北大最好的美式漢堡+酒吧，晚上適合去喝一杯！
新地址的空間更寬敞舒適，沒油煙味，整面落地窗和室外的bar，新菜單還有tacos、各種調酒派對壺，完美🍻 …","Peking University's best American burger+bar, suitable for a drink at night!
The space of the new address is more spacious and comfortable, without the smell of oil fume, the entire floor -to -ceiling window and outdoor BAR, the new menu also has TACOS, various bartending party pots, perfect 🍻 ...",False
"三峽唯一可以稱作美式的食物
牛肉系列都不錯 不過培根不肥
有蘑菇的那個也好吃","Three Gorges can be called American food
The beef series is good, but the bacon is not fat
The one with mushrooms is delicious",False
組裝漢堡的人要非常清楚漢堡裡的內容物是要什麼，前面評論就有人提過要加強這點了，結果我這次去外帶自選堡，回家才發現有漏給食材，而且我還是給沒有漏給食材的錢，覺得蠻虧的，損失金額也拿不回來，如果說是因為太忙所以搞錯餐點內容的話就算了，但當時店內只有兩組客人，那兩組客人的餐都做完了，店員都在聊天，只要做我一個人的餐還能做錯….食物是好吃的，只是太貴又會損失錢，覺得不划算，希望能多改進這一點,"The person who assembled the burger must be very clear about what the content in the burger is. Some people mentioned that it would be strengthened. As a result, I went to take the self -selected castle this time. Give the money without omit ingredients, and feels quite lost, and the amount of loss cannot be taken back. If it is too busy, it is necessary to get the wrong meal content, but there were only two groups of guests in the store at that time. It's all done, the clerk is chatting, as long as I can make me a meal alone ... The food is delicious, but it is too expensive and will lose money.",False
"這是個意外的發現 本來要去林口 結果坐錯車跑到三峽 下車後日正當中  林蔭大道吸引我 先走走找地方坐坐 結果很幸運 找到這家 門面很有個性 進入前還整理一下心情 自覺當天進來讓我有點像是亂入 （  原本要去看電影的心情來著裝，結果卻是像跑來籃球場沒帽T沒球鞋的 ）沒想到一入內店裏大叔就很親切地招呼
大概他看出我這大媽亂入的心情 哈哈 我點了招牌牛肉堡 咬下去的那一口 眼淚流出來 一來是很久沒吃到紮實口感的漢堡 對我來說漢堡就是美國文化 我的年代是停留在80s雙聖西餐廳 這一口讓我想起那年代 二來就是它的洋蔥是非常新鮮的 因為我的眼睛遇到新鮮的洋蔥就流淚 店內漢堡炸物都是現做現榨的 雖然店面不大 用餐區跟廚房只隔一道牆 你會聽烤堡肉正在被料理的滋滋作響聲 但你在用餐卻不會被料理的油煙沾染氣味 這讓我很驚訝！最後就是音樂 謝天謝地 不是K-pop 雖沒有聽到80 音樂 但我很自在 很有美國文化的連結 很少寫下感動 不過意外的發現 我確定一定會再來 謝謝做出好吃漢堡 已是大媽年紀 是不吃炸物的 但我把薯條都吃完了 因為真的炸的好吃 好聽的音樂 謝謝
感恩：）","This was an unexpected discovery that I was going to Linkou and took the wrong car to run to the Three Gorges to get off the bus. The tree -lined avenue attracted me first to find a place to sit and find it. I was lucky to find this facade. I came in that day to make me feel a bit messy (I was going to go to the movie to dress up, but the result was like running the basketball court without a hat T, no sneakers).
Probably he saw the mood of my aunt's messy mood haha. I ordered the sip of the sip of the signs beef castle. The 80S Twin Saint West Restaurant reminds me of the second year that its onion is very fresh because my eyes meet the fresh onions. Only one wall with the kitchen you will listen to the sound of the barbecue flesh being cooked, but you will not be stained with the smell of the oil fume where you are dining but will not be stained by the oil fume, which surprises me!The last is that the music is not the K-Pop, although I did n’t hear 80 music, but I ’m very free to have American culture. I rarely write down. I’ m sure that I will come again. Thank you for making a delicious hamburger. I ate fried, but I finished eating fries because I really fried delicious and delicious music. Thank you
grateful:)",False
漢堡還不錯吃，炸物是比較一般，內用空調稍不足，餐點現點要等待,"The burger is not bad, and the fried object is relatively average. The air conditioner is slightly inside.",False
進門看見店員滿頭大汗，冷氣不涼，只是吃漢堡，沒有熱湯，我與朋友也吃的滿頭大汗😂😂餐點不錯，唯獨冷氣沒有冷，吃起來相當不適,"When I entered the door, I saw the clerk sweaty, and the air -conditioned was not cold. I just ate burgers and did not have hot soup. My friends and my friends also had a good sweaty meal.",False
"第一次叫外送～
招牌牛肉口味
第一眼覺得ㄟˊ？好像有點小
只有手掌大～
因為Uber eat照片看起來沒那麼小
好在肉是厚的，覺得蠻好吃的
喜歡漢堡的麵包🍔
如果可以再大一點會更好！👍🏻
招牌的比bbq口味好，bbq口味太鹹。","The first time we ordered takeaway ~
Signature beef flavor
At first glance I think ㄟˊ?It seems a bit small
Only the palm is large ~
Because Uber eats looks stamative
Good minus minusi, feels that the barbarism is delicious
Love burgers bread🍔
It would be better if it could be a little bigger!👍🏻
Signature is better than the taste of more than bbq, bbq tastes too salty.",False
食物好吃，氛圍很棒，店裡放的音樂很喜歡很放鬆，附一次性手套真的大推！很貼心，建議營運初期多詢問客人建議…比如我覺得炸雞有點過熟XD,"The food is delicious and the atmosphere is great. The music in the store likes it very much and relaxed. Attached to sexual gloves is really pushing!Very intimate, it is recommended to ask the guests' suggestions at the beginning of the operation ... For example, I think fried chicken is a bit too familiar XD",False
"昨天去吃的，老闆很客氣，整體的氛圍我很喜歡，尤其餐盤上也有印自己的品牌logo，整體性很高。

口味上也是不錯的，算是不會太膩也覺得不錯的口感。在三峽住了5年，真的很少這種美式漢堡速食店！超級難得！

有看了一些其他評論，自己以個人經驗來說，本來美式漢堡現烤現做等等，要等是很正常的事情，我也覺得沒有等太久，然後以價格來說算是蠻划算的，很開心三峽能有這種店，會常來的⸜(◍ ´꒳` ◍)⸝","I went to eat yesterday. The boss is very polite. I like the overall atmosphere. Especially on the dining plate, there is also a brand LOGO printed on the plate. The overallness is very high.

The taste is also good, it is not too greasy and feels good.I have lived in the Three Gorges for 5 years, and there are really few American burger fast food restaurants!Super rare!

I have read some other comments. In terms of personal experience, the American burger was ready to be grilled and made, etc. It is normal to wait for it. I also feel that I haven't waited too long. Very happy that the Three Gorges can have this kind of shop, which will often come (◍ ´꒳ `◍) ⸝",False
"隱身在小巷中的美味漢堡店！
內用環境舒適、乾淨
店員態度都很友善
重點！漢堡肉真的非常好吃！！
吃過一次就要上癮的好吃，真心推薦👍","The delicious hamburger shop in the alley!
The environment is comfortable and clean
The attitude of the clerk is very friendly
The point!Burger meat is really delicious!Intersection
I have to be addicted to delicious once, I really recommend 👍",False
"剛外帶一個，味道還不錯吃
有滿足到美式漢堡的癮

份量比我想像的小一點，但還夠吃
有機會應該還是會再光顧","Just take one, the taste is pretty good
There is addiction to American burgers

The portion is smaller than I think, but it is enough to eat
If you have a chance, you should still patronize again",False
