Original,EN,Needs Review
店內座位數蠻多的，還有提供不同需求的包廂，當天享用的餐點都好吃!兩個人吃也很足夠，牛肉吃起來都很軟嫩不會柴，精釀啤酒的選擇很多，店員介紹的也很詳盡。,"There are quite a lot of seats in the store, and there are boxes that provide different needs. The meals enjoyed that day are delicious! Two people are enough to eat. The beef is soft and tender. The introduction is also very detailed.",False
"餐點美味，CP值高
酒品選擇多，口味多樣
場地寬敞舒服，適合聚餐，還有大小不同的包廂
服務人員態度極佳
整體滿分，是值得再一來再來的用餐聚會場所","Meal delicious, high CP value
There are many choices of wine, and the taste is diverse
The venue is spacious and comfortable, suitable for dinner, and boxes of different sizes
The service staff attitude is excellent
The overall full score is worthwhile to come again",False
"上餐速度快，餐點真的超好吃👍

激推：牛肝菌雞肉卷燉飯、黑松露鮭魚燉飯、牛肉串。

用餐環境很棒，當天可惜沒喝到啤酒😅餐點價格偏高，但值得👍","The meal is fast, the meal is really delicious 👍

Poly push: stewed rice roll rice, black loose salmon stew, beef skewers.

The dining environment is great. It ’s a pity that the price of the meal at the beer of beer was high, but it is worthy of 👍",False
"家人共7大1小慶祝母親節，首先講優點，環境布置看得出有用心，氣氛營造得不錯，空間不大但堪用，餐點口味還算好吃，擺盤也滿精緻適合拍照打卡。
用餐過程中我們認為可以再加強的部分是，當天有一個六人套餐，我們想說看單子滿推薦的就點了，結果雖然我們的人數較多，但我們認為這即使是六人來吃，份量也是嚴重不足，可能主要是作為配酒的菜色，只是售價上有點太高不合乎餐點表現。我們還多點了4道飯/麵食分量才足夠。
另外一個問題是服務實在是需要加油，從頭到尾都是端菜過來而且，且點餐的菜單其實設計的滿複雜不容易看懂的(而且菜單跟套餐的單子上有一些菜色明明是一樣的，可是名字卻有些微差異，更造成閱讀上的困難)感覺服務上可以再多努力介紹，或是點餐的菜單優化。
最後另外一個小問題是，因為我們當天有小孩，所以可以到後面免費選一個玩具給小朋友玩，這點滿貼心的，但問題是其中有個玩具是有77個零件的小型樂高車，這東西對小朋友的難度實在有點高，而且組裝過程也容易掉零件影響到其他客人，店家可能要稍微再挑選比較適合的玩具。","A total of 7 small and 1 small celebration of Mother's Day in total. First of all, the advantages are spoken. The environmental layout can see the intention, the atmosphere is created well, the space is not large, but the taste is delicious. Essence
During the meal process, we think that there is a six -person package that can be strengthened that day. We want to say that the list of lists is recommended. As a result, although the number of us is more, we think that even if the six people come to eat. The weight is also serious. It may be mainly used as a dish for wine, but the price is a bit too high.We have ordered 4 more rice/pasta to get enough.
Another problem is that the service really needs to be refueling. From beginning to end, the dishes are all over, and the menu of ordering is actually designed to be complicated and not easy to understand. However, the name is slightly different, which makes it difficult to read.) I feel that the service can work hard to introduce more, or the menu optimization of ordering.
In the end, another small problem is that because we have children that day, we can choose a toy for children to play for free. This is full of intimate, but the problem is that there is a small Lego car with 77 parts. The difficulty of children is a bit high, and the assembly process is easy to drop parts affect other guests. The store may have to choose a more suitable toy.",False
帶著妻小，踏著夜色信步走來這邊吃晚餐或宵夜。除了老少咸宜的義大利麵以及各式冰沙蛋糕甜點外，還有滿櫃的特色精釀啤酒可以選擇外，捷克豬肉串超適合下酒，可惜只供應到某個時段。,"With his wife, walking here for dinner or supper.In addition to the Italian pasta of young and old, and various types of smoothie cake desserts, there are also special craft beer full of cabinets. Czech pork skewers are super suitable for wine, but unfortunately it is only available for a certain period.",False
餐點很好吃，點了鮭魚燉飯，青醬戰斧義大利麵，墨魚麵，香腸pizza，素菌菇麵和奶油口味義大利，每一道都好吃😋！適合全家大小來也適合約會，燈光裝潢美，氣氛好，服務好。 順道一提，獎勵不浪費食物的小孩，吃光送玩具！我家兩個小孩立刻吃到一口都不剩，很棒，順便幫我教孩子們！❤️用心經營，推薦～～,"The meal is delicious, ordered salmon stew, green sauce Tomahawk pasta, cuttlefish noodles, sausage pizza, vegetarian mushroom noodles and cream flavors of Italy, each of which is delicious!Suitable for the whole family to come to date, the lighting is beautiful, the atmosphere is good, and the service is good.By the way, reward children who do not waste food, eat light and send toys!The two children in my family immediately took a bite, and it was great. By the way, help me teach the children!❤️ Operation with your heart, recommend ~~",False
"和朋友練完車來到藍爵
幫好友補過生日也""餵""勞自己
這家店屬於餐酒館風格
可以一邊看球賽一邊吃大餐
餐點多是異國料理
酒品品項多依口感擺放
但我看外觀特別就挑哪瓶喝

酒水喝多就會想上廁所
藍爵的廁所空間多大 ?
大到有人敲門無法回敲的空間 🤣","After practicing with friends, come to Lan Jue
Help friends make up for your birthday and ""feed"" yourself
This shop belongs to the dining tavern style
You can eat big meals while watching the game
Most meals are exotic dishes
Putting more wines in wine
But I look at the appearance, which bottle is special to drink

If you drink a lot of drinks, you will want to go to the toilet
What is the space of Lan Jue's toilet?
It is too big to knock on the door that cannot be knocked back 🤣",False
"豬肉青醬義大利麵，烤過的豬肉好吃，松子味道的靑醬料義大利麵超級好吃
松露野菇雞肉燉飯也是味道非常好吃
凱撒沙拉非常新鮮可口，
這個不是業配，百分之百推薦超級好吃","Pork green sauce Italian noodles, grilled pork is delicious, pine nuts flavored sauce pasta is super delicious
Tulu wild mushroom chicken stewed rice is also very delicious
Caesar salad is very fresh and delicious,
This is not a karma, 100 % recommended is super delicious",False
朋友推薦來吃，燉飯很優秀！義大利麵好吃！烤餅辣味很剛好！,"Friends recommend to eat, stewed rice is excellent!The pasta is delicious!The spicy flavor of the barbecue is just right!",False
"覺得每道菜都很棒、很好吃、很用心。
只是一小咪咪貴，如果價格能再親民一點，一定會更常去的！","I feel that each dish is great, delicious, and attentive.
It's just a little Mimi expensive. If the price can be more close to the people, it will definitely go!",False
