店名,評分,評論數,地址,鏈接
異緗coffee bar | 三重酒吧/駐唱酒吧/音樂餐酒館,4.9 ,321,地址未找到,https://www.google.com/maps/place/%E7%95%B0%E7%B7%97coffee+bar+%7C+%E4%B8%89%E9%87%8D%E9%85%92%E5%90%A7%2F%E9%A7%90%E5%94%B1%E9%85%92%E5%90%A7%2F%E9%9F%B3%E6%A8%82%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a9b65f5c52bf:0xdf00ccb37c405fad!8m2!3d25.064415!4d121.497399!16s%2Fg%2F11s1y2xbwb!19sChIJv1JcX7apQjQRrV9AfLPMAN8?authuser=0&hl=zh-TW&rclk=1
Aurora Star Bar ｜極光之星,4.9 ,633,241新北市三重區集美街188號,https://www.google.com/maps/place/Aurora+Star+Bar+%EF%BD%9C%E6%A5%B5%E5%85%89%E4%B9%8B%E6%98%9F/data=!4m7!3m6!1s0x3442a97fa5f9cdfb:0xe32d579e89e637a4!8m2!3d25.0535562!4d121.4904723!16s%2Fg%2F11smrxvs92!19sChIJ-835pX-pQjQRpDfmiZ5XLeM?authuser=0&hl=zh-TW&rclk=1
LJ1991餐酒吧,4.7 ,806,241新北市三重區集美街188號,https://www.google.com/maps/place/LJ1991%E9%A4%90%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a953f306ffd7:0x3a5f7ee3635528b5!8m2!3d25.0535161!4d121.4905581!16s%2Fg%2F11fhr1fnss!19sChIJ1_8G81OpQjQRtShVY-N-Xzo?authuser=0&hl=zh-TW&rclk=1
510 音樂酒BAR/飛鏢酒吧/音樂小酒館/音樂餐廳｜台北美食料理餐廳｜台北餐酒館｜台北聚餐｜台北團體聚餐｜在地嚮導評論家【 五星好感度推薦品牌】,4.6 ,240,241新北市三重區仁愛街300號地下1樓,https://www.google.com/maps/place/510+%E9%9F%B3%E6%A8%82%E9%85%92BAR%2F%E9%A3%9B%E9%8F%A2%E9%85%92%E5%90%A7%2F%E9%9F%B3%E6%A8%82%E5%B0%8F%E9%85%92%E9%A4%A8%2F%E9%9F%B3%E6%A8%82%E9%A4%90%E5%BB%B3%EF%BD%9C%E5%8F%B0%E5%8C%97%E7%BE%8E%E9%A3%9F%E6%96%99%E7%90%86%E9%A4%90%E5%BB%B3%EF%BD%9C%E5%8F%B0%E5%8C%97%E9%A4%90%E9%85%92%E9%A4%A8%EF%BD%9C%E5%8F%B0%E5%8C%97%E8%81%9A%E9%A4%90%EF%BD%9C%E5%8F%B0%E5%8C%97%E5%9C%98%E9%AB%94%E8%81%9A%E9%A4%90%EF%BD%9C%E5%9C%A8%E5%9C%B0%E5%9A%AE%E5%B0%8E%E8%A9%95%E8%AB%96%E5%AE%B6%E3%80%90+%E4%BA%94%E6%98%9F%E5%A5%BD%E6%84%9F%E5%BA%A6%E6%8E%A8%E8%96%A6%E5%93%81%E7%89%8C%E3%80%91/data=!4m7!3m6!1s0x3442a8dece18115d:0x6e42f875d56fe1bb!8m2!3d25.0796045!4d121.4920077!16s%2Fg%2F11c60qr4l_!19sChIJXREYzt6oQjQRu-Fv1XX4Qm4?authuser=0&hl=zh-TW&rclk=1
1997壹玖酒柒Bar｜三重酒吧｜調酒｜暢飲,5.0 ,595,241新北市三重區中央北路15巷13號,https://www.google.com/maps/place/1997%E5%A3%B9%E7%8E%96%E9%85%92%E6%9F%92Bar%EF%BD%9C%E4%B8%89%E9%87%8D%E9%85%92%E5%90%A7%EF%BD%9C%E8%AA%BF%E9%85%92%EF%BD%9C%E6%9A%A2%E9%A3%B2/data=!4m7!3m6!1s0x3442a943a13a5049:0xbc10a927182a0bb!8m2!3d25.064369!4d121.5013555!16s%2Fg%2F11k3xkh75s!19sChIJSVA6oUOpQjQRu6CCcZIKwQs?authuser=0&hl=zh-TW&rclk=1
悠哉酒吧｜飛鏢 運動轉播 茶酒 暢飲 慶生 包場,5.0 ,103,241新北市三重區中正北路23號2樓,https://www.google.com/maps/place/%E6%82%A0%E5%93%89%E9%85%92%E5%90%A7%EF%BD%9C%E9%A3%9B%E9%8F%A2+%E9%81%8B%E5%8B%95%E8%BD%89%E6%92%AD+%E8%8C%B6%E9%85%92+%E6%9A%A2%E9%A3%B2+%E6%85%B6%E7%94%9F+%E5%8C%85%E5%A0%B4/data=!4m7!3m6!1s0x3442a90dc107710d:0xf9fc79c78f7bf606!8m2!3d25.0617682!4d121.492591!16s%2Fg%2F11vyrppgm8!19sChIJDXEHwQ2pQjQRBvZ7j8d5_Pk?authuser=0&hl=zh-TW&rclk=1
人生解答處 餐酒館 酒吧BAR 水煙 Adega,4.8 ,65,241新北市三重區正義北路326號4 樓,https://www.google.com/maps/place/%E4%BA%BA%E7%94%9F%E8%A7%A3%E7%AD%94%E8%99%95+%E9%A4%90%E9%85%92%E9%A4%A8+%E9%85%92%E5%90%A7BAR+%E6%B0%B4%E7%85%99+Adega/data=!4m7!3m6!1s0x3442a9b9b8b57f71:0x9ab94990f1441459!8m2!3d25.0704214!4d121.4947787!16s%2Fg%2F11s88yktl_!19sChIJcX-1uLmpQjQRWRRE8ZBJuZo?authuser=0&hl=zh-TW&rclk=1
Glad歌勒藝文,4.9 ,527,241新北市三重區中央北路89巷1號,https://www.google.com/maps/place/Glad%E6%AD%8C%E5%8B%92%E8%97%9D%E6%96%87/data=!4m7!3m6!1s0x3442a91a657c2b91:0xe791afdd3fc0e613!8m2!3d25.066894!4d121.5004038!16s%2Fg%2F11f62cr1_g!19sChIJkSt8ZRqpQjQRE-bAP92vkec?authuser=0&hl=zh-TW&rclk=1
AURA ｜三重酒吧 Cocktail Bar,5.0 ,13,241新北市三重區正義南路86巷19號1樓,https://www.google.com/maps/place/AURA+%EF%BD%9C%E4%B8%89%E9%87%8D%E9%85%92%E5%90%A7+Cocktail+Bar/data=!4m7!3m6!1s0x3442a9c38c881fb3:0xa40a04c99eb6cfbb!8m2!3d25.0577884!4d121.4998019!16s%2Fg%2F11w3ckvhrv!19sChIJsx-IjMOpQjQRu8-2nskECqQ?authuser=0&hl=zh-TW&rclk=1
食酒霸Bar,5.0 ,81,"96-8, No. 96之8號自強路二段三重區新北市241",https://www.google.com/maps/place/%E9%A3%9F%E9%85%92%E9%9C%B8Bar/data=!4m7!3m6!1s0x3442a9157b1702d3:0x12aca03bc77d3016!8m2!3d25.0709702!4d121.487433!16s%2Fg%2F11sby1y6qj!19sChIJ0wIXexWpQjQRFjB9xzugrBI?authuser=0&hl=zh-TW&rclk=1
