店名,評分,評論數,地址,鏈接
奈斯小酒館-土城熱門酒館|必去酒吧|特色酒吧|美食推薦|飛鏢酒吧|飛鏢美食餐廳|熱門酒館|必去酒吧,4.7,66,236新北市土城區金城路三段33巷28號,https://www.google.com/maps/place/%E5%A5%88%E6%96%AF%E5%B0%8F%E9%85%92%E9%A4%A8-%E5%9C%9F%E5%9F%8E%E7%86%B1%E9%96%80%E9%85%92%E9%A4%A8%7C%E5%BF%85%E5%8E%BB%E9%85%92%E5%90%A7%7C%E7%89%B9%E8%89%B2%E9%85%92%E5%90%A7%7C%E7%BE%8E%E9%A3%9F%E6%8E%A8%E8%96%A6%7C%E9%A3%9B%E9%8F%A2%E9%85%92%E5%90%A7%7C%E9%A3%9B%E9%8F%A2%E7%BE%8E%E9%A3%9F%E9%A4%90%E5%BB%B3%7C%E7%86%B1%E9%96%80%E9%85%92%E9%A4%A8%7C%E5%BF%85%E5%8E%BB%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3468033625463453:0x44b7ff75c280b8e!8m2!3d24.9876734!4d121.4649878!16s%2Fg%2F11s39y79xc!19sChIJUzRGJTYDaDQRjgsoXPd_SwQ?authuser=0&hl=zh-TW&rclk=1
老三中央,4.7,405,236新北市土城區中央路二段34號1樓,https://www.google.com/maps/place/%E8%80%81%E4%B8%89%E4%B8%AD%E5%A4%AE/data=!4m7!3m6!1s0x34681db49e2a88c5:0x84a821d1a4a37c9d!8m2!3d24.9799926!4d121.4426428!16s%2Fg%2F11h05bz2_w!19sChIJxYgqnrQdaDQRnXyjpNEhqIQ?authuser=0&hl=zh-TW&rclk=1
ALL-IN餐飲,4.4,56,236新北市土城區中央路一段247號,https://www.google.com/maps/place/ALL-IN%E9%A4%90%E9%A3%B2/data=!4m7!3m6!1s0x34681d583bc32abf:0x9336b5e831e82c3b!8m2!3d24.9858346!4d121.445449!16s%2Fg%2F11sjgl5rks!19sChIJvyrDO1gdaDQROyzoMei1NpM?authuser=0&hl=zh-TW&rclk=1
霧都wudu,5,563,236新北市土城區中央路一段76號,https://www.google.com/maps/place/%E9%9C%A7%E9%83%BDwudu/data=!4m7!3m6!1s0x34680395e8a0f275:0x9c010360487e5999!8m2!3d24.9894039!4d121.447191!16s%2Fg%2F11rk4ry77v!19sChIJdfKg6JUDaDQRmVl-SGADAZw?authuser=0&hl=zh-TW&rclk=1
ACE CAFE & BISTRO-美式酒吧|網紅推薦|酒館|特色調酒|新北土城|捷運海山站附近,4.5,81,236新北市土城區裕民路185巷4號,https://www.google.com/maps/place/ACE+CAFE+%26+BISTRO-%E7%BE%8E%E5%BC%8F%E9%85%92%E5%90%A7%7C%E7%B6%B2%E7%B4%85%E6%8E%A8%E8%96%A6%7C%E9%85%92%E9%A4%A8%7C%E7%89%B9%E8%89%B2%E8%AA%BF%E9%85%92%7C%E6%96%B0%E5%8C%97%E5%9C%9F%E5%9F%8E%7C%E6%8D%B7%E9%81%8B%E6%B5%B7%E5%B1%B1%E7%AB%99%E9%99%84%E8%BF%91/data=!4m7!3m6!1s0x3468032425ac11ff:0xe060e24a90fdd8c6!8m2!3d24.9844416!4d121.453738!16s%2Fg%2F11h081pwmg!19sChIJ_xGsJSQDaDQRxtj9kEriYOA?authuser=0&hl=zh-TW&rclk=1
米炭火燒肉小酒館（土城裕民店）第一名燒肉,4.8,839,236新北市土城區裕民路111號,https://www.google.com/maps/place/%E7%B1%B3%E7%82%AD%E7%81%AB%E7%87%92%E8%82%89%E5%B0%8F%E9%85%92%E9%A4%A8%EF%BC%88%E5%9C%9F%E5%9F%8E%E8%A3%95%E6%B0%91%E5%BA%97%EF%BC%89%E7%AC%AC%E4%B8%80%E5%90%8D%E7%87%92%E8%82%89/data=!4m7!3m6!1s0x3468031a6da56141:0x5526b0eadf8ac241!8m2!3d24.9868037!4d121.4511123!16s%2Fg%2F11v04w8p53!19sChIJQWGlbRoDaDQRQcKK3-qwJlU?authuser=0&hl=zh-TW&rclk=1
三千酒莊,4.5,47,236新北市土城區忠義路55巷13號,https://www.google.com/maps/place/%E4%B8%89%E5%8D%83%E9%85%92%E8%8E%8A/data=!4m7!3m6!1s0x34681cd5c12cfd09:0x135726c4ac404a5a!8m2!3d24.9687766!4d121.4411196!16s%2Fg%2F12m92qzdy!19sChIJCf0swdUcaDQRWkpArMQmVxM?authuser=0&hl=zh-TW&rclk=1
My Home cafe （巧森咖啡）,4.9,143,236新北市土城區金城路一段112-1號,https://www.google.com/maps/place/My+Home+cafe+%EF%BC%88%E5%B7%A7%E6%A3%AE%E5%92%96%E5%95%A1%EF%BC%89/data=!4m7!3m6!1s0x34681dc2f624ab33:0x76443bfc5bb53fb6!8m2!3d24.9750505!4d121.4464103!16s%2Fg%2F11rcmm1wkp!19sChIJM6sk9sIdaDQRtj-1W_w7RHY?authuser=0&hl=zh-TW&rclk=1
島嶼事務所 空間販售店。咖啡廳丨酒吧丨選物店丨攝影棚丨場地租借,4.9,77,236新北市土城區延和路88巷13弄1號,https://www.google.com/maps/place/%E5%B3%B6%E5%B6%BC%E4%BA%8B%E5%8B%99%E6%89%80+%E7%A9%BA%E9%96%93%E8%B2%A9%E5%94%AE%E5%BA%97%E3%80%82%E5%92%96%E5%95%A1%E5%BB%B3%E4%B8%A8%E9%85%92%E5%90%A7%E4%B8%A8%E9%81%B8%E7%89%A9%E5%BA%97%E4%B8%A8%E6%94%9D%E5%BD%B1%E6%A3%9A%E4%B8%A8%E5%A0%B4%E5%9C%B0%E7%A7%9F%E5%80%9F/data=!4m7!3m6!1s0x3468030f42df94d5:0x96ceb57bd0132f7b!8m2!3d24.9885485!4d121.467165!16s%2Fg%2F11vdcsg3bs!19sChIJ1ZTfQg8DaDQRey8T0Hu1zpY?authuser=0&hl=zh-TW&rclk=1
日向大眾酒場,4.8,"1,075",236新北市土城區金城路三段116巷11弄3號,https://www.google.com/maps/place/%E6%97%A5%E5%90%91%E5%A4%A7%E7%9C%BE%E9%85%92%E5%A0%B4/data=!4m7!3m6!1s0x3468038c88fdd09f:0x9fd531e068aead7d!8m2!3d24.9869063!4d121.4672947!16s%2Fg%2F11f8l2t9xt!19sChIJn9D9iIwDaDQRfa2uaOAx1Z8?authuser=0&hl=zh-TW&rclk=1
