Original,EN,Needs Review
適合晚間跟朋友小酌，或是吃宵夜的地方。炸物不油膩，好吃。炸物的個人餐點配啤酒大約180元而已。老闆十項全能飯、麵都會煮，還有賣內湖737豬血糕，而且還會陪你聊天打哈哈。雖然只有坐在路邊的吧台，但是氣氛很棒。吧台椅子為了防止往後倒，所以過度前傾不好坐而已。超愛這間。,"Suitable for a drink with friends in the evening, or a place to eat supper.The fried object is not greasy and delicious.The personal meals of the fried object are about 180 yuan with beer.The boss's ten all -around meals and noodles will be cooked, as well as selling 737 pig blood cakes in Neihu, and you will also chat with you.Although only the bar on the roadside, the atmosphere was great.In order to prevent falling backwards, the bar chair is not easy to sit forward.Love this.",False
"店面小小的是很溫馨，但因為偏向開放式的店面，很吃天氣
如果天氣不好(太冷太熱或下雨都不想坐在外面)
豬血糕真的很好吃!必點
其他餐點偏貴分量很少
老闆酷酷的但人其實不錯 沒有其他評論中看起來可怕
這次沒有吃到料理類的，不知道老闆廚藝怎麼樣
調酒的部分其實我覺得調的不錯，就是200元的飲料插上一跟我買20元早餐奶茶會看到的吸管，就感覺價值低了
因為200價位的調酒，去別的地方更能有氣氛的喝","The store is very warm, but because of the open store, it is very popular.
If the weather is not good (too cold and hot or rain, I don’t want to sit outside)
Pig blood cake is really delicious! Must order
Other meals are expensive and small
The boss is cool but people are actually good without other comments that look scary
I didn’t eat food this time, I don’t know how the boss's cooking skills are
In fact, I think the bartending part I think is good, that is, a 200 yuan drink plug it in a straw that I can see 20 yuan for breakfast milk tea, and I feel that the value is low.
Because the 200 -price bartend",False
"店家位於海山捷運站3號出口走路不用2分鐘
已經來吃過很多吃了 終於想起來要評價🤣

老闆人親切健談 餐點簡單但美味
整體很符合cp值

每次骰子牛必點😋 肉熟度適中配洋蔥
真的很下酒

點個燒酒在配啤酒 變燒啤👍
燒酒也不少口味～

豬血糕也很好吃 不吃香菜可以跟老闆說～
老闆會特製無香菜版本！！😭👍

長跑居酒屋來說 這間cp值滿高 雖然座位不多 以露天為主
但整體感覺下來會想再來下一次🤣","The store is located at No. 3 Haishan MRT Station and walks for 2 minutes.
I've been here to eat a lot, and finally remember to evaluate 🤣

The boss is simple but delicious
The overall is in line with the CP value

Every time the dice beef must order the meat maturity with moderate Chinese onion
Really wine

Order a shochu on beer to become beer 👍 👍 👍
Roasted wine also has a lot of flavors ~

Pig blood cake is also very delicious, so I can say to the boss ~
The boss will make a special coriander version!IntersectionBleak

For long -distance running, this CP value is full of high seats.
But the overall feel will want to come again next time 🤣",False
"餐點都很好吃😋
其中老闆特別推薦的雞軟骨我們點了兩次，
洋蔥也很好吃，調味剛剛好，不會膩👍
嗜辣者難得沒有要求加辣😆
老闆夫妻很親切，座位可能要再增加唷😁
很適合放鬆聚會或個人小酌😉
慢慢來～","The meals are delicious 很
The chicken cartilage specially recommended by the boss ordered twice,
The onion is also delicious, the seasoning is just right, it will not be greasy
It is rare to spicy spicy people without asking for spicy
The boss and the husband and wife are very kind, and the seat may be added.
Very suitable for relaxing party or personal drinking 😉
Slowly ~",False
1110518，福氣櫃的酒販角落，一家隱藏在貨櫃中的小店，真心推薦！經過好幾次終於勇敢給他走進去，老闆夫妻非常友善好相處，讓人覺得很放鬆。店內環境也非常舒適，讓人不想離開。除了氣氛好，東西更是實在！價格合理，品質也非常棒，讓人可以放心。如果你想在角落裡找到一家舒適又值得光顧的店家，這家店絕對不會讓你失望！,"1110518, the corner of the blessing cabinet, a small shop hidden in the container, is really recommended!After several times, he finally walked in bravely. The boss and his wife got along well, making people feel very relaxed.The environment in the store is also very comfortable, making people don't want to leave.In addition to the good atmosphere, things are even more real!The price is reasonable and the quality is also great, so that people can rest assured.If you want to find a comfortable and patronized shop in the corner, this shop will never disappoint you!",False
"加熱餐包醬料雞肉，搭配冷的罐頭玉米，佐以冷凍三色豆做為配菜，這樣一個90元的宮保雞丁飯
炒泡麵又鹹又油，配上雜碎菜絲跟紅蘿卜碎丁，沒有肉絲或肉類配料，分量就是一包麵，這一盤要70元，醉了","Heating meal sauce chicken, with cold canned corn, and frozen three -color beans as side dishes.
Frying instant noodles is salty and oily, with mixed vegetable shreds and fragmented carrots. There are no shredded pork or meat ingredients. The weight is a pack of noodles. This is 70 yuan.",False
食物超好吃😋貓咪超可愛🐱老闆人很好的一間轉角居酒屋，不大的店鋪配上好吃的串燒等等，很溫馨的一間店🧡感覺得出來老闆的用心，交通也很方便，從下午開到晚上，很適合朋友小聚跟情侶約會，很適合當晚餐喔💕💕,"The food is super delicious. 咪 Cat is a very cute 🐱 🐱 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 酒 食 酒 酒 酒 食 食 酒 酒 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 食 I feel my intention. Convenient, from the afternoon to the evening, it is very suitable for friends to meet with couples, very suitable for dinner 💕💕",False
"土城少有的深夜食堂，夜貓子的好去處
不管是
心情不好想喝兩杯
心情太好想找人說話
心情普通只想吃點東西

反正對土城無聊的夜生活增加了點樂趣","Tucheng rare late -night cafeteria, good place for night owls
No matter what
I feel bad and want to drink two glasses
I am so good to find someone to talk
I just want to eat something like ordinary mood

Anyway",False
老闆和老闆娘很用心，現場的年輕氣氛，溫暖的服務態度，淘醉的調酒，配上八戒的表哥~豬大郎米血糕，哈哈搞笑但又絕配美味好吃。。。一定要來坐坐，才不枉此生。,"The boss and the boss are very attentive. The young atmosphere at the scene, the warm service attitude, the drunken bartending, with the cousin of Bajie ~ Zhu Dalang rice cake, haha ​​funny but delicious and delicious.EssenceEssenceBe sure to sit and sit in this way.",False
來這裡快兩年，最喜歡他們的醬烤杏鮑菇和骰子牛👍老闆的每日特調每次總能帶給我驚喜，老闆娘做的燴飯、炸物、醬烤口味很到位！可以來捧場一下哦！,Come here for almost two years. The daily special daily special daily adjustment of their sauce grilled Pleurotus eryngii and dice cow boss can always surprise me.You can come to the show!,False
點的是調酒外帶！第一次嘗試！還不錯喝！老闆親切,The order is bartending take -off!Try for the first time!Not bad!Boss kind,False
"便宜實惠，氣氛超好～
老闆非常隨和近人。","Cheap and affordable, the atmosphere is super good ~
The boss is very easy -going.",False
"老闆招牌 烤絲瓜跟老闆娘炒高麗菜推👍👍
豬血糕也是人手一隻～～
東西真的cp值很高
對自己酒量有把握的話可以挑戰老闆的調酒
超讚","The boss's signature grilled loofah and the boss stir -fry the Gauli vegetables to push 👍👍
Pig blood cake is also a man's hand ~~
Things are really CP values ​​very high
If you are sure to drink your own alcohol, you can challenge the bartender of the boss
Pretty",False
炙燒鮭魚卷不錯吃，美食加美景加分！,"Roasted salmon rolls are good, food plus beautiful scenery!",False
老闆健談！！調酒好喝！！配點小菜剛剛好,Boss talk!IntersectionBlooming is delicious!IntersectionWith some small dishes just right,False
"極度不推薦的店家- 理由：等候時間太久&食物處理不佳。
下單雞米花，鹽烤四季豆，炸地瓜，鹽烤烤絲瓜&飲料。結果等了40幾分鐘都還沒通知取餐所以直接去詢問店員，結果被告知因為烤絲瓜要比較久。然後又等了10幾分鐘，還是沒有餐點。所以只好又去找店家，結果還是沒有。所以先生就直接站櫃檯旁等食物。又過10分鐘，終於給了絲瓜，要我們先拿走，但是其他的都還沒好。我們心裡OS: 不是說絲瓜烤比較久，所以要等。現在絲瓜好了，其他的沒有。真傻眼了。後來先生就直接站吧台等。真的是從日未落等到都日落天黑了。因為這裡都是戶外座位，天色已昏暗，也刮起冷風，實在很難受。後來又幾個10分鐘過去，終於餐點到齊。結果炸地瓜&雞米花完全軟軟濕溼水水的&也不是熱的了。蔬菜也都是大量味精調味口感，非常不推薦的店家。","Extremely not recommended stores-Reasons: Waiting for too long & food treatment is not good.
Portal chicken and rice flower, salt roasted four seasons, fried sweet potatoes, salt grilled grilled loofah & drinks.As a result, after waiting for 40 minutes, I didn't notify the meal, so I went directly to the clerk, but the result was told that it was a long time because of the grilled loofah.Then I waited for more than 10 minutes, there was still no meal.So I had to go to the store again, but there was no.So Mr. stands directly at the counter waiting for food.After another 10 minutes, I finally gave loofah. We asked us to take it away first, but the others were not good.OS in our hearts: It doesn't mean that loofah is grilled for a long time, so we have to wait.Now loofah is fine, no one else.It's dumbfounded.Later, Mr. said directly to the bar and waited.It's really dark from the sunset to the sunset.Because this is all outdoor seats, the sky is dim, and it is also cold, it is really uncomfortable.Later, a few more 10 minutes later, and finally meals.As a result, fried sweet potato & chicken rice flower is completely soft and wet and wet. It is not hot.Vegetables are also a lot of monosodium glutamate flavoring, and it is very not recommended.",False
喝生啤好去處,Drink raw beer,False
交通方便食物讚！老闆跟老闆娘人超棒！,Convenient food like food!The boss and the boss are great!,False
"菜色很多，但份量很少價錢也偏高
有時都會忘記有甚麼餐點，要提醒一下
味道也普通，只是吃氣氛的","There are a lot of dishes, but the amount is very small and the price is high
Sometimes I forget what meals, remind you
The taste is also ordinary, just eat the atmosphere",False
"東西好吃，酒好喝，老闆健談。
值得花錢的好地方。","The things are delicious, the wine is delicious, and the boss is talking about it.
It's a good place to spend money.",False
"這是一個很棒的秘密基地😂
要什麼有什麼😍 …","This is a great secret base 😂
What do you want ...",False
