Original,EN,Needs Review
"由於最近天氣外面太熱故用外帶的，
強烈推薦：大蛤、脆皮肥腸、鴨肉串、甜不辣
胡椒蝦雖然本身就屬於重口味餐點….但這個好像是重中之重了，不配個喝的不行","Since the weather is too hot recently, it has taken take -away,
Strongly recommended: big clams, crispy skin fat intestines, duck skewers, sweet and not spicy
Although the pepper shrimp itself is a heavy taste meal ... but this seems to be the most important, don’t do it without a drink.",False
"📝四人用餐
🍴蛤蜊湯、大蛤、烤無刺虱目魚肚、松阪豬、脆皮肥腸、原味牛小排、照燒鴨肉串、七里香、雞軟骨、飛魚卵香腸、烤豆皮、鱈魚甜不辣、和風洋蔥、茭白筍、竹筒飯、金門手工麵線

▫️必推大蛤，每顆都飽滿鮮味十足
▫️基本品項皆不踩雷，份量非常合理，有些品項生洋蔥鋪底，洋蔥給得超足，洋蔥愛好者會很愛！
▫️對於食材火候拿捏到位，上菜速度非常快。

▪️環境看起來雜亂，會讓人覺得有點不衛生，這一點非常需要進步，但東西真的好吃！
▪️有些客人直接抽菸，討厭菸味的可能要挑一下位子。
▪️廁所是建議的流動廁所改造，也是舊的讓人不敢恭維，有潔癖的三思。","📝 Four people dine
Clam soup, clam, grilled non -stingy milk fish belly, Matsusaka pigs, crispy skin fat intestines, original beef steaks, Zhaya duck skewers, Qili fragrant, chicken cartilage, flying fish egg sausage, grilled bean skin, cod is sweet and not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, not spicy, Wind onion, white bamboo shoots, bamboo tube rice, Golden Gate handmade noodles

每 ️ Push big clams, each one is full of umami flavor
皆️ Basic items do not step on the mine. The amount of portions is very reasonable. Some items are paved with the bottom of the raw onion. The onions are super sufficient. Onion enthusiasts will love it!
拿️ For the ingredients, the food is in place, and the food is very fast.

▪️ The environment looks messy and makes people feel a bit unhygienic. This requires progress very much, but things are really delicious!
▪️ Some guests smoke directly. Those who hate the smell of smoke may pick up the seat.
▪️ The toilet is a recommended mobile toilet transformation.",False
份量多，適合4人以上來吃，才能吃多樣點。,There are many portions. It is suitable for more than 4 people to eat diverse.,False
好吃又霸氣的燒烤，份量十足，食材新鮮，下班與朋友小酌很可以，週末與家人來個夜晚宵夜也很可以；印象最深刻的是牛小排搭配洋蔥絲非常解膩又開胃，如果想要CP值高，值得來嚐嚐。,"The delicious and domineering barbecue, full of weight, fresh ingredients, can drink with friends from work, it is also possible to have night night with family members on weekends; the most impressive is that the cattle's small row with green onion is very greasy and appetizing. If you want a high CP value, it is worth trying.",False
"很好吃！很喜歡！一定會回訪！
1.生蠔-份量不少，搭配芥末，非常涮嘴，吃得出來很新鮮，沒有腥味。
2.現烤大草蝦-蝦子很肥美，肉很Q彈，外殼撒很多鹽巴，不小心吃到會爆鹹，但只吃肉的話味道非常OK！
3.大蛤-端上桌時看到份量有嚇一跳，好多！同時吃得到鮮甜與來自大海的鹹味。
4.胡椒鳳螺-看網友推薦說必點，我第一次吃這種風味的料理，意外很喜歡，以後會想再點！
5.脆皮肥腸-超、級、喜、歡！愛肥腸的我給滿分💯！外皮酥酥恰恰的，裡面還是很濕潤，我不喜歡全部都很乾、也不喜歡全部都很濕的肥腸，這個非常滿意！
6.黑胡椒牛小排-驚人地軟嫩，雖然黑胡椒有點太多，搭配下面的生洋蔥，微微辛辣卻又幫解膩，沒有很愛生洋蔥的我覺得很可以！而且份量很多，我跟老公兩個人看到傻眼啦，早知道不點了，太多了吃不完啦！
7.醬燒豬肉串-這個也很好吃，醬燒的風味+肥肥的豬肉，吃起來很罪惡也很爽，一份有五串，對兩個人來說很多，放冷了之後會覺得有點鹹，所以要趁熱趕快吃掉。
8.七里香-跟鹹酥雞店炸得酥酥脆脆的口感不太一樣，還是吃得到濕潤的肥屁股，搭配店家的醬汁，一等美味！但吃到後面會很膩，因為太肥了🤣
9.手工麵線-本來以為像麻油麵線一樣做成乾麵線，但這裡是湯麵線，老公突然想吃麵線就點了，無功無過XD

總結，除了無功無過的麵線以外，其他餐點都非常滿意。搬來附近大概三個月，常常經過這家店看座無虛席就想說要找機會來吃，雖然環境不是一等乾淨，但老闆娘及店員們態度都很好，以及餐點實在太美味了，以後一定會回訪的。

不過，下次不要兩個人來吃了，找多一點朋友來，才可以點更多其他料理🤩","Very delicious!I like it very much!Will definitely return to visit!
1. Oyster-a lot of portion, with mustard, pouting, can be eaten very fresh, without fishy smell.
2. Jai Gao Shrimp-Shrimp is very fat, the meat is very q, and the shell is sprinkled with a lot of salt. If you accidentally eat it, it will burst salty, but the taste of meat is very OK!
3. Big clams-when I put on the table, I saw the weight and was frightened, a lot!At the same time, you can eat fresh sweetness and salty taste from the sea.
4. Pepper Phoenix Luo-See the recommendation of netizens must order. For the first time, I ate this flavor of dishes. I liked it unexpectedly. I would like to order it later!
5. Crispy fat intestines-super, grade, joy, joy!I love the fat intestines, I give a full score!The skin is crispy, and the inside is still very humid. I don't like all the fat intestines that are very dry and not like all wet intestines. This is very satisfied!
6. Black pepper beef steak-amazing soft and tender, although there are too many black pepper, with the raw onion below, slightly spicy but helped to relieve greasy, I don't think I love raw onion!And a lot of weight, I and my husband and I saw dumbfounded. I knew it would not be ordered.
7. Boiled pork skewers-This is also delicious, the flavor of the sauce+fat pork, it tastes very sinful and cool, there are five skewers, which are many for two people. It's a bit salty, so eat it as hot.
8. Qili Xiang-The crispy and crispy taste of the salty crispy chicken shop is not the same. It still eats wet fat butt, with the sauce of the store, and the first class!But it will be tired after eating, because it ’s too fat 🤣
9. Handmade noodles-I thought it was made into a dry noodle line like sesame oil noodles, but this is the soup noodle line, and my husband suddenly wanted to eat noodles.

In summary, except for no merit, other meals are very satisfied.I moved to nearby for about three months. I often want to find a chance to eat after seeing this shop. Although the environment is not first -class, the boss and clerk are very good. Will definitely return to visit.

However, don’t eat two people next time. If you find a little more friends, you can order more other dishes 🤩",False
沒冷氣 可是老闆娘都會安排在比較涼的位置怕熱的不適合前往喔！吳郭魚跟鴨肉串 胡椒鳳螺必點 保證吃過很難忘 超級厲害👍 …,"Without air -conditioning, the boss will arrange for the cool position to be afraid of heat and not suitable for going!Wu Guoyu and duck skewers pepper and phoenix snail must be unforgettable to be unforgettable ...",False
吳郭魚嫩又多汁可以吃原味，香魚滿滿的卵很滿足，胡椒蝦聽說是招牌的確很夠味，蝦子夠新鮮，烤肉串份量十足，建議約朋友搭小黃來配啤酒更盡興（喝酒不開車）,Wu Guoyu is tender and juicy to eat the original flavor. The fragrant eggs are full of eggs. Pepper shrimp heard that the signboard is really enough. The shrimp is fresh enough and the barbecue skewers are full. (Drink without driving),False
蚵仔超級新鮮的👍在雙北目前吃過最新鮮的😂蝦子很鮮甜，然後老闆娘很客氣人很可愛～ 竹筒飯跟翡翠螺有點普通，其他都超級好吃！,"Taipa's super fresh 双 is currently eating the freshest shrimp in Shuangbei, and then the boss is very polite.",False
每樣燒烤都很新鮮、好吃！非常推薦烤大腸、牛肉、羊肉！烤雞屁股更是一絕！,"Each kind of barbecue is fresh and delicious!It is very recommended to grilled large intestine, beef, lamb!Roasted chicken butt is even more absolutely!",False
餐點新鮮好吃，價格合理，環境稍差，三五好友相約不錯,"The meal is fresh and delicious, the price is reasonable, the environment is slightly worse, and the three or five friends are good at each other",False
