店名,評分,評論數,地址,鏈接
坪感覺,4.5 ,533,,https://www.google.com/maps/place/%E5%9D%AA%E6%84%9F%E8%A6%BA/data=!4m7!3m6!1s0x3467ff9c98f795a3:0xcebfc1f148a10d88!8m2!3d24.9361456!4d121.7119814!16s%2Fg%2F11fkdptlwl!19sChIJo5X3mJz_ZzQRiA2hSPHBv84?authuser=0&hl=zh-TW&rclk=1
Bar Trace軌跡,4.9 ,63,116台北市文山區興隆路四段85號,https://www.google.com/maps/place/Bar+Trace%E8%BB%8C%E8%B7%A1/data=!4m7!3m6!1s0x3442ab820fc1fe5f:0x3a28265fc2f094e6!8m2!3d24.9890493!4d121.5601994!16s%2Fg%2F11lcjf8czk!19sChIJX_7BD4KrQjQR5pTwwl8mKDo?authuser=0&hl=zh-TW&rclk=1
H&W Restaurant and Bar,4.3 ,578,231新北市新店區北新路三段65巷5號,https://www.google.com/maps/place/H%26W+Restaurant+and+Bar/data=!4m7!3m6!1s0x346801f9a20aca83:0x69d47fc49beeceb1!8m2!3d24.9809894!4d121.5412765!16s%2Fg%2F11bx55mmhr!19sChIJg8oKovkBaDQRsc7um8R_1Gk?authuser=0&hl=zh-TW&rclk=1
Loft 隱樓 Bar｜駐唱酒吧｜林口餐酒館,4.9 ,553,244新北市林口區仁愛路二段490-2號,https://www.google.com/maps/place/Loft+%E9%9A%B1%E6%A8%93+Bar%EF%BD%9C%E9%A7%90%E5%94%B1%E9%85%92%E5%90%A7%EF%BD%9C%E6%9E%97%E5%8F%A3%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a7d4c8a0b741:0x1ea9871ded1c17fb!8m2!3d25.0751009!4d121.3772962!16s%2Fg%2F11s758yxsj!19sChIJQbegyNSnQjQR-xcc7R2HqR4?authuser=0&hl=zh-TW&rclk=1
OriginBAR 初 ｜大安餐酒館 東區酒吧 法式小酒館 茶酒,4.9 ,"1,950",106台北市大安區忠孝東路四段216巷11弄20號,https://www.google.com/maps/place/OriginBAR+%E5%88%9D+%EF%BD%9C%E5%A4%A7%E5%AE%89%E9%A4%90%E9%85%92%E9%A4%A8+%E6%9D%B1%E5%8D%80%E9%85%92%E5%90%A7+%E6%B3%95%E5%BC%8F%E5%B0%8F%E9%85%92%E9%A4%A8+%E8%8C%B6%E9%85%92/data=!4m7!3m6!1s0x3442abaf6afb95f9:0x325a1b34b6f153a5!8m2!3d25.0406879!4d121.5539068!16s%2Fg%2F11mvgqgl7c!19sChIJ-ZX7aq-rQjQRpVPxtjQbWjI?authuser=0&hl=zh-TW&rclk=1
冒險者公會 The A.G's Bar,4.8 ,349,110台北市信義區逸仙路26巷1號,https://www.google.com/maps/place/%E5%86%92%E9%9A%AA%E8%80%85%E5%85%AC%E6%9C%83+The+A.G%27s+Bar/data=!4m7!3m6!1s0x3442abbfa0165231:0xc8bcbe5f299681c3!8m2!3d25.0395086!4d121.5616868!16s%2Fg%2F11t8gqt6lf!19sChIJMVIWoL-rQjQRw4GWKV--vMg?authuser=0&hl=zh-TW&rclk=1
Dobar 士林,4.9 ,122,111台北市士林區大東路15-21號1樓,https://www.google.com/maps/place/Dobar+%E5%A3%AB%E6%9E%97/data=!4m7!3m6!1s0x3442af77f4c4d2d1:0xf0351cbaed585460!8m2!3d25.08807!4d121.524589!16s%2Fg%2F11kpj9k85n!19sChIJ0dLE9HevQjQRYFRY7bocNfA?authuser=0&hl=zh-TW&rclk=1
藍鵲山菜料理,4.9 ,29,232新北市坪林區2號,https://www.google.com/maps/place/%E8%97%8D%E9%B5%B2%E5%B1%B1%E8%8F%9C%E6%96%99%E7%90%86/data=!4m7!3m6!1s0x3467ff8324834a11:0x2cef49a50158cfe7!8m2!3d24.8867172!4d121.6664215!16s%2Fg%2F11sfq7r79l!19sChIJEUqDJIP_ZzQR589YAaVJ7yw?authuser=0&hl=zh-TW&rclk=1
Bar Salix 煽 in RC,4.7 ,496,251新北市淡水區中正路233-2號3樓,https://www.google.com/maps/place/Bar+Salix+%E7%85%BD+in+RC/data=!4m7!3m6!1s0x3442a5a735957837:0xeb24344e313f309d!8m2!3d25.1731195!4d121.4356756!16s%2Fg%2F11hfhptq92!19sChIJN3iVNaelQjQRnTA_MU40JOs?authuser=0&hl=zh-TW&rclk=1
Bridge,4.7 ,374,104台北市中山區復興南路一段36之8號,https://www.google.com/maps/place/Bridge/data=!4m7!3m6!1s0x3442ab30abc2d2a7:0x46ad2bae365a99fb!8m2!3d25.0459658!4d121.543658!16s%2Fg%2F11smpr9988!19sChIJp9LCqzCrQjQR-5laNq4rrUY?authuser=0&hl=zh-TW&rclk=1
