店名,評分,評論數,地址,鏈接
Night&Night Lounge Bar ［經典調酒/生啤酒/流行音樂/餐點］,4.6 ,224,地址未找到,https://www.google.com/maps/place/Night%26Night+Lounge+Bar+%EF%BC%BB%E7%B6%93%E5%85%B8%E8%AA%BF%E9%85%92%2F%E7%94%9F%E5%95%A4%E9%85%92%2F%E6%B5%81%E8%A1%8C%E9%9F%B3%E6%A8%82%2F%E9%A4%90%E9%BB%9E%EF%BC%BD/data=!4m7!3m6!1s0x3442a862f316b61d:0x6bd198fbca49278d!8m2!3d25.0337069!4d121.4511902!16s%2Fg%2F1tgpkqr8!19sChIJHbYW82KoQjQRjSdJyvuY0Ws?authuser=0&hl=zh-TW&rclk=1
Liquor Lounge,4.7 ,180,242新北市新莊區復興路二段3號2樓,https://www.google.com/maps/place/Liquor+Lounge/data=!4m7!3m6!1s0x3442a87afe7e048d:0xc1294041a8de95b8!8m2!3d25.0439731!4d121.4534187!16s%2Fg%2F11b76v5kxd!19sChIJjQR-_nqoQjQRuJXeqEFAKcE?authuser=0&hl=zh-TW&rclk=1
THE FOUR,4.8 ,"2,206",242新北市新莊區福營路163號,https://www.google.com/maps/place/THE+FOUR/data=!4m7!3m6!1s0x3442a7994c361ba9:0x40019cf1d46b5d14!8m2!3d25.0313456!4d121.4320375!16s%2Fg%2F11fcbfrs75!19sChIJqRs2TJmnQjQRFF1r1PGcAUA?authuser=0&hl=zh-TW&rclk=1
Bar Swway,4.9 ,136,24249新北市新莊區和興街35-8號,https://www.google.com/maps/place/Bar+Swway/data=!4m7!3m6!1s0x3442a93be23a845d:0x7edac7a25ee37904!8m2!3d25.0398597!4d121.4469071!16s%2Fg%2F11j5jpkh93!19sChIJXYQ64jupQjQRBHnjXqLH2n4?authuser=0&hl=zh-TW&rclk=1
左轉靠右咖啡酒吧,4.5 ,442,242新北市新莊區福慧路6-1號,https://www.google.com/maps/place/%E5%B7%A6%E8%BD%89%E9%9D%A0%E5%8F%B3%E5%92%96%E5%95%A1%E9%85%92%E5%90%A7/data=!4m7!3m6!1s0x3442a97398a488c7:0x9eef9633f19bf0ff!8m2!3d25.0639322!4d121.4630314!16s%2Fg%2F11ghfm_9zj!19sChIJx4ikmHOpQjQR__Cb8TOW754?authuser=0&hl=zh-TW&rclk=1
The I-tipsy 愛微醺餐酒館,4.6 ,461,242新北市新莊區中正路879號,https://www.google.com/maps/place/The+I-tipsy+%E6%84%9B%E5%BE%AE%E9%86%BA%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m7!3m6!1s0x3442a78dc4526db5:0xffd5ad63fc61c365!8m2!3d25.0266835!4d121.4181702!16s%2Fg%2F1pzpvpt9s!19sChIJtW1SxI2nQjQRZcNh_GOt1f8?authuser=0&hl=zh-TW&rclk=1
Drunk House （餐酒館）餐廳酒吧推薦｜義大利麵｜三杯雞燉飯｜炸物拼盤｜打飛鏢｜餐酒｜飛鏢機｜聚餐｜｜調酒｜啤酒｜慶生派對｜工商聚會｜派對｜餐飲｜打卡｜飲料｜,5.0 ,"1,107",242新北市新莊區中正路612號,https://www.google.com/maps/place/Drunk+House+%EF%BC%88%E9%A4%90%E9%85%92%E9%A4%A8%EF%BC%89%E9%A4%90%E5%BB%B3%E9%85%92%E5%90%A7%E6%8E%A8%E8%96%A6%EF%BD%9C%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%EF%BD%9C%E4%B8%89%E6%9D%AF%E9%9B%9E%E7%87%89%E9%A3%AF%EF%BD%9C%E7%82%B8%E7%89%A9%E6%8B%BC%E7%9B%A4%EF%BD%9C%E6%89%93%E9%A3%9B%E9%8F%A2%EF%BD%9C%E9%A4%90%E9%85%92%EF%BD%9C%E9%A3%9B%E9%8F%A2%E6%A9%9F%EF%BD%9C%E8%81%9A%E9%A4%90%EF%BD%9C%EF%BD%9C%E8%AA%BF%E9%85%92%EF%BD%9C%E5%95%A4%E9%85%92%EF%BD%9C%E6%85%B6%E7%94%9F%E6%B4%BE%E5%B0%8D%EF%BD%9C%E5%B7%A5%E5%95%86%E8%81%9A%E6%9C%83%EF%BD%9C%E6%B4%BE%E5%B0%8D%EF%BD%9C%E9%A4%90%E9%A3%B2%EF%BD%9C%E6%89%93%E5%8D%A1%EF%BD%9C%E9%A3%B2%E6%96%99%EF%BD%9C/data=!4m7!3m6!1s0x3442a7f5d92a7d2b:0x3b53398f17c0760!8m2!3d25.03026!4d121.4264057!16s%2Fg%2F11t2vnktsr!19sChIJK30q2fWnQjQRYAd88ZgztQM?authuser=0&hl=zh-TW&rclk=1
安森,5.0 ,"1,956",242新北市新莊區中正路490號,https://www.google.com/maps/place/%E5%AE%89%E6%A3%AE/data=!4m7!3m6!1s0x3442a72485a40e2f:0x41774d22dab63a17!8m2!3d25.0330031!4d121.436208!16s%2Fg%2F11j57l7vrp!19sChIJLw6khSSnQjQRFzq22iJNd0E?authuser=0&hl=zh-TW&rclk=1
老地方236BAR,4.8 ,67,242新北市新莊區中正路643號1樓,https://www.google.com/maps/place/%E8%80%81%E5%9C%B0%E6%96%B9236BAR/data=!4m7!3m6!1s0x3442a764ac13a091:0xe881b2e7acae8f79!8m2!3d25.031196!4d121.430748!16s%2Fg%2F11gzppxmny!19sChIJkaATrGSnQjQReY-urOeygeg?authuser=0&hl=zh-TW&rclk=1
Unicorn Cafe & Bar,4.7 ,152,242新北市新莊區思源路482號,https://www.google.com/maps/place/Unicorn+Cafe+%26+Bar/data=!4m7!3m6!1s0x3442a9289a41e2a1:0x3580adff708770f7!8m2!3d25.0545473!4d121.4603563!16s%2Fg%2F11qpty0t0_!19sChIJoeJBmiipQjQR93CHcP-tgDU?authuser=0&hl=zh-TW&rclk=1
