Original,EN,Needs Review
第一次來本店消費 整體感覺不錯 氣氛很好 店員服務態度超棒 想放鬆心情的話會在回顧本店,"The first time I came to this shop to consume the overall consumption, I feel good, the atmosphere is very good, the staff service attitude is superb. If you want to relax your mood, you will look back at this shop.",False
"調酒好喝氣氛也不錯
但室內有點悶🤨","The atmosphere of bartender is also good
But the room is a bit stuffy",False
"第一次來這間酒吧，原本就抱持著不期不待的心情，裝潢感覺也不是特別吸引人那種（反而讓我覺得很像夜店風格）。
但我必須說，它的酒有讓我打消所有顧慮，酒吧特調幾乎每樣我們都點了，非常的好喝且有特色！雖然說品項不多，但如果是經典調酒他們也都能調，雖然我們沒有再多點，但如果想要喝好喝的酒可以過來喝！酒都蠻適合帶女生來也可以接受那種。
在喝酒的時候還會有服務生來陪玩一些酒類遊戲，雖然都心知肚明只是來讓我們喝更多酒的，但還是挺開心的！","The first time I came to this bar, I was originally holding an unexpected mood, and the decoration feeling was not particularly attractive (but it made me feel like a nightclub style).
But I have to say that its wine has made me dispel all my concerns. The bar is specially ordered almost every time we ordered. It is very delicious and distinctive!Although there are not many items, they can adjust them if they are classic bartender. Although we don't have more more, if we want to drink delicious wine, we can come and drink!Jiu is quite suitable for bringing girls to accept that kind.
When drinking, there will be waiters to play some wine games. Although they know that they just come to let us drink more wine, they are still very happy!",False
人員很好 酒也好喝 滿適合第一次喝酒的人來,The person is very good and the wine is delicious and full of people who are suitable for the first time to drink for the first time,False
招待毛豆很好吃🤣  調酒個人推野格炸彈跟威士忌可樂 微醺也不會太烈 不常喝調酒的人 可以試試看喔 …,It is delicious to entertain edamame.,False
酒很讚，好喝👍， 喜歡妹酒的人可以來！,"The wine is very good, it's delicious, those who like sister wine can come!",False
"1、吧台裡面 2位男服務很好，出餐跟點酒很負責很迅速，很有禮貌。

2、外場服務員小姐（陵陵的服務不錯，不會挑客人，會陪客人聊天玩遊戲，還有（芊芊）很會招呼客人跟陪客人玩遊戲，其他外場服務員小姐不予置評，看到人完全當作空氣，走過去不當一回事），一個人進來的話不建議，至少3~4個人來or多點人（7~8 人）來消費，外場服務員、服務會比較積極，吧台餐點跟調酒都還不錯，整體評價感，每個人感受不同，有的很好，有的很差，所以自己去消費感受吧！ 祝，貴店生意興隆！！","1. The two men's services in the bar are very good, and the meal and wine are very responsible and very polite.

2. Miss Waiting Worker (Lingling's service is good, he will not pick guests, will accompany the guests to chat and play games, and (芊) will say hello to the guests to play games with the guests. People are entirely regarded as air, and they are not going to be wrong). If a person comes in, it is not recommended. At least 3 to 4 people come to spend more people (7 ~ 8 people). Outside waiters and services will be more positive. Points and bartending are pretty good. The overall evaluation is different. Everyone feels different. Some of them are very good, some are very bad, so go to consume!Wish, your business business is booming!Intersection",False
喜歡這裡播的音樂～氣氛也很歡樂！,I like the music broadcast here ~ The atmosphere is also very happy!,False
今天生日，現場播了生日歌！！還一起唱生日歌，非常親切～氣氛很好～,"Today's birthday, a birthday song on the spot!IntersectionI also sing a birthday song together, very kind ~ The atmosphere is very good ~",False
服務好！氣氛佳！適合聚會小酌！！！！,Good service!Good atmosphere!Suitable for party drinking!IntersectionIntersectionIntersection,False
氣氛很不錯，店員很能聊，推一個,"The atmosphere is very good, the clerk can chat, push one",False
"超讚！店員很親切，打卡送shot🥰🥰🥰
奶酒很好喝，特調跟經典調酒都很讚，點了檸檬佐伯很喜歡！外場店員小小超級可愛☺️ …","It's amazing!The clerk is very kind, sending the card to send shot 很
The milk wine is delicious, and the special adjustment is very good to the classic bartending.Outside shop clerk Xiaoxiao super cute ☺️ ...",False
真的如評價五顆星，親自到場驗證過，貨真價實,"It's really like evaluating five stars, and I have been present to verify it in person.",False
滿舒服的店，很久沒喝到這麼扎扎實實的SHOT的，整杯個滿杯，不會像有的店SHOT杯下面1/3是玻璃,"A comfortable shop, I haven't drank such a solid shot for a long time, the whole cup is full of cups, and it will not look like some shop Shot Cup below 1/3 is glass.",False
氣氛好調酒也挺有特色,The atmosphere is also very distinctive,False
酒好喝，餐點好吃，重點是服務親切～,The wine is delicious and the meals are delicious. The focus is on the kindness of service ~,False
點了杯與故事為伍的人，喝完故事更多🥰,I ordered a cup with the story.,False
"店員超讚
奶酒很好喝❤️❤️","Superb clerk
Milk wine is delicious ❤️❤️",False
第一次來氣氛不錯,The atmosphere is good for the first time,False
"氣氛很好👍很讚
服務的店員（陵陵）身材好人又和藹可親😳
不太會喝酒也可以說出你的需求
會幫你推薦適合自己想喝的酒
真的好喝👍👍
推薦大家可以來試看看
推推推🔥🔥🔥","The atmosphere is very good 👍 great
The clerk (Lingling) served (Lingling) is a good person and amiable
If you don’t know how to drink, you can say your needs
I will help you recommend the wine that is suitable for you want to drink
Really delicious 👍👍
Recommend everyone to try to see
Push",False
店內氣氛很好，屬於一間不會讓客人無聊的酒吧,"The atmosphere in the store is very good, belonging to a bar that will not make guests boring",False
調酒很好喝❤️,It's delicious for bartending,False
氛圍感和服務態度讚讚❤️,A sense of atmosphere and service attitude praise ❤️,False
店員服務親切氣氛也很到位讚讚大推,"The clerk service is also in place, praise, praise",False
氣氛愉快，老闆跟闆娘親自接待，裝潢簡約但充滿空間設計感，酒種多樣調酒師特調好喝👍 …,"The atmosphere is happy, the boss and Ban Niang receive it in person, the decoration is simple but full of space design, and the wine species diverse bartender is special and delicious ...",False
第一次來 酒好喝,The first time is good for drinking,False
"柔柔人好，會帶氣氛！又漂亮！！！
晨晨人美，會聊天
整體氣氛不錯","Good people are good, they will have the atmosphere!Beautiful again!IntersectionIntersection
Chenchen is beautiful, can chat
The overall atmosphere is good",False
酒真的很好喝！完全沒什麼毛病！對待客人的態度也非常和善！👍 有機會跟朋友必須來這小酌一下！ …,The wine is really delicious!There is nothing wrong with it!The attitude towards guests is also very kind!来 If you have the opportunity to have a drink with your friends!Mowing,False
🍒妹妹 人可愛 會講話 長得又正 服務又好👍👍👍,"会 Sister sister is cute and talks, serving and serving. 👍👍👍",False
