Original,EN,Needs Review
"水煙好抽，調酒便宜而且蠻好喝，店員服務態度好，尤其是叫Vincent的那位小帥哥，在新莊算是裝潢比較特別的一間店。

巷子內比較難找，從514巷711走進來約一分鐘，開車不建議前往","The water cigarette is good, the bartender is cheap and delicious. The clerk's service attitude is good, especially the little handsome guy called Vincent. It is a shop with a special decoration in Xinzhuang.

It is difficult to find in the alley. It comes from Lane 514 711 for about a minute. It is not recommended to go to drive.",False
店員人很好又帥 酒跟水煙都很頂屌炸天了,The clerk is very good and handsome and the water smoke is very dazzling.,False
"這邊的調酒很妹很順
環境氣氛很舒服
新莊難得有好抽的水煙
（店員都超帥的～","The bartending here is very smooth
The environment atmosphere is very comfortable
Xinzhuang has a rare pumping smoke
(The clerk is super handsome ~",False
氣氛很好 酒好喝👍🏻雞柳條超級好吃,"The atmosphere is very good wine, delicious, chicken willow strip is super delicious",False
在輔大附近，交通算方便，調酒不錯！而且價格算便宜！只是塑膠杯可以換玻璃酒杯那感覺更好～,"Near the University of Fuda, the transportation is easy to calculate, and the bartender is good!And the price is cheap!It's just that the plastic cup can change the glass wine glass. It feels better ~",False
輔大這邊氣氛裝潢最新最現代的酒吧，調酒超好喝的，帶妹來喝不小心就喝醉了。,"The latest and most modern bars of the atmosphere of Fuda University are super delicious, and they are drunk if they are accidentally drunk.",False
"酒很好喝！最喜歡紫色派對！
很適合一群朋友來玩","The wine is delicious!Favorite purple party!
Very suitable for a group of friends to play",False
酒好喝 服務態度佳 氣氛好 讚👍🏿,Good wine service attitude is good atmosphere.,False
水煙好抽又便宜，服務態度好,"Water smoke is good and cheap, the service attitude is good",False
🔥氣氛很頂🔥,The atmosphere is very top 氛,False
水煙好抽,Water smoke is so smoking,False
水喔,Water,False
