Original,EN,Needs Review
"餐點好吃
酒也好喝
老闆人很好店內氣氛也不錯
店內還有投影幕可以看賽事！","Meal delicious
Wine is also delicious
The boss is very good in the shop's atmosphere is also good
There are also projection screens in the store to watch the event!",False
"雖然上網看評價都很好，但好吃的感覺並沒有比較深刻、價錢也比較貴一點點。

可能是更深刻的事情蓋過去ㄌ。當天跟以前總是堅持戀愛對象一定要符合自己所有條件的朋友吃飯，結果見面時就聽到他說正在跟已婚ㄉ人妻交往，還說了好多：他們已經分房睡一段時間、只是為了小孩所以還維繫著、我只是習慣有人陪我等等。想到也聽過很多朋友分享：他說快分手了、他說還是最喜歡我、只是因為像家人才會聯絡的。最後也都是不了了之。
全部聽起來都好像是很明顯的陷下去的樣子，覺得好辛苦，每一次的愛情都不知道最後是煙火還是炸彈，讓人打破原則，又不得不去接受🎆💣#為什麼最迷人ㄉ最危險～","Although it is very good to watch the evaluation on the Internet, the feeling of delicious food is not relatively profound, and the price is a little more expensive.

It may be that deeper things are covered.On the same day, I always insisted that the love target must meet all the conditions of their own conditions to eat. As a result, when I met, he heard him say that he was interacting with his married wife, and he also said a lot: they have been sleeping for a while, just for children So I still maintain, I just get used to someone with me, etc.I thought of many friends to share: He said that he broke up quickly, he said he still likes me the most, just because family members can contact.In the end, it was gone.
All sounds like it is obvious. I feel so hard. I do n’t know if it is a firework or a bomb every time. ~",False
還不錯喔，但希望份量可以再多一些,"It's not bad, but I hope that the portion can be more",False
"燉飯好吃，但有點偏鹹（個人口感）
紅茶不苦澀，也有點偏甜，但不至於膩口，我們另外點了明太子山藥、唐揚雞都不錯，
可能我比較沒有去餐酒館的習慣，他們竟然有投影幕！！看著NBA，很適合聚餐或是小酌談談公事，很推薦超讚❤️","The stew is delicious, but a bit salty (personal taste)
Black tea is not bitter and a bit sweet, but it is not greasy. We also ordered the Prince Ming Prince Yam and Tang Yang chicken.
Maybe I don't have the habit of going to the dining tavern, they actually have a project screen!IntersectionLooking at the NBA, it is very suitable for dinner or discussing business affairs. It is recommended to be superb ❤️",False
"餐點美味又便宜！
今天跟朋友在這邊慶生非常開心🥰
老闆還一起唱生日快樂歌！整間店幾乎都一起唱😆相當歡樂👍🤩
很棒、很適合親朋好友相聚，放鬆聊天的好去處！
推推～～🤩","Delivery and cheap meals!
Today, I have a friend with my friends here very happy 🥰
The boss also sing a happy birthday song together!Almost all the stores sing together 😆 quite happy 👍🤩
Very great, very suitable for relatives and friends to gather, relax and chat!
Push ~~ ～",False
"二訪這間店
吃過燉飯，一直懷念他的味道！
粒粒的米飯，吸滿湯汁，真的很好吃，且份量也算多👍
餐廳的氣氛很棒，很適合下班後跟同事或朋友，聚餐談天的地方！","Second visit this store
After eating stewed rice, I always miss his taste!
The grain of rice, sucking the soup, is really delicious, and the portion is too much.
The atmosphere of the restaurant is great, it is very suitable for the place where you have a meal with colleagues or friends after get off work!",False
東西很好吃服務態度很好，上菜的速度很快，店內的整體氛圍也很好，酒類也很多元是一間我會想要推薦朋友來的店。,"The things are very delicious, the service attitude is very good, the food is fast, the overall atmosphere in the store is also very good, and the wine is also a shop where I want to recommend friends.",False
補評論，前兩週店家提供英雄聯盟世界賽線下觀賽地點，對這種體驗感到新奇，也內用三份餐點和一杯飲料，很好吃，推薦來嚐鮮,"Make up the comment, the store provided the Lord of the League of Legends World Competition in the first two weeks, and was novel about this experience. It also used three meals and a drink. It was delicious. It is recommended to try something new.",False
"新莊最佳餐酒館

20241113
薯條有夠好吃
通常我不愛吃薯條
但是這裡的我真心大推
雞翅入味好吃
趁熱吃根本停不下來
我已經先吃一支了才想起來要拍照~

非常舒服的地方，最棒的放鬆地點","Xinzhuang Best Restaurant

20241113
French fries are delicious enough
Usually I don't like to eat fries
But here I really push a lot
Chicken wings are delicious
Can't stop while eating hot
I had already eaten one first before I remembered to take a picture ~

Very comfortable place, the best relaxation place",False
能放鬆心情的小餐酒館👍👍👍餐點好吃,Small meals that can relax your mood are delicious,False
"二訪～
依舊驚艷🥳
這次體驗嫩煎干貝燉飯與鮭魚炒飯佐鮭魚卵
鮮味可口 份量也足👍
這次點唐揚雞也好吃😋

—————————————🌟
餐廳氣氛很棒
店員服務親切
餐點好吃 價格算親民
CP值頗高的一間店
第一次體驗很不錯👍
有意願再訪☺

大推#香煎牛五花燉飯😋","Second visit ~
Still amazing
This time experience the tender fried scripts stewed rice and salmon fried rice, salmon eggs
Evergreen and delicious portion are also sufficient
This time Tang Yang chicken is delicious 这

——————————— 🌟 🌟
The restaurant atmosphere is great
Carey service
The food is delicious and the price is considered to be close to the people
A store with a high CP value
The first experience is very good 验
Visit again

Big push#大 大 大 大 大 大 😋 😋",False
環境非常好，悠閒的氣氛適合三五好友一起來小聚，食物部分也很用心實在，非常推薦新莊朋友要來試試，不是新莊的朋友有空也要來,The environment is very good. The leisurely atmosphere is suitable for three or five friends to gather together. The food part is also very dedicated. I very much recommend that Xinzhuang friends come to try.,False
