Original,EN,Needs Review
這家店氣氛真的不錯！餐點也很好吃，店員也都很nice !尤其是頭髮偏長的店員態度100分！！！真的超愛他下次希望還能遇到他(づ￣ ³￣)づ,"The atmosphere of this shop is really good!The meal is also very delicious, and the clerk is also very nice! Especially the clerk with a long hair attitude is 100 points!IntersectionIntersectionI really love him next time I hope to meet him (づ￣ ³￣) づ",False
"可以擼貓，唱歌，打鏢。
暢飲911很划算。很多種套餐組合。
壽星還送shot👍","You can slap cats, sing, and dart.
Chang drinking 911 is very cost -effective.Many package combinations.
Shouxing also gives shot 还",False
"12/16這天因為我老公說要球隊聚餐，就也沒想這麼多甚至約18:30，然後因為路上有點塞車，我們到的時候也差不多快要七點了!!!當時進去微醺其實是帶著有點抱歉的心情，也不太敢看其他球員，哈哈因為我們遲到~後來就坐下跟朋友一起聊天的同時，我有個朋友是一位媽媽 平時不太喜歡麻煩別人，他就請我陪她一起去車上拿小孩的褲子，因為小孩子的褲子尿濕了~我原本想說我才剛到怎麼可以這麼快又要出門而且停車場離超遠，我還先拒絕~這位媽媽又問我另個朋友，也被拒絕~我就想說好啦~我就陪她去一下好了~我們拿完褲子之後要回去~回到微醺的時候我有發現異樣就外面的不認識散客在看我哈哈 後來發現奇怪窗簾怎麼拉下來了~~~結果一進門大家都站了兩排，拿著氣球 撒著花瓣 還有拿著gopro在拍照都有!然後就看著我跟林祖傑在一起15年點點滴滴的回顧影片，心裡想著有點可怕!!!大家可能都快忘了林祖傑瘦的時候是長甚麼樣子~後來林祖傑就拿著麥克風出來真情告白了一下，因為我跟他說過我不喜歡鑽戒，本身就不太愛戴戒指的~然後他沒送我戒指，送我iphone13!!整個尖叫了一下!!!哈哈 這比看到戒指還開心~謝謝微醺為我們準備的料理以及非常有氣氛的環境!!我家人也有從桃園一起下來台南~他們也說那裏的環境非常的美也很舒服~重點在那天還無意間拍到了流星~

微醺有提供影片播放、麥克風設備、蠻適合溫馨的小求婚場地，外面也有美麗的風景~氣氛真的很不錯!!!適合想要精緻又低調的小求婚啦~而且不用去想設備要怎麼租借等等…。

只是美中不足的地方是供餐的量不太足~我家人也吃不太飽~我自己也是!出餐速度也是有段時間!!!但是提供的自製酒~很好喝!家人還打包回去桃園~","12/16 This day, because my husband said that he wanted the team to dinner, I didn't think so much or even about 18:30, and then because there was a traffic jam on the road, it was almost seven o'clock when we arrived! I have a sorry mood, and I don't dare to watch other players. Haha because we are late ~ Later, I sat down and chatted with my friends. I have a friend who is a mother who usually doesn't like to bother others. He invites me to ask me. Go to the car with her to get the child's pants, because the children’s pants are wet ~ I originally wanted to say how I just got out of the house and the parking lot was far away. I also rejected it. Ask me another friend, and I was rejected ~ I just want to say it ~ I will accompany her ~ After we take the pants, we have to go back ~ When I return to Weixi The guest was watching me, and then I found out how strange curtains were pulled down ~~~ As a result, everyone stood two rows when they entered the door, sprinkled the petals with a balloon, and took GOPRO to take pictures! Then I watched me and Lin Zujie are in Let's look back at the film for 15 years together, thinking a little terrible !!! Everyone may almost forget what Lin Zujie looks like when it is thin ~ Later After I don't like the diamond ring, I don't like to wear a ring in myself ~ Then he didn't send me the ring, I sent me iPhone13 !! The whole scream! Haha, this is more happy than seeing the ring ~ Thank you Weili for preparing for us The cuisine and very atmospheric environment !! My family also came down from Taoyuan to Tainan ~ They also said that the environment there was very beautiful and comfortable ~ The focus was on the meteor in accident ~

Weili has a video playback, microphone equipment, and it is quite suitable for a warm small proposal venue. There are also beautiful scenery outside ~ The atmosphere is really good !!! It is suitable for a small proposal that wants to be exquisite and low -key. Rent and wait ...

It ’s just that there are not enough meals in the United States and China ~ My family is not enough to eat ~ I am also! The speed of meals is also for a while !!! But the self -made wine provided ~ very delicious! The family also packed it back to Taoyuan to go back to Taoyuan. ~",False
"IG:xun.g_foodie

新莊就可以體驗到水煙耶！
一壺水煙大概可以抽2個小時以上！
大家一起炫技🤣

當月壽星還有『 #幾歲送幾shot 』
不用當日 如果帶爸媽來超賺的啦

這家酒吧他有2層樓
2樓有超大投影幕
很適合社團迎新、慶功、聚會
聽說之後還有駐唱歌手來店駐場哦😆
-
💨特製水煙💰900

🍻有酒精
#玫瑰草苺奶酒💰300
#Tiki 杯特調💰350
#lambor調酒師特調💰350
#蜜瓜樂園1500 cc💰1500

🥂無酒精
#夢幻星空💰180
#莫西多💰180

🍢餐點
#大七海鮮炸物拼盤💰680
#燒烤串燒拼盤💰680

CP 值：7.0/10
美味：7.0/10
回訪：7.5/10","IG: xun.g_foodie

Xinzhuang can experience water smoke!
A pot of water smoke can be smoked for more than 2 hours!
Everyone dazzled together 技

In the month, Shouxing also had "" #当 当 当 当 当""
No need to bring your parents to make a lot of money on the same day

He has 2 floors in this bar
There are oversized sliding screens on the 2nd floor
Very suitable for the community to welcome the new, celebrate, and gather
After I heard that there are still singers who came to the shop in the shop.
-
💰 Special water -making cigarette 💨 900

🍻 精
#💰 300
#Tiki Cup Special 💰350
#lambor bartender special 💰350
#1500 CC💰1500

🥂 精 精
#0180
#0 0180

Meal
#💰 680
#💰 680

CP value: 7.0/10
Delicious: 7.0/10
Back to visit: 7.5/10",False
"氣氛很好 壽星生日幾歲就送幾杯調酒shot
很好喝","The atmosphere is very good. Shouxing is a few cups of bartending shot in the birthday
Delicious",False
"服務態度不錯
調酒也可以接受
但炸物跟拼盤
太乾
薯條🤔我到底吃了什麼
還是麥當勞薯條🍟好吃
拼盤部分太老太乾
吃起來像橡皮筋
我住這邊一陣子
都是路過
帶朋友來
抱持著忐忑的心情來嘗試
朋友給我的回饋是這樣
我自己感覺也是這樣","The service attitude is good
Can also be accepted
But fried objects and platter
Too dry
What did I eat?
Still McDonald's French fries 吃 delicious
The platter part is too old -fashioned
It tastes like rubber band
I live here for a while
It's all passing by
Bring a friend
Try it with a sorrowful mood
This is the feedback given by my friend
I feel like this myself",False
"店面位於南新莊主要幹道之一的路旁
就算大樓林立
人來人往穿梭 在中正路口
也能因特殊裝潢的風格
以及搭配許多燈泡的裝飾
而醒目的發現這間餐酒館

多元化的熟食選擇
以及各式多樣化的酒水
並提供許多助興的娛樂商品

適合下班休閒放鬆
或年輕人聚會聊天的場所
更適合閨蜜談心 分手失戀的人朝聖

不算精美的裝潢
但卻能有呈現自己獨特的風貌
搭配投影機 投影時事節目

餐點熟食
整體口味偏鹹 偏重
有可能是為了
搭配這裡消費族群喝酒習性而所設定

酒精水類喝起來為中等
並沒有自己特色的口味
但也不失於酒吧調出的味道

但如果單純用餐的消費者
可以建議口味稍為提點不要太重","The store is located on the roadside one of the main roads of Nanxinzhuang
Even if the building stands up
People come and travel at the intersection of Zhongzheng
It can also be based on the style of special decoration
And decoration with many bulbs
And eye -catching discovery of this restaurant

Diverse cooked food selection
And a variety of diverse drinks
And provide many entertainment products

Suitable for leisure relaxation from get off work
Or a place where young people meet and chat
More suitable for girlfriends to talk about breaking up and falling in love with pilgrimage

Not exquisite decoration
But there is a unique style of showing your own
With projector projection current affairs show

Cooked food
The overall taste is salty and severe
Might be for
Set with the consumer group drinking habits here

Alcohol water is drinking medium
There is no taste of its own characteristics
But it is not lost in the taste of the bar transferred

But if consumers who simply dine
It can be recommended that the taste is a little bit.",False
炸物真的不好吃耶！一星是給員工 人很好笑 但就不好吃！,Fried objects are really not delicious!Yixing is funny but not delicious for employees!,False
對住在新北來說，不必跑到北市，蠻方便，下班小酌，很方便！氣氛還不錯！食物普通，但是聊天暢飲都蠻優,"For living in New Taipei, you don't have to run to North City. It is quite convenient. It is very convenient to drink off work!The atmosphere is not bad!The food is ordinary, but the chat is pretty good",False
調酒好喝，就是酒有點淡，店員不太清楚店內價格，披薩雖然是薄皮披薩，但意外的好吃，店裡有在抽水煙，燒炭的味道有點臭,"The wine tuning is delicious, but the wine is a bit light. The clerk does not know the price in the store. Although the pizza is a thin skin pizza, it is unexpectedly delicious.",False
調酒跟炸物都蠻好吃的 讚,Both bartending and frying are pretty delicious praise,False
"氣氛環境不錯 暢飲2小時啤酒（百威）喝到飽
或再加100還有調酒暢飲
炸物也不錯吃😋
服務好 帥😁 …","The atmosphere is good to drink for 2 hours for beer (Budweiser) to drink enough
Or add 100 and drink and drink and drink
Fried objects are also good 不 不 不 不 不 不 不 不
The service is so handsome ...",False
酒類好喝 可以唱歌 店員也很好聊,It's good to sing well in the wine.,False
調酒好喝，燈光美氣氛佳,"Blooming is delicious, the lights are beautiful atmosphere",False
"粉酒是酒單上有的奶酒
藍酒是我拿評論裡的照片詢（為）問（難）店員店員被問到昏倒後老闆幫我客製的特調(˶‾᷄ ⁻̫ ‾᷅˵)💞
不知道喝什麼酒就多問問吧！
還有薯條很好吃💗","Fan wine is a milk wine on the wine list
Blue wine is the photo inquiry in the comments (for) asking (difficult) the clerk when the clerk was asked after the fainting boss helped me customize the special (˶‾᷄ ⁻̫ ‾᷅˵) 💞
If you don't know what wine to drink, please ask!
And the fries are delicious 条",False
"炸物拼盤加上
1000c.c Whiskey cola超便宜990$
老闆親切問候酒精濃度還可以嗎～～～
下次還會再度光臨的❤️","Fried objects plus
1000c.c whiskey cola Super cheap 990 $
Is the boss cordially greeting the concentration of alcohol? ~~~
I will come again next time ❤️",False
點了東京爽茶爽的~ 氛圍很讚,I ordered Tokyo cool tea ~ The atmosphere is great,False
雖然你可能快打烊，但是絕對不是你可以拿出這種餐點給客人的理由，如果你真的趕時間下班你可以打烊前半小時把pizza下架不讓客人點，拿到真的超火大，乾硬到不行而且全部都是燒焦的味道，料也是隨便丟而且少到不行，這圖片是我拿到當下直接拍的完全沒動過，熊貓上面沒辦法評價你們，真不知道四顆星怎麼洗的！,"Although you may be fast -closing, it is definitely not the reason you can take out this meal for the guests. If you really hurry up, you can remove Pizza half an hour before you snooze. It ’s hard to dry and it’ s all burnt. It ’s the case that it is casual and less. This picture is that I did n’t move it at all. The panda could n’t evaluate you on it. I really don’t know the four. How to wash the star!",False
太棒了，自家附近有這麼一個點真是太好了，讚,"It's great, there is such a point near my home.",False
酒好喝還有可愛貓貓,Good wine and cute cat,False
"這義大利麵不錯～天空之鏡也不錯～
炸物也行～","This Italian face is good ~ the mirror of the sky is also good ~
Fried objects also OK ~",False
氣氛很好 又能免費唱歌,The atmosphere is good and can sing for free,False
"點了菜單上面屬於‘’濃‘’部分的長島
完全都是可樂味 一點酒味都沒有。
朋友點神風，送上來的時候實在傻眼，居然只有威士忌杯的一半？甚至可能還比一半少一點🫣
去了那麼多間酒吧，對於這間實在是不予置評
但環境確實不差，只是不明白怎麼會有小孩在一旁跑來跑去跳上跳下🫠","Once the menu belongs to the long island that belongs to ‘’ thick ‘’
It ’s all the taste of cola.
My friend ordered Kagura, and when he got it, it was really dumbfounded. It was only half of the whiskey cup?It may even be a little less than half
Going to so many bars, I really don’t comment on this
But the environment is really not bad, but I don’t understand how to have a child running around and jumping down.",False
環境乾淨～酒好喝，一隻賓士貓很可愛～店員很親切👍有飛鏢吧 …,"The environment is clean ~ The wine is delicious, a Mercedes -Cat is very cute ~ The clerk is very kind and has a dart ...",False
炸物好吃酒也好喝還可以客製化調酒 讚讚！,"Fryer is delicious and delicious, and can be customized and bartender!",False
"可以水煙，喝酒，吃飯，唱歌，打鏢。
暢飲911很划算。很多種套餐組合。
壽星還送shot👍","You can drink water, drink, eat, sing, dart.
Chang drinking 911 is very cost -effective.Many package combinations.
Shouxing also gives shot 还",False
