Original,EN,Needs Review
"難得在新北市找到一家稱的上水準的酒吧
撇開餐點不說
純粹評論調酒部分，基本上是不輸北市一級戰區的bar
這個一杯自創調酒座落在350-400區間其實不過分

我個人一直很喜歡坐在bar檯與調酒師聊天
如果各位朋友願意了解調酒文化
那您真的來對地方，
這家店是很樂於分享各種調酒知識與文化的

基本上我從最輕的酒類喝到最重的酒類
沒有一杯是對不起價格的
各有獨特的特色
每年也會更換酒單
非常推薦闔家聚餐、朋友聚會、感情問題或生活疑難病症，都適合在這待上一晚。","It is rare to find a high -level bar in New Taipei City
Don't talk about the meal
Purely commented that the alcoholic section is basically not lost to BAR in the first -class war zone in Beishi
This cup of self-made bartender is actually not excessive in the 350-400 range

I have always liked to sit on Bar platform to chat with the bartender
If you are willing to understand the alcoholic culture
Then you really come to the place,
This shop is very happy to share all kinds of alcoholic knowledge and culture

Basically, I drink from the lightest wine to the heaviest wine
No cup is sorry for the price
Each with unique characteristics
The wine list will be replaced every year
It is very recommended that the family dinner, friends gathering, emotional problems, or difficult life are suitable for staying one night.",False
"捷運幸褔站步行2分鐘就可以到的村餐酒館，提供給食客夜間溫暖，餐點包含前菜、主食、滷味、炸物、調酒、甜點跟咖啡，讓甜點控跟咖啡控在夜晚也能讓身心得到滿足🥰

此次點
👍牛腱佐牛香醬 NT220：
牛腱花紋漂亮，也吃起來有膠質又不黏牙，牛香醬讓風味更提升~很下酒菜的一道✨

👍鳳爪&煙燻豬耳朵 NT180：
沒有骨頭的鳳爪一吃就會愛上，Q彈口感是膠質補給站，煙燻豬耳朵油亮有光澤，兩者配著調酒進食，都很適合🤤

👍滷味拼盤 NT350：
澎湃的滷味小船，滷的超入味的豆干、百頁豆腐、甜不辣、丸子跟雞翅雞腿，會一口接一口停不下來🤤

👍壽喜燒牛蓋飯 NT300：
壽喜燒牛肉片吃起來軟嫩細緻，醬汁有蔬菜的清爽跟甜味，白飯吸滿醬汁，味蕾會被驚艷到~

饗吃海鮮炒泡麵 NT200：
多種海鮮組合而成，底下為乾爽的公仔麵，麵體不會像外面的炒泡麵一樣軟爛，很有自己的特色~

👍黃金鳳尾蝦 NT220：
像派大星的擺盤，熱騰騰的炸物~外層超級酥脆，內裡的鳳尾蝦混著麵衣，味道像極了大顆的章魚小丸子，五隻分著吃，十分過癮~

👍古早味五香炸雞 NT280：
濃厚熟悉的鹹甜醬裹住多汁的炸雞，吃起來完全不膩口，鮮嫩雞肉超美味，完全是饗宴等級🤭

甜點🍰
👍巧克力堅果蛋糕 NT160：
像是布朗尼的巧克力蛋糕，外層烤的焦脆，內裡綿密，苦甜的巧克力很對我的胃，喜歡🤎
村式核桃派 NT180：
滿滿的核桃緊密堆疊，堅果香十足，營養滿分！

調酒🍸
👍思念了玫 NT330：
琴酒/巨峰葡萄🍇/玫瑰🌹，少女肯定喜歡的一款，上層綿密泡泡中縈繞濃濃的玫瑰香，葡萄的酸甜是典雅又不失俏皮，層次豐富，我喜歡的一款！

👍椰芒一夏 NT350：
四季春萊姆酒/芒果🥭/椰奶🥥，芒果香氣交織椰奶風味，擠上鮮奶油跟薄荷裝飾，後勁有酒感，夏天首選！

👍花蜜波特 NT380：
烏龍🍵/桂花/蜂蜜🍯，低調的一款白酒，素淨但層次疊加起來挺特別，偏酸些卻可以喝出蜂蜜甜，淡淡的桂花香提味，很別緻~

村 NT380：
檸檬馬鞭草琴酒/Fernet Hunter/Lillet/左手香🌿，偏草本的調酒，推薦給男性或喜歡酒感重的人！

是新莊喝酒的好去處，適合小酌放鬆，餐點美味，讓身心更享受了~

⭐若有興趣可追蹤IG：lason_ate_food，拉送文帶你一起品嚐美食🤝","MRT Xingyu Station can go to the village dining tavern for 2 minutes, which can be warm to diners at night. The meals include pre -dishes, staple food, marina, fried, bartender, desserts and coffee, so that dessert control and coffee control at night also at night. Can satisfy the body and mind 得

This time
Niu Niu tendon Sa Niu Xiang Sauce NT220:
The beef tendon pattern is beautiful, and it tastes glue and does not stick to teeth. Niu Xiang sauce makes the flavor more improved ~ It is a lot of wine and vegetables.

烟 熏 & smoked pig ear NT180:
The phoenix claws without bones will fall in love with it. The Q elastic taste is a glue supply station. The smoky pig ears are bright and shiny.

N Lochi platter NT350:
The surging marinated boat, the dry -flavored soybean, the hundred pages of tofu, the sweet and not spicy, the meatballs and the chicken and chicken legs, the bite will not stop.

盖 👍 👍 👍 👍 👍 NT300:
Shouxi roasted beef slices are soft and delicate, and the sauce has the refreshing and sweet taste of vegetables.

Eat seafood fried instant noodles NT200:
A variety of seafood combination is made of dry doll noodles underneath. The facade will not be as soft as fried noodles outside. It has its own characteristics ~

虾 Golden phoenix shrimp NT220:
Like Pai Daxing's plate, the hot fried objects ~ the outer layer is super crispy, the inside of the inside is mixed with noodles, and the taste is like a large octopus small ball.

炸 👍 👍 👍 👍 fried chicken nt280:
The thick and familiar salty sweet sauce wraps the juicy fried chicken. It tastes completely not greasy. The tender chicken is super delicious, which is completely feast level 🤭

Dessert 🍰
Chocolate Nut Cake NT160:
Like Brownie's chocolate cake, the outer layer is baked, the inside is dense, and the bitter sweet chocolate is very good at my stomach, I like it
Village Walnut School NT180:
The full walnut is tightly stacked, the nut is full of fragrance, and the nutrition is full!

Bartender 🍸
I miss the rose nt330:
Qinjiu/Jufeng Grape 🍇/Rose 🌹, the girl must like the one that the upper layer is lingering the strong rose fragrance. The sweet and sour grapes are elegant and playful, rich in layers, one I like!

N Coconut Mang Yixia NT350:
The four seasons of spring Lim/Mango 🥭/coconut milk, mango aroma intertwined coconut milk flavor, squeezing fresh cream and mint decoration, the stamina has wine, the first choice in summer!

3 3 honey Potter NT380:
Oolong/osmanthus/honey, a low -key liquor, is well -cleaned, is very special. It can be sour but can drink sweet honey.

Village NT380:
Lemon whip grass piano wine/fernet hunter/lillet/left -hand fragrant, bartender with a partial herbal, recommend it to men or people who like alcohol!

It is a good place for Xinzhuang to drink. It is suitable for relaxation, delicious meals, and enjoying the body and mind ~

追 If you are interested, you can track ig: lason_ate_food, send you a text to take you to taste food 🤝",False
"調酒真的好喝，酒感足
食物也都好吃無雷，氣氛佳
內有大投影幕，有比賽應該也適合去
不喝酒的也有無酒精特調 mocktail 可以點
調酒師又帥又美，互動頻率也拿捏的很好
那天過了一個愉快的情人節","The bartender is really delicious, the wine is sufficient
The food is also delicious, and the atmosphere is good
There is a big slide screen, and there should be a game that should be suitable for going
If you do n’t drink alcohol, you can order alcoholic special tune Mocktail to order
The bartender is handsome and beautiful, and the interactive frequency is also very good.
A pleasant Valentine's Day that day",False
一家不容錯過的餐酒館，提供獨特的自然香料調酒和精選美食。這裡的環境兼具時尚與自然，是放鬆身心的絕佳去處。不論是想要享受一杯精心調配的特色酒，還是品嘗創意菜餚，這裡都能滿足您的需求。酒館以「木」為設計主題，營造出溫馨舒適的氛圍，非常適合朋友小聚或是獨自前來放鬆。,"A tavern that cannot be missed provides unique natural spices and sobering and selected food.The environment here has both fashion and nature, which is an excellent place to relax.Whether you want to enjoy a cup of carefully prepared special wine or taste creative dishes, you can meet your needs here.Taking the ""wood"" as the design theme, the tavern creates a warm and comfortable atmosphere, which is very suitable for friends to gather or relax alone.",False
"茶系調酒🍵🍸餐酒館
餐點醬料大部分都是店家自己手作，第一次吃到滷味料理這麼多的餐酒館，調酒部分除了酒單上的之外，還有一個「專屬於你特調」的選項

🔸紅燒村牛肉麵（半筋半肉）$300
這碗牛肉湯頭偏甜 不過麵條超級～Q彈 吸滿了飽飽的湯汁 半筋半肉的份量也很多 吃了這碗其實就很有飽足感了
🔸泰香打拋豬飯 $200
打拋豬飯不會太辣 炒的香氣十足 旁邊的花椰菜灑了胡椒粉 意外的滿配打拋豬飯的 再加上一顆溏心蛋 完美😍比較特別的是加台式的黃金泡菜
喝起來蠻順口的 帶點微酸
🔸牛腱佐牛香醬 $220
🔸牛筋佐牛香醬 $220
低溫烹煮 牛筋很Q彈 但牛腱有點乾
🔸滷味拼盤 $350
（翅小腿、二節翅、鴨肉丸、天婦羅、百頁豆腐、厚豆乾）
滷的超級入味～滷汁也稍甜 不過我很愛 小腿跟雞翅的肉質軟嫩 冷的熱的吃都好吃
🔸巧克力堅果蛋糕 $160
吃起來很像布朗尼 烤的熱熱的更好吃 巧克力味濃厚 又不會太甜 吃一整塊也不會膩
🔸村式核桃派 $160
核桃香脆 但是切下去有點硬 塔皮帶點奶香 這兩道的甜點都表現的很好
🔸椰芒一夏 $350 四季春萊姆酒/芒果/椰奶
酒感稍重 芒果的香氣有出來 帶點淡淡的椰奶香
🔸冰鎮蜜桃紅茶 $350
紅玉、Vodka、Gin、Cointreau 、蜜桃
很妹的一杯酒 喝起來有氣泡感 水蜜桃讓整杯酒都甜甜的
喝起來稍微有氣泡感
🔸village house red $280
偏丹寧與酸度平衡適中 入口柔順 花果香突出","Tea series bartending 酒 酒
Most of the meals and sauces are made by the store themselves. For the first time, I have eaten so many restaurants with exclusions. In addition to the wine list, there is also a ""exclusive special"" option.

面 面 🔸 🔸 🔸 (half -gluten and half -meat) $ 300
This bowl of beef soup is sweet, but the noodles are super ~ Q bombs are filled with full soup and half -gluten.
猪 🔸 🔸 Pig rice rice $ 200
The aroma that will not be too spicy will not be fried, and the broccoli is sprinkled with pepper. The pepper is unexpectedly full of toll -up pig rice.
Drinking is quite sour
Bull beef tendon Sa Niu Xiang sauce $ 220
酱 酱 🔸 🔸 🔸 $ 220
Low -temperature cooking beef tendon is very q bomber, but beef tendon is a bit dry
🔸 Package $ 350
(Wing calf, two wings, duck meatballs, tempura, hundred pages of tofu, thick beans)
The braised super tastes ~ The marinade is slightly sweet, but I love the soft and cold meat of the calf and the chicken wings, which are delicious
Chocolate Nut Cake $ 160
It tastes very much like the hot and delicious chocolate flavor of Brownney, but it will not be too sweet to eat a whole piece.
🔸 🔸 🔸 $ 160
The walnuts are crispy but cut off a bit of hard tower belt. The two desserts are very good.
Coconut Mang in summer $ 350 Four Seasons Spring Lym/Mango/Coconut Milk
The aroma of a slightly heavier mango has a little coconut milk aroma
红 iced peach black tea $ 350
Red jade, Vodka, Gin, Cointreau, Peach
Very sister’s glass of wine has a bubble feeling of sparkling peaches so that the whole glass of wine is sweet
Drink a little bubble feeling
EVillage House Red $ 280
Pronunciation and acidity balance Entry, the fragrance of soft flowers and fruits is prominent",False
很喜歡村餐酒館的整體氛圍，不論是調酒，餐點還是甜點都在水準之上，調酒師也很專業地分享相關的知識，我在這裡度過一個很棒的夜晚，很推薦住在新莊的朋友到這裡享受微醺的夜晚喔!,"I really like the overall atmosphere of the village and tavern. Whether it is bartending, meals or desserts are on the standard. The bartender also professionally share related knowledge. I have a great night here. Friends in Xinzhuang enjoy a small night here!",False
"距離捷運幸福站超級近，出口不行約3分鐘左右
裝潢非常質感典雅，氣氛很有儀式感
餐點好吃，調酒品項多元～","It is very close to the MRT Happiness Station, about 3 minutes of exports
The decoration is very elegant, and the atmosphere is very ritual
The meals are delicious, and the bartending items are diverse ~",False
"老實說，去過這麼多間餐酒館，
真的很少店家可以配得上這個稱號。
怎麼可以餐點和調酒都可以這麼優秀。
會想多次回訪並推薦給親朋好友們的美食口袋名單。","Honestly, I have been to so many restaurants,
Few stores can be worthy of this title.
How can I have so good meal and bartending.
I will want to return to the list of food pockets for friends and relatives many times.",False
ㄧ來新莊就發現值得一直來的店家～推薦調酒跟特調都很符合我的口味,ㄧ Lai Xinzhuang found that the stores worth coming to come ~ Recommended bartending and special tunes are in line with my taste,False
"絕對是適合獨飲或是聚會的好地方
東西好吃實在
調酒好喝
絕對是值得回訪的地方","Definitely a good place for drinking alone or gathering
What is delicious
Blooming is delicious
Definitely worth visiting",False
