Original,EN,Needs Review
"訂位晚上6點，提早5分鐘到，鐵門開一半，5歲孩子想上小號，彎腰問老闆可否借廁所，居然拒絕，還說對面7-11有（結果根本沒有），害孩子走了好遠去上，忍了好久，導致後來用餐胃口不好，憋出尿道炎了。
燒烤味道普通，沒有烤出香味，冷氣風太大吹到頭痛，半開放空間，旁邊車水馬龍超級有夠吵，聽不到同桌講話聲。店內裝潢雖然日式，但店內電視畫面音響一直播放韓團MV，很不搭。","At 6 o'clock in the evening, it arrived at 5 minutes early. The iron door was half open. The 5-year-old child wanted to go to the trumpet. Ask the boss if he could borrow the toilet, he refused. After walking, I went up and endured it for a long time. As a result, the meal appetite was not good later, and I had urethritis.
The barbecue taste is ordinary, without baking fragrance, the air -conditioning wind blows too much headache, semi -open space, the water horse is super noisy, and you can't hear the same table.Although the interior decoration of the store, the audio of the TV screen in the store has been playing the Korean group MV, which is very incompatible.",False
店內乾淨，老闆服務佳，食物新鮮好吃，蔥肉串誠意滿滿很大捆😋生啤酒可寄杯，很好喝！店內海報很有特色😘,"The shop is clean, the boss service is good, the food is fresh and delicious, the green onion skewers are full of big bundles of the raw beer to send a cup, which is delicious!The poster in the store is very distinctive 很",False
第一次來用餐，著實太驚艷的烤功！串燒都有碳香味，今天點了蠻多品項，好吃到不行的是豬血糕、香腸、雞翅、鑫鑫腸、豆皮，連香菇都非常多汁，白帶魚必點！甜味滿分，真的不需要打廣告的一家店，來吃過就不會忘記🥺🥺🥺以後一定會常常來光顧！,"The first time I came to dine is really amazing!The skewers have a carbon flavor. Today, I ordered a lot of items. The delicious that it is delicious is pig blood cake, sausage, chicken wings, Xinxin sausage, and bean skin. Even the shiitake mushrooms are very juicy.The sweetness is full, and a shop that really does not need to be advertised. If you come to eat it, you will not forget to visit it in the future!",False
"今天是星期五晚上！
人客有點少，所以座落在冷氣出風口，也許是因為半開空間，外面很熱，冷氣容易跑掉，其他位置的也許會覺得容易熱.
有些餐點是先炸後烤上醬汁，雞翅好吃，節瓜（$40）也是好吃，蔥肉串也不錯吃（蔥超多）,金針菇肉
串就。。。（金針菇感覺冷凍過，不是新鮮的），牛羊肉串感覺有點乾
Asahi生啤（$120），買三送一，黑白一樣價","Today is Friday night!
There are a few people and guests, so they are located at the air -conditioning outlet, maybe because of the semi -open space, the outside is hot, the air -conditioning is easy to run away, and other positions may feel easy to get hot.
Some meals are fried first and then grilled with sauce. Chicken wings are delicious, and sauce ($ 40) is also delicious. The green onion skewers are also good (there are many onions).
String.EssenceEssence(Flammulina mushrooms feel frozen, not fresh), beef and mutton skewers feel a bit dry
Asahi raw beer ($ 120), buy three get one, the price of black and white is the same price",False
烤的蠻不錯，肉類不會太老，豆皮外酥內嫩，重點是味道不會太鹹，下次再跟朋友一起聚餐會推薦這裡👍,"The roasting is pretty good, the meat will not be too old, the bean skin is crispy and tender, and the point is that the taste will not be too salty. Next time, I will give me a meal with friends to recommend it.",False
"青蔥肉串超好吃！附贈的小菜搭配起來很清爽
百頁豆腐很推～老闆也會灑孜然粉 烤洋蔥也很甜
總體氛圍很讚很舒服 放的音樂也讓客人感到很自在好好地享受燒烤的夜晚✨✨","The shallot skewers are super delicious!The attached side dishes are very refreshing
Hundred pages of tofu are pushed ~ The boss will also sprinkle cumin powder and roast onions.
The overall atmosphere is great, very comfortable music also makes guests feel very free to enjoy the barbecue night ✨✨",False
"環境整潔，禁煙，招待小菜，用餐很舒服開心喔！
啤酒買三送一，打卡送2串","The environment is neat, smoking, entertaining side dishes, and the meal is very comfortable and happy!
Buy three get one for beer, check in 2 strings",False
是一間平價串烤店，多樣肉串可選，金針菇五花肉串、板腱牛肉、川味雞肉都考得很入味。蔬菜、甜不辣，豬血糕搭配起來可去油膩,"It is a cheaper skewers, and there are diverse skewers to choose from. The enoki mushroom pork belly skewers, plate tendon beef, and Sichuan -flavored chicken are very delicious.Vegetables, sweet and not spicy, pig blood cake can be greasy to match",False
第二次來了，這家服務跟氣氛都不錯，就是東西有點點偏貴，不過整體上還是會讓我想回訪的店家！,"The second time, this service and atmosphere are good, that is, something is a bit expensive, but the store that makes me want to visit as a whole!",False
"五星評價有送東西，大家斟酌參考五星評價( • ̀ω•́ )✧價位較高且份量偏小，內用空間蠻大的還有廁所，內用餐具蠻用心的，肉很嫩小菜也好吃，醬汁屬鹹口味，這家感覺比較適合三五好友一起宵夜聊天喝酒慢慢吃，吃氣氛的
如果是一個人吃的，也沒有要吃氣氛的話，我覺得中和街的「財哥串烤」會是比較好的選擇🥹","The five -star evaluation has something to send things. Everyone considers the five -star evaluation (• ̀ω • ́) ✧ The price is high and the portion is small. The inner space is quite large and there are toilets. The tableware is quite attentive. , The sauce is salty. This one feels more suitable for three or five friends to chat together and drink together.
If you eat alone and do not want to eat the atmosphere, I think the ""Caiche Sarmer Bake"" of Zhonghe Street will be a better choice 🥹",False
適合三五好友喝酒吃串燒的平價燒烤，點杯生啤酒，再來點肉類串燒，好不愜意。外帶七里香、香腸、椒香豬肉串、原味雞肉串、川味雞肉、杏鮑菇。外帶肉串比較容易乾（但外帶有附泡菜，很貼心），還是內用比較美味！,"Suitable for three or five friends to drink and eat skewers and boasting, make a cup of beer, and then some meat skewers, so pleasant.Take Qi Li Xiang, sausage, pepper skewers, original chicken skewers, Sichuan -flavored chicken, Pleurotus eryngii.The strain skewers are easier to dry (but there are kimchi, very intimate), or it is more delicious in inside!",False
"裝潢很日式的店
有仿佛來到了日本

櫛瓜烤得很多汁
蔥爆量的肉卷，一口咬下超滿足

也很推薦雞肉捲","Very Japanese -style shop
It seems to come to Japan

Gourweed a lot of juice
The meat rolls of green onions are super satisfied with one bite

I also recommend chicken rolls",False
"意外發現的寶藏串燒店，店內走日台居酒復古風，食材新鮮、調味剛好不死鹹，蔬菜類烤完不縮水很juice、份量也很大方，整體非常優秀🥰🥰🥰
推薦必點：櫛瓜、杏鮑菇、豆皮、雞汁雞捲…","The unexpected treasure skewers are found in the store. The rest of the shop is retro, the ingredients are fresh, and the seasoning is not dead and salty.
Recommended must be: Gourd, Pleurotus eryngii, bean skin, chicken juice chicken rolls ...",False
