Original,EN,Needs Review
"之前都在林口店消費，這次想說換家店試看看，沒想到一換就踩雷，同樣都是米炭火，但這家真是讓人失望到不行。
來訪時剛好是中秋節，我相信店家一定也知道這幾天生意一定會爆量，但人手還是明顯不足，店員就算用盡全力在趕，但來客量還是消化不了，從頭到尾我的網都沒換過，七味粉也沒補，肉的品質也變了，最期待的蔥鹽沒有了，魚也烤到都焦黑，網沒換過，雞屁股烤到大概只有小指甲片這麼小，上菜時我都懷疑我看了什麼，負責烤串的店員也沒戴口罩，我都很想請店家把服務費還我，店員是真的很認真在趕貨，但真的沒有半點主動服務到客人。","I used to consume in Linkou Store before. This time I wanted to talk about changing a store. I did n’t expect to step on the thunder when I changed. It was also Michamma fire, but this one was really disappointing.
It happened to be the Mid -Autumn Festival during the visit. I believe that the store must also know that the business will explode these days, but the person's hand is still obviously insufficient. Even if the shopkeeper uses everything to catch up, the number of visitors can not digest. I haven't changed it, the Qiwei powder has not been replenished, and the quality of the meat has changed. The most anticipated onion salt is gone, and the fish is baked. I doubted what I saw during the dishes. The clerk responsible for the baking skewers did not wear a mask. I would like to ask the store to return the service fee to me. guest.",False
"整體餐點味道都不錯，店員烤好的跟自行烤的份量都偏少。
價格稍微高了點，比較不適合當正餐，適合吃完飯後續攤喝酒聊天。
飯後甜點是棒棒冰有點小扣分，看其他桌滿多沒吃或是直接不拿，建議可以提供其他的甜點。
店員態度都不錯，只是請店員上甜點的時候講了兩次,最後還是沒上有點影響用餐心情...","The overall meal tastes good, and the clerk is baked and the amount of baked is less.
The price is slightly higher, it is not suitable for being a meal. It is suitable for drinking and chatting after dinner.
After a meal, the dessert is a bit of a little bit of pop -up. Seeing that the other tables are full or not, it is recommended to provide other desserts.
The clerk's attitude is good, but I asked the clerk twice when I asked the dessert. In the end, I did not affect the mood of the meal ...",False
"生日來送的龍蝦好讚😍Q彈脆口又新鮮，完全不會因為是招待，而選次等的海鮮！比較不忙的時候店員還會幫忙烤（坐在吧台）真的是太貼心了！上肉時也會說明怎麼烤比較好吃，服務真的是好好貼貼👍🫶肉的品質也是無話可說的好～

整體而言，餐點跟服務都非常滿意。餐點完全沒有雷～很優質的燒肉店💘有機會一定會再次回訪！也會推薦親友來！","The lobster sent by the birthday is so crispy and fresh, and it will not be seafood such as hospitality at all!When you are not busy, the clerk will also help bake (sitting on the bar) is really intimate!It also shows that how to roast it is more delicious. The quality of the service is really good.

On the whole, the meals and services are very satisfied.There is no thunderbolt at all ~ very high -quality roasted meat shops 💘 will definitely return to visit again!I also recommend relatives and friends!",False
帥哥服務員-暐呈，謝謝你用心服務，好吃的鮑魚吃的好過癮，今天老公過生日，謝謝你們幫我們烤龍蝦、牛小排，覺得好美好的晚餐。,"Handsome waiter-， ，, thank you for serving your heart, the delicious abalone is so addicted to eating. Today, my husband has a birthday. Thank you for helping us bake lobster and cattle. I think it is so beautiful.",False
"超好吃
而且服務很好！
拌飯意外的很推ㄛ

生日兩天會送龍蝦！","Super delicious
And the service is very good!
Bibimbap is unexpectedly pushed

Birthday will send lobster!",False
"每次來餐點都很滿意，服務生態度也很好，尤其是負責結帳帶位的人員，可能是店長。
串烤類店員會烤好送上桌，肉片類要自己烤，店員送餐時會說明，壽星有送龍蝦（菜單下方有說明），用餐完會送每人一根冰棒，像百吉冰棒，可以帶回家。
是一家離家近、想吃燒烤、又不會太餓時的好選擇。
三人用餐，總共1882元；搭捷運在迴龍站三號出口對面，如果開車捷運站也有停車場，還夠停。","Every time I have a meal, I am very satisfied with the service ethics, especially those responsible for checkout with their positions may be the manager.
String baked clerks will be grilled and delivered to the table. The meat slices must be grilled by themselves. The clerk will explain when delivering the meal that Shouxing will send lobster (below the menu). Can be taken home.
It is a good choice when you are close to home, want to eat barbecue, but not too hungry.
The three meals, a total of 1882 yuan; the MRT is opposite to the export of No. 3 of Huilong Station. If there is also a parking lot on the MRT station, it is enough to stop.",False
氣氛不錯，烤肉也OK，但烤牛串一直都沒上來。,"The atmosphere is good, and the barbecue is OK, but the grilled beef skewers have not been up.",False
氣氛歡樂的燒烤店，肉烤的剛剛好，蛤利湯超鮮，非常適合只想動手吃但不想動手烤的人類,"The grilled barbecue restaurant with a happy atmosphere, the meat grilled is just right, the clam soup is super fresh, it is very suitable for humans who just want to eat but do not want to bake",False
"送的蛤蠣湯每顆都是沙有點誇張
現場後面客滿排煙系統運作不順
整間店都是煙霧，很適合放蛋堡的煙霧瀰漫相當應景
食物還行這個價位差不多的水準","Each of the oyster soup sent is exaggerated with sand
The guest full smoke exhaust system is not smooth behind the scene.
The whole store is smoke, which is very suitable for the smoke of the egg castle to be filled with the scene.
The food is okay at this price",False
"一顆星是給五花肉的肉質和蔥鹽^^

炭火不強
烤串（牛）冷的 反應後重上免單 但還是冷的 只能自己再烤
雞肉串一直沒上 一直問到最後直接取消 因為還沒做好（一個半小時…
請服務員幫忙需要等好一陣子才會來 同一件事需要反應很多次才有可能解決

看評分那麼高滿懷期待去吃 結果失望更大 價格還偏貴","A star is the meat quality and green onion salt of the pork belly ^^

The charcoal is not strong
After the cold reaction of the baking skewers (cow), it will be exempted from the order but still cold.
The chicken skewers have never been asked until the end is not done well because it has not been done (one and a half hours ...
Ask the waiter to help wait for a while to come to the same thing to respond many times before it is possible to solve it

Looking at the score is so high, I look forward to eating the result and disappointment. The price is more expensive",False
建議每上一道菜就畫一次單 不然一直重複確認菜有沒有上太浪費時間了 我們是第一組但是卻是上菜上最慢的  要再注意一下客人順序,"It is recommended to draw a order every time you have a dish, otherwise it will be repeated to confirm whether the dish is too wasteful. We are the first group, but it is the slowest on the food. Pay attention to the order of the guests.",False
"👍服務好
第六顆星⭐️給緯祥跟…手刺青店員","👍 👍 👍 👍 👍
Sixth Star ️ Give Weixiang Follower ... Hand Tattoo clerk",False
"餐點很好吃 平常很常來這吃 ～ 今天生日當天送龍蝦🦞
阿東態度親切服務超讚👍🏻","The meals are delicious and often come here. I give lobster on my birthday on my birthday.
A Dong's intimacy service is superb 度",False
"常常路過其他分店都要排隊，不愛排隊所以沒嘗試，今天有先訂位。
大部分食物都新鮮好吃，今天串燒有點偏乾
服務不錯👌🏻有機會會二訪","I often have to line up by other branches. I do n’t like to line up so I did n’t try. Today I have a reservation.
Most foods are fresh and delicious, today the skewers are a bit dry
Good service 机 There is a chance to visit the second visit",False
經常晚上過來吃宵夜，新莊最好吃的燒肉😋,"I often come to eat supper at night, the best roast meat in Xinzhuang",False
"人不多的時候坐吧台
就會有店員時不時幫忙烤肉🤩
-
東西好吃😋服務超讚👍🏻
真材實料
推櫛瓜、茭白筍、裸蝦、烤飯糰
-
配料蔥超超級清爽👍🏻👍🏻👍🏻推推","When there are not many people, sit on the bar
There will be a clerk from time to time to help barbecue 🤩
-
Extra is delicious 超 Services are superb 😋
Real material
Push gourd, white bamboo shoots, nude shrimp, roast rice balls
-
The ingredients onion is super refreshing 超 push push",False
"米碳火小酒館，從第一次去新莊原燒對面吃的時候，我真的驚艷到，很好吃，很多東西都很好吃，會心念念，然後我陸陸續續，來吃了應該至少5-6次吧，很方便簡單又好吃的店，就會一次又一次的來。

之前很喜歡吃魷魚，他們弄好的，不用自己烤的話是挺方便的，像串燒、炸物都是不用自己做，自己烤的也不會烤太差，喜歡節瓜，喜歡A5和牛，喜歡雞軟骨，喜歡厚牛舌，超好吃，飯糰也很不錯，還有一種飯，上面有海苔跟芝麻還是什麼的，那個也很好吃，只要吃到好吃的東西就會感到幸福開心。","When I was eating on the opposite side of the first time I went to Xinzhuang, I was really amazing. Many things were delicious, and I would think about it. Then I came to eat. It should be at least 5-6 times. It is very convenient, simple and delicious, and it will come again and again.

I liked squid very much before. They made it well. It is very convenient to bake it by themselves. Like skewers and fried materials, they do n’t need to make themselves. I like chicken cartilage, like thick beef tongue, super delicious, rice balls are also very good, there is also a kind of rice, there are seaweed and sesame, or what is delicious. Essence",False
肉質不錯，生菜和小菜都很新鮮，價位中等，服務態度很優！假日建議早點來或訂位，會再回訪,"The meat is good, the lettuce and the side dishes are fresh, the price is medium, and the service attitude is excellent!It is recommended to come or reservations early on holidays, and you will return to visit again",False
"家人聚餐第一次來這～
服務很好。牛舌Q彈 肉質很棒  期待下次再來消費","The first time my family dinner came here ~
The service was excellent.The beef tongue Q bomb meat is great, looking forward to the next time you will consume",False
"已經吃過很多次了，但是從没有想拍照或紀錄的感覺，我覺得是跟心情有關⋯我喜歡這的原因是因為，在心情不好的時候或是想ㄧ人ㄧ醉方休的時候，在這裡ㄧ點都不怪，我覺得對單身的人來說，真的是個友善的用餐環境👍👍👍
這次是臨時起意與朋友來小酌，放鬆的氣氛下，才真正體會到原來這樣好吃⋯我個人覺得是都好吃不踩雷的店⋯，而且如果是坐在吧臺區，師傅如果留意你烤技不佳，是會出手幫忙烤的哦⋯真心推","I have eaten many times, but I never want to take a picture or record. I think it is related to my mood. The reason I like is because when I feel bad or want to be drunk, It's not surprising here, I think it is really a friendly dining environment for single people 👍👍👍
This time, I was temporarily coming to drink with my friends. In the atmosphere of relaxing, I really realized that it was so delicious. I personally think that it ’s a shop that is delicious or not. Your baking skills are not good, you will take the shot to help bake it. I really push it",False
店長很帥 做飯好吃 撒鹽的動作 有如小當家,"The manager is very handsome to cook, delicious salt and salt are like small heads",False
這才是家人聚餐~~能點自己要烤的或是店家幫你烤好的，家人有來過，所以點餐沒有障礙 😂 這天來店家還送蛤蠣湯（可惜沙沒吐乾淨😑）。。。大致上氣氛不錯、服務也不錯！,"This is the family's dinner ~~ I can order to bake or bake you for you. The family has been here, so there is no obstacle to ordering. I came to the store and sent the oyster soup. EssenceEssenceEssenceThe atmosphere is good and the service is good!",False
2023/12/11 點了五花肉套餐+單點松阪豬，來店禮是一碗蛤蜊湯。蛤蜊湯很好喝，松阪豬也很好吃，五花肉套餐是厚切的肉，筋比較多，但整體算好吃。這家燒烤店就算在一樓吃油煙也不會過重。在google map評論送干貝。,"2023/12/11, the pork belly package+single -point Matsusaka pig.The clam soup is delicious, and Matsusaka pigs are also delicious. The pork belly package is thick -cut meat. There are more tendons, but the overall is delicious.This barbecue restaurant will not be too heavy even if you eat oil on the first floor.Send the scallops at Google Map commented.",False
"餐點不錯吃,但上餐時間過久… 等餐約40分鐘,才上第一道菜,環境有點吵雜,價格不便宜,不太推薦親子用餐","The meal is good, but the meal time is too long ... wait for about 40 minutes to wait for the first dish. The environment is a bit noisy, the price is not cheap, and the parent -child meal is not recommended.",False
"不得不說這邊除了餐點都很棒之外
每位夥伴服務都很到位
真的是每位🥹

尤其是緯祥
發現他會不斷注意每桌客人的桌面甚至眼神及表情並立刻上前確認及關心
真的很棒👍
身為也是餐飲出身的我
我想說
米老闆不要虧待這些夥伴啊～～～
他們都是人才
別讓他們離開了","I have to say that except for the meals here are great
Each partner service is in place
Really every 🥹

Especially Weixiang
It is found that he will keep paying attention to the desktop and even eyes and expressions of each guest of each table and immediately step forward to confirm and care
It's great
As a dining background, I
I want to say
Boss Mi, don't wait for these partners ~~~
They are all talents
Don't let them leave",False
