Original,EN,Needs Review
"很推薦這間餐酒館.雖然是在巷子內但對面有停車場. 裡新莊捷運站也很近.步行大約10分鐘左右。
我來了好幾次因為他的炸物及調酒都不錯 真的好吃. 如炸墨魚香腸.明太子炸雞翅.炸物拼盤.炸小卷.烤牛肉串也不錯.可能是常換油所以炸物顏色都呈現金黃色也很酥脆。
調酒師也會客製想喝的口味.想我們點兩杯偏酸和兩杯偏甜的調酒. 都很好喝. 有時調酒師會特別他的創意調酒給我們試喝。
店裡服務人員很親切也會關心用餐狀況. 用餐環境也很舒適. 消費金額我也覺得很實惠.我們四人消費平均一人700元. 在其他燒肉店應該都要1200元吧。
現在有舉辦給五星評價就送炸雞骨. 但我是真的覺得真的有五星價值. 會常來也會推薦大家這家巷弄裡的好吃餐酒館。","It is very recommended for this dining tavern. Although there are parking lots opposite the alley. The Xinzhuang MRT station is also very close. It is about 10 minutes walk.
I have been here several times because his fried objects and bartending are really delicious. Such as fried ink fish sausages. Ming Prince fried chicken wings. Fried fried rolls. Baked beef skewers are also good. The color of things is cash yellow and crispy.
The bartender will also customize the taste that wants to drink. I want us to order two cups of sour and two cups of sweet bartending. They are all delicious. Sometimes the bartender will specialize in his creative bartending to try to drink.
The service staff in the store will care about the situation of the dining. The dining environment is also very comfortable. I also think it is very affordable. The average consumption of the four of us is 700 yuan. It should be 1200 yuan in other roasted shops.
Now there are hosted a five -star evaluation to send fried chicken bones. But I really think that it really has five -star value. I will often recommend everyone in the delicious food restaurant in this alley.",False
餐點好吃，服務人員服務態度都很好很親切，用餐環境舒適，調酒好喝，下次再來嘗試其他酒款。,"The meal is delicious, the service staff service attitude is very good and kind, the dining environment is comfortable, and the bartending is delicious. Next time, try other wines.",False
很喜歡店裡歡樂的氣氛，串燒配調酒蹦出很好滋味，如果是當一個溫馨的晚餐，非常推薦，再配上他們的干貝炒飯，今晚可以帶幸福回家。,"I like the joyful atmosphere in the store. The skewers are well tied. If it is a warm dinner, it is recommended. It is very recommended. With their scallops fried rice, you can bring happiness home tonight.",False
我們點了串燒、炒蛤蜊、明太子鮭魚卵烏龍麵，還有牛肉湯，都很好吃，食材新鮮，牛肉很嫩大推！音樂跟氣氛都很好，晚餐約會滿分！,"We ordered skewers, stir -fried clams, princes salmon eggs, and beef soup, which are delicious, fresh ingredients, beef is very tender!The music and the atmosphere are very good, dinner is full!",False
薯條吃起來屬於酥脆的口感 本身就有鹽巴調味了 附上黃芥末醬 和番茄醬 可以轉換口味不怕吃膩 是很好的開胃點心 蝦子干貝和蛤蠣都很鮮甜 明太子烏龍麵很好吃 搭配上海苔跟些許鮭魚卵形成很好的搭配,"French fries that are crispy and crispy have salt itself. Salt seasoning, attached yellow mustard sauce and tomato sauce to convert the taste. Matching Shanghai moss and some salmon eggs form a good combination",False
被評分吸引進來，服務很客氣，餐點跟調酒就稍微還不錯但沒很驚艷，店內挺冷清氣氛不太像餐酒館..可惜,"Attached to the score, the service is very polite. The meal and bartending are slightly good but not amazing. The atmosphere in the store is not like a dining tavern .. Unfortunately",False
餐點口味偏重但調味不錯，推干貝跟明太子烏龍麵，松露義大利麵也還不錯但偏鹹，很多串燒跟烤物（這兩個就是普普，依照喜好點）環境蠻舒適，適合那種在家附近來跟朋友聚會聊天喝酒小酌的地方，酒滿好喝的,"The taste of the meal is very heavy but the flavor is good. Dry the scallops and the Ming Prince Oolong noodles, and the splashed Italian noodles are also good but salty. The kind of place where you come to meet with friends near your home, drink drinking and drinking, the wine is full of delicious",False
"上菜速度蠻快的
服務也蠻親切的

今天我的點的主餐類都很好吃
明太子山藥蠻後片的，明太子也夠多，很好吃😋
吃完一份還加點了一份🤤

覺得餐點很適合下酒（都有點偏鹹，可惜了點）
麻辣粉很香，推👍🏻","The speed of serving is quite fast
The service is quite kind

Today my main meals are delicious
The Ming Prince Yamami is a latter, and there are enough princes in Ming Dynasty, very delicious
After eating a copy, add an order of 🤤

I think the meal is very suitable for drinking (it is a bit salty, but unfortunately)
Spicy powder is very fragrant, push 香",False
"喜歡這裡的氣氛，基本上不會太吵鬧
披薩料很多；義大利麵愈吃愈有滋味
炸物超美味(炸雞軟骨)；調酒滋味讚👍
覺得挺值得來消費坐坐的

#邁泰：黑蘭姆酒/君度橙酒/杏仁酒/鳳梨酒/鳳梨汁","I like the atmosphere here, basically not too noisy
There are a lot of pizza;
Fried objects are super delicious (fried chicken cartilage); bartending tastes 👍 👍 👍 👍
I feel worthwhile to consume sitting

#: Hei Lim wine/Jundu orange wine/almond wine/pineapple wine/pineapple juice",False
"店員很親切，剛進來的時候菜單介紹得超認真👍🏻
價格以周邊的物價來說算是CP值滿高的！
雖然菜類選擇不是太多，但主食的種類應該可以滿足大多數人！
整體來說值得五星，有機會會再訪！","The clerk is very kind. When I first came in, the menu was super seriously introduced.
The price is full of CP value at the price of surroundings!
Although there are not too many dishes, the types of staple foods should satisfy most people!
Overall is worth five stars, and you will have the opportunity to visit again!",False
菜色很多元化，結合了日式，韓式，義式，個人覺得炸物方面都不錯吃很 適合配酒聊天的地方,"The dishes are diversified, combined with Japanese, Korean, Italian, and personally think that fried objects are good.",False
店內氛圍舒服，炸物酥脆不會太油膩，來杯瑪格麗特🍸🍸享受一下，調酒小帥妹服務棒棒😉,"The atmosphere in the store is comfortable, the fried objects are crispy and not too greasy.",False
"第一次中午跟好友去餐酒館用餐，包場整個很開心 😋店內有暖氣真的很棒，連桌上的水也都是溫熱的開水感覺很用心。
餐點的部份我覺得很好吃！鮭魚很大塊還有奶油香氣，鹹淡度也很剛好，雞肉野菇燉飯好吃，雞肉有醃漬過很入味好吃~ 🤤
飲料部份是點蜜桃甜心跟粉紅佳人。
蜜桃味真的很香~ 我跟朋友喝了很順口真的很想再來一杯 😆粉紅佳人的酒味略重，但還是很好喝，淡淡的玫瑰香氣真對我的胃口~ 這樣點下來是 1,210 元
服務部份我覺得還不錯~ 很客氣，而且上菜速度也很快（因為只有我們這組客人的關係😂）
裝潢的部份我覺得很讚~ 很有氛圍
下次還會想再來的店~ 讚讚讚","At noon, I went to the meal tavern with my friends at noon. The whole charter was very happy. The heating in the shop was really great. Even the water on the table felt warm water.
I feel delicious!The salmon is very large and the cream aroma, the saltyness is also very good, chicken wild mushroom stewed rice is delicious, the chicken is very pickled and delicious ~ 🤤
The beverage part is the peach sweetheart and pink beauty.
The peach flavor is really fragrant ~ I drink it with my friends very smoothly. I really want to have a cup of pink beauty. The taste of the pink beauty is slightly heavy, but it is still delicious. 1,210 yuan
I think the service part is pretty good ~ very polite, and the speed of serving is fast (because only the relationship between our group of guests 😂)
I think the decoration part is very good ~ very atmosphere
The shop will come again next time ~ Zan Zanzan",False
"音樂一直聽到廣告很怪，服務很親切，店內也舒服！
菜普通，米腸、墨魚香腸、明太子烏龍麵、和牛串好吃。其他還好。","Music has always heard that the advertisement is weird, the service is very kind, and the store is comfortable!
The vegetables are ordinary, the rice intestine, the scald sausage, the Ming prince oolong noodles, and the cow skewers are delicious.It's okay.",False
"店員推薦的真的都可以點
很 可 以 🉑️！
松露薯條$128、山藥明太子$68
都好讚喔喔喔喔喔喔喔喔！

特調的部分$228，特調買二送一，三個人平均一人$152
我點紅酒基底的調酒，Bartender 會跟你介紹裡面有什麼酒跟內容物，餐點也真的不貴！平時來這邊聚餐都很可以，不一定要喝酒！
算是很棒的一間餐酒館","What the clerk recommends can really order
Very ！️!
Tulu French fries $ 128, yam, Prince Prince $ 68
It's so happy, oh oh oh oh oh oh!

The special part is $ 228. The special adjustment buy two get one, and the average of three people is $ 152
I order the bartender of the red wine base, Bartender will introduce to you what wine and content in it, and the meal is really not expensive!Usually come here for dinner, you don't have to drink!
It's a great dining tavern",False
店內氣氛佳，淡菜酸辣義大利麵，味道層次豐富，水波蛋蕃茄燉飯米粒分明，加上起士十分搭配，起士墨西哥薄餅的醬汁特別，服務態度不錯,"The atmosphere in the store is good, the fresh and sour pasta, the taste is rich in the taste, the water -stewed rice stewed rice grains are clear, and the cheese is very matched.",False
來第二次了，喜歡這裡的餐點和氣氛，店員親切又可愛🥰,"It's been the second time, I like the meals and atmosphere here, the clerk is kind and cute 🥰",False
新莊新開的串燒酒吧，服務態度非常好，串燒的口味蠻不錯的！可惜那天開車不能喝酒、下次想去試試看調酒,"Xinzhuang's new skewer bar, the service attitude is very good, the skewers have a good taste!Unfortunately, you ca n’t drink alcohol that day.",False
元旦日跟家人一起吃飯，環境氛圍很好，服務人員也很熱情介紹❤️，是個適合家庭聚餐或3、5好友小聚的好去處（因為今天帶小朋友所以不喝酒）,"On New Year's Day, I ate with my family. The environmental atmosphere is very good. The service staff also introduced very warmly ❤️ It is a good place for family dinner or 3 or 5 friends (because I bring children today, so I don’t drink)",False
酒吧裝潢好，氣氛佳，服務生弟弟很古意可愛，給人親切的感覺。點了義式小點三樣組合，細薯條蠻唰口的，調味都偏鹹~主餐的部分點了義大利肉醬麵，麵條有口感不會太軟，肉醬味道清爽適中。小點的部分有誤做送錯餐，店家直接招待，很讓人有好感的處理方式。調酒口味都不錯，容量有點偏小，朋友覺得喝不夠。,"The bar decoration is good, the atmosphere is good, and the waiter's brother is very cute and kind.I ordered the three -type combination of Italian dots. The fine potato strips are brutal, and the seasoning is salty ~ The main meal is ordered by the Italian meat sauce noodles. The noodles will not taste too soft, and the meat sauce taste is refreshing.The small part of the small dot is made of wrong meals, and the store is directly entertaining, which makes people feel good.The taste of bartender is good, the capacity is a bit small, and friends feel that they do not drink enough.",False
選擇障礙的朋友～不用擔心，可以請他們幫特調酒，每杯都很驚喜，無地雷，都好喝唷！義大利麵軟Q、加辣更好吃👍 難得新莊有這種氣氛的小酒館，下次還要再來喝一杯🍺 …,"Friends who choose obstacles ~ Don't worry, you can ask them to help bartender. Each cup is surprising. There is no landmine and it is delicious!Italian face is soft Q, and spicy is better. It is rare to have this kind of tavern with this atmosphere. Next time, I will have to have another cup of 🍺 ...",False
"氣氛很好餐點也好吃
很適合下班後來一杯或是小聚😁","The atmosphere is very good and delicious
It is very suitable for a cup or a small gathering after get off work",False
"偏巷弄的小酒館。
有室內及室外空間，且提供許多調酒及洋酒類選擇，燈光昏暗，十足有小酒館的氛圍。

滿喜歡店內有提供「非正餐份量」的「小點組合」菜單，讓人可以細細嚐小點並配小酒。

小點料理的內容也滿特別的，推薦想要與朋友小酌小聊的人可以來嚐看看。","The small tavern.
There are indoor and outdoor spaces, and there are many options for bartending and foreign wine. The lights are dim, and the atmosphere of a tavern is full.

There is a ""small dot combination"" menu provided in the store with ""non -positive meals"" menu, so that people can taste small points and match small wine.

The content of a small dish is also full. It is recommended that people who want to talk to friends can taste it.",False
"每一杯調酒師都很用心～
送來也會有解說！好喝～～
餐點也好吃！！","Every cup of bartender is very careful ~
There will be commentary!It's delicious ~~
The meal is delicious!Intersection",False
"店員都還算不錯，但是那個餐點真的等太久了～用餐時間跟我們說兩小時，結果等了100分鐘才出完餐？？？然後餐點也是溫溫的，我等了個寂寞嗎？？
這個七里香差不多跟花生仁一樣大
明太子烏龍麵怎麼跟其他評論看到的差很多
只吃到三分飽，還要去旁邊的永和豆漿吃飽🥲","The clerk is pretty good, but that meal really waited for too long ~ I told us for two hours for meals. As a result, I waited for 100 minutes to finish meals?IntersectionIntersectionThen the meal was warm, did I wait for loneliness?Intersection
This Qili Xiang is almost as big as Peanut Ren
How does the Ming Prince Oolong Noodles be much worse than other comments?
Just eat three minutes, and go to the side of Yonghe Soy Milk to eat 🥲",False
"位於新莊捷運站附近，方便位置好找，機車也算好停車，五六營業到2點，平常營業到1點
調酒、餐點 以cp值來看中上 調酒個人推薦加了肉桂的God Father
店內裝潢、氣氛佳，很喜歡晚上九點後點上蠟燭關掉大燈後的氛圍，不論情侶、同事聚餐都很適合
一個人去也能做到吧檯跟店員聊天","It is located near Xinzhuang MRT Station.
Bart -up and meals are based on the CP value. Intrip to bartender. I recommend adding cinnamon. GOD FATHER
The interior decoration and atmosphere of the store are good. I like to click the candle at 9 o'clock in the evening to turn off the atmosphere after turning off the headlights.
You can do it with a person to chat with the clerk alone",False
"燈光昏暗氣氛不錯
有駐唱歌手時間會比較適合放空聽歌
位置不多坐位之間較為擁擠
小菜味道不錯可惜過鹹份量太小","The dim light atmosphere is good
There will be a resident singer time that will be more suitable for listening to the song
There are not many sites and more crowded sites
The side dish tastes good, but unfortunately the salty amount is too small",False
價格合理，餐點好吃，推薦炸小卷、青醬雞肉義大利麵、明太子雞肉串、秘制醬料炒大蛤！！！,"The price is reasonable, the meal is delicious, it is recommended to fried small rolls, green sauce chicken pasta, Ming prince chicken skewers, and secret sauce fried clams!IntersectionIntersection",False
"店員跟朋友玩的大聲超吵 很沒禮貌
還邀約我們加入
影響客人、就已經拒絕了 還一直吵 有想過別人想跟你們玩嗎？
出餐速度極慢！餐點之間相差一小時😀？ …","The clerk played loudly with friends and was very impolite.
I also invite us to join
Affecting guests, I have rejected it, and I have been noisy. Have you ever thought that others want to play with you?
The meal speed is extremely slow!The difference between meals is one hour?Mowing",False
廚房跟外場都只有一人，導致出餐速度是稍慢了些。而且兩人看起來都很辛苦，手都沒停過,"There is only one person in the kitchen and the field, resulting in a slightly slower meal speed.And both look hard, they have never stopped their hands",False
服務人員態度佳，也蠻專業!小酒館氣氛很好!推薦辣味雞肉麵，德國小麥啤酒，調酒也很不錯!是個下班或週末悠閒聊天的好去處!,"The service staff has a good attitude and pretty professional! The atmosphere of the small tavern is very good! Recommended spicy chicken noodles, German wheat beer, bartender is also very good! It is a good place to chat off work or weekend!",False
以一個酒吧來說東西都很便宜 便宜到懷疑老闆到底有沒有賺的那種,"In a bar, things are very cheap and cheap to doubt whether the boss has made the kind of money",False
"培根雞肉凱撒沙拉五顆星，每片菜葉都均勻調味，雞肉烤過香氣佳，搭上脆培根和堅果增添口感，很推。

另外點了白酒海鮮義大利麵，麵條彈牙但口味偏鹹，海鮮料種類也沒很多，建議點其他口味。","Bacon chicken Caesar salad five stars, each piece of vegetable leaves are uniformly seasoned, the chicken has a good aroma, the crispy bacon and nuts add taste, which is very pushing.

In addition, the white wine seafood has a giant noodles, the noodles are elastic, but the taste is salty, and there are not many types of seafood materials. It is recommended to order other flavors.",False
真的要大哭一波了 老闆每個都超nice酒還很便宜 怎麼就這樣倒了😭😭😭😭😭😭 我吃過六次了 上次要去結果關了啊啊啊啊啊,I really want to cry a wave. The boss is super nice. It's still cheap. Why did you pour it like this? I have eaten it six times.,False
"店員很親切，但餐點整體都很不ok
留下評論是希望不要被打卡送點心的五星評論騙來吃

烤物都很乾，然後完全沒有味道，感覺只是把東西烤熟而已，沒有任何的醬料跟調料
說真的烤香菇送上來的時候非常傻眼，又乾又扁，大部分的串烤不搭配炒飯吃根本無法下嚥

白酒蛤蜊麵非常雷，蛤蜊是很大顆，但是味道完全不行，麵也不Q，清炒義大利麵的功力非常不行

會再訪是因為之前來這邊吃燉飯跟薄餅的體驗不錯，當時點的雞翅跟雞軟骨讓我很驚艷，不曉得是換人經營還是怎樣，沒有我之前點過覺得好吃的那些食物
然後因為記得之前的雞翅好吃，所以點了兩份，結果超級失望，雞翅本身沒甚麼醃料的味道，然後外面灑了巨量的香料粉，也沒有吃到所謂的麻辣

最後還有和牛烤串跟雞軟骨沒上，得知店家還沒做我們也沒有要等的意思，把桌上的吃完就離開了
因為我們沒有點酒類，或許調酒不錯也不一定，但除了炒飯之外，大部分的食物都是皺著眉頭吃完的
希望店家真的能改善餐點品質，讓之後來的客人可以不要這麼失望。","The clerk is very kind, but the meal as a whole is not OK
Leave a comment, I hope not to be cheated by five -star comments who are punching in the sedimentation of snacks.

The roasted objects are very dry, and then there is no taste at all. It feels like just baking things.
Seriously, the grilled shiitake mushrooms are very dumb, dry and flat, most skewers can not be swallowed at all with fried rice.

The liquor clam noodles are very thunderous, the clams are very large, but the taste is not enough, the noodles are not Q, and the skill of stir -frying the Italian noodles is not good.

I would visit again because I had a good experience of eating stew and pancakes here. At that time, the chicken wings and chicken cartilage at that time made me amazing. I don’t know if it was a substitution.
Then because the previous chicken wings were delicious, I ordered two copies. As a result, the chicken wings itself had no taste of marinade, and then a huge amount of spice powder was sprinkled outside.

In the end, there is no cow baked skewers and chicken cartilage. I know that the store hasn't done it yet, and we didn't mean to wait. After eating the table, I left and left after eating
Because we do n’t have some alcohol, maybe alcohol is not bad, but except for fried rice, most foods are frowning.
I hope that the store can really improve the quality of the meal, so that the guests who come later can not be so disappointed.",False
"好吃了！適合下班和朋友來～
必點雞皮（不油膩）、米血（外酥內軟）
可以沾他們的辣椒粉～～～","It's delicious!Suitable for get off work and friends ~
Must order chicken skin (not greasy), rice blood (soft inside and soft)
You can stick to their pepper powder ~~~",False
"超用心餐酒館
完全輕鬆詢問 酒點 恰到好處
烤物 炸物 好吃 下酒
值得一來
重點是妹妹很可愛～","Super -hearted meal tavern
Just easily ask the wine point just right
Baked objects are delicious and wine
Worthwhile
The point is that my sister is very cute ~",False
小店氣氛還不錯，酒水也不錯，價位也ok，薯條還滿好吃的，唯一的小問題就是門口外面的吸煙席吸煙的時候……基本上整間店都變吸煙區，這點很可惜，對不吸煙的人比較不舒適,"The atmosphere of the small shop is not bad, the wine is also good, the price is OK, the fries are still delicious. The only small problem is when smoking at the door of the door ... Basically, the whole store has become a smoking area. Unfortunately, it is more uncomfortable for people who do not smoke",False
氣氛輕鬆，薯條、魚跟烤雞都好好吃，調酒可以依據需求客製哦，適合三五好友一起來聚餐聊天,"The atmosphere is easy, the fries, fish, and grilled chicken are delicious. I can drink can be customized according to the needs. Suitable for three or five friends to come and chat together",False
食物好吃也可以幫客人調整辣度很棒，整體用餐氣氛也很好，比營業時間提早到也讓客人先入坐點餐備感貼心👍🏻 …,"The food can also help the guests to adjust the spicy degree is great, and the overall meal atmosphere is also very good. Early early business hours are coming to let the guests enter the meal preparation.",False
店員很熱情服務態度也很好，店裡的氣氛也很棒，餐點也都很平價很好吃(⁠☆⁠▽⁠☆⁠),"The clerk is very enthusiastic about service attitude, the atmosphere in the store is also great, and the meals are very cheap and delicious (⁠ ☆ ⁠ ▽ ⁠ ☆ ⁠)",False
